Date,Open,High,Low,Close,Volume
2016-01-04,17.43,17.53,17.21,17.52,2306031
2016-01-05,17.23,17.31,17.09,17.21,2477779
2016-01-06,16.96,17.04,16.83,16.92,2570098
2016-01-07,16.65,16.78,16.56,16.6,2422522
2016-01-08,16.55,16.59,16.27,16.31,3517711
2016-01-11,16.48,16.5,16.2,16.31,2848573
2016-01-12,16.59,16.69,16.44,16.66,4156203
2016-01-13,16.71,16.79,16.26,16.3,2607068
2016-01-14,16.57,16.82,16.41,16.73,3914526
2016-01-15,16.13,16.28,15.98,16.06,3149332
2016-01-19,16.38,16.46,16.12,16.26,3243165
2016-01-20,16.12,16.18,15.74,16.09,3981044
2016-01-21,15.96,16.2,15.83,16.09,3170313
2016-01-22,16.62,16.69,16.35,16.54,2119228
2016-01-25,16.36,16.5,16.28,16.32,2857620
2016-01-26,16.51,16.69,16.48,16.67,2392134
2016-01-27,16.66,17.16,16.66,16.9,3393177
2016-01-28,17.12,17.16,16.82,16.93,2860332
2016-01-29,17.06,17.31,17.02,17.3,2110341
2016-02-01,17.08,17.28,17.0,17.22,2385449
2016-02-02,16.85,16.99,16.72,16.76,5517136
2016-02-03,17.05,17.28,16.84,17.23,7167076
2016-02-04,17.22,17.66,17.2,17.63,5705337
2016-02-05,17.7,17.82,17.56,17.6,5023078
2016-02-08,17.22,17.27,16.98,17.15,6430353
2016-02-09,16.84,17.06,16.79,16.98,5954548
2016-02-10,17.08,17.14,16.89,16.91,2082219
2016-02-11,16.69,16.81,16.52,16.67,2685868
2016-02-12,16.8,17.06,16.71,17.03,2265206
2016-02-16,17.41,17.51,17.23,17.48,2378700
2016-02-17,17.72,17.93,17.68,17.86,2620216
2016-02-18,17.97,17.97,17.83,17.87,2095972
2016-02-19,17.78,17.9,17.72,17.86,1460190
2016-02-22,17.81,17.93,17.8,17.89,1664488
2016-02-23,17.79,17.87,17.62,17.65,1461635
2016-02-24,17.35,17.71,17.26,17.69,1542886
2016-02-25,17.65,17.82,17.61,17.81,1495538
2016-02-26,17.87,17.92,17.74,17.8,1151609
2016-02-29,17.85,18.0,17.8,17.8,1576408
2016-03-01,17.97,18.22,17.92,18.2,1358175
2016-03-02,18.02,18.24,17.97,18.22,1934156
2016-03-03,18.36,18.51,18.36,18.51,1271484
2016-03-04,18.29,18.49,18.23,18.39,2419460
2016-03-07,18.24,18.49,18.23,18.46,1246431
2016-03-08,18.4,18.42,18.2,18.22,1677461
2016-03-09,18.19,18.29,18.13,18.21,1208267
2016-03-10,18.32,18.46,18.08,18.24,2437515
2016-03-11,18.53,18.69,18.49,18.67,1908226
2016-03-14,18.47,18.55,18.41,18.5,1151944
2016-03-15,18.41,18.41,18.29,18.35,1169601
2016-03-16,18.5,18.95,18.5,18.91,1795604
2016-03-17,19.12,19.48,19.06,19.42,1911585
2016-03-18,19.48,19.53,19.38,19.45,2104101
2016-03-21,19.21,19.36,19.19,19.24,2730379
2016-03-22,19.16,19.3,19.12,19.24,1251660
2016-03-23,19.2,19.2,19.07,19.09,1305768
2016-03-24,18.8,18.94,18.78,18.93,1313099
2016-03-28,18.95,19.04,18.93,18.98,606440
2016-03-29,18.89,19.19,18.84,19.17,959866
2016-03-30,19.56,19.67,19.51,19.58,1827211
2016-03-31,19.46,19.52,19.38,19.42,1545035
2016-04-01,19.02,19.29,19.01,19.27,1691483
2016-04-04,19.54,19.58,19.32,19.39,1822405
2016-04-05,19.05,19.18,19.01,19.09,1675097
2016-04-06,19.02,19.22,18.96,19.2,2727147
2016-04-07,19.04,19.13,18.93,18.98,1566818
2016-04-08,19.24,19.46,19.23,19.37,1218557
2016-04-11,19.46,19.57,19.39,19.39,1296378
2016-04-12,19.54,19.76,19.47,19.71,1521986
2016-04-13,19.77,19.79,19.67,19.78,1087004
2016-04-14,19.87,19.91,19.8,19.85,905997
2016-04-15,19.78,19.9,19.76,19.79,1518371
2016-04-18,19.74,20.02,19.74,19.99,1586569
2016-04-19,20.28,20.37,20.2,20.26,1823392
2016-04-20,20.85,21.03,20.81,20.88,3159504
2016-04-21,20.7,20.84,20.62,20.69,2685320
2016-04-22,20.74,20.81,20.69,20.78,1283848
2016-04-25,20.62,20.68,20.54,20.59,1589592
2016-04-26,20.88,20.95,20.83,20.91,1807597
2016-04-27,20.98,21.13,20.9,21.08,1226884
2016-04-28,20.94,21.12,20.87,20.92,1368117
2016-04-29,21.12,21.22,21.01,21.11,2937935
2016-05-02,21.18,21.25,21.09,21.23,2067259
2016-05-03,21.15,21.16,20.97,21.02,2375140
2016-05-04,20.89,20.93,20.63,20.69,1864046
2016-05-05,20.78,20.78,20.48,20.54,1223609
2016-05-06,20.5,20.62,20.48,20.6,2595464
2016-05-09,20.53,20.55,20.38,20.4,2769624
2016-05-10,20.45,20.71,20.45,20.69,1672549
2016-05-11,20.75,20.85,20.66,20.7,1302356
2016-05-12,20.9,20.91,20.58,20.71,1616750
2016-05-13,20.32,20.47,20.12,20.2,1942522
2016-05-16,20.27,20.44,20.25,20.34,2001953
2016-05-17,20.43,20.56,20.27,20.32,1704261
2016-05-18,20.35,20.55,20.24,20.36,2291527
2016-05-19,20.17,20.26,20.1,20.23,1591203
2016-05-20,20.39,20.45,20.32,20.34,1142321
2016-05-23,20.46,20.57,20.42,20.5,1800808
2016-05-24,20.42,20.59,20.42,20.54,1611834
2016-05-25,20.67,20.76,20.65,20.69,1466822
2016-05-26,21.03,21.07,20.9,20.92,1194923
2016-05-27,21.04,21.09,20.96,20.99,1070355
2016-05-31,20.87,20.99,20.7,20.78,2493168
2016-06-01,20.73,20.88,20.67,20.88,1130517
2016-06-02,20.76,20.86,20.71,20.84,1491713
2016-06-03,20.94,20.99,20.84,20.95,1162554
2016-06-06,21.2,21.31,21.12,21.22,1672223
2016-06-07,21.5,21.56,21.47,21.47,1773162
2016-06-08,21.54,21.57,21.43,21.47,1293095
2016-06-09,21.03,21.16,21.03,21.14,1805592
2016-06-10,20.78,20.85,20.59,20.68,1662499
2016-06-13,20.25,20.41,20.23,20.27,2563464
2016-06-14,20.19,20.24,20.07,20.18,2289302
2016-06-15,20.4,20.55,20.3,20.33,2056677
2016-06-16,20.11,20.35,19.89,20.31,2029920
2016-06-17,20.5,20.6,20.38,20.55,2583332
2016-06-20,20.98,21.08,20.92,20.95,1066492
2016-06-21,21.2,21.36,21.07,21.29,1651108
2016-06-22,21.36,21.42,21.24,21.26,1328472
2016-06-23,21.54,21.64,21.39,21.62,1349096
2016-06-24,20.0,20.39,19.84,19.88,4212960
2016-06-27,19.53,19.53,19.08,19.29,3279061
2016-06-28,19.31,19.4,19.14,19.33,2702007
2016-06-29,19.26,19.49,19.23,19.44,2341722
2016-06-30,19.47,19.84,19.45,19.83,2444406
2016-07-01,19.86,19.95,19.84,19.91,1714576
2016-07-05,19.5,19.54,19.26,19.31,1575379
2016-07-06,19.16,19.36,19.02,19.34,2143819
2016-07-07,19.44,19.55,19.29,19.37,1740142
2016-07-08,18.75,18.94,18.72,18.9,1528012
2016-07-11,19.37,19.46,19.34,19.36,1746078
2016-07-12,19.51,19.59,19.49,19.53,2246350
2016-07-13,19.69,19.72,19.56,19.63,1352241
2016-07-14,20.0,20.09,19.91,19.95,3024571
2016-07-15,19.95,20.02,19.87,20.0,1588569
2016-07-18,19.97,20.05,19.9,19.93,1566950
2016-07-19,20.0,20.18,19.95,20.11,2072738
2016-07-20,20.2,20.35,20.11,20.24,1843117
2016-07-21,20.65,20.86,20.61,20.7,3017933
2016-07-22,20.95,20.96,20.74,20.91,2299618
2016-07-25,20.86,20.88,20.74,20.84,1120643
2016-07-26,20.84,20.99,20.78,20.97,1391555
2016-07-27,20.91,20.99,20.8,20.94,1601765
2016-07-28,21.04,21.12,20.98,21.07,1853487
2016-07-29,21.24,21.38,21.16,21.25,1697206
2016-08-01,21.02,21.16,20.95,21.07,1180759
2016-08-02,21.21,21.21,21.0,21.08,1542893
2016-08-03,20.95,21.02,20.94,21.0,1250288
2016-08-04,21.18,21.3,21.14,21.23,898891
2016-08-05,21.19,21.32,21.19,21.3,1034569
2016-08-08,21.33,21.41,21.32,21.39,1067533
2016-08-09,21.55,21.64,21.52,21.56,862906
