Date,Open,High,Low,Close,Volume
2016-01-04,11.21,11.31,11.11,11.3,28567
2016-01-05,11.27,11.34,11.27,11.34,24655
2016-01-06,11.26,11.32,11.2,11.29,74475
2016-01-07,11.17,11.24,11.13,11.19,87345
2016-01-08,11.17,11.26,11.06,11.07,156667
2016-01-11,11.05,11.11,10.95,11.1,103910
2016-01-12,11.1,11.12,10.88,10.95,116987
2016-01-13,10.93,10.95,10.59,10.65,79390
2016-01-14,10.63,10.68,10.53,10.6,103209
2016-01-15,10.47,10.47,10.23,10.29,91640
2016-01-19,10.28,10.29,10.11,10.24,70851
2016-01-20,10.07,10.2,9.75,9.92,100736
2016-01-21,9.99,10.14,9.92,10.02,43603
2016-01-22,10.07,10.19,10.05,10.19,59544
2016-01-25,10.14,10.19,10.03,10.08,51272
2016-01-26,10.07,10.23,10.04,10.21,55075
2016-01-27,10.17,10.18,10.07,10.15,103777
2016-01-28,10.18,10.27,10.12,10.26,72189
2016-01-29,10.33,10.38,10.25,10.38,107373
2016-02-01,10.28,10.34,10.22,10.34,47207
2016-02-02,10.29,10.3,10.18,10.23,103238
2016-02-03,10.29,10.3,10.16,10.25,75348
2016-02-04,10.24,10.24,10.12,10.2,45804
2016-02-05,10.15,10.21,10.13,10.13,35081
2016-02-08,10.03,10.05,9.83,9.94,62505
2016-02-09,9.68,9.81,9.62,9.74,44392
2016-02-10,9.76,9.76,9.61,9.61,48139
2016-02-11,9.53,9.58,9.43,9.49,52990
2016-02-12,9.54,9.56,9.33,9.54,77763
2016-02-16,9.59,9.6,9.45,9.56,61318
2016-02-17,9.64,9.65,9.59,9.61,50537
2016-02-18,9.62,9.75,9.52,9.6,116601
2016-02-19,9.48,9.62,9.48,9.61,81144
2016-02-22,9.62,9.7,9.6,9.62,60546
2016-02-23,9.62,9.66,9.59,9.61,76455
2016-02-24,9.57,9.72,9.55,9.69,111350
2016-02-25,9.69,9.69,9.64,9.68,31515
2016-02-26,9.69,9.75,9.69,9.71,58620
2016-02-29,9.71,9.96,9.71,9.96,110907
2016-03-01,9.92,10.11,9.92,10.11,205069
2016-03-02,10.03,10.12,10.02,10.11,46562
2016-03-03,10.1,10.23,10.1,10.23,99921
2016-03-04,10.23,10.32,10.21,10.32,70507
2016-03-07,10.24,10.39,10.24,10.39,89892
2016-03-08,10.4,10.47,10.38,10.45,105429
2016-03-09,10.42,10.46,10.35,10.46,71134
2016-03-10,10.5,10.52,10.43,10.48,100855
2016-03-11,10.49,10.69,10.49,10.67,68775
2016-03-14,10.65,10.66,10.58,10.63,105563
2016-03-15,10.58,10.65,10.58,10.64,52698
2016-03-16,10.64,10.75,10.61,10.75,61852
2016-03-17,10.75,10.93,10.75,10.9,83309
2016-03-18,10.9,10.97,10.9,10.92,63760
2016-03-21,10.99,11.04,10.91,10.95,83010
2016-03-22,10.94,11.02,10.93,11.02,35041
2016-03-23,10.99,11.06,10.98,11.0,44996
2016-03-24,10.95,10.95,10.83,10.92,83930
2016-03-28,10.94,10.94,10.85,10.88,66085
2016-03-29,10.82,10.9,10.75,10.88,80626
2016-03-30,10.97,11.0,10.88,10.93,78248
2016-03-31,10.9,11.0,10.9,10.96,143421
2016-04-01,10.95,10.99,10.91,10.96,54595
2016-04-04,10.94,10.98,10.91,10.97,140995
2016-04-05,10.87,10.91,10.83,10.83,56258
2016-04-06,10.84,10.98,10.84,10.97,85318
2016-04-07,10.87,10.89,10.73,10.8,106035
2016-04-08,10.83,10.87,10.77,10.8,62120
2016-04-11,10.8,10.9,10.8,10.81,56479
2016-04-12,10.81,10.9,10.81,10.89,59110
2016-04-13,10.9,11.01,10.9,11.0,53610
2016-04-14,11.0,11.09,11.0,11.09,54263
2016-04-15,11.08,11.1,11.04,11.07,40955
2016-04-18,11.0,11.22,10.97,11.15,94112
2016-04-19,11.17,11.32,11.17,11.26,97697
2016-04-20,11.28,11.38,11.23,11.32,104623
2016-04-21,11.36,11.46,11.33,11.43,66754
2016-04-22,11.41,11.48,11.4,11.48,50655
2016-04-25,11.48,11.5,11.43,11.46,47773
2016-04-26,11.4,11.55,11.4,11.53,64166
2016-04-27,11.52,11.59,11.52,11.54,47066
2016-04-28,11.53,11.63,11.52,11.54,95144
2016-04-29,11.53,11.65,11.53,11.62,65119
2016-05-02,11.65,11.73,11.62,11.68,77442
2016-05-03,11.66,11.68,11.52,11.56,94527
2016-05-04,11.5,11.53,11.35,11.45,81245
2016-05-05,11.49,11.52,11.43,11.43,78210
2016-05-06,11.37,11.47,11.31,11.45,102512
2016-05-09,11.42,11.45,11.33,11.42,82398
2016-05-10,11.27,11.4,11.27,11.34,125301
2016-05-11,11.3,11.37,11.27,11.34,69950
2016-05-12,11.39,11.44,11.36,11.37,118913
2016-05-13,11.38,11.49,11.37,11.44,140831
2016-05-16,11.42,11.51,11.42,11.47,60148
2016-05-17,11.5,11.5,11.42,11.46,30250
2016-05-18,11.48,11.49,11.35,11.4,74380
2016-05-19,11.42,11.42,11.3,11.34,76783
2016-05-20,11.34,11.44,11.34,11.42,85776
2016-05-23,11.5,11.51,11.42,11.49,63636
2016-05-24,11.48,11.59,11.48,11.58,74503
2016-05-25,11.61,11.69,11.6,11.64,103716
2016-05-26,11.7,11.82,11.7,11.77,177024
2016-05-27,11.79,11.89,11.72,11.89,57874
2016-05-31,11.92,11.92,11.8,11.87,62301
2016-06-01,11.9,11.93,11.83,11.93,44057
2016-06-02,11.94,11.94,11.8,11.88,165247
2016-06-03,11.82,11.93,11.81,11.93,43848
2016-06-06,11.95,12.02,11.93,12.02,86160
2016-06-07,12.02,12.14,12.02,12.08,95887
2016-06-08,12.15,12.18,12.11,12.16,50155
2016-06-09,12.13,12.19,12.07,12.1,117308
2016-06-10,12.14,12.14,11.99,12.0,92056
2016-06-13,12.0,12.04,11.93,11.95,41128
2016-06-14,11.97,11.97,11.78,11.85,62731
2016-06-15,11.8,11.87,11.8,11.85,33395
2016-06-16,11.83,11.89,11.72,11.87,68655
2016-06-17,11.87,11.87,11.82,11.87,38499
2016-06-20,11.94,11.95,11.86,11.86,46549
2016-06-21,11.92,12.04,11.92,12.02,86541
2016-06-22,12.08,12.09,12.01,12.06,51422
2016-06-23,12.1,12.16,12.04,12.1,52580
2016-06-24,11.82,12.04,11.82,11.95,207922
2016-06-27,11.95,11.95,11.61,11.69,97149
2016-06-28,11.7,11.84,11.7,11.76,93239
2016-06-29,11.79,11.89,11.79,11.88,54140
2016-06-30,11.93,11.98,11.85,11.98,28407
2016-07-01,12.08,12.11,12.01,12.1,47425
