Date,Open,High,Low,Close,Volume
2016-01-04,11.35,11.35,11.15,11.29,179544
2016-01-05,11.28,11.58,11.28,11.51,73575
2016-01-06,11.45,11.87,11.45,11.83,139897
2016-01-07,11.63,11.75,11.59,11.6,112600
2016-01-08,11.61,11.66,11.3,11.33,105140
2016-01-11,11.29,11.45,11.26,11.32,101625
2016-01-12,11.38,11.38,11.05,11.26,158353
2016-01-13,11.27,11.35,10.86,10.92,137685
2016-01-14,10.88,11.2,10.71,11.11,109786
2016-01-15,10.85,10.93,10.41,10.84,181180
2016-01-19,10.86,11.1,10.55,10.65,117402
2016-01-20,10.56,10.56,9.6,10.37,248836
2016-01-21,10.4,10.63,10.2,10.42,111548
2016-01-22,10.58,10.79,10.49,10.7,75532
2016-01-25,10.63,10.68,10.37,10.38,78133
2016-01-26,10.39,10.59,10.38,10.57,86598
2016-01-27,10.6,10.65,10.38,10.42,95494
2016-01-28,10.52,10.57,10.36,10.42,58028
2016-01-29,10.48,10.82,10.48,10.66,197143
2016-02-01,10.6,10.79,10.47,10.7,100986
2016-02-02,10.59,10.71,10.28,10.57,86207
2016-02-03,10.61,10.7,10.45,10.55,101530
2016-02-04,10.55,10.74,10.16,10.16,206906
2016-02-05,10.11,10.12,9.75,9.8,244787
2016-02-08,9.76,9.76,9.4,9.45,234819
2016-02-09,9.38,9.4,8.93,9.29,201711
2016-02-10,9.36,9.42,9.26,9.29,162969
2016-02-11,9.15,9.29,8.91,9.02,100194
2016-02-12,9.09,9.41,9.09,9.36,96948
2016-02-16,9.42,9.91,9.41,9.89,205253
2016-02-17,9.98,10.08,9.84,9.92,88732
2016-02-18,9.9,9.92,9.61,9.63,83478
2016-02-19,9.61,9.8,9.56,9.57,65568
2016-02-22,9.63,9.85,9.46,9.67,129409
2016-02-23,9.68,9.75,9.28,9.59,116411
2016-02-24,9.46,9.87,9.31,9.84,106443
2016-02-25,9.84,10.03,9.71,10.03,122834
2016-02-26,10.03,10.19,9.64,9.69,91104
2016-02-29,9.65,9.83,9.65,9.75,104495
2016-03-01,10.25,10.72,10.23,10.35,277303
2016-03-02,10.24,10.3,9.78,10.14,218123
