Date,Open,High,Low,Close,Volume
2016-10-17,50.6,54.0,48.12,49.35,2547887
2016-10-18,49.69,49.75,48.71,49.23,836643
2016-10-19,49.39,50.49,49.0,49.34,1568351
2016-10-20,49.48,49.74,48.3,48.5,743943
2016-10-21,48.57,48.57,47.47,47.75,1223583
2016-10-24,48.0,48.0,46.68,46.75,1070560
2016-10-25,46.69,46.69,43.74,44.35,1675115
2016-10-26,43.71,46.93,43.7,45.5,2626811
2016-10-27,45.5,45.77,44.94,45.25,1412015
2016-10-28,47.0,47.0,44.93,45.98,1418395
2016-10-31,47.0,48.2,44.97,45.51,22653267
2016-11-01,45.8,46.81,44.84,45.3,9216434
2016-11-02,44.7,45.6,44.3,45.0,4361280
2016-11-03,45.0,45.21,44.38,44.75,2332522
2016-11-04,44.12,44.77,42.27,44.2,3886142
2016-11-07,43.6,45.07,43.52,44.6,5813953
2016-11-08,43.11,46.54,39.66,46.27,6691947
2016-11-09,44.51,45.79,43.24,44.26,3939800
2016-11-10,43.98,46.23,43.12,45.9,2539227
2016-11-11,45.65,47.17,45.09,46.58,2114171
2016-11-14,46.57,47.7,44.33,45.77,1779676
2016-11-15,45.98,47.95,45.77,47.72,1062626
2016-11-16,47.81,50.06,47.55,50.0,2591494
2016-11-17,50.01,55.13,50.01,53.5,3302312
2016-11-18,53.58,54.44,52.9,53.05,1210528
2016-11-21,52.35,53.49,51.96,52.97,1045727
2016-11-22,52.73,56.67,52.23,56.67,1737436
2016-11-23,56.01,56.5,55.51,55.99,1008798
2016-11-25,55.85,56.49,55.48,55.86,392586
2016-11-28,55.59,55.85,54.27,54.34,934955
2016-11-29,54.01,54.94,54.0,54.19,724985
2016-11-30,54.19,54.19,53.13,53.56,641162
2016-12-01,53.53,55.09,53.15,55.03,1091537
2016-12-02,54.67,55.09,53.71,54.24,520721
2016-12-05,54.65,55.31,54.28,54.36,512936
2016-12-06,54.52,55.29,54.39,55.07,1172028
2016-12-07,55.26,57.3,55.01,57.15,827184
2016-12-08,56.64,57.33,55.84,57.15,1321814
2016-12-09,56.84,58.52,56.5,58.14,1334489
2016-12-12,58.14,58.14,56.55,57.67,937972
2016-12-13,57.67,58.67,57.42,57.79,1283373
2016-12-14,57.16,57.92,56.58,57.33,1037701
2016-12-15,57.13,57.61,56.0,56.29,732603
2016-12-16,56.28,56.49,54.08,54.17,971659
2016-12-19,54.13,54.14,51.74,52.62,1988390
2016-12-20,52.97,55.9,52.15,55.29,1306695
2016-12-21,55.4,56.85,54.91,56.62,643976
