Date,Open,High,Low,Close,Volume
2016-01-04,12.64,12.69,12.45,12.69,184223
2016-01-05,12.69,12.85,12.61,12.71,167334
2016-01-06,12.5,12.57,12.39,12.55,156222
2016-01-07,12.35,12.38,12.18,12.21,227882
2016-01-08,12.24,12.28,12.02,12.06,151593
2016-01-11,12.08,12.12,11.85,12.06,240057
2016-01-12,12.12,12.19,11.93,12.18,186514
2016-01-13,12.25,12.25,11.82,11.89,335141
2016-01-14,11.92,12.02,11.74,12.0,226666
2016-01-15,11.65,11.69,11.51,11.69,331678
2016-01-19,11.75,11.75,11.48,11.57,279637
2016-01-20,11.35,11.4,11.0,11.31,506605
2016-01-21,11.28,11.52,11.22,11.43,317598
2016-01-22,11.66,11.77,11.55,11.77,314904
2016-01-25,11.67,11.72,11.56,11.56,118185
2016-01-26,11.62,11.73,11.59,11.72,124810
2016-01-27,11.69,11.79,11.59,11.6,84198
2016-01-28,11.71,11.72,11.6,11.72,97362
2016-01-29,11.76,11.94,11.75,11.93,89552
2016-02-01,11.86,12.01,11.85,11.94,154697
2016-02-02,11.84,11.84,11.7,11.75,247106
2016-02-03,11.79,11.86,11.6,11.79,262980
2016-02-04,11.72,11.93,11.72,11.8,303350
2016-02-05,11.73,11.79,11.52,11.57,170098
2016-02-08,11.44,11.44,11.22,11.36,199510
2016-02-09,11.21,11.36,11.17,11.24,378184
2016-02-10,11.31,11.36,11.21,11.21,282872
2016-02-11,11.03,11.14,10.96,11.06,386038
2016-02-12,11.14,11.32,11.14,11.3,249404
2016-02-16,11.42,11.58,11.39,11.56,376075
2016-02-17,11.6,11.81,11.6,11.79,216105
2016-02-18,11.83,11.85,11.77,11.81,321094
2016-02-19,11.72,11.78,11.69,11.78,82838
2016-02-22,11.84,11.91,11.81,11.83,318051
2016-02-23,11.8,11.87,11.67,11.73,211321
2016-02-24,11.6,11.79,11.49,11.79,289743
2016-02-25,11.8,11.95,11.77,11.95,109937
2016-02-26,11.98,12.01,11.89,11.95,105038
2016-02-29,11.9,12.0,11.85,11.88,137916
2016-03-01,11.95,12.11,11.9,12.07,146168
2016-03-02,12.1,12.16,12.07,12.16,116935
2016-03-03,12.11,12.18,12.1,12.18,178328
2016-03-04,12.16,12.27,12.16,12.23,101570
2016-03-07,12.16,12.27,12.16,12.25,145219
2016-03-08,12.19,12.22,12.11,12.12,132592
2016-03-09,12.15,12.24,12.15,12.24,95073
2016-03-10,12.27,12.31,12.15,12.22,140862
2016-03-11,12.28,12.44,12.28,12.4,92855
2016-03-14,12.38,12.44,12.38,12.42,83522
2016-03-15,12.34,12.44,12.33,12.42,198964
2016-03-16,12.39,12.51,12.39,12.46,110618
2016-03-17,12.44,12.55,12.44,12.5,104665
2016-03-18,12.55,12.6,12.51,12.51,97048
2016-03-21,12.52,12.59,12.52,12.55,49402
2016-03-22,12.5,12.59,12.5,12.57,92982
2016-03-23,12.53,12.56,12.49,12.52,83219
2016-03-24,12.48,12.5,12.45,12.47,79020
2016-03-28,12.49,12.54,12.49,12.5,121877
2016-03-29,12.46,12.58,12.42,12.57,48120
2016-03-30,12.62,12.75,12.62,12.65,106823
