Date,Open,High,Low,Close,Volume
2016-01-04,23.9,24.1,23.79,24.02,22445
2016-01-05,24.08,24.16,24.01,24.08,9051
2016-01-06,24.0,24.27,24.0,24.25,11433
2016-01-07,24.11,24.3,24.06,24.19,14485
2016-01-08,24.12,24.2,24.06,24.11,11190
2016-01-11,24.11,24.22,24.03,24.22,5849
2016-01-12,24.24,24.24,24.02,24.07,10776
2016-01-13,24.16,24.25,24.03,24.03,7255
2016-01-14,24.0,24.11,23.94,23.96,20146
2016-01-15,23.76,23.88,23.58,23.79,12616
2016-01-19,23.69,23.76,23.64,23.65,9888
2016-01-20,23.42,23.47,23.07,23.37,20206
2016-01-21,23.09,23.09,22.99,23.01,19385
2016-01-22,23.02,23.1,22.75,23.0,30912
2016-01-25,23.0,23.37,22.82,22.83,20906
2016-01-26,23.14,23.15,22.89,22.91,22524
2016-01-27,22.86,23.29,22.86,23.0,48691
2016-01-28,23.18,23.33,22.96,22.97,18961
2016-01-29,23.09,23.12,22.9,22.96,34034
2016-02-01,22.95,23.04,22.95,23.0,22520
2016-02-02,23.04,23.16,23.02,23.15,16172
2016-02-03,23.08,23.1,22.81,22.98,21280
2016-02-04,22.9,22.91,22.72,22.87,26972
2016-02-05,22.67,22.92,22.63,22.72,15389
2016-02-08,22.56,22.58,22.02,22.1,26905
2016-02-09,21.85,21.98,21.22,21.53,34831
2016-02-10,21.78,22.07,21.66,21.66,19172
2016-02-11,21.4,21.54,20.57,20.83,38261
2016-02-12,21.32,21.43,20.59,21.34,22853
2016-02-16,21.94,22.15,21.55,21.86,21986
2016-02-17,21.97,22.71,21.97,22.08,8185
2016-02-18,23.07,23.23,22.59,22.9,26824
2016-02-19,22.8,23.13,22.7,23.13,24848
2016-02-22,23.28,23.28,22.9,22.91,23392
2016-02-23,22.62,22.82,21.99,22.15,47086
2016-02-24,21.93,22.69,21.93,22.63,17705
2016-02-25,22.83,23.0,22.16,22.33,16334
2016-02-26,22.05,22.39,21.69,21.98,31827
2016-02-29,21.78,22.32,21.78,22.17,30394
2016-03-01,22.36,22.96,22.33,22.46,41231
2016-03-02,22.32,23.57,22.32,22.55,47974
2016-03-03,22.41,22.81,22.26,22.45,10075
2016-03-04,22.27,22.76,22.27,22.56,46205
2016-03-07,22.68,22.68,22.23,22.46,21346
2016-03-08,22.29,22.61,22.29,22.31,12974
2016-03-09,22.36,22.45,22.1,22.19,29297
2016-03-10,22.44,22.86,22.24,22.33,25394
2016-03-11,22.35,22.5,22.28,22.34,36820
2016-03-14,22.16,22.49,22.14,22.34,15919
2016-03-15,22.49,22.49,22.1,22.13,13650
2016-03-16,22.13,22.3,22.12,22.16,16239
2016-03-17,22.36,22.53,22.13,22.2,32977
2016-03-18,22.31,22.83,22.13,22.25,16726
2016-03-21,22.18,22.2,22.13,22.19,15220
2016-03-22,22.17,22.2,22.13,22.13,12316
2016-03-23,22.17,22.35,22.14,22.16,42555
2016-03-24,22.27,22.3,22.15,22.29,8702
2016-03-28,22.2,22.4,22.2,22.21,40814
2016-03-29,22.28,22.39,22.2,22.37,12994
2016-03-30,22.48,22.67,22.3,22.59,14615
2016-03-31,22.73,22.98,22.57,22.57,27749
2016-04-01,22.8,22.97,22.63,22.7,23933
2016-04-04,22.53,22.85,22.27,22.38,34715
2016-04-05,22.21,22.44,22.21,22.37,53179
2016-04-06,22.33,22.68,22.33,22.44,15830
2016-04-07,22.3,22.47,22.11,22.2,27668
2016-04-08,22.33,22.64,22.2,22.46,15195
2016-04-11,22.57,22.99,22.54,22.99,21375
2016-04-12,22.99,23.17,22.85,23.17,27541
2016-04-13,23.29,23.39,22.74,23.32,19624
2016-04-14,23.22,23.49,22.98,23.48,10643
2016-04-15,23.1,23.71,23.1,23.33,67323
2016-04-18,23.5,23.6,23.41,23.54,17987
2016-04-19,23.46,23.86,23.35,23.83,12625
2016-04-20,23.86,23.95,23.58,23.95,15222
2016-04-21,23.61,24.14,23.61,24.09,15946
2016-04-22,24.35,24.35,24.04,24.12,16376
2016-04-25,23.95,24.22,23.73,24.16,18538
2016-04-26,24.08,24.17,23.95,24.02,16443
2016-04-27,23.9,24.12,23.82,24.04,23855
2016-04-28,23.96,24.23,23.96,24.15,12242
2016-04-29,24.15,24.26,24.09,24.1,21353
2016-05-02,24.14,24.31,24.14,24.21,17458
2016-05-03,24.14,24.24,23.94,24.12,18657
2016-05-04,24.29,24.29,24.03,24.16,6711
2016-05-05,24.25,24.25,24.2,24.24,3136
2016-05-06,24.25,24.29,24.21,24.29,7429
2016-05-09,24.25,24.29,24.2,24.27,8153
2016-05-10,24.3,24.3,24.24,24.24,9621
2016-05-11,24.27,24.75,24.18,24.31,19236
2016-05-12,24.32,24.71,24.32,24.53,42058
2016-05-13,24.61,24.61,24.36,24.41,16237
2016-05-16,24.49,24.59,24.44,24.47,23301
2016-05-17,24.5,24.7,24.42,24.57,33688
2016-05-18,24.5,24.68,24.37,24.46,22704
2016-05-19,24.34,24.65,24.16,24.65,41524
2016-05-20,24.65,24.75,24.48,24.75,19443
2016-05-23,24.75,24.75,24.58,24.73,24337
2016-05-24,24.75,24.76,24.56,24.65,28037
2016-05-25,24.65,24.75,24.51,24.55,45748
2016-05-26,24.56,24.73,24.52,24.53,28744
2016-05-27,24.38,24.59,24.38,24.55,31725
2016-05-31,24.68,24.68,24.33,24.62,18023
2016-06-01,24.68,24.73,24.53,24.7,14548
2016-06-02,24.7,24.75,24.54,24.71,21834
2016-06-03,24.68,24.75,24.64,24.75,17858
2016-06-06,24.65,24.75,24.65,24.75,19765
2016-06-07,24.65,24.75,24.58,24.68,25986
2016-06-08,24.75,24.9,24.58,24.89,26488
2016-06-09,24.82,24.9,24.56,24.9,24970
2016-06-10,24.67,24.7,24.58,24.65,14572
2016-06-13,24.69,24.85,24.54,24.56,28445
2016-06-14,24.59,24.77,24.27,24.48,51565
2016-06-15,24.51,24.83,24.51,24.72,27575
2016-06-16,24.6,24.69,24.24,24.57,14848
2016-06-17,24.65,24.74,24.36,24.7,19099
2016-06-20,24.7,24.7,24.53,24.68,27600
2016-06-21,24.52,24.72,24.52,24.72,24393
2016-06-22,24.6,24.72,24.32,24.7,14544
2016-06-23,24.72,24.79,24.66,24.76,27983
2016-06-24,24.47,24.75,24.41,24.66,22058
2016-06-27,24.4,24.58,24.07,24.29,59299
2016-06-28,24.35,24.68,24.26,24.68,31468
2016-06-29,24.56,25.11,24.56,24.65,47974
2016-06-30,24.89,25.12,24.56,24.79,18369
2016-07-01,24.6,24.74,24.54,24.66,13491
2016-07-05,24.59,24.74,24.51,24.74,22228
2016-07-06,24.57,24.73,24.2,24.49,31724
2016-07-07,24.59,24.59,24.16,24.5,25315
2016-07-08,24.42,24.7,24.38,24.67,23465
2016-07-11,24.55,24.8,24.47,24.79,19150
2016-07-12,24.79,25.12,24.79,24.95,30020
2016-07-13,24.95,25.12,24.82,25.0,28871
2016-07-14,25.04,25.04,24.45,24.92,29855
2016-07-15,24.56,25.1,24.56,24.6,54600
2016-07-18,24.79,24.79,24.51,24.54,16329
2016-07-19,24.68,24.79,24.5,24.67,25414
2016-07-20,24.6,24.67,24.35,24.36,23968
2016-07-21,24.44,24.82,24.44,24.81,15617
2016-07-22,24.75,24.83,24.61,24.65,16717
2016-07-25,24.84,24.84,24.62,24.82,14294
2016-07-26,24.85,24.95,24.68,24.95,21923
2016-07-27,24.91,24.94,24.74,24.8,14626
2016-07-28,24.91,24.95,24.8,24.81,11501
2016-07-29,24.99,24.99,24.81,24.81,18352
2016-08-01,24.81,24.95,24.81,24.83,18024
2016-08-02,24.91,24.93,24.8,24.9,11043
2016-08-03,24.9,24.93,24.87,24.9,16112
2016-08-04,24.91,24.91,24.86,24.87,13237
2016-08-05,24.92,24.97,24.88,24.95,21856
2016-08-08,24.96,25.09,24.91,24.94,34093
2016-08-09,24.92,25.02,24.92,24.96,18038
2016-08-10,24.94,25.08,24.83,24.84,26254
2016-08-11,24.97,25.09,24.8,24.99,21489
2016-08-12,25.07,25.07,24.88,24.88,14343
2016-08-15,24.88,25.0,24.88,24.98,10150
2016-08-16,24.99,25.39,24.89,25.2,34044
2016-08-17,25.25,25.25,24.96,25.18,19008
2016-08-18,25.01,25.17,24.99,25.06,17556
2016-08-19,25.14,25.16,24.97,24.97,8980
2016-08-22,25.12,25.12,24.95,24.95,25476
2016-08-23,24.95,25.0,24.8,24.8,6949
2016-08-24,24.82,24.83,24.64,24.83,13661
2016-08-25,24.75,24.77,24.65,24.66,11571
2016-08-26,24.68,24.8,24.57,24.61,14460
2016-08-29,24.54,24.75,24.54,24.7,17417
2016-08-30,24.69,24.76,24.61,24.72,29202
