Date,Open,High,Low,Close,Volume
2016-01-04,23.55,23.65,22.78,23.34,690960
2016-01-05,23.35,23.39,22.68,22.72,463085
2016-01-06,22.29,22.38,21.84,22.06,348935
2016-01-07,21.61,21.81,21.11,21.11,493826
2016-01-08,21.3,21.66,21.11,21.15,670486
2016-01-11,21.3,21.3,20.49,20.79,599752
2016-01-12,21.0,21.21,19.66,19.9,1003574
2016-01-13,20.21,20.62,19.05,19.1,875692
2016-01-14,19.23,19.37,18.56,19.01,1184437
2016-01-15,18.46,18.85,18.29,18.74,886644
2016-01-19,18.96,19.01,17.5,17.69,947798
2016-01-20,17.36,17.83,16.92,17.6,914694
2016-01-21,17.58,17.76,16.97,17.03,811104
2016-01-22,17.25,17.83,17.25,17.72,797181
2016-01-25,17.6,17.68,16.74,16.77,616897
2016-01-26,16.94,17.51,16.9,17.31,496963
2016-01-27,17.31,17.64,17.01,17.17,481948
2016-01-28,17.36,17.47,17.04,17.37,523624
2016-01-29,17.6,18.19,17.58,18.19,1000591
2016-02-01,17.86,18.1,16.94,17.1,1327304
2016-02-02,16.91,16.92,16.18,16.24,891182
2016-02-03,16.4,16.43,15.64,15.87,987049
2016-02-04,15.8,16.09,15.5,15.81,928582
2016-02-05,15.73,15.82,15.39,15.49,809182
2016-02-08,15.33,15.37,14.58,14.72,920648
2016-02-09,14.37,14.46,13.72,14.03,1515860
2016-02-10,14.18,14.65,13.94,14.1,971527
2016-02-11,13.97,13.97,12.65,12.81,1395245
2016-02-12,12.81,13.48,12.75,13.15,1146958
2016-02-16,13.31,13.5,12.74,13.47,962805
2016-02-17,13.57,14.17,13.51,13.68,1160522
2016-02-18,13.7,13.87,13.42,13.54,1036928
2016-02-19,13.51,14.24,13.45,14.19,1197342
2016-02-22,14.3,14.68,14.2,14.46,1093254
2016-02-23,14.36,14.53,14.04,14.04,861073
2016-02-24,13.84,13.89,13.47,13.59,822815
2016-02-25,13.65,13.74,13.37,13.65,692248
2016-02-26,13.65,13.95,13.54,13.91,550253
2016-02-29,13.87,13.89,13.6,13.6,800165
2016-03-01,13.75,14.57,13.74,14.55,766686
2016-03-02,14.54,14.78,14.24,14.42,1280207
2016-03-03,14.42,14.66,14.32,14.47,663184
2016-03-04,14.56,14.68,13.86,14.1,1566092
2016-03-07,14.05,14.4,14.0,14.24,1449281
2016-03-08,14.12,14.52,13.71,13.93,1231668
2016-03-09,13.99,14.21,13.69,14.1,1087424
2016-03-10,14.18,14.38,13.79,13.89,702620
2016-03-11,14.1,15.52,14.09,15.29,1476839
2016-03-14,15.37,15.79,15.23,15.66,944968
2016-03-15,15.49,15.49,14.47,14.75,944276
2016-03-16,14.7,15.1,14.52,14.8,729184
2016-03-17,14.77,15.42,14.6,15.24,1081013
2016-03-18,15.41,16.56,15.33,16.54,2712743
2016-03-21,16.46,16.71,16.09,16.34,878744
2016-03-22,16.14,16.59,16.06,16.52,1117202
2016-03-23,16.42,16.61,15.98,16.06,1401894
2016-03-24,15.88,15.94,15.26,15.77,960995
2016-03-28,15.78,16.12,15.74,16.04,557974
2016-03-29,15.94,16.42,15.48,16.36,896462
2016-03-30,16.49,16.86,16.32,16.73,850241
2016-03-31,16.73,16.93,16.7,16.8,900580
2016-04-01,16.59,16.96,16.46,16.89,541104
2016-04-04,16.85,16.93,16.41,16.42,545820
2016-04-05,16.24,16.42,16.02,16.17,581109
2016-04-06,15.05,15.11,13.28,13.69,5537670
2016-04-07,13.88,13.95,12.82,12.88,3019822
2016-04-08,12.99,13.21,12.77,13.01,3245174
2016-04-11,13.06,14.05,12.97,13.69,2067244
2016-04-12,13.69,14.56,13.69,14.2,1861931
2016-04-13,14.45,14.86,14.42,14.7,919774
2016-04-14,14.78,15.36,14.59,15.11,953628
2016-04-15,15.11,15.42,15.08,15.09,1136787
2016-04-18,15.04,15.22,14.68,15.18,818453
2016-04-19,15.25,15.88,15.25,15.58,618115
2016-04-20,15.56,16.11,15.56,16.0,911609
2016-04-21,16.02,16.42,15.9,15.99,659110
2016-04-22,16.07,16.57,16.07,16.27,631512
2016-04-25,16.1,16.13,15.7,16.03,475738
2016-04-26,16.09,16.46,15.98,16.45,884845
2016-04-27,16.39,16.73,16.29,16.41,721831
2016-04-28,15.53,15.53,13.72,14.33,2306178
2016-04-29,14.25,14.46,13.8,14.0,1571352
2016-05-02,14.19,14.24,13.73,13.9,1604294
2016-05-03,13.6,13.6,13.03,13.31,1640991
2016-05-04,13.2,13.78,13.11,13.29,1159069
2016-05-05,13.42,13.79,13.24,13.58,1227880
2016-05-06,13.46,13.79,13.3,13.72,842705
2016-05-09,13.66,13.76,13.29,13.47,945485
2016-05-10,13.61,14.16,13.57,14.14,705318
2016-05-11,14.04,14.56,14.0,14.2,650153
2016-05-12,14.32,14.44,13.83,13.99,537208
2016-05-13,13.96,14.47,13.87,14.06,627554
2016-05-16,14.1,14.44,14.0,14.33,666228
2016-05-17,14.33,14.76,14.24,14.39,581872
2016-05-18,14.3,15.4,14.22,15.27,848551
2016-05-19,15.19,15.36,14.61,14.91,724960
2016-05-20,15.05,15.49,14.99,15.31,468023
2016-05-23,15.26,15.39,15.15,15.32,827030
2016-05-24,15.48,15.85,15.43,15.8,704443
2016-05-25,15.83,16.19,15.8,16.0,575469
2016-05-26,16.09,16.15,15.72,15.9,483676
2016-05-27,15.89,16.15,15.82,16.15,622194
2016-05-31,16.25,16.35,16.02,16.21,630056
2016-06-01,16.1,16.38,15.62,16.28,521349
2016-06-02,16.2,16.46,15.69,16.39,481925
2016-06-03,16.09,16.09,15.69,15.85,615768
2016-06-06,16.38,16.86,16.28,16.71,781690
2016-06-07,16.84,16.88,16.52,16.61,394117
2016-06-08,16.61,16.73,16.53,16.62,417782
2016-06-09,16.46,16.46,15.77,15.95,547920
2016-06-10,15.63,15.84,15.36,15.62,472774
2016-06-13,15.5,15.7,15.19,15.45,518509
2016-06-14,15.35,15.61,15.14,15.34,491007
2016-06-15,15.41,15.76,15.26,15.33,354654
2016-06-16,15.11,15.53,14.9,15.5,545718
2016-06-17,15.47,16.02,15.44,15.56,805236
2016-06-20,15.88,16.11,15.65,15.77,471192
2016-06-21,15.81,15.81,15.44,15.64,368411
2016-06-22,15.68,16.04,15.64,15.83,496915
2016-06-23,16.15,16.65,16.15,16.62,623085
2016-06-24,15.68,15.7,14.52,14.81,1185146
2016-06-27,14.67,14.68,13.43,13.6,908847
2016-06-28,13.89,14.03,13.4,13.62,775984
2016-06-29,13.81,13.92,13.54,13.83,886347
2016-06-30,13.93,14.26,13.68,14.25,916583
2016-07-01,14.13,14.54,14.13,14.34,433135
2016-07-05,14.13,14.14,13.07,13.54,834101
2016-07-06,13.44,13.71,13.24,13.64,548728
2016-07-07,13.75,14.33,13.47,13.76,563090
2016-07-08,14.14,14.81,14.12,14.77,689420
2016-07-11,14.88,15.33,14.88,15.21,589954
2016-07-12,15.48,15.8,15.41,15.58,671824
2016-07-13,15.81,15.88,15.37,15.87,499000
2016-07-14,16.16,16.32,16.0,16.01,455254
2016-07-15,16.17,16.23,15.66,15.86,425336
