Date,Open,High,Low,Close,Volume
2016-01-04,71.14,71.18,69.96,70.58,350367
2016-01-05,70.54,71.43,70.29,70.87,279527
2016-01-06,70.0,70.6,69.79,70.21,297694
2016-01-07,68.86,69.84,68.46,68.48,450506
2016-01-08,68.8,69.0,67.52,67.57,510266
2016-01-11,67.83,68.17,67.51,67.95,690579
2016-01-12,68.35,68.67,67.68,68.27,399161
2016-01-13,68.39,69.34,66.73,66.78,424328
2016-01-14,66.9,68.38,66.9,67.93,400021
2016-01-15,66.49,67.28,66.42,67.04,423749
2016-01-19,67.65,67.93,66.7,67.13,375619
2016-01-20,66.31,66.78,65.13,66.43,508023
2016-01-21,66.51,67.32,66.37,66.63,366102
2016-01-22,67.3,68.27,66.95,68.27,309495
2016-01-25,67.94,68.23,67.13,67.14,344836
2016-01-26,67.36,68.58,67.36,68.29,352652
2016-01-27,68.05,69.33,67.73,67.92,438696
2016-01-28,68.55,68.96,68.12,68.72,234379
2016-01-29,68.98,70.98,68.9,70.98,520983
2016-02-01,70.36,70.96,70.05,70.58,241799
2016-02-02,69.85,70.11,69.45,69.61,322099
2016-02-03,69.6,70.09,67.67,69.1,449183
2016-02-04,68.69,69.15,66.95,67.35,643989
2016-02-05,67.3,67.88,66.47,66.63,418594
2016-02-08,66.08,66.33,65.22,66.1,384135
2016-02-09,65.38,66.85,65.38,66.49,242516
2016-02-10,67.06,67.32,66.15,66.16,206994
2016-02-11,65.11,65.68,64.87,65.14,317302
2016-02-12,65.77,67.13,65.38,66.98,194615
2016-02-16,67.58,67.74,66.74,67.15,263101
2016-02-17,67.63,67.83,66.43,66.56,569279
2016-02-18,66.64,67.06,66.18,66.96,236976
2016-02-19,66.71,67.22,66.47,67.14,209473
2016-02-22,67.61,67.91,67.08,67.16,262682
2016-02-23,66.98,67.33,66.6,66.79,179426
2016-02-24,66.0,66.68,65.92,66.52,271800
2016-02-25,66.71,67.4,66.71,67.37,259278
2016-02-26,67.72,67.97,67.19,67.45,195448
2016-02-29,67.53,67.72,67.01,67.08,263798
2016-03-01,67.52,68.58,67.1,68.51,209305
2016-03-02,68.55,68.6,67.56,68.13,244571
2016-03-03,67.92,68.86,67.62,68.79,253719
2016-03-04,68.79,68.96,68.04,68.9,243796
2016-03-07,68.3,69.0,68.28,68.63,284470
2016-03-08,68.13,68.88,68.0,68.71,233015
2016-03-09,68.89,69.15,68.52,68.67,354307
2016-03-10,68.93,69.39,68.14,68.93,391026
2016-03-11,69.43,70.3,69.11,70.15,234298
2016-03-14,69.94,70.62,69.79,70.43,321297
2016-03-15,69.98,70.81,69.71,70.59,258405
2016-03-16,70.23,71.27,70.23,70.92,218067
2016-03-17,71.01,71.37,70.73,71.24,380053
2016-03-18,71.17,71.5,70.59,70.61,1113200
2016-03-21,70.49,70.88,70.07,70.68,291853
2016-03-22,70.15,71.42,70.02,70.77,315365
2016-03-23,70.76,71.41,70.62,70.98,181246
2016-03-24,70.4,70.52,69.88,70.21,193977
2016-03-28,70.36,71.03,70.36,70.59,259424
2016-03-29,70.6,71.23,70.1,70.87,306934
2016-03-30,71.3,71.66,70.97,71.12,207707
2016-03-31,71.18,71.32,70.25,70.37,279550
2016-04-01,69.9,71.57,69.9,71.48,297849
2016-04-04,71.57,71.57,70.39,70.46,293292
2016-04-05,70.01,70.49,69.37,69.45,258978
2016-04-06,69.13,69.89,67.43,67.73,933103
2016-04-07,67.25,67.72,67.07,67.22,476466
2016-04-08,67.57,67.9,66.78,67.29,587537
2016-04-11,67.37,68.09,67.06,67.3,411014
2016-04-12,67.42,67.9,67.12,67.86,482688
2016-04-13,68.27,68.91,68.1,68.91,392153
2016-04-14,68.89,69.24,68.75,68.88,333230
2016-04-15,68.82,69.26,68.66,69.23,348606
