Date,Open,High,Low,Close,Volume
2016-01-04,306.5,309.98,305.1,307.47,3474030
2016-01-05,307.89,310.83,306.89,308.73,2187588
2016-01-06,304.83,307.41,302.02,303.45,3025638
2016-01-07,299.84,306.06,299.06,303.15,3019830
2016-01-08,304.19,305.94,298.44,299.46,2494616
2016-01-11,300.22,300.5,293.7,299.37,2835498
2016-01-12,301.36,302.37,293.47,296.03,2466180
2016-01-13,297.64,299.53,282.65,287.33,3630796
2016-01-14,286.64,300.57,286.01,299.12,3131615
2016-01-15,290.74,296.11,289.07,295.24,3334342
2016-01-19,297.3,300.78,288.85,291.79,2870780
2016-01-20,286.39,298.77,283.01,292.94,3012753
2016-01-21,294.57,301.41,292.03,295.79,2397659
2016-01-22,300.95,301.98,295.32,298.04,2068845
2016-01-25,297.87,298.97,293.02,295.95,2151981
2016-01-26,296.19,297.37,292.66,294.6,1861268
2016-01-27,293.75,295.98,288.29,290.02,2015324
2016-01-28,291.1,291.74,278.35,281.76,3789716
2016-01-29,286.36,286.95,278.91,284.43,3643017
2016-02-01,283.4,284.51,277.87,282.7,2222107
2016-02-02,278.09,284.96,278.05,279.68,2002764
2016-02-03,282.0,282.9,274.53,278.39,2309701
2016-02-04,275.81,276.93,267.45,272.45,3772952
2016-02-05,270.83,277.68,270.52,273.8,2377467
2016-02-08,270.6,272.66,261.6,266.3,3264866
2016-02-09,263.08,274.96,262.48,272.34,2832417
2016-02-10,274.05,282.32,274.05,279.77,2991758
2016-02-11,272.56,277.45,271.83,274.55,2287917
2016-02-12,277.3,280.48,272.23,280.48,2722606
2016-02-16,283.42,285.0,279.25,284.45,2052880
2016-02-17,287.0,288.58,282.79,283.2,2712653
2016-02-18,280.58,285.29,276.71,277.98,2496176
2016-02-19,278.7,279.75,273.22,275.75,3448595
2016-02-22,279.56,286.69,279.56,285.82,2835243
2016-02-23,285.99,288.84,283.71,286.78,2346305
2016-02-24,285.48,286.57,281.89,284.7,2382172
2016-02-25,285.42,297.18,285.03,296.34,3861269
2016-02-26,298.99,301.32,296.14,298.07,3400466
2016-02-29,296.25,297.8,290.05,290.11,2417868
2016-03-01,293.17,295.91,290.31,295.91,2202681
2016-03-02,295.34,296.52,290.28,292.48,2235086
2016-03-03,291.0,293.21,286.11,289.62,2327574
2016-03-04,289.14,289.33,285.53,288.67,2570390
2016-03-07,285.89,288.89,283.01,288.39,2615173
2016-03-08,287.98,288.53,284.4,284.43,1656897
2016-03-09,287.86,290.0,286.25,289.98,2404725
2016-03-10,292.49,293.75,287.54,289.25,2130124
2016-03-11,290.53,299.11,290.22,298.98,2355288
2016-03-14,296.54,297.57,291.6,293.02,2433301
2016-03-15,289.53,290.48,281.27,283.0,4383883
2016-03-16,282.27,282.49,269.77,272.76,7809537
2016-03-17,273.35,276.08,265.6,272.7,5379768
2016-03-18,274.02,274.73,267.28,269.43,6290254
2016-03-21,268.8,275.71,268.58,274.33,2562457
2016-03-22,273.61,282.44,271.79,277.22,3306114
2016-03-23,276.06,282.59,276.01,281.31,3090018
2016-03-24,278.13,281.28,278.05,279.32,2238891
2016-03-28,279.44,279.98,275.55,276.01,2721679
2016-03-29,275.51,276.25,272.37,273.52,3245373
2016-03-30,274.53,276.83,272.56,274.94,3209979
2016-03-31,276.45,276.45,267.48,268.03,3756757
2016-04-01,266.53,270.76,262.18,268.09,7548231
2016-04-04,268.86,277.96,268.5,277.55,3442514
2016-04-05,230.1,238.94,226.43,236.55,36472827
2016-04-06,236.39,247.23,236.0,244.74,20961261
2016-04-07,246.17,246.74,237.22,241.0,9945101
2016-04-08,244.88,245.0,235.07,236.0,7150606
2016-04-11,237.0,237.5,225.6,228.37,9369535
2016-04-12,226.89,228.97,220.75,222.57,9743582
2016-04-13,222.52,223.05,212.67,220.4,12582708
2016-04-14,220.92,221.76,215.15,216.39,6987131
2016-04-15,217.56,220.65,215.87,217.16,5178089
2016-04-18,215.3,220.9,213.9,219.91,4362760
2016-04-19,221.3,225.95,220.1,225.67,4257531
2016-04-20,226.73,229.49,225.35,227.94,4116462
2016-04-21,228.29,229.75,225.61,227.49,3648625
2016-04-22,228.11,229.72,226.72,229.14,2460536
2016-04-25,228.12,228.45,223.85,224.85,3381202
2016-04-26,225.08,226.0,218.28,219.94,3947300
2016-04-27,219.93,221.68,217.0,220.07,2704283
2016-04-28,220.9,222.23,218.42,218.85,2344930
2016-04-29,219.01,219.4,214.06,216.56,3767404
2016-05-02,216.69,220.35,216.02,218.11,3112785
2016-05-03,217.59,217.71,214.0,214.82,3587322
2016-05-04,214.16,215.12,211.35,214.62,3723182
2016-05-05,214.62,214.9,209.77,210.34,3097989
2016-05-06,208.98,209.08,195.5,201.65,12803987
2016-05-09,208.23,217.0,206.15,213.71,6433696
2016-05-10,223.5,228.72,219.4,225.0,10612737
2016-05-11,224.73,231.24,222.49,222.71,6744047
2016-05-12,223.99,226.25,214.71,216.02,5082869
2016-05-13,221.04,224.28,220.0,223.35,4768169
2016-05-16,224.1,228.53,220.1,225.02,3131954
2016-05-17,225.0,228.45,223.45,227.58,2979412
2016-05-18,227.19,230.28,226.7,229.25,2795489
2016-05-19,228.5,230.13,225.02,226.89,2904061
2016-05-20,228.13,230.36,226.64,229.49,2264954
2016-05-23,229.5,229.95,223.22,225.51,3040217
2016-05-24,227.66,229.7,226.9,228.89,2598635
2016-05-25,230.13,231.2,227.0,227.85,2477981
2016-05-26,226.65,233.5,226.06,232.36,2324439
2016-05-27,232.99,236.48,232.26,235.94,3053677
2016-05-31,241.99,242.35,234.9,235.75,7801104
2016-06-01,235.98,243.9,235.25,242.4,5351135
2016-06-02,243.5,247.39,241.3,247.12,5234694
2016-06-03,245.92,248.75,242.2,246.96,3967262
2016-06-06,247.0,247.93,244.08,247.21,3042874
2016-06-07,244.88,250.55,243.06,249.52,3526465
2016-06-08,249.66,251.23,248.71,249.95,2516532
2016-06-09,249.68,251.0,245.38,247.4,3503500
2016-06-10,245.15,245.85,240.43,240.93,3570519
2016-06-13,240.05,245.72,240.0,243.55,2883757
2016-06-14,241.65,244.97,240.1,244.1,2581491
