Date,Open,High,Low,Close,Volume
2016-01-04,35.85,35.95,34.63,35.34,139854
2016-01-05,35.96,35.97,34.36,34.56,116289
2016-01-06,33.93,34.24,33.8,34.06,188194
2016-01-07,33.39,34.51,32.95,34.27,151581
2016-01-08,34.42,34.65,33.1,33.27,133858
2016-01-11,33.19,33.66,32.54,33.51,87525
2016-01-12,33.98,34.8,33.01,33.8,97108
2016-01-13,33.93,34.11,32.56,32.81,94017
2016-01-14,33.0,33.84,32.69,33.08,95465
2016-01-15,32.06,32.74,31.33,32.13,149652
2016-01-19,32.43,32.63,31.18,31.48,143050
2016-01-20,31.05,32.47,30.53,32.23,174857
2016-01-21,32.3,32.8,31.71,31.98,90021
2016-01-22,32.61,33.28,32.41,32.86,92567
2016-01-25,32.64,32.92,31.81,31.95,123189
2016-01-26,32.25,32.77,32.02,32.45,155284
2016-01-27,32.13,32.55,31.62,31.76,247400
2016-01-28,32.18,32.58,31.71,32.37,92032
2016-01-29,32.65,33.97,32.5,33.92,207526
2016-02-01,33.34,34.08,33.15,33.35,131085
2016-02-02,33.04,33.18,31.77,31.9,116056
2016-02-03,32.37,32.47,31.17,31.43,391896
2016-02-04,31.13,32.35,31.13,32.06,213675
2016-02-05,31.94,32.21,31.25,31.86,206669
2016-02-08,31.53,32.23,31.14,31.91,130651
2016-02-09,33.37,36.39,32.6,35.6,374165
2016-02-10,35.75,36.08,34.98,35.13,181268
2016-02-11,34.74,35.79,34.27,34.78,208839
2016-02-12,35.16,35.95,34.78,34.84,264080
2016-02-16,35.22,36.01,35.08,35.56,153575
2016-02-17,35.77,36.0,35.3,35.82,215428
2016-02-18,35.82,36.53,35.56,36.36,134441
2016-02-19,36.31,36.56,35.85,36.41,124899
2016-02-22,36.72,37.43,36.46,37.13,99856
2016-02-23,36.85,37.0,35.89,36.11,118347
2016-02-24,35.78,36.64,35.39,36.53,90744
2016-02-25,36.73,36.9,36.04,36.21,60286
2016-02-26,36.42,36.79,35.92,36.47,99699
2016-02-29,36.54,37.37,35.63,36.62,141071
2016-03-01,37.01,37.64,36.73,37.42,126174
2016-03-02,37.25,38.02,37.0,37.77,111435
2016-03-03,37.6,38.45,37.3,38.18,124283
2016-03-04,38.06,38.52,37.53,37.85,124771
2016-03-07,37.73,38.16,37.54,37.92,129844
2016-03-08,37.53,38.01,37.16,37.38,84086
2016-03-09,37.4,37.82,37.15,37.37,75093
2016-03-10,37.62,37.75,36.81,37.58,79802
2016-03-11,37.87,38.29,37.56,38.21,67845
2016-03-14,38.08,38.25,37.29,37.47,79080
2016-03-15,37.17,37.31,36.71,36.93,85015
2016-03-16,36.81,37.38,36.32,37.11,66581
2016-03-17,37.03,38.16,36.76,37.9,102415
2016-03-18,38.15,38.52,37.48,38.04,152102
2016-03-21,37.89,38.2,36.03,36.74,157847
2016-03-22,36.62,37.61,36.32,37.28,84324
2016-03-23,37.08,37.23,36.59,36.78,112648
2016-03-24,36.65,37.46,36.3,37.45,115645
2016-03-28,37.48,37.73,36.53,37.0,150142
2016-03-29,36.85,37.74,36.64,37.63,122341
2016-03-30,37.86,38.02,37.19,37.72,72172
2016-03-31,37.44,37.74,37.27,37.59,85421
2016-04-01,37.25,38.38,37.0,38.36,114223
2016-04-04,38.34,38.34,37.3,37.41,88312
2016-04-05,37.2,37.67,36.76,37.27,101238
2016-04-06,37.23,37.84,37.2,37.78,96207
