Date,Open,High,Low,Close,Volume
2016-01-04,16.0,16.0,16.0,16.0,100
2016-01-05,16.0,16.01,15.92,16.0,1179
2016-01-06,15.9,15.9,15.9,15.9,246
2016-01-07,15.58,15.58,15.28,15.28,660
2016-01-08,14.97,15.02,14.94,14.94,917
2016-01-11,14.65,14.98,14.65,14.8,720
2016-01-12,14.76,14.79,14.76,14.79,801
2016-01-13,14.76,14.93,14.57,14.85,7255
2016-01-14,14.6,14.9,14.6,14.9,732
2016-01-15,,,,14.9,0
2016-01-19,,,,14.9,0
2016-01-20,14.7,14.7,14.2,14.25,1075
2016-01-21,14.54,14.81,14.24,14.24,6301
2016-01-22,14.52,15.03,14.52,14.52,402
2016-01-25,14.8,14.81,14.53,14.56,716
2016-01-26,14.54,14.54,14.41,14.41,1807
2016-01-27,14.41,14.44,14.37,14.4,2957
2016-01-28,14.69,14.98,14.66,14.76,2567
2016-01-29,14.7,14.81,14.23,14.49,24065
2016-02-01,14.5,15.04,14.5,14.75,1538
2016-02-02,14.99,14.99,14.99,14.99,106
2016-02-03,14.7,14.7,14.65,14.66,2360
2016-02-04,15.01,15.01,14.52,14.9,416
2016-02-05,14.8,15.22,14.53,14.57,1363
2016-02-08,14.83,15.0,14.38,14.38,560
2016-02-09,14.22,14.42,14.22,14.42,684
2016-02-10,14.7,14.71,14.7,14.71,735
2016-02-11,14.58,14.89,14.17,14.89,1404
2016-02-12,14.92,14.92,14.61,14.61,493
2016-02-16,14.89,14.89,14.89,14.89,165
2016-02-17,14.81,15.05,14.81,15.0,13441
2016-02-18,14.89,14.95,14.86,14.89,192674
2016-02-19,14.92,15.02,14.91,14.91,2500
2016-02-22,14.92,15.0,14.83,14.92,7603
2016-02-23,14.93,15.0,14.93,15.0,27201
2016-02-24,14.95,15.34,14.91,14.93,6424
2016-02-25,15.0,15.33,15.0,15.33,2897
2016-02-26,15.48,15.48,15.12,15.12,467
2016-02-29,15.45,15.45,15.3,15.3,201
2016-03-01,15.62,15.9,15.6,15.7,1140
2016-03-02,15.42,15.6,15.42,15.42,1400
2016-03-03,15.42,15.55,15.34,15.55,2247
2016-03-04,15.86,15.98,15.85,15.98,759
2016-03-07,15.98,16.26,15.95,16.0,746
2016-03-08,16.0,16.03,16.0,16.03,980
2016-03-09,16.0,16.5,15.98,16.0,600
2016-03-10,15.99,16.09,15.99,16.09,1014
2016-03-11,16.0,16.1,16.0,16.0,400
2016-03-14,15.99,17.49,15.72,15.72,9372
2016-03-15,15.88,15.88,15.88,15.88,200
2016-03-16,15.62,15.69,15.48,15.66,2254
2016-03-17,,,,15.66,0
2016-03-18,15.97,16.88,15.9,16.88,10538
2016-03-21,16.55,16.87,16.25,16.8,1707
2016-03-22,16.24,16.24,16.0,16.0,761
2016-03-23,16.04,16.05,15.96,15.96,3216
2016-03-24,16.0,16.37,16.0,16.37,200
2016-03-28,16.0,16.31,16.0,16.31,497
2016-03-29,16.1,16.1,16.1,16.1,100
2016-03-30,16.4,16.86,16.26,16.27,8176
2016-03-31,16.79,16.96,16.58,16.96,2614
2016-04-01,17.0,17.0,16.85,16.96,2417
2016-04-04,17.05,17.2,17.01,17.05,612
2016-04-05,16.94,17.05,16.94,17.0,478
2016-04-06,17.0,17.85,16.9,17.79,125233
2016-04-07,17.45,17.5,17.3,17.48,881
2016-04-08,,,,17.48,0
2016-04-11,17.02,17.27,16.69,17.03,7924
2016-04-12,17.09,17.58,17.08,17.54,13800
2016-04-13,17.77,17.77,17.4,17.5,1742
2016-04-14,17.38,17.83,17.26,17.83,2000
2016-04-15,17.53,17.86,17.49,17.68,9783
2016-04-18,17.98,18.0,17.7,17.72,12779
2016-04-19,17.89,18.4,17.89,18.2,12146
2016-04-20,18.45,18.5,18.3,18.4,845
2016-04-21,18.4,18.55,18.39,18.4,92472
2016-04-22,18.4,18.62,18.16,18.29,11311
2016-04-25,18.4,18.4,17.86,18.39,5686
2016-04-26,18.39,18.54,18.37,18.54,17341
2016-04-27,18.4,18.67,18.4,18.6,6440
2016-04-28,18.62,18.62,18.55,18.55,503
2016-04-29,18.8,18.91,18.8,18.91,1473
2016-05-02,18.74,18.85,18.1,18.85,6948
2016-05-03,18.85,18.87,18.85,18.87,201
2016-05-04,,,,18.87,0
2016-05-05,18.76,18.76,18.76,18.76,300
2016-05-06,18.85,18.96,18.84,18.84,1003
2016-05-09,18.71,18.78,18.42,18.69,1521
2016-05-10,18.93,19.29,18.42,18.69,7155
2016-05-11,18.9,18.9,18.9,18.9,1189
2016-05-12,18.89,18.89,18.48,18.48,1509
2016-05-13,18.47,18.47,18.04,18.39,3357
2016-05-16,18.06,18.18,17.94,18.18,1167
2016-05-17,18.4,18.4,18.35,18.4,501
2016-05-18,18.41,19.27,17.9,17.9,2793
2016-05-19,17.65,17.73,17.3,17.3,4544
2016-05-20,17.7,17.7,17.7,17.7,362
2016-05-23,,,,17.7,0
2016-05-24,17.66,17.8,17.65,17.74,5674
2016-05-25,17.74,17.74,17.74,17.74,131
2016-05-26,17.83,17.83,17.83,17.83,1425
2016-05-27,,,,17.83,0
2016-05-31,,,,17.83,0
2016-06-01,17.6,17.71,17.6,17.71,2560
2016-06-02,,,,17.71,0
2016-06-03,,,,17.71,0
2016-06-06,18.07,18.09,18.07,18.09,1904
2016-06-07,18.43,18.79,18.18,18.18,813
2016-06-08,18.64,18.64,18.64,18.64,264
2016-06-09,18.6,18.6,18.6,18.6,184
2016-06-10,18.38,18.67,18.38,18.67,664
2016-06-13,18.59,18.59,18.44,18.5,567
2016-06-14,18.56,18.56,18.31,18.44,879
2016-06-15,18.55,18.55,18.5,18.5,1000
2016-06-16,18.63,18.63,18.6,18.6,201
2016-06-17,18.5,18.5,18.5,18.5,903
2016-06-20,18.83,18.83,18.6,18.6,1228
2016-06-21,18.64,19.05,18.64,19.05,3713
2016-06-22,19.39,19.39,19.39,19.39,200
2016-06-23,19.24,19.55,19.24,19.55,553
2016-06-24,19.18,19.35,18.64,18.64,3791
2016-06-27,18.41,18.41,18.27,18.27,767
2016-06-28,18.32,18.35,18.32,18.32,1487
2016-06-29,18.65,19.22,18.65,18.93,5693
2016-06-30,19.0,19.23,19.0,19.23,801
2016-07-01,,,,19.23,0
2016-07-05,,,,19.23,0
2016-07-06,,,,19.23,0
2016-07-07,19.31,19.32,19.31,19.32,238
2016-07-08,19.56,20.05,19.56,20.05,13476
2016-07-11,,,,20.05,0
2016-07-12,20.2,20.2,19.61,19.73,7444
2016-07-13,19.84,20.01,19.4,19.6,14253
2016-07-14,19.91,19.99,19.66,19.99,25187
2016-07-15,19.99,20.01,19.76,20.0,9325
2016-07-18,,,,20.0,0
2016-07-19,20.03,20.1,20.02,20.1,1404
2016-07-20,20.21,20.31,20.21,20.31,417
2016-07-21,20.49,20.49,20.49,20.49,201
2016-07-22,20.4,21.11,20.4,21.11,1100
2016-07-25,21.0,21.0,20.32,20.32,5898
2016-07-26,20.45,20.45,20.2,20.2,1002
2016-07-27,20.21,20.21,20.21,20.21,105
2016-07-28,20.45,20.45,20.45,20.45,201
2016-07-29,20.85,20.85,20.85,20.85,202
2016-08-01,20.58,20.71,20.4,20.71,2730
2016-08-02,20.6,20.93,20.52,20.93,5165
2016-08-03,20.65,20.77,20.62,20.77,2316
2016-08-04,20.6,20.74,20.59,20.73,4116
2016-08-05,20.66,20.73,20.66,20.73,1139
2016-08-08,,,,20.73,0
2016-08-09,20.59,20.6,20.59,20.6,468
2016-08-10,20.25,20.59,20.25,20.35,2226
2016-08-11,20.6,21.0,20.51,21.0,7216
2016-08-12,20.7,20.85,20.46,20.47,7544
2016-08-15,20.73,20.76,20.73,20.76,1220
2016-08-16,20.99,20.99,20.87,20.89,1327
2016-08-17,20.77,20.96,20.77,20.96,501
2016-08-18,20.61,20.79,20.59,20.79,600
2016-08-19,20.51,20.51,20.51,20.51,514
2016-08-22,20.13,20.86,20.13,20.86,16891
2016-08-23,20.67,20.67,20.67,20.67,215
2016-08-24,20.56,20.83,20.54,20.83,5317
