Date,Open,High,Low,Close,Volume
2016-01-04,32.88,32.92,32.07,32.83,979268
2016-01-05,32.85,33.05,32.46,32.85,821564
2016-01-06,31.99,32.48,31.68,31.98,1078703
2016-01-07,31.31,31.33,29.67,29.91,1655545
2016-01-08,30.14,30.4,28.43,28.5,2321040
2016-01-11,28.55,28.89,27.85,28.16,1663818
2016-01-12,28.38,28.76,27.52,27.8,1740177
2016-01-13,27.97,28.22,26.07,26.6,1932548
2016-01-14,26.6,27.61,25.7,27.11,2684190
2016-01-15,26.17,26.66,25.86,26.05,2321049
2016-01-19,26.52,26.56,24.56,24.9,2074109
2016-01-20,24.46,24.72,22.91,24.32,2118902
2016-01-21,24.38,25.06,23.91,24.54,1624295
2016-01-22,25.16,25.76,24.96,25.53,1233454
2016-01-25,25.42,25.42,24.48,24.64,1813780
2016-01-26,24.89,26.32,24.84,26.04,1662107
2016-01-27,25.93,25.97,24.53,24.65,2349999
2016-01-28,24.72,25.08,24.07,24.36,1535634
2016-01-29,24.52,25.76,24.52,25.76,1639432
2016-02-01,25.42,26.32,25.22,26.07,1270936
2016-02-02,25.6,25.6,24.42,24.5,1435383
2016-02-03,24.79,24.79,23.75,24.46,1619137
2016-02-04,24.5,25.67,24.46,25.21,1554450
2016-02-05,25.21,25.39,24.62,24.69,689663
2016-02-08,24.44,24.57,22.91,23.38,1352505
2016-02-09,22.95,23.58,22.69,23.23,1057506
2016-02-10,23.48,24.39,23.32,23.56,1219912
2016-02-11,22.76,23.49,22.47,22.73,1436831
2016-02-12,23.08,24.41,22.95,24.3,1806235
2016-02-16,24.82,25.5,24.25,25.29,1795122
2016-02-17,25.63,27.45,25.6,26.96,1931318
2016-02-18,27.24,28.07,27.01,27.84,1423927
2016-02-19,27.56,27.72,26.63,26.76,1318876
2016-02-22,27.24,28.56,27.0,28.42,1188561
2016-02-23,28.08,28.83,27.66,28.55,1528272
2016-02-24,28.06,28.66,26.88,28.5,1515533
2016-02-25,28.4,29.57,28.31,29.56,1681094
2016-02-26,29.0,30.54,28.84,29.21,2455289
2016-02-29,29.22,30.46,29.1,30.05,1366244
2016-03-01,30.35,30.48,29.6,30.37,1620178
2016-03-02,30.29,30.91,29.93,30.9,866457
2016-03-03,30.91,31.58,30.82,31.5,1111352
2016-03-04,31.66,31.81,30.93,31.46,1204464
2016-03-07,31.25,31.44,30.98,31.29,1430692
2016-03-08,30.85,30.99,30.08,30.34,1114048
2016-03-09,30.58,31.23,30.37,31.19,1049935
2016-03-10,31.34,31.41,30.13,30.73,964038
2016-03-11,31.06,31.6,30.91,31.41,647216
2016-03-14,31.14,31.63,31.05,31.52,625477
2016-03-15,31.28,31.33,30.57,30.81,684149
2016-03-16,30.67,31.81,30.56,31.67,924186
2016-03-17,31.59,32.67,31.53,32.39,806791
2016-03-18,32.57,33.1,32.25,32.78,935921
2016-03-21,32.62,33.02,32.4,32.78,512477
2016-03-22,32.42,32.56,31.74,32.2,1083493
2016-03-23,32.1,32.1,31.22,31.31,872493
2016-03-24,30.99,31.46,30.44,31.31,889320
2016-03-28,31.41,31.5,30.25,30.86,1025121
2016-03-29,30.63,31.32,29.81,31.3,1435510
2016-03-30,31.63,32.32,31.36,32.04,1206492
2016-03-31,31.97,32.25,31.74,32.12,656429
