Date,Open,High,Low,Close,Volume
2016-01-04,51.27,51.27,49.44,50.96,58462
2016-01-05,51.25,52.35,50.1,52.13,26215
2016-01-06,51.7,52.18,50.21,51.12,35392
2016-01-07,50.05,50.76,50.0,50.1,45591
2016-01-08,50.19,50.39,49.26,49.81,68073
2016-01-11,50.0,50.7,49.49,50.22,41826
2016-01-12,50.5,50.5,49.45,50.34,36899
2016-01-13,50.3,50.52,49.7,50.0,59942
2016-01-14,50.16,50.88,49.8,50.17,39963
2016-01-15,48.66,50.55,48.65,50.26,46578
2016-01-19,50.47,51.06,48.97,49.82,63287
2016-01-20,48.98,51.1,48.26,50.5,76752
2016-01-21,50.48,51.01,49.98,50.34,57138
2016-01-22,50.83,51.54,50.2,50.5,48800
2016-01-25,50.22,50.6,49.1,49.33,39112
2016-01-26,49.77,52.57,49.19,52.11,60477
2016-01-27,52.06,52.86,51.19,51.71,53548
2016-01-28,52.08,53.07,51.59,52.03,29972
2016-01-29,52.44,53.03,51.71,53.03,62416
2016-02-01,52.36,53.0,51.98,52.57,23906
2016-02-02,51.89,52.06,51.02,51.17,14305
2016-02-03,51.35,51.35,50.16,50.38,30853
2016-02-04,50.14,51.64,50.01,50.87,38338
2016-02-05,50.85,51.49,50.12,50.66,52508
2016-02-08,50.03,51.5,49.52,51.34,48575
2016-02-09,50.8,53.46,50.7,52.27,66007
2016-02-10,52.48,53.35,52.25,52.62,73697
2016-02-11,51.88,52.5,49.62,49.98,50170
2016-02-12,50.4,51.85,50.13,50.4,56640
2016-02-16,51.16,52.31,50.73,51.64,43405
2016-02-17,51.88,53.57,51.88,52.28,36516
2016-02-18,52.34,53.09,51.83,52.64,27366
2016-02-19,52.55,53.26,51.9,52.72,37552
2016-02-22,52.99,53.28,51.76,51.87,62162
2016-02-23,51.77,53.16,51.71,52.16,29586
2016-02-24,51.71,52.8,50.96,52.17,23371
2016-02-25,52.0,52.26,50.64,51.85,57139
2016-02-26,52.2,52.93,51.86,52.24,61858
2016-02-29,52.37,52.5,51.45,51.89,36232
2016-03-01,52.16,52.26,51.45,51.99,46310
2016-03-02,51.99,52.5,51.43,52.0,58507
2016-03-03,52.19,53.69,52.19,53.4,102372
2016-03-04,52.87,61.82,52.04,58.5,141274
2016-03-07,58.5,59.19,58.0,58.64,90096
2016-03-08,58.17,58.7,57.8,58.2,44724
2016-03-09,57.17,58.38,57.05,57.75,46370
2016-03-10,58.15,58.15,55.93,56.9,67411
2016-03-11,57.12,57.98,56.44,57.81,51966
2016-03-14,58.02,58.02,56.59,56.88,47477
2016-03-15,56.29,56.5,55.74,56.05,37438
2016-03-16,55.97,56.92,55.9,56.78,18483
2016-03-17,56.95,57.84,56.59,57.45,44991
2016-03-18,57.86,57.86,57.03,57.25,68330
2016-03-21,57.16,57.55,56.37,57.19,79531
2016-03-22,56.83,57.21,56.62,56.92,40668
2016-03-23,56.75,56.75,55.28,55.36,48961
2016-03-24,54.63,56.15,54.54,55.67,32249
2016-03-28,55.94,56.44,55.4,56.28,29986
2016-03-29,55.96,57.49,55.86,57.35,68676
2016-03-30,57.7,57.91,56.71,56.8,29146
2016-03-31,56.65,56.65,55.44,55.71,90880
2016-04-01,55.13,56.79,54.73,56.74,61055
2016-04-04,56.39,56.39,54.86,54.95,27873
2016-04-05,54.41,56.08,54.26,55.92,44789
2016-04-06,55.64,55.64,54.41,55.04,35139
2016-04-07,54.47,55.26,54.02,54.34,32518
2016-04-08,54.85,55.14,54.26,54.74,16600
2016-04-11,54.87,55.52,54.42,54.43,30317
2016-04-12,54.29,55.82,54.29,54.8,51943
2016-04-13,55.0,56.23,54.93,56.22,68139
2016-04-14,56.12,56.77,55.53,56.74,45970
2016-04-15,56.74,57.27,56.6,56.94,21465
2016-04-18,56.94,57.31,56.58,57.02,13078
2016-04-19,57.02,57.69,56.35,57.15,33679
2016-04-20,57.05,57.46,56.63,56.67,32232
2016-04-21,56.65,57.28,56.44,57.01,18900
2016-04-22,57.14,57.73,56.71,56.96,30546
2016-04-25,56.65,56.94,56.15,56.83,15743
2016-04-26,57.16,57.67,56.47,57.01,31541
2016-04-27,56.83,57.83,56.83,57.38,32440
2016-04-28,57.18,57.18,56.44,56.59,120146
2016-04-29,56.27,56.59,55.84,56.44,19810
2016-05-02,56.71,56.72,55.47,56.72,27471
2016-05-03,56.07,56.72,54.73,54.86,31340
2016-05-04,54.51,54.78,53.38,54.48,47347
2016-05-05,56.51,56.67,54.82,55.23,43638
2016-05-06,55.17,56.17,54.63,55.69,30379
2016-05-09,55.64,55.64,54.85,54.87,29075
2016-05-10,55.27,56.44,55.27,56.32,15797
2016-05-11,55.95,56.06,55.12,55.37,15598
2016-05-12,55.37,55.37,54.7,54.94,20255
2016-05-13,55.06,55.06,53.02,53.7,32674
2016-05-16,53.97,55.56,53.97,55.13,34570
2016-05-17,55.13,55.13,52.82,53.26,27730
2016-05-18,53.02,54.3,53.02,53.76,41342
2016-05-19,58.0,60.93,56.45,57.16,704382
2016-05-20,57.46,57.53,56.57,57.46,1260008
2016-05-23,57.36,58.2,56.81,57.69,140661
2016-05-24,58.69,60.79,58.23,60.43,180491
2016-05-25,60.91,61.63,60.18,60.83,85239
2016-05-26,61.63,61.63,59.93,60.4,57673
2016-05-27,60.4,61.69,59.93,61.02,66938
2016-05-31,61.09,61.65,60.98,61.64,124096
2016-06-01,61.23,61.73,60.14,61.49,100146
2016-06-02,61.49,61.7,60.94,61.62,59225
2016-06-03,61.47,62.93,61.2,61.94,59825
2016-06-06,61.83,62.29,61.62,61.95,54404
2016-06-07,61.85,62.71,61.23,62.37,64653
2016-06-08,62.43,63.02,62.13,62.57,42086
2016-06-09,62.13,62.89,61.26,62.84,61538
2016-06-10,62.32,62.88,61.92,62.52,74222
2016-06-13,62.53,62.76,61.18,61.77,81006
2016-06-14,61.71,62.78,61.42,62.5,99388
2016-06-15,62.81,62.81,61.31,62.34,85304
2016-06-16,61.68,63.52,61.33,63.43,80060
2016-06-17,63.72,64.97,63.45,64.49,165189
2016-06-20,65.24,65.31,64.26,64.88,73376
2016-06-21,64.88,64.88,63.6,63.94,73531
2016-06-22,63.78,63.98,63.19,63.36,56523
2016-06-23,63.98,64.36,63.1,64.08,78705
2016-06-24,61.8,62.33,60.14,60.37,207495
2016-06-27,59.61,59.67,58.22,59.12,77552
2016-06-28,59.96,60.76,58.75,59.63,84873
2016-06-29,60.77,63.79,60.77,63.66,216613
2016-06-30,64.58,66.01,63.57,65.97,219183
2016-07-01,65.84,66.37,63.79,64.18,68522
2016-07-05,63.9,64.1,62.7,63.38,50971
2016-07-06,63.22,63.87,62.67,62.99,85219
2016-07-07,63.24,64.76,63.11,64.23,82393
2016-07-08,64.9,66.49,64.9,65.13,66006
2016-07-11,65.17,65.5,64.76,64.99,35317
2016-07-12,65.51,66.09,64.79,65.61,59718
2016-07-13,65.92,65.96,65.07,65.41,41846
2016-07-14,65.8,66.0,64.97,65.57,54900
2016-07-15,66.09,66.25,65.34,66.03,69240
2016-07-18,66.1,66.53,65.92,66.15,40717
2016-07-19,66.19,67.71,66.11,66.79,138919
2016-07-20,67.04,67.48,66.49,66.82,46983
2016-07-21,66.85,67.15,66.24,66.74,54529
2016-07-22,66.64,67.24,66.35,66.7,41721
2016-07-25,66.43,66.98,66.3,66.49,56701
2016-07-26,66.75,68.04,66.51,67.43,50478
2016-07-27,67.58,67.99,67.08,67.59,61673
2016-07-28,67.38,67.65,66.55,66.94,40714
2016-07-29,66.6,67.84,66.22,67.13,60812
2016-08-01,66.21,67.04,66.06,66.65,52834
2016-08-02,66.57,66.75,65.68,66.02,107378
2016-08-03,66.0,66.1,65.1,65.49,81264
2016-08-04,65.66,66.26,65.08,65.49,45238
2016-08-05,65.73,67.41,62.25,63.26,105676
2016-08-08,63.02,63.98,62.84,63.64,70626
2016-08-09,63.53,64.63,63.0,64.56,82588
2016-08-10,64.73,65.28,63.46,64.86,86147
2016-08-11,65.06,65.07,64.03,64.9,45701
2016-08-12,64.86,64.98,64.37,64.74,34525
2016-08-15,64.74,65.38,64.32,64.73,32424
2016-08-16,64.74,64.95,64.3,64.85,35500
2016-08-17,64.79,65.31,64.4,64.86,46630
2016-08-18,65.06,65.07,64.05,64.88,39950
2016-08-19,64.69,66.13,64.22,65.73,48572
2016-08-22,65.53,66.0,65.14,65.7,22045
2016-08-23,65.2,66.9,65.2,66.77,34040
2016-08-24,66.67,67.06,66.07,66.52,27558
2016-08-25,66.2,66.4,64.9,65.48,44972
2016-08-26,65.49,66.24,64.72,65.42,37204
2016-08-29,65.31,65.34,64.73,64.78,24950
2016-08-30,64.87,65.54,64.63,64.87,34450
2016-08-31,64.52,65.36,64.1,64.82,36920
2016-09-01,64.62,64.67,63.8,64.42,26311
2016-09-02,64.23,65.26,64.23,65.16,26745
2016-09-06,64.98,65.39,64.21,65.18,30628
2016-09-07,65.17,65.85,64.96,65.78,34753
2016-09-08,65.55,65.66,64.7,65.36,25179
2016-09-09,64.59,65.86,63.02,63.13,40052
2016-09-12,62.95,63.99,61.73,63.78,36220
2016-09-13,63.21,63.37,62.01,62.16,27953
2016-09-14,62.27,62.87,61.49,62.65,43830
2016-09-15,62.82,64.02,62.2,63.89,25917
2016-09-16,64.0,64.38,63.44,64.2,91490
2016-09-19,64.2,64.72,63.55,64.53,31111
2016-09-20,64.87,64.87,64.08,64.22,17497
2016-09-21,64.64,64.97,63.89,64.44,34808
2016-09-22,64.99,65.38,64.46,64.91,53626
2016-09-23,64.69,64.82,64.08,64.62,34651
2016-09-26,64.2,64.89,63.7,63.75,28484
2016-09-27,63.87,64.63,63.43,64.21,37999
2016-09-28,65.48,65.51,64.54,65.32,43134
2016-09-29,65.16,66.33,64.49,64.57,17862
2016-09-30,64.37,66.34,64.37,65.89,44317
2016-10-03,65.62,66.78,65.62,66.01,30530
2016-10-04,65.96,66.48,64.85,65.42,38702
2016-10-05,65.62,66.6,65.62,66.11,231672
2016-10-06,66.1,66.87,65.3,66.57,127787
2016-10-07,66.46,66.7,65.97,66.08,54156
2016-10-10,66.33,66.37,65.62,66.02,25718
2016-10-11,65.89,66.48,64.76,65.1,41266
2016-10-12,64.79,65.53,64.72,65.24,71342
2016-10-13,64.92,65.34,63.55,64.79,36317
2016-10-14,65.32,65.7,64.65,65.06,23261
2016-10-17,64.97,65.84,64.97,65.15,38249
2016-10-18,65.67,65.67,64.8,65.41,28495
2016-10-19,65.25,65.79,64.31,65.25,30629
2016-10-20,65.1,65.55,64.9,65.06,37841
2016-10-21,64.5,65.27,64.18,65.06,20866
2016-10-24,65.6,66.3,65.12,65.41,29433
2016-10-25,65.21,65.75,64.21,64.47,45312
2016-10-26,64.35,65.32,64.34,64.66,51846
2016-10-27,65.01,65.01,63.6,64.11,32009
2016-10-28,64.15,64.81,63.79,64.11,29890
