Date,Open,High,Low,Close,Volume
2016-01-04,5.04,5.07,4.52,5.0,82480
2016-01-05,5.0,5.15,4.88,4.99,237552
2016-01-06,4.93,5.01,4.69,4.74,297962
2016-01-07,4.7,4.75,4.5,4.5,137716
2016-01-08,4.68,4.71,4.3,4.33,91330
2016-01-11,4.42,4.42,4.18,4.26,162358
2016-01-12,4.29,4.42,4.1,4.22,128506
2016-01-13,4.22,4.34,4.14,4.2,123206
2016-01-14,4.24,4.3,4.1,4.13,164144
2016-01-15,4.01,4.21,3.87,4.14,155080
2016-01-19,4.13,4.14,3.8,4.06,113122
2016-01-20,3.99,4.08,3.76,3.97,381962
2016-01-21,4.04,4.24,3.9,3.95,196798
2016-01-22,3.99,4.19,3.96,4.13,153504
2016-01-25,4.04,4.39,4.04,4.2,626970
2016-01-26,4.2,4.34,4.13,4.25,59427
2016-01-27,4.21,4.32,4.17,4.2,116252
2016-01-28,4.23,4.3,4.11,4.19,92680
2016-01-29,4.27,4.49,4.2,4.37,56511
2016-02-01,4.38,4.45,4.24,4.43,35781
2016-02-02,4.42,4.42,4.19,4.25,175865
2016-02-03,4.27,4.27,4.15,4.23,58755
2016-02-04,4.24,4.36,4.22,4.25,40359
2016-02-05,4.22,4.23,3.84,3.92,215519
2016-02-08,3.88,3.88,3.6,3.71,172556
2016-02-09,3.66,3.92,3.64,3.75,83222
2016-02-10,3.76,3.94,3.65,3.74,120472
2016-02-11,3.67,4.0,3.66,3.87,178337
2016-02-12,4.33,4.77,4.08,4.3,291784
2016-02-16,4.37,4.59,4.35,4.41,184025
2016-02-17,4.46,4.73,4.19,4.34,324399
2016-02-18,4.34,4.48,4.01,4.16,221403
2016-02-19,4.15,4.82,4.09,4.37,378693
2016-02-22,4.4,4.42,4.17,4.23,110458
2016-02-23,4.18,4.37,4.02,4.12,92174
2016-02-24,4.07,4.27,3.99,4.17,120080
2016-02-25,4.24,4.32,4.09,4.21,66127
2016-02-26,4.21,4.85,4.21,4.46,200782
2016-02-29,4.49,4.76,4.47,4.6,106774
2016-03-01,4.68,4.74,4.48,4.6,86589
2016-03-02,4.61,5.1,4.61,4.99,165407
2016-03-03,4.93,5.17,4.92,5.14,124783
2016-03-04,5.2,5.38,4.97,5.2,96068
2016-03-07,5.21,5.59,5.21,5.55,182998
2016-03-08,5.47,5.7,5.32,5.34,68897
2016-03-09,5.34,5.34,5.09,5.24,115582
2016-03-10,5.27,5.34,4.7,4.99,121395
2016-03-11,5.01,5.47,4.99,5.45,107716
2016-03-14,5.38,5.45,5.29,5.37,150487
2016-03-15,5.3,5.5,5.3,5.34,67845
2016-03-16,5.32,5.42,5.29,5.35,59004
2016-03-17,5.31,5.45,5.27,5.39,77233
2016-03-18,5.42,5.63,5.36,5.51,140668
2016-03-21,5.51,5.74,5.4,5.43,52209
2016-03-22,5.36,5.49,5.18,5.39,132497
2016-03-23,5.4,5.48,5.24,5.28,49523
2016-03-24,5.31,5.52,5.14,5.4,88453
2016-03-28,5.39,5.57,5.26,5.36,66011
2016-03-29,5.32,5.51,5.24,5.4,95668
2016-03-30,5.4,5.53,5.2,5.34,86456
2016-03-31,5.38,5.49,5.32,5.41,89383
2016-04-01,5.4,5.45,5.36,5.37,37722
2016-04-04,5.4,5.43,5.28,5.3,34835
2016-04-05,5.27,5.35,5.07,5.26,84643
2016-04-06,5.28,5.32,5.18,5.28,58454
2016-04-07,5.25,5.31,4.98,5.0,157542
2016-04-08,5.06,5.33,4.94,5.18,149580
2016-04-11,5.18,5.42,5.15,5.29,75815
2016-04-12,5.32,5.37,5.16,5.24,64991
