Date,Open,High,Low,Close,Volume
2016-01-04,23.67,23.76,22.68,23.17,458521
2016-01-05,23.25,23.82,23.01,23.44,550587
2016-01-06,23.03,23.86,23.03,23.2,313477
2016-01-07,22.71,23.07,22.45,22.62,496934
2016-01-08,22.75,22.98,22.3,22.38,293725
2016-01-11,22.45,22.84,22.24,22.29,527056
2016-01-12,22.5,22.71,22.12,22.36,378015
2016-01-13,22.42,22.64,21.65,21.82,276065
2016-01-14,21.92,22.04,21.28,21.57,255397
2016-01-15,21.07,21.36,20.48,20.95,488196
2016-01-19,21.13,21.47,20.71,20.91,213286
2016-01-20,20.54,20.55,19.66,20.26,205496
2016-01-21,20.33,20.57,20.01,20.14,154712
2016-01-22,20.5,20.68,20.01,20.2,203333
2016-01-25,20.2,20.29,19.86,20.09,128843
2016-01-26,20.83,21.85,20.61,21.84,210014
2016-01-27,21.72,21.72,20.87,20.92,351767
2016-01-28,20.92,21.04,20.5,20.74,131262
2016-01-29,20.7,21.8,20.69,21.8,218407
2016-02-01,21.66,21.66,20.99,21.32,153822
2016-02-02,21.07,21.19,20.44,20.85,224690
2016-02-03,21.01,21.15,20.53,21.03,147243
2016-02-04,21.06,21.78,21.06,21.61,253526
2016-02-05,21.89,21.98,20.04,20.27,410367
2016-02-08,20.06,20.78,19.28,20.25,333134
2016-02-09,19.91,20.5,19.68,20.06,170200
2016-02-10,20.16,20.94,19.99,20.09,166067
2016-02-11,19.73,20.8,19.51,20.76,153246
2016-02-12,20.89,20.89,19.69,20.46,434623
2016-02-16,20.65,22.6,20.65,22.43,331509
2016-02-17,22.6,23.01,21.7,21.72,273180
2016-02-18,21.82,21.94,21.01,21.69,187159
2016-02-19,21.56,21.91,21.09,21.87,127447
2016-02-22,22.02,22.48,21.91,22.28,153448
2016-02-23,22.25,22.46,21.9,22.04,222573
2016-02-24,21.9,22.67,21.5,22.55,136794
2016-02-25,22.61,22.66,21.8,22.47,191523
2016-02-26,22.59,23.46,22.59,23.3,275633
2016-02-29,24.68,25.24,22.2,24.03,701528
2016-03-01,24.03,25.41,23.98,24.88,383933
2016-03-02,24.94,25.39,24.62,25.35,175064
2016-03-03,25.24,25.78,25.13,25.7,263243
2016-03-04,26.4,27.24,25.4,27.02,1264065
2016-03-07,26.99,28.74,26.84,28.68,432271
2016-03-08,28.46,28.84,28.3,28.39,484983
2016-03-09,28.53,28.88,28.21,28.44,308431
2016-03-10,28.51,29.05,28.01,28.95,241955
2016-03-11,29.21,29.72,28.75,29.54,299343
2016-03-14,29.43,29.92,29.38,29.39,187342
2016-03-15,29.3,29.45,28.72,28.88,259331
2016-03-16,28.76,29.29,28.76,29.0,383464
2016-03-17,28.95,29.28,28.8,28.98,376649
2016-03-18,29.1,29.48,28.87,29.41,659095
2016-03-21,29.32,29.5,28.77,28.85,207681
2016-03-22,28.81,28.95,27.95,28.35,346629
2016-03-23,28.64,29.0,27.93,27.97,229058
2016-03-24,27.87,28.1,27.28,28.06,200176
2016-03-28,28.32,29.0,28.18,28.73,224749
2016-03-29,28.69,29.05,28.17,28.95,215855
2016-03-30,28.2,28.61,27.85,28.36,259341
2016-03-31,28.33,28.62,27.92,27.99,209952
2016-04-01,27.86,28.74,27.57,28.64,273486
2016-04-04,28.68,28.71,27.68,27.83,219431
2016-04-05,27.57,27.9,27.27,27.52,123119
2016-04-06,27.64,28.17,27.53,28.12,152669
2016-04-07,28.03,28.21,27.0,27.3,170393
2016-04-08,27.48,27.62,27.02,27.36,101005
2016-04-11,27.61,27.67,26.88,26.95,193057
2016-04-12,26.95,27.66,26.87,27.39,157084
2016-04-13,27.66,28.33,27.57,28.16,188718
2016-04-14,28.06,28.11,27.62,27.86,194729
2016-04-15,27.9,28.13,27.54,27.57,88496
2016-04-18,27.4,28.23,27.4,28.22,144519
2016-04-19,28.37,28.61,27.68,27.75,117393
2016-04-20,27.96,28.17,27.51,27.77,142705
2016-04-21,27.87,28.25,27.24,27.46,172698
2016-04-22,27.58,27.75,27.1,27.46,202737
2016-04-25,27.06,27.22,26.74,26.99,388343
2016-04-26,27.12,27.55,26.65,27.42,267416
2016-04-27,27.66,28.27,27.33,28.01,214357
2016-04-28,28.25,28.46,28.02,28.23,404027
2016-04-29,29.5,29.5,26.08,28.18,628853
2016-05-02,28.19,29.18,27.66,28.89,323921
2016-05-03,28.6,28.9,28.45,28.53,274998
2016-05-04,28.25,28.89,28.23,28.76,248216
2016-05-05,28.94,29.13,28.7,28.87,175123
2016-05-06,28.85,29.68,28.5,29.15,159859
2016-05-09,29.15,29.29,28.7,29.15,229177
2016-05-10,29.22,29.95,29.15,29.93,189505
2016-05-11,29.84,30.31,29.51,29.65,235575
2016-05-12,29.75,29.82,28.97,29.23,106322
2016-05-13,29.2,29.36,28.96,29.31,150229
2016-05-16,29.31,29.49,28.84,29.33,154794
2016-05-17,29.4,29.54,29.23,29.31,228650
2016-05-18,29.24,29.41,28.73,28.9,159588
2016-05-19,28.79,28.86,27.9,28.03,191275
2016-05-20,28.03,28.32,27.84,28.23,285275
2016-05-23,28.19,28.6,28.0,28.15,137833
2016-05-24,28.27,28.82,28.15,28.66,173999
2016-05-25,28.64,28.75,28.25,28.48,198906
2016-05-26,28.49,28.89,28.45,28.53,137050
2016-05-27,28.5,29.16,28.5,29.12,143104
2016-05-31,29.21,29.28,28.6,28.74,146799
2016-06-01,28.6,28.98,28.14,28.93,243640
2016-06-02,28.69,28.99,28.51,28.99,231181
2016-06-03,28.98,28.98,28.35,28.58,138542
2016-06-06,28.69,28.7,28.13,28.19,158840
2016-06-07,28.07,28.1,27.89,27.91,181990
2016-06-08,28.05,28.1,27.78,27.9,152437
2016-06-09,27.74,27.85,27.48,27.82,101325
2016-06-10,27.44,27.5,26.82,26.94,200733
2016-06-13,27.16,27.26,26.33,26.53,182100
2016-06-14,26.51,27.02,26.43,26.58,222845
2016-06-15,26.62,27.0,26.44,26.86,125017
2016-06-16,27.46,27.47,26.66,27.23,186812
2016-06-17,27.31,27.78,26.97,27.05,215769
2016-06-20,27.48,27.72,27.4,27.4,109835
2016-06-21,27.37,27.6,26.68,27.1,84688
2016-06-22,27.04,27.49,26.88,26.93,87509
2016-06-23,27.26,27.57,27.14,27.24,93818
2016-06-24,26.35,26.97,26.25,26.94,306154
2016-06-27,26.59,26.59,25.75,26.02,247804
2016-06-28,26.39,26.68,26.23,26.51,283505
2016-06-29,26.7,27.53,26.7,27.42,152206
2016-06-30,27.43,27.84,27.21,27.61,196820
2016-07-01,27.68,28.26,27.35,28.19,212053
2016-07-05,28.0,28.0,27.1,27.41,108090
2016-07-06,27.14,27.43,26.97,27.11,74978
2016-07-07,27.21,27.67,27.21,27.59,76114
2016-07-08,27.81,28.0,27.5,27.59,143263
2016-07-11,27.57,27.83,27.53,27.77,213968
2016-07-12,28.48,30.27,28.0,29.8,399322
2016-07-13,29.89,30.91,29.68,30.63,386655
2016-07-14,30.85,31.42,30.28,30.6,325337
2016-07-15,30.75,30.84,30.0,30.63,198332
2016-07-18,30.6,30.66,30.08,30.56,215195
2016-07-19,30.36,30.65,30.1,30.49,240158
