Date,Open,High,Low,Close,Volume
2017-05-04,22.15,22.68,21.56,22.0,13740792
2017-05-05,22.0,22.43,22.0,22.28,1925700
2017-05-08,22.19,22.34,21.74,22.03,1312208
2017-05-09,22.0,22.07,21.65,22.0,818372
2017-05-10,21.91,21.96,21.31,21.54,1154625
2017-05-11,21.65,21.76,21.22,21.25,853257
2017-05-12,21.25,21.56,20.97,21.5,671169
2017-05-15,21.7,21.75,21.22,21.29,852665
2017-05-16,21.3,21.71,21.16,21.35,1420317
2017-05-17,21.43,21.43,21.0,21.0,929631
2017-05-18,21.04,21.1,20.83,21.01,480840
2017-05-19,20.89,21.12,20.68,21.0,916069
2017-05-22,21.15,21.91,21.1,21.91,484338
2017-05-23,21.52,22.21,21.52,22.03,873671
2017-05-24,21.94,22.09,21.5,21.68,911324
2017-05-25,21.47,22.23,21.41,22.06,656553
2017-05-26,22.05,22.25,21.86,21.97,598001
