Date,Open,High,Low,Close,Volume
2016-01-04,8.09,8.39,7.57,8.04,258490
2016-01-05,7.94,8.02,7.59,7.69,224337
2016-01-06,7.55,8.24,7.41,7.99,480284
2016-01-07,7.9,8.27,7.7,7.79,548621
2016-01-08,7.92,8.49,7.88,8.28,396238
2016-01-11,8.19,8.19,6.76,6.86,748110
2016-01-12,7.0,7.54,5.22,6.28,843001
2016-01-13,6.38,6.49,5.82,6.17,307281
2016-01-14,6.26,6.48,5.84,5.96,387564
2016-01-15,5.4,5.48,4.92,5.3,487801
2016-01-19,5.35,5.4,4.63,4.83,229198
2016-01-20,4.35,4.5,4.03,4.5,487828
2016-01-21,4.41,5.48,4.41,5.03,378659
2016-01-22,5.64,6.15,5.4,5.57,342155
2016-01-25,5.68,7.61,5.68,6.63,885470
2016-01-26,6.75,7.14,6.11,6.86,553922
2016-01-27,6.72,7.71,6.64,7.37,381933
2016-01-28,7.99,8.05,7.31,7.87,423944
2016-01-29,7.9,8.44,7.6,8.16,596065
2016-02-01,7.51,8.02,7.31,7.71,339363
2016-02-02,7.48,7.75,6.8,7.49,568348
2016-02-03,7.54,7.76,7.19,7.3,135349
2016-02-04,7.45,8.08,7.31,7.67,277896
2016-02-05,7.62,8.08,7.4,7.54,139615
2016-02-08,7.35,7.38,6.67,6.71,431797
2016-02-09,6.62,6.64,5.86,6.25,387796
2016-02-10,6.3,6.35,5.9,5.92,194185
2016-02-11,5.87,6.1,5.74,5.8,262251
2016-02-12,6.26,6.77,6.18,6.59,129391
2016-02-16,6.81,7.01,6.7,6.8,109663
2016-02-17,6.66,6.78,6.11,6.34,346724
2016-02-18,6.46,6.73,6.29,6.61,107865
2016-02-19,6.47,6.47,6.0,6.08,100365
2016-02-22,6.36,6.4,5.95,6.19,218108
2016-02-23,6.17,6.26,5.4,5.4,266865
2016-02-24,5.33,5.74,4.9,5.68,212309
2016-02-25,5.54,5.61,4.77,4.99,561305
2016-02-26,5.06,5.26,4.9,5.09,277224
2016-02-29,5.08,5.33,5.03,5.08,153265
2016-03-01,5.1,5.25,4.77,4.84,184806
2016-03-02,4.75,5.36,4.75,4.91,1792320
2016-03-03,4.91,6.45,4.91,5.8,557951
2016-03-04,5.82,6.18,5.46,5.55,350724
2016-03-07,5.73,5.88,5.56,5.71,451982
2016-03-08,7.0,7.79,6.58,6.79,835852
2016-03-09,6.94,7.31,6.79,7.15,412201
2016-03-10,7.2,7.25,6.72,6.98,101210
2016-03-11,7.03,7.21,6.5,6.66,203213
2016-03-14,6.5,6.72,6.33,6.54,151027
2016-03-15,6.12,6.35,6.05,6.19,162753
2016-03-16,6.28,7.07,6.28,6.99,282423
2016-03-17,7.2,7.76,7.0,7.6,219743
2016-03-18,7.65,7.76,6.85,6.9,243553
2016-03-21,6.75,7.01,6.72,6.79,139851
2016-03-22,6.75,7.38,6.7,7.24,108480
2016-03-23,7.24,7.35,6.67,6.77,110807
2016-03-24,6.73,6.98,6.56,6.82,92759
2016-03-28,6.93,6.93,6.52,6.67,50312
2016-03-29,6.52,6.98,6.29,6.91,136354
2016-03-30,7.03,7.31,6.47,6.55,300452
2016-03-31,6.56,6.98,6.56,6.92,124190
2016-04-01,6.7,6.94,6.51,6.58,121185
2016-04-04,6.63,6.63,6.26,6.32,132065
2016-04-05,6.3,6.57,6.18,6.23,74134
2016-04-06,6.37,6.68,6.3,6.37,54387
2016-04-07,6.4,6.56,6.32,6.47,89983
2016-04-08,6.68,6.94,6.42,6.53,141027
2016-04-11,6.66,6.98,6.53,6.75,148975
2016-04-12,6.84,7.36,6.81,7.25,241525
2016-04-13,7.43,7.88,7.1,7.74,399982
2016-04-14,7.75,7.85,7.13,7.27,151920
2016-04-15,7.18,7.41,7.16,7.33,79322
2016-04-18,7.01,7.58,7.01,7.45,98976
2016-04-19,7.57,8.13,7.57,8.06,317263
2016-04-20,7.88,8.44,7.67,8.17,195857
2016-04-21,8.28,9.09,8.27,8.91,423295
2016-04-22,8.99,9.74,8.88,9.68,485962
2016-04-25,9.75,9.99,8.6,9.07,386486
2016-04-26,11.12,11.19,10.14,11.01,1209977
2016-04-27,11.43,12.15,11.16,11.93,779627
2016-04-28,12.1,12.5,11.7,12.43,479195
2016-04-29,12.9,13.24,12.09,12.25,525107
2016-05-02,11.83,12.34,10.65,11.51,564211
2016-05-03,11.23,11.34,10.66,10.97,347028
2016-05-04,10.92,11.27,10.79,10.96,164635
2016-05-05,11.07,12.0,10.97,11.67,297424
2016-05-06,11.61,12.33,11.23,11.8,131428
