Date,Open,High,Low,Close,Volume
2016-01-04,12.73,12.89,12.52,12.81,48610
2016-01-05,12.86,13.01,12.5,12.69,135434
2016-01-06,12.55,12.68,11.91,11.98,106274
2016-01-07,11.83,11.95,11.53,11.81,126066
2016-01-08,11.88,11.98,11.57,11.72,44413
2016-01-11,11.64,11.78,11.5,11.68,69624
2016-01-12,11.88,11.92,11.27,11.47,102319
2016-01-13,11.62,11.7,11.33,11.47,355249
2016-01-14,11.44,11.5,11.09,11.25,591506
2016-01-15,11.25,11.25,10.72,10.91,521371
2016-01-19,11.0,11.24,11.0,11.21,74432
2016-01-20,11.08,11.4,11.0,11.25,82073
2016-01-21,11.41,11.66,11.06,11.11,113786
2016-01-22,11.25,11.65,11.25,11.52,41433
2016-01-25,11.58,11.6,11.23,11.35,44348
2016-01-26,11.29,11.92,11.29,11.71,31662
2016-01-27,11.73,12.08,11.73,11.93,34605
2016-01-28,11.94,12.19,11.62,11.66,37803
2016-01-29,11.77,12.08,11.68,11.76,50217
2016-02-01,11.66,11.7,11.24,11.24,30241
2016-02-02,11.26,11.26,10.88,11.09,60399
2016-02-03,11.1,11.18,11.04,11.1,53514
2016-02-04,11.1,11.21,11.09,11.14,35594
2016-02-05,11.12,11.12,11.01,11.05,20105
2016-02-08,11.04,11.07,10.87,11.07,86106
2016-02-09,10.86,11.29,10.76,10.95,44369
2016-02-10,11.03,11.52,10.76,10.93,16444
2016-02-11,11.01,11.1,10.85,10.97,41662
2016-02-12,10.98,11.68,10.96,11.68,19002
2016-02-16,11.76,12.05,11.64,12.05,44461
2016-02-17,12.0,12.05,11.81,11.96,70188
2016-02-18,12.0,12.03,11.8,11.85,84986
2016-02-19,11.9,11.9,11.59,11.59,59678
2016-02-22,11.71,11.84,11.32,11.63,19814
2016-02-23,11.68,11.76,11.34,11.47,68966
2016-02-24,11.55,11.59,11.3,11.5,17610
2016-02-25,11.5,11.67,11.39,11.62,27084
2016-02-26,11.75,12.6,11.75,12.08,110553
2016-02-29,12.2,12.23,11.74,11.9,37590
2016-03-01,12.03,12.49,11.93,12.11,42302
2016-03-02,12.25,12.61,12.12,12.48,71826
2016-03-03,12.55,12.75,12.4,12.45,47731
2016-03-04,12.45,12.89,12.27,12.71,40883
2016-03-07,12.68,12.83,12.51,12.58,25813
2016-03-08,12.71,12.86,11.97,12.27,100793
2016-03-09,12.9,13.7,12.14,13.0,239581
2016-03-10,12.83,13.6,12.7,13.31,79466
2016-03-11,13.49,13.95,13.48,13.72,44416
2016-03-14,13.72,14.43,13.6,14.19,60987
2016-03-15,14.08,14.08,13.5,14.0,238732
2016-03-16,13.86,14.24,13.76,13.76,66517
2016-03-17,13.85,14.01,13.69,13.87,37432
2016-03-18,13.97,14.0,13.72,13.86,22434
2016-03-21,13.94,13.99,13.68,13.97,18438
2016-03-22,13.98,14.3,13.83,14.07,25484
2016-03-23,14.0,14.0,13.66,13.7,19224
2016-03-24,13.65,14.38,13.44,14.14,51809
2016-03-28,14.17,14.28,13.97,14.24,23082
2016-03-29,14.29,15.15,14.08,15.08,40860
2016-03-30,15.09,15.5,14.91,15.24,49942
2016-03-31,15.15,15.4,15.02,15.4,46487
2016-04-01,15.2,15.41,15.07,15.3,43785
2016-04-04,15.3,15.5,14.99,15.09,33967
2016-04-05,14.88,15.18,14.52,14.87,31212
2016-04-06,15.01,15.15,14.52,14.52,14507
2016-04-07,14.64,15.0,14.54,14.67,46317
2016-04-08,14.56,14.67,14.52,14.66,17154
2016-04-11,14.61,14.87,14.34,14.59,20870
2016-04-12,14.7,14.85,14.55,14.82,23814
2016-04-13,14.79,14.79,14.58,14.7,26945
2016-04-14,14.71,14.85,14.66,14.79,28343
2016-04-15,14.9,15.0,14.77,14.88,21717
2016-04-18,15.0,15.49,14.92,15.44,30653
2016-04-19,15.45,15.68,15.25,15.31,28303
2016-04-20,15.35,15.57,15.26,15.5,17978
2016-04-21,15.43,15.5,14.83,15.15,31912
2016-04-22,15.22,15.96,15.0,15.03,90558
2016-04-25,15.08,15.42,15.04,15.33,19936
2016-04-26,15.43,15.6,15.41,15.54,29277
2016-04-27,15.52,15.52,15.22,15.42,18310
2016-04-28,15.39,15.74,14.95,15.06,34900
2016-04-29,15.0,15.07,14.41,14.51,28983
2016-05-02,14.63,14.92,14.46,14.92,24091
2016-05-03,14.77,14.83,14.4,14.74,28246
2016-05-04,14.57,14.84,14.05,14.21,33730
2016-05-05,14.23,14.69,13.91,14.12,47126
2016-05-06,14.16,14.2,14.01,14.15,12520
2016-05-09,14.24,14.29,14.05,14.2,27390
2016-05-10,14.06,14.2,14.02,14.14,19009
2016-05-11,14.05,14.18,13.93,13.99,16842
2016-05-12,14.0,14.18,13.9,13.9,14421
2016-05-13,13.95,14.1,13.45,13.54,19248
2016-05-16,13.72,13.81,13.34,13.5,23906
2016-05-17,13.68,13.9,13.45,13.7,21090
2016-05-18,13.56,14.16,13.39,14.0,29494
2016-05-19,14.08,14.08,13.64,13.92,21861
2016-05-20,13.77,14.22,13.67,14.07,30896
2016-05-23,14.02,14.2,13.66,14.1,23494
2016-05-24,14.18,14.2,13.71,13.93,26879
2016-05-25,13.99,14.27,13.88,14.13,23779
2016-05-26,14.21,14.33,13.87,13.87,33425
2016-05-27,13.85,14.84,13.82,14.19,71523
2016-05-31,14.21,14.42,14.1,14.1,25406
2016-06-01,14.06,14.22,14.0,14.19,27272
2016-06-02,14.09,14.41,14.09,14.21,57708
2016-06-03,14.1,14.21,14.0,14.2,22888
2016-06-06,14.0,14.28,14.0,14.26,61252
2016-06-07,14.17,14.3,14.03,14.18,33035
2016-06-08,14.2,14.76,13.9,13.97,62496
2016-06-09,14.0,14.0,13.65,13.74,16643
2016-06-10,13.56,14.03,13.4,13.91,21255
2016-06-13,13.71,14.0,13.55,13.66,146799
2016-06-14,13.69,13.86,13.26,13.38,16797
2016-06-15,13.42,14.09,13.21,13.6,24624
2016-06-16,13.4,13.64,13.2,13.31,24865
2016-06-17,13.48,13.54,13.23,13.28,22241
2016-06-20,13.41,13.5,13.21,13.29,13223
2016-06-21,13.45,13.8,13.27,13.73,44271
2016-06-22,13.94,13.98,13.61,13.7,38977
2016-06-23,13.77,14.2,13.77,14.02,85325
2016-06-24,13.33,13.59,13.25,13.44,33973
2016-06-27,13.44,13.45,12.2,12.35,45619
2016-06-28,12.36,12.68,12.08,12.25,76865
2016-06-29,12.35,13.74,12.35,13.62,54060
2016-06-30,13.69,14.18,13.25,14.09,54526
2016-07-01,14.06,14.61,13.9,14.16,56960
2016-07-05,14.0,14.35,13.81,14.12,105153
2016-07-06,14.01,14.4,14.0,14.2,31982
2016-07-07,14.39,14.81,14.2,14.77,62359
2016-07-08,14.45,15.38,14.45,15.37,52598
2016-07-11,15.26,15.48,15.16,15.42,29735
2016-07-12,15.34,15.43,15.05,15.19,46468
2016-07-13,15.06,15.38,14.85,15.22,33784
2016-07-14,15.25,15.41,14.37,14.75,24627
2016-07-15,14.88,15.17,14.66,15.0,17830
2016-07-18,14.93,15.05,14.76,14.99,17250
2016-07-19,15.18,15.18,14.8,14.9,13589
2016-07-20,14.85,14.85,14.64,14.85,37447
2016-07-21,14.79,15.0,14.61,14.96,21324
2016-07-22,14.99,15.55,14.83,15.55,13170
2016-07-25,16.2,17.4,16.01,16.6,172890
2016-07-26,16.61,17.48,16.46,17.35,71741
2016-07-27,17.35,17.49,17.1,17.2,67039
2016-07-28,17.09,17.32,17.05,17.25,64695
2016-07-29,17.3,17.41,17.25,17.35,52909
2016-08-01,17.31,17.5,17.0,17.26,89864
2016-08-02,17.25,17.36,16.68,16.86,22709
2016-08-03,16.95,17.32,16.8,17.09,34864
2016-08-04,17.12,17.4,17.02,17.18,42361
2016-08-05,17.35,17.49,17.12,17.27,31187
2016-08-08,17.39,17.61,17.13,17.13,32683
2016-08-09,17.75,17.75,16.86,17.03,36297
2016-08-10,16.75,17.2,16.75,17.04,24166
2016-08-11,17.13,17.44,16.97,17.12,47567
2016-08-12,17.14,17.92,16.91,17.34,117691
2016-08-15,17.54,17.93,17.5,17.77,37514
2016-08-16,17.77,18.0,17.52,17.96,16053
2016-08-17,17.97,18.0,17.59,17.91,40791
2016-08-18,18.0,18.0,17.63,17.85,54589
2016-08-19,17.56,17.82,17.32,17.32,25611
2016-08-22,17.26,17.72,17.11,17.62,40965
2016-08-23,17.57,17.78,17.35,17.61,22988
2016-08-24,17.53,17.73,17.33,17.55,26817
2016-08-25,17.61,17.72,17.35,17.48,17772
2016-08-26,17.52,17.6,17.47,17.49,5628
2016-08-29,17.63,17.7,17.22,17.63,18017
2016-08-30,17.6,18.0,17.59,18.0,34930
2016-08-31,17.98,18.5,17.98,18.28,60368
2016-09-01,18.16,18.99,18.16,18.92,48007
2016-09-02,19.08,19.14,17.94,18.11,53290
2016-09-06,18.0,18.49,17.99,18.25,33808
2016-09-07,18.29,18.55,18.0,18.1,37686
2016-09-08,18.06,18.4,17.85,18.32,50555
2016-09-09,18.13,18.24,18.0,18.24,24117
2016-09-12,18.2,18.52,18.0,18.52,28306
2016-09-13,18.29,18.93,18.25,18.75,43238
2016-09-14,18.61,18.87,18.25,18.53,38908
2016-09-15,18.71,18.74,18.3,18.6,14659
2016-09-16,18.48,18.82,18.48,18.82,13514
2016-09-19,18.82,19.0,18.59,19.0,20781
2016-09-20,19.05,19.2,18.78,19.2,21454
2016-09-21,19.15,19.15,18.1,18.42,24248
2016-09-22,18.42,18.79,18.36,18.6,22423
2016-09-23,18.69,18.89,18.39,18.67,8901
2016-09-26,18.5,18.87,18.5,18.87,23148
2016-09-27,18.81,18.99,18.36,18.6,20792
2016-09-28,18.7,18.98,18.45,18.95,38149
2016-09-29,18.9,19.54,18.06,18.65,72133
2016-09-30,18.55,18.92,17.38,17.41,75572
2016-10-03,17.5,18.2,17.24,18.02,27370
2016-10-04,18.1,18.36,17.82,18.06,28378
2016-10-05,18.07,18.52,18.05,18.52,12262
2016-10-06,18.34,19.08,18.06,18.99,38897
2016-10-07,18.85,19.0,17.91,18.36,81839
2016-10-10,18.35,18.55,18.17,18.55,16173
2016-10-11,18.51,19.04,18.09,18.55,23234
2016-10-12,18.65,18.82,18.22,18.65,11294
2016-10-13,18.67,18.95,18.08,18.95,29484
2016-10-14,18.95,18.95,18.0,18.0,21231
2016-10-17,18.25,18.25,17.5,17.65,24492
2016-10-18,17.9,18.0,17.55,17.9,20012
2016-10-19,17.95,18.15,16.85,17.5,82392
2016-10-20,17.35,17.52,16.8,17.1,48069
2016-10-21,16.95,17.4,16.9,17.1,9036
2016-10-24,17.15,17.3,16.35,17.02,82205
2016-10-25,16.95,17.3,16.85,17.15,44372
2016-10-26,16.9,17.45,16.75,16.75,45604
2016-10-27,16.85,17.3,16.5,17.2,35262
2016-10-28,17.15,17.2,16.75,17.0,19603
2016-10-31,17.0,17.06,16.2,16.75,96720
