Date,Open,High,Low,Close,Volume
2016-01-04,5.53,5.58,5.43,5.51,744
2016-01-05,5.54,5.55,5.47,5.47,1137
2016-01-06,5.45,5.51,5.4,5.4,4134
2016-01-07,5.4,5.45,5.4,5.4,1337
2016-01-08,5.4,5.41,5.4,5.41,357
2016-01-11,5.55,5.55,5.55,5.55,100
2016-01-12,5.55,5.71,5.54,5.7,7723
2016-01-13,5.79,5.83,5.41,5.41,10683
2016-01-14,5.53,5.53,5.28,5.3,5059
2016-01-15,4.81,4.91,4.75,4.75,1228
2016-01-19,4.69,4.69,4.55,4.55,904
2016-01-20,4.41,4.41,4.41,4.41,202
2016-01-21,4.2,4.2,4.2,4.2,427
2016-01-22,4.34,4.34,3.99,3.99,2736
2016-01-25,3.89,3.92,3.89,3.92,593
2016-01-26,4.02,4.02,3.89,3.89,571
2016-01-27,3.91,3.95,3.89,3.95,1028
2016-01-28,3.98,4.05,3.96,4.05,559
2016-01-29,3.97,3.97,3.97,3.97,343
2016-02-01,3.95,3.95,3.95,3.95,119
2016-02-02,4.08,4.08,4.08,4.08,125
2016-02-03,4.1,4.13,4.1,4.13,258
2016-02-04,,,,4.13,0
2016-02-05,4.2,4.26,4.2,4.26,2975
2016-02-08,4.35,4.36,4.35,4.36,220
2016-02-09,,,,4.36,0
2016-02-10,4.36,4.37,4.35,4.37,3441
2016-02-11,4.35,4.35,4.26,4.26,2770
2016-02-12,4.4,4.4,4.4,4.4,668
2016-02-16,4.52,4.54,4.52,4.54,3605
2016-02-17,4.6,4.61,4.6,4.61,2047
2016-02-18,,,,4.61,0
2016-02-19,4.6,4.6,4.6,4.6,504
2016-02-22,4.5,4.5,4.45,4.46,1890
2016-02-23,4.59,4.59,4.45,4.45,1298
2016-02-24,,,,4.45,0
2016-02-25,4.57,4.57,4.57,4.57,292
2016-02-29,4.6,4.6,4.46,4.46,2372
2016-03-01,,,,4.46,0
2016-03-02,4.36,4.36,4.36,4.36,430
2016-03-03,4.47,4.5,4.12,4.16,7759
2016-03-04,4.08,4.18,4.08,4.18,1345
2016-03-07,4.1,4.27,4.1,4.2,5830
2016-03-08,4.3,4.46,4.3,4.3,5207
2016-03-09,4.36,4.67,4.02,4.63,17643
2016-03-10,4.53,4.53,4.26,4.44,6600
