Date,Open,High,Low,Close,Volume
2016-01-04,31.66,32.39,31.28,32.36,2321037
2016-01-05,32.48,32.6,32.32,32.44,2675166
2016-01-06,32.1,32.43,32.06,32.29,2154220
2016-01-07,31.89,32.2,31.7,31.9,1880930
2016-01-08,32.05,32.09,31.75,31.82,2029422
2016-01-11,31.96,32.08,31.47,31.87,1945391
2016-01-12,32.09,32.33,31.84,32.27,2085513
2016-01-13,32.31,32.44,31.27,31.7,3129735
2016-01-14,31.68,31.74,30.45,31.58,3548694
2016-01-15,30.87,31.34,30.44,31.11,2030317
2016-01-19,31.32,31.35,30.85,30.91,1570037
2016-01-20,30.65,31.14,29.82,30.86,2221132
2016-01-21,31.04,31.49,30.78,31.09,2299228
2016-01-22,31.4,31.73,31.22,31.72,1305915
2016-01-25,31.74,31.74,31.12,31.18,1558162
2016-01-26,31.23,32.1,30.63,32.0,1858791
2016-01-27,31.94,32.05,31.33,31.63,1561997
2016-01-28,31.75,31.86,31.42,31.8,1253015
2016-01-29,31.87,32.05,31.41,31.95,2856553
2016-02-01,31.84,32.88,31.84,32.79,1933095
2016-02-02,32.56,32.8,32.28,32.48,1913175
2016-02-03,32.6,32.7,31.99,32.44,1628175
2016-02-04,32.35,33.39,32.07,33.31,2931191
2016-02-05,33.23,33.46,31.33,31.36,2481073
2016-02-08,31.19,31.48,29.49,29.82,3314549
2016-02-09,29.54,30.52,29.53,30.21,4262588
2016-02-10,32.53,33.1,30.65,31.26,6102924
2016-02-11,31.09,31.1,29.18,30.03,3908483
2016-02-12,30.5,30.7,29.83,30.3,2626748
2016-02-16,30.42,30.64,29.82,30.18,2506521
2016-02-17,30.27,31.04,30.17,30.89,3501155
2016-02-18,30.67,30.93,30.3,30.4,1935892
2016-02-19,30.35,30.63,29.94,30.15,2372676
2016-02-22,30.43,30.94,30.43,30.94,929162
2016-02-23,30.94,31.17,30.64,31.0,1401461
2016-02-24,30.76,30.79,30.41,30.78,786948
2016-02-25,30.88,31.55,30.76,31.53,1523425
2016-02-26,31.74,31.9,31.4,31.57,1125756
2016-02-29,31.57,31.66,31.2,31.42,1305110
2016-03-01,31.73,32.15,31.43,32.11,1145109
2016-03-02,31.91,32.3,31.7,32.24,1081689
2016-03-03,32.22,32.24,31.76,32.15,1008390
2016-03-04,32.05,32.34,31.87,32.24,1164219
2016-03-07,31.94,32.42,31.94,32.18,1381066
2016-03-08,32.1,32.15,31.76,31.87,935251
2016-03-09,31.97,32.18,31.66,31.75,932033
2016-03-10,31.94,32.14,31.41,31.67,784400
2016-03-11,31.88,32.3,31.65,32.13,1044972
2016-03-14,32.14,32.48,31.93,32.34,751969
2016-03-15,32.11,32.37,31.99,32.2,652423
2016-03-16,32.15,32.37,32.04,32.28,769231
2016-03-17,32.26,32.66,32.04,32.31,863534
2016-03-18,32.38,32.75,32.08,32.14,2505004
2016-03-21,32.15,32.57,31.89,32.37,910999
2016-03-22,32.34,32.92,32.26,32.65,1566459
2016-03-23,32.69,32.78,32.53,32.53,624075
2016-03-24,32.46,32.56,32.18,32.51,744513
2016-03-28,32.58,32.88,32.52,32.6,549801
2016-03-29,32.58,32.98,32.49,32.89,888218
2016-03-30,33.1,33.23,32.89,32.98,1208466
2016-03-31,32.87,33.22,32.74,33.12,1442513
2016-04-01,32.84,33.59,32.73,33.46,1248002
2016-04-04,33.5,33.56,33.14,33.47,1081112
2016-04-05,33.36,33.42,33.06,33.12,781150
2016-04-06,33.23,33.4,33.12,33.34,1388042
2016-04-07,32.9,33.34,32.89,33.22,1586792
2016-04-08,33.42,33.42,32.96,33.25,747486
2016-04-11,33.38,33.43,32.98,32.98,768845
2016-04-12,32.99,33.28,32.91,33.09,774209
2016-04-13,33.16,33.41,33.1,33.2,1167857
2016-04-14,33.32,33.63,33.19,33.6,1325578
2016-04-15,33.69,33.82,33.58,33.76,484617
2016-04-18,33.62,34.0,33.53,33.93,1136248
2016-04-19,34.0,34.1,33.85,34.06,1851426
2016-04-20,34.24,34.47,33.92,34.29,1311015
2016-04-21,34.14,34.39,33.85,34.08,1687062
