Date,Open,High,Low,Close,Volume
2016-01-04,2.01,2.03,1.87,1.91,1108935
2016-01-05,1.94,1.98,1.9,1.97,686966
2016-01-06,1.95,1.99,1.93,1.96,548815
2016-01-07,1.93,1.95,1.81,1.82,674529
2016-01-08,1.84,1.84,1.75,1.75,476574
2016-01-11,1.78,1.78,1.68,1.68,900929
2016-01-12,1.7,1.74,1.68,1.69,532658
2016-01-13,1.7,1.74,1.66,1.68,542199
2016-01-14,1.68,1.72,1.66,1.71,394346
2016-01-15,1.68,1.73,1.61,1.72,612390
2016-01-19,1.74,1.76,1.65,1.67,883381
2016-01-20,1.66,1.71,1.58,1.7,1050229
2016-01-21,1.67,1.83,1.67,1.69,663248
2016-01-22,1.75,1.83,1.74,1.79,748805
2016-01-25,1.77,1.8,1.71,1.71,375258
2016-01-26,1.74,1.79,1.71,1.75,508257
2016-01-27,1.73,1.84,1.73,1.75,821592
2016-01-28,1.78,1.86,1.75,1.83,514071
2016-01-29,1.85,1.91,1.84,1.87,742848
2016-02-01,1.85,1.87,1.79,1.79,506112
2016-02-02,1.78,1.8,1.75,1.75,426961
2016-02-03,1.76,1.83,1.75,1.79,630767
2016-02-04,1.8,1.88,1.8,1.82,355544
2016-02-05,1.81,1.82,1.75,1.75,390919
2016-02-08,1.75,1.77,1.69,1.69,594775
2016-02-09,1.69,1.72,1.65,1.68,526436
2016-02-10,1.69,1.79,1.6,1.7,621484
2016-02-11,1.74,1.75,1.58,1.65,684056
2016-02-12,1.68,1.68,1.63,1.65,452915
2016-02-16,1.65,1.72,1.6,1.72,475775
2016-02-17,1.72,1.8,1.71,1.8,605824
2016-02-18,1.78,1.82,1.75,1.81,323677
2016-02-19,1.81,1.81,1.74,1.77,254673
2016-02-22,1.77,1.84,1.77,1.8,329502
2016-02-23,1.8,1.83,1.76,1.77,354450
2016-02-24,1.79,1.8,1.71,1.79,351617
2016-02-25,1.77,1.83,1.74,1.81,297468
2016-02-26,1.81,1.82,1.74,1.75,397029
2016-02-29,1.75,1.8,1.71,1.72,328923
2016-03-01,1.73,1.78,1.72,1.74,362688
2016-03-02,1.73,1.81,1.73,1.81,438685
2016-03-03,1.8,1.88,1.8,1.87,424775
2016-03-04,1.88,1.94,1.87,1.9,324294
2016-03-07,1.88,1.9,1.77,1.79,390107
2016-03-08,1.8,1.95,1.8,1.91,817759
2016-03-09,1.95,2.04,1.93,2.02,871732
2016-03-10,2.0,2.14,2.0,2.14,781507
2016-03-11,2.15,2.18,2.1,2.12,542468
2016-03-14,2.12,2.15,2.06,2.14,498141
2016-03-15,2.12,2.16,2.08,2.11,493616
2016-03-16,2.1,2.17,2.1,2.14,362845
2016-03-17,2.13,2.17,2.04,2.05,724452
2016-03-18,2.08,2.26,2.07,2.21,3053373
2016-03-21,2.22,2.35,2.17,2.32,1017075
2016-03-22,2.31,2.39,2.26,2.39,559356
2016-03-23,2.38,2.46,2.32,2.37,999673
2016-03-24,2.34,2.44,2.34,2.43,496714
2016-03-28,2.43,2.43,2.3,2.4,489615
