Date,Open,High,Low,Close,Volume
2016-01-04,33.7,33.7,31.39,31.97,999922
2016-01-05,32.06,32.9,31.7,32.42,1158207
2016-01-06,31.96,32.74,31.14,31.6,1073506
2016-01-07,30.27,31.4,30.11,30.86,1197274
2016-01-08,31.19,31.63,30.57,30.73,525681
2016-01-11,30.75,30.85,28.02,28.07,1904156
2016-01-12,28.6,29.41,28.51,28.94,986908
2016-01-13,29.02,29.72,28.58,28.94,884016
2016-01-14,29.07,29.61,28.6,29.05,1298324
2016-01-15,28.26,28.6,26.69,27.14,987728
2016-01-19,28.05,29.1,26.34,26.82,1100610
2016-01-20,26.25,27.58,25.88,27.29,1014329
2016-01-21,27.29,27.98,26.63,26.81,771292
2016-01-22,27.29,27.93,26.52,26.88,1074671
2016-01-25,26.78,26.99,25.7,25.75,677085
2016-01-26,25.67,25.94,24.35,25.22,589040
2016-01-27,25.21,25.6,23.82,24.24,588430
2016-01-28,24.65,24.95,23.35,23.91,1018682
2016-01-29,24.16,25.05,23.38,24.57,1065955
2016-02-01,24.35,24.9,23.96,24.72,1080301
2016-02-02,24.59,24.8,23.84,24.1,1143775
2016-02-03,24.01,24.19,23.47,23.98,1269735
2016-02-04,24.07,24.75,23.77,24.25,803263
2016-02-05,24.48,24.48,23.46,23.49,899391
2016-02-08,23.1,23.3,22.31,22.55,994916
2016-02-09,21.95,23.15,21.53,22.54,818408
2016-02-10,22.76,23.44,22.58,22.98,366910
2016-02-11,22.43,23.13,21.63,22.73,588216
2016-02-12,23.04,23.81,23.04,23.76,319250
2016-02-16,24.31,25.14,24.08,24.84,1417116
2016-02-17,24.85,26.34,23.38,25.39,4793479
2016-02-18,25.57,25.91,23.81,24.35,2558750
2016-02-19,24.15,24.15,23.06,23.92,2341938
2016-02-22,24.3,24.55,23.1,24.45,2579521
2016-02-23,24.17,25.23,24.04,24.77,985813
2016-02-24,24.18,24.97,23.1,24.87,1493520
2016-02-25,24.19,24.81,24.02,24.64,1446444
2016-02-26,25.01,25.08,24.42,24.9,973011
2016-02-29,24.82,25.04,24.16,24.51,736080
2016-03-01,24.98,25.11,24.5,24.55,685159
2016-03-02,24.71,25.1,24.44,25.08,813569
2016-03-03,25.03,25.85,25.0,25.8,623316
2016-03-04,26.0,27.62,25.79,27.31,1243594
2016-03-07,26.91,27.42,26.04,26.48,656718
2016-03-08,26.31,27.31,26.06,27.07,936885
2016-03-09,27.32,27.5,26.95,27.2,687954
2016-03-10,27.67,27.78,25.9,26.04,1774038
2016-03-11,26.5,27.4,25.55,27.29,1953069
2016-03-14,27.38,28.1,27.12,27.59,1001197
2016-03-15,27.41,27.41,25.38,25.59,728855
2016-03-16,25.52,26.77,25.42,26.74,453630
2016-03-17,26.85,27.16,26.33,27.13,695531
2016-03-18,27.0,28.44,26.98,28.21,948952
2016-03-21,28.26,29.08,27.78,28.3,820982
2016-03-22,28.01,28.19,27.51,27.85,509901
2016-03-23,27.88,27.88,26.0,26.79,711922
2016-03-24,26.49,27.23,26.16,26.94,224770
2016-03-28,26.79,26.85,25.89,26.15,381055
2016-03-29,26.0,27.18,25.81,26.88,371829
2016-03-30,27.23,28.12,27.23,27.87,1445064
2016-03-31,27.79,28.16,27.6,27.94,851461
2016-04-01,27.65,28.87,27.54,28.66,1968246
2016-04-04,28.73,29.37,28.7,29.1,1054695
2016-04-05,29.0,29.32,28.74,28.76,713971
2016-04-06,28.94,29.91,28.82,29.8,972549
2016-04-07,29.79,30.32,29.56,29.81,1828825
2016-04-08,30.05,31.16,29.8,30.07,1449251
2016-04-11,30.52,30.59,29.62,29.79,1776128
2016-04-12,29.79,29.91,28.68,29.4,916367
2016-04-13,29.78,30.7,29.56,30.2,1181225
2016-04-14,30.15,30.32,29.8,30.16,690519
2016-04-15,31.57,32.15,30.21,32.15,2659671
2016-04-18,31.72,31.72,30.85,31.49,3380235
2016-04-19,31.49,31.76,30.05,30.11,1048363
2016-04-20,30.05,30.68,29.73,29.98,1753041
2016-04-21,29.87,30.21,29.76,29.93,646381
2016-04-22,29.83,30.09,29.52,29.82,1135491
2016-04-25,29.53,29.78,29.01,29.04,585077
2016-04-26,29.19,29.2,28.83,28.87,608056
2016-04-27,28.77,29.02,28.7,28.96,662907
2016-04-28,28.99,29.57,28.99,29.24,494819
2016-04-29,29.32,29.68,29.1,29.56,323720
2016-05-02,29.51,29.64,28.99,29.04,336508
2016-05-03,28.84,29.11,28.71,28.95,594408
2016-05-04,28.95,29.51,28.64,28.65,593604
2016-05-05,28.75,28.9,27.45,28.03,1291064
2016-05-06,27.83,28.55,27.58,28.18,694063
2016-05-09,28.07,28.13,27.11,27.45,399695
2016-05-10,27.62,27.72,27.06,27.59,311661
2016-05-11,27.66,27.66,26.05,26.25,535631
2016-05-12,26.3,26.55,25.14,25.49,730132
2016-05-13,25.5,25.62,24.24,24.8,601112
2016-05-16,24.72,25.48,24.58,25.21,632193
2016-05-17,25.17,25.6,24.86,25.22,657709
2016-05-18,25.0,25.19,24.58,24.94,480553
2016-05-19,25.05,25.2,24.61,24.8,447124
2016-05-20,25.01,25.29,24.56,24.63,220220
2016-05-23,24.76,25.19,24.5,24.55,162897
2016-05-24,24.75,25.26,24.69,25.17,497713
2016-05-25,25.2,25.79,24.81,24.83,439904
2016-05-26,24.97,25.2,24.66,24.93,179457
2016-05-27,25.02,25.38,24.88,24.94,441418
2016-05-31,25.1,25.35,24.6,24.79,749432
2016-06-01,25.2,25.3,23.69,24.35,677435
2016-06-02,24.48,24.8,24.04,24.65,598343
2016-06-03,24.7,25.12,24.38,24.88,307352
2016-06-06,25.18,27.4,25.03,27.01,858143
2016-06-07,27.11,27.27,26.1,26.38,656018
2016-06-08,26.38,27.02,26.06,27.0,478824
2016-06-09,26.78,27.49,26.62,26.96,446929
2016-06-10,26.5,26.5,24.93,25.03,427235
2016-06-13,24.8,25.39,24.69,25.03,217200
2016-06-14,25.05,25.99,25.05,25.96,213207
2016-06-15,25.98,27.15,25.98,26.76,262482
2016-06-16,26.63,26.68,26.08,26.19,264887
2016-06-17,26.16,26.25,25.1,25.19,431238
2016-06-20,25.58,25.68,24.87,24.96,298867
2016-06-21,25.11,25.11,24.42,24.48,186491
2016-06-22,24.54,24.54,23.06,23.75,550705
2016-06-23,23.88,24.15,23.01,23.77,544550
2016-06-24,23.04,23.26,22.71,23.01,394243
2016-06-27,23.0,23.0,20.93,21.8,1320145
2016-06-28,21.8,22.08,20.83,20.95,1154598
2016-06-29,21.27,21.68,20.21,20.53,1903107
2016-06-30,20.5,21.07,20.08,20.11,1127475
2016-07-01,20.1,21.22,20.09,21.1,1589838
2016-07-05,21.2,21.38,20.71,21.04,1505475
2016-07-06,21.15,21.65,20.66,21.53,727750
2016-07-07,21.48,22.51,21.48,22.42,692191
2016-07-08,22.67,23.46,22.48,23.03,767926
2016-07-11,23.08,23.17,21.62,21.7,1802929
2016-07-12,21.73,22.5,21.5,21.96,513530
2016-07-13,22.09,22.18,21.48,21.49,638206
2016-07-14,21.64,21.98,21.22,21.38,901452
2016-07-15,21.0,21.48,19.9,20.09,1643072
2016-07-18,20.25,20.25,19.32,19.57,1186494
2016-07-19,19.45,19.84,19.33,19.5,922437
2016-07-20,19.79,20.19,19.71,19.95,1104376
2016-07-21,20.05,20.97,19.92,20.01,1437175
2016-07-22,19.9,20.31,19.6,20.31,551520
2016-07-25,20.32,21.06,20.32,20.9,788419
2016-07-26,20.94,21.7,20.84,21.68,1103205
2016-07-27,21.82,23.09,21.72,23.08,1043140
2016-07-28,23.1,23.53,22.39,23.1,1069144
2016-07-29,22.99,22.99,21.69,21.7,770752
2016-08-01,21.65,22.44,21.21,22.36,368578
2016-08-02,22.22,22.65,21.87,22.19,362067
2016-08-03,21.7,22.99,21.42,22.77,427857
2016-08-04,22.94,23.27,22.51,22.8,222647
2016-08-05,22.94,23.5,22.74,23.46,378186
2016-08-08,23.36,23.64,22.5,23.12,805191
2016-08-09,23.12,24.92,23.0,24.67,967654
2016-08-10,24.86,25.59,24.44,25.11,1040585
2016-08-11,25.16,25.78,24.84,25.51,773841
2016-08-12,25.51,25.56,24.89,25.44,699915
2016-08-15,25.56,27.05,25.5,26.65,1205944
2016-08-16,27.16,27.2,24.5,26.26,3340095
2016-08-17,26.3,26.3,24.37,25.01,1768004
2016-08-18,24.94,25.42,24.65,25.21,525978
2016-08-19,24.95,25.53,24.61,25.09,680186
2016-08-22,25.2,25.29,24.66,25.0,595439
2016-08-23,25.03,25.08,24.63,24.69,336336
2016-08-24,24.57,25.0,23.51,23.65,705288
2016-08-25,23.65,23.84,23.02,23.59,575122
2016-08-26,23.47,24.0,23.12,23.99,525139
2016-08-29,24.0,24.55,23.46,24.49,566706
2016-08-30,24.52,25.25,24.5,25.0,1128981
2016-08-31,25.1,25.23,24.43,24.47,448419
2016-09-01,24.75,25.02,24.29,24.43,371677
2016-09-02,24.53,24.92,24.33,24.41,242116
2016-09-06,24.51,24.99,24.43,24.58,665129
2016-09-07,24.45,24.56,23.38,23.51,591451
2016-09-08,23.47,23.9,23.35,23.5,770026
