Date,Open,High,Low,Close,Volume
2016-01-04,9.6,9.62,9.1,9.23,257784
2016-01-05,9.39,9.42,8.89,9.15,74662
2016-01-06,9.03,9.31,9.03,9.16,51882
2016-01-07,9.02,9.19,9.02,9.13,78402
2016-01-08,9.2,9.46,9.07,9.21,18032
2016-01-11,9.34,9.4,9.21,9.3,22010
2016-01-12,9.34,9.37,9.17,9.37,21514
2016-01-13,9.39,9.4,9.18,9.26,75280
2016-01-14,9.28,9.44,9.23,9.3,19476
2016-01-15,9.15,9.29,9.15,9.29,120654
2016-01-19,9.32,9.39,9.11,9.28,130227
2016-01-20,9.28,9.3,9.0,9.23,89161
2016-01-21,9.24,9.36,9.14,9.2,54033
2016-01-22,9.31,9.38,9.02,9.2,31218
2016-01-25,9.16,9.3,9.05,9.2,26387
2016-01-26,9.17,9.2,9.08,9.09,7688
2016-01-27,9.16,9.3,8.93,9.06,106884
2016-01-28,9.14,9.24,8.84,9.15,34023
2016-01-29,9.17,9.65,9.17,9.49,115249
2016-02-01,9.4,9.46,9.21,9.4,28726
2016-02-02,9.31,9.34,9.2,9.24,13069
2016-02-03,9.28,9.33,9.0,9.18,35975
2016-02-04,9.12,9.35,9.1,9.22,17323
2016-02-05,9.2,9.25,9.0,9.25,40558
2016-02-08,9.16,9.16,9.0,9.02,28923
2016-02-09,9.0,9.05,8.85,8.95,58799
2016-02-10,9.03,9.1,8.98,9.0,5555
2016-02-11,8.9,8.93,8.5,8.85,26680
2016-02-12,8.86,9.02,8.62,8.75,47554
2016-02-16,8.77,8.9,8.56,8.77,13601
2016-02-17,8.79,9.02,8.54,8.54,93110
2016-02-18,8.66,8.71,8.25,8.41,79116
2016-02-19,8.4,8.43,8.08,8.22,90253
2016-02-22,8.35,8.39,8.22,8.3,65808
2016-02-23,8.18,8.34,8.16,8.22,14675
2016-02-24,8.3,8.33,8.02,8.06,181087
2016-02-25,8.19,8.25,8.11,8.17,187341
2016-02-26,8.03,8.32,8.03,8.19,25930
2016-02-29,8.18,8.39,8.14,8.31,44775
2016-03-01,8.31,8.45,8.24,8.37,49050
2016-03-02,8.36,8.45,8.32,8.34,76017
2016-03-03,8.35,8.45,8.34,8.42,97937
2016-03-04,8.45,9.25,8.44,8.89,112379
2016-03-07,8.8,9.08,8.64,8.98,21214
2016-03-08,8.94,9.02,8.69,8.83,32374
2016-03-09,7.85,8.1,6.77,7.26,159322
2016-03-10,7.12,7.3,7.12,7.23,201459
2016-03-11,7.48,7.48,7.09,7.12,55929
2016-03-14,7.08,7.18,7.05,7.08,78929
2016-03-15,7.01,7.19,7.01,7.12,114485
2016-03-16,7.08,7.12,7.04,7.08,96621
2016-03-17,7.11,7.38,7.06,7.23,275392
2016-03-18,7.27,7.38,7.05,7.19,130646
2016-03-21,7.02,7.6,7.02,7.6,193539
2016-03-22,7.54,7.73,7.39,7.53,66716
2016-03-23,7.56,7.58,7.45,7.55,35384
2016-03-24,7.49,7.49,7.26,7.29,65891
2016-03-28,7.15,7.98,7.13,7.84,31412
2016-03-29,7.83,7.96,7.65,7.72,20559
2016-03-30,7.77,7.85,7.65,7.65,34189
2016-03-31,7.67,8.19,7.42,8.19,197538
2016-04-01,8.18,8.37,7.99,8.26,20637
2016-04-04,8.18,8.29,8.0,8.05,31663
2016-04-05,7.97,7.98,7.8,7.91,6007
2016-04-06,7.86,7.98,7.6,7.65,12934
2016-04-07,7.66,7.66,7.46,7.55,3114
2016-04-08,7.61,7.96,7.56,7.73,46495
2016-04-11,7.76,7.99,7.45,7.77,48916
2016-04-12,7.71,7.8,7.47,7.57,18055
2016-04-13,7.44,7.5,7.27,7.42,6004
2016-04-14,7.51,7.73,7.51,7.71,7410
2016-04-15,7.79,7.8,7.65,7.74,31307
2016-04-18,7.68,7.81,7.56,7.64,6604
2016-04-19,7.64,7.77,7.39,7.75,24738
2016-04-20,7.79,7.8,7.6,7.62,8018
2016-04-21,7.82,7.82,7.48,7.54,6596
2016-04-22,7.53,7.73,7.46,7.69,30949
2016-04-25,7.76,7.8,7.47,7.71,32324
2016-04-26,7.68,7.81,7.52,7.57,37002
2016-04-27,7.51,7.63,7.5,7.52,35559
2016-04-28,7.56,7.85,7.5,7.71,36168
2016-04-29,7.77,8.55,7.6,8.55,116113
2016-05-02,8.45,8.48,8.15,8.15,64787
2016-05-03,8.1,8.24,8.09,8.11,11113
2016-05-04,8.07,8.21,7.98,7.98,18809
2016-05-05,8.02,8.18,8.01,8.12,26728
2016-05-06,8.15,8.21,8.08,8.1,30832
2016-05-09,8.22,8.26,8.01,8.16,17264
2016-05-10,8.32,8.9,8.21,8.27,24259
2016-05-11,7.56,9.58,7.53,9.1,110359
2016-05-12,9.02,9.32,8.8,8.93,44264
2016-05-13,8.86,8.99,8.75,8.82,219526
2016-05-16,9.07,9.09,8.78,8.79,37451
2016-05-17,8.82,8.82,8.68,8.72,90345
2016-05-18,8.71,8.82,8.61,8.68,47919
2016-05-19,8.62,8.8,8.61,8.69,39606
2016-05-20,8.85,8.86,8.74,8.79,110996
2016-05-23,8.84,8.88,8.75,8.77,17003
2016-05-24,8.77,8.89,8.64,8.77,42507
2016-05-25,8.8,9.0,8.8,8.82,164552
2016-05-26,8.82,8.98,8.71,8.86,34856
2016-05-27,8.86,8.97,8.75,8.85,42772
2016-05-31,8.83,8.98,8.83,8.93,14777
2016-06-01,8.86,9.09,8.8,8.87,20449
2016-06-02,9.08,9.23,8.74,8.87,27830
2016-06-03,9.08,9.26,8.78,8.81,25215
2016-06-06,9.09,9.09,8.8,9.0,27826
2016-06-07,8.75,9.05,8.75,8.8,148467
2016-06-08,8.8,9.09,8.8,8.9,35589
2016-06-09,8.95,9.03,8.85,9.0,58536
2016-06-10,9.0,9.31,9.0,9.15,20996
2016-06-13,9.15,9.15,8.99,9.07,20794
2016-06-14,9.07,9.34,8.95,9.15,20597
2016-06-15,9.15,9.38,9.1,9.2,14863
2016-06-16,9.2,9.27,9.13,9.17,70642
2016-06-17,9.13,9.15,9.0,9.05,16798
2016-06-20,9.08,9.34,9.04,9.09,39899
2016-06-21,9.14,9.17,8.98,8.98,4086
2016-06-22,9.02,9.11,8.88,9.0,218202
2016-06-23,9.04,9.23,8.94,9.11,12250
2016-06-24,8.96,9.04,8.93,8.96,12960
2016-06-27,8.99,9.0,8.76,8.82,20160
2016-06-28,8.79,8.99,8.45,8.46,39886
2016-06-29,8.55,8.57,8.49,8.5,53923
