Date,Open,High,Low,Close,Volume
2016-01-04,5.24,5.49,4.9,5.44,28949
2016-01-05,5.35,5.66,4.8,4.94,77291
2016-01-06,4.8,5.31,4.8,5.0,60146
2016-01-07,5.0,5.32,4.45,4.48,97579
2016-01-08,4.64,4.64,3.9,4.01,20460
2016-01-11,6.94,10.35,6.92,7.34,8384465
2016-01-12,7.19,7.59,6.6,7.49,643958
2016-01-13,8.0,10.56,7.63,8.35,1746096
2016-01-14,8.01,8.31,7.17,7.6,563247
2016-01-15,7.5,8.49,7.22,7.66,371904
2016-01-19,8.3,8.48,7.7,7.72,185102
2016-01-20,7.86,8.36,7.1,7.6,345633
2016-01-21,7.48,8.17,7.16,7.75,201353
2016-01-22,8.01,8.08,7.61,7.72,133953
2016-01-25,7.67,8.36,7.06,7.24,209194
2016-01-26,6.96,7.38,6.96,7.12,45225
2016-01-27,6.96,7.44,6.27,6.3,88316
2016-01-28,6.08,6.58,5.88,6.41,150291
2016-01-29,6.66,7.33,6.6,6.73,104085
2016-02-01,6.62,7.15,6.08,6.57,39728
2016-02-02,6.85,6.98,6.2,6.28,19409
2016-02-03,6.5,6.57,5.73,5.92,129573
2016-02-04,5.82,7.65,5.7,7.57,170366
2016-02-05,7.56,7.92,6.4,6.7,149595
2016-02-08,6.56,6.94,6.04,6.31,79365
2016-02-09,6.17,6.88,6.05,6.35,112464
2016-02-10,6.42,7.28,6.16,6.88,60277
2016-02-11,6.87,7.1,6.8,7.07,10577
2016-02-12,6.93,7.04,6.76,6.82,8502
2016-02-16,7.2,7.2,6.58,6.58,47063
2016-02-17,7.01,7.01,6.76,6.9,5396
2016-02-18,6.8,7.01,6.53,6.68,25513
2016-02-19,6.42,6.96,6.23,6.82,153991
2016-02-22,6.94,7.42,6.52,6.7,232145
2016-02-23,7.27,7.27,6.23,6.23,172076
2016-02-24,6.64,6.64,6.06,6.31,127048
2016-02-25,6.74,6.78,6.05,6.05,30648
2016-02-26,6.19,6.25,5.54,5.54,56139
2016-02-29,5.48,5.69,5.31,5.61,18214
2016-03-01,5.74,6.45,5.48,5.92,108785
2016-03-02,6.06,6.07,5.73,5.92,21003
2016-03-03,6.09,6.09,5.7,5.92,56531
2016-03-04,5.85,6.12,5.71,5.71,46055
2016-03-07,5.71,6.11,5.51,5.51,20650
2016-03-08,5.5,5.5,5.24,5.4,26374
2016-03-09,5.33,5.5,5.24,5.24,30721
2016-03-10,5.28,5.34,4.55,4.65,83741
2016-03-11,4.88,5.03,4.53,4.65,48016
2016-03-14,4.82,5.09,4.56,4.61,62778
2016-03-15,4.5,4.55,4.35,4.35,12639
2016-03-16,4.35,4.6,4.35,4.6,45600
2016-03-17,4.55,4.73,4.35,4.67,41458
2016-03-18,4.54,4.84,4.38,4.61,23188
