Date,Open,High,Low,Close,Volume
2016-01-04,12.01,12.01,11.6,11.93,296397
2016-01-05,11.98,12.05,11.84,11.99,231369
2016-01-06,11.83,11.83,11.32,11.33,469885
2016-01-07,11.09,11.33,10.99,11.0,645118
2016-01-08,11.02,11.1,10.75,10.78,328820
2016-01-11,10.83,10.94,10.8,10.89,296414
2016-01-12,11.01,11.01,10.78,10.96,202470
2016-01-13,10.95,11.07,10.58,10.7,325091
2016-01-14,10.73,10.98,10.65,10.93,274422
2016-01-15,10.66,10.81,10.49,10.75,378616
2016-01-19,10.88,10.92,10.59,10.8,339917
2016-01-20,10.7,10.82,10.43,10.71,230357
2016-01-21,10.75,10.87,10.68,10.74,168065
2016-01-22,10.94,11.06,10.82,11.06,222750
2016-01-25,11.0,11.05,10.85,11.0,274749
2016-01-26,10.59,11.31,10.59,11.22,443785
2016-01-27,11.36,11.54,11.15,11.22,378880
2016-01-28,11.25,11.29,11.0,11.1,304676
2016-01-29,11.18,11.48,11.18,11.48,563421
2016-02-01,11.38,11.53,11.25,11.48,315090
2016-02-02,11.38,11.39,11.18,11.3,293240
2016-02-03,11.39,11.45,11.16,11.4,223532
2016-02-04,11.41,11.56,11.35,11.55,199107
2016-02-05,11.5,11.54,11.19,11.19,396746
2016-02-08,11.05,11.4,11.04,11.37,255689
2016-02-09,11.21,11.44,11.21,11.33,166447
2016-02-10,11.41,11.54,11.19,11.2,165619
2016-02-11,11.05,11.31,10.96,11.27,219237
2016-02-12,11.35,11.46,11.21,11.42,277549
2016-02-16,11.53,11.75,11.46,11.72,172397
2016-02-17,11.67,11.7,11.49,11.65,253877
2016-02-18,11.72,11.79,11.63,11.66,150642
2016-02-19,11.62,11.73,11.53,11.72,205896
2016-02-22,11.8,11.91,11.66,11.68,139117
2016-02-23,11.64,11.68,11.37,11.43,296813
2016-02-24,11.35,11.65,11.29,11.64,161084
2016-02-25,11.64,11.64,11.5,11.56,243704
2016-02-26,11.6,11.71,11.54,11.67,221914
2016-02-29,11.68,11.84,11.68,11.74,393769
2016-03-01,11.85,11.88,11.7,11.76,199963
2016-03-02,11.77,11.78,11.67,11.72,192305
2016-03-03,11.72,11.9,11.67,11.9,286634
2016-03-04,11.87,11.94,11.84,11.91,441855
2016-03-07,11.89,12.16,11.88,12.16,355285
2016-03-08,12.13,12.33,12.03,12.1,272265
2016-03-09,12.11,12.2,12.04,12.07,133305
2016-03-10,12.13,12.26,11.98,12.13,158459
2016-03-11,12.22,12.34,12.14,12.34,213158
2016-03-14,12.31,12.43,12.28,12.42,232211
2016-03-15,12.37,12.43,12.23,12.29,262727
2016-03-16,12.23,12.33,12.2,12.28,138833
2016-03-17,12.25,12.59,12.24,12.56,150324
2016-03-18,12.62,12.68,12.55,12.63,422455
2016-03-21,12.6,12.62,12.44,12.53,118746
2016-03-22,12.47,12.58,12.41,12.47,100451
2016-03-23,12.45,12.45,12.17,12.18,123821
2016-03-24,12.12,12.29,11.96,12.26,123459
2016-03-28,12.27,12.3,12.15,12.18,108574
2016-03-29,12.18,12.45,12.1,12.43,185075
2016-03-30,12.47,12.6,12.45,12.52,154003
2016-03-31,12.52,12.57,12.44,12.57,155759
2016-04-01,12.48,12.48,12.32,12.45,139852
2016-04-04,12.45,12.45,12.18,12.18,122854
2016-04-05,12.09,12.14,11.98,12.08,239416
2016-04-06,12.03,12.03,11.78,11.91,264184
2016-04-07,11.85,11.89,11.77,11.82,387791
2016-04-08,11.95,12.08,11.92,11.99,201602
2016-04-11,12.05,12.27,12.03,12.19,218235
2016-04-12,12.19,12.3,12.16,12.28,206110
2016-04-13,12.36,12.68,12.36,12.68,189127
2016-04-14,12.53,12.61,12.45,12.53,143143
2016-04-15,12.5,12.58,12.46,12.58,159919
2016-04-18,12.58,12.62,12.47,12.5,158205
2016-04-19,12.62,12.7,12.49,12.5,130145
2016-04-20,12.5,12.51,12.43,12.47,79336
2016-04-21,12.46,12.5,12.34,12.42,91417
2016-04-22,12.46,12.59,12.34,12.47,112065
2016-04-25,12.48,12.48,12.28,12.37,103438
2016-04-26,13.23,13.25,12.9,13.23,249139
2016-04-27,13.13,13.4,13.05,13.25,248408
2016-04-28,13.3,13.69,13.2,13.28,307954
2016-04-29,13.25,13.28,13.13,13.22,213137
2016-05-02,13.21,13.35,13.09,13.17,294076
2016-05-03,13.12,13.17,12.97,13.11,167568
2016-05-04,13.09,13.23,12.87,12.9,208773
2016-05-05,12.91,13.01,12.82,12.82,161251
2016-05-06,12.77,12.94,12.69,12.93,137017
2016-05-09,12.93,13.0,12.75,12.83,116547
2016-05-10,12.86,13.06,12.86,13.04,138971
2016-05-11,13.01,13.09,12.96,13.04,136131
2016-05-12,13.05,13.1,12.85,12.92,102162
2016-05-13,12.9,12.97,12.77,12.78,127819
2016-05-16,12.8,13.07,12.8,13.03,103246
2016-05-17,13.01,13.1,12.8,12.86,159502
2016-05-18,12.86,13.14,12.81,13.0,93402
2016-05-19,12.96,13.07,12.77,12.89,69401
2016-05-20,12.97,13.34,12.89,13.34,198380
2016-05-23,13.29,13.53,13.29,13.4,188853
2016-05-24,13.41,13.53,13.34,13.49,258369
2016-05-25,13.5,13.55,13.45,13.5,108141
2016-05-26,13.5,13.58,13.49,13.54,74089
2016-05-27,13.5,13.71,13.5,13.71,150089
2016-05-31,13.69,13.82,13.66,13.81,134889
2016-06-01,13.61,13.92,13.55,13.82,229754
2016-06-02,13.82,13.85,13.72,13.85,140154
2016-06-03,13.86,13.86,13.64,13.8,244573
2016-06-06,13.81,14.05,13.77,13.97,119954
2016-06-07,13.94,14.01,13.86,14.01,113959
2016-06-08,14.05,14.24,14.05,14.23,111872
2016-06-09,14.17,14.2,14.08,14.17,124698
2016-06-10,14.1,14.1,13.91,13.98,218096
2016-06-13,13.94,14.07,13.79,13.84,107017
2016-06-14,13.78,14.0,13.78,13.98,107551
2016-06-15,14.05,14.05,13.92,13.93,111771
2016-06-16,13.85,13.96,13.77,13.94,204646
2016-06-17,13.97,14.03,13.62,13.82,385118
2016-06-20,14.01,14.22,13.98,14.12,148291
2016-06-21,14.15,14.22,14.05,14.11,95169
2016-06-22,14.11,14.2,13.99,14.02,100669
2016-06-23,14.07,14.18,13.97,14.13,279052
2016-06-24,13.59,13.78,13.33,13.34,318562
2016-06-27,13.27,13.27,13.01,13.06,237706
2016-06-28,13.13,13.34,13.13,13.26,137614
2016-06-29,13.37,13.45,13.3,13.41,117889
2016-06-30,13.44,13.58,13.32,13.58,193326
2016-07-01,13.56,13.72,13.52,13.57,97813
2016-07-05,13.49,13.51,13.24,13.33,85341
2016-07-06,13.24,13.24,13.04,13.18,149844
2016-07-07,13.17,13.35,13.17,13.31,109001
2016-07-08,13.45,13.63,13.45,13.61,170374
2016-07-11,13.74,13.86,13.67,13.69,173964
2016-07-12,13.71,13.92,13.71,13.89,192054
2016-07-13,13.91,13.98,13.63,13.91,197877
2016-07-14,13.95,14.07,13.87,13.88,132535
2016-07-15,13.98,13.98,13.84,13.88,165814
2016-07-18,14.01,14.06,13.8,13.9,151794
2016-07-19,13.92,13.97,13.79,13.79,146966
2016-07-20,13.76,13.99,13.76,13.95,193598
2016-07-21,13.98,14.0,13.81,13.81,100192
2016-07-22,13.8,13.87,13.75,13.82,104955
2016-07-25,13.8,13.95,13.75,13.87,119779
2016-07-26,13.85,13.89,13.76,13.84,116232
2016-07-27,14.11,14.14,13.63,13.71,241821
2016-07-28,13.68,13.73,13.52,13.67,188313
2016-07-29,13.66,13.72,13.55,13.66,210673
2016-08-01,13.65,13.71,13.59,13.64,284910
2016-08-02,13.64,13.69,13.44,13.45,212471
2016-08-03,13.46,13.59,13.4,13.45,242453
2016-08-04,13.35,13.45,13.26,13.38,176776
2016-08-05,13.43,13.6,13.43,13.56,181810
2016-08-08,13.58,13.77,13.58,13.72,183531
2016-08-09,13.73,13.78,13.65,13.67,155159
2016-08-10,13.68,13.72,13.59,13.69,133295
2016-08-11,13.69,13.76,13.66,13.7,121328
2016-08-12,13.66,13.81,13.63,13.78,165791
2016-08-15,13.94,13.94,13.8,13.86,177954
2016-08-16,13.85,13.85,13.65,13.65,126037
2016-08-17,13.61,13.61,13.45,13.51,191233
2016-08-18,13.52,13.71,13.52,13.68,121057
2016-08-19,13.64,13.72,13.64,13.7,126642
2016-08-22,13.7,13.7,13.57,13.66,75732
2016-08-23,13.73,13.91,13.66,13.82,176926
2016-08-24,13.78,13.78,13.69,13.75,115075
2016-08-25,13.73,13.83,13.66,13.77,90981
2016-08-26,13.75,13.86,13.68,13.77,96841
2016-08-29,13.79,13.85,13.71,13.77,96389
2016-08-30,13.75,13.87,13.74,13.82,77131
2016-08-31,13.76,13.78,13.65,13.74,217022
2016-09-01,13.72,13.84,13.63,13.83,131985
2016-09-02,13.9,13.93,13.77,13.78,151767
2016-09-06,13.83,13.83,13.72,13.76,115425
2016-09-07,13.73,13.81,13.73,13.76,132440
2016-09-08,13.76,13.8,13.7,13.75,125162
2016-09-09,13.63,13.65,13.28,13.28,121505
2016-09-12,13.18,13.4,13.08,13.4,109183
2016-09-13,13.33,13.34,13.13,13.21,159046
2016-09-14,13.2,13.27,13.09,13.2,69658
2016-09-15,13.15,13.36,13.13,13.36,70260
2016-09-16,13.33,13.37,13.15,13.35,332650
2016-09-19,13.48,13.61,13.41,13.44,90316
2016-09-20,13.52,13.57,13.39,13.41,71596
2016-09-21,13.5,13.66,13.45,13.64,130287
2016-09-22,13.66,13.86,13.66,13.86,132213
2016-09-23,13.83,13.83,13.6,13.61,157054
2016-09-26,13.54,13.62,13.47,13.47,92327
2016-09-27,13.51,13.61,13.48,13.6,69670
2016-09-28,13.61,13.72,13.54,13.64,180955
2016-09-29,13.58,13.67,13.42,13.45,143253
2016-09-30,13.55,13.85,13.53,13.79,146884
2016-10-03,13.76,13.76,13.62,13.67,91779
2016-10-04,13.72,13.78,13.58,13.65,85051
2016-10-05,13.76,13.93,13.7,13.84,107281
2016-10-06,13.78,13.94,13.62,13.94,112641
2016-10-07,13.95,13.95,13.69,13.8,339412
2016-10-10,13.89,14.14,13.87,14.08,217772
2016-10-11,14.08,14.08,13.87,13.89,146678
2016-10-12,13.95,13.98,13.8,13.93,132066
2016-10-13,13.9,13.9,13.68,13.73,116309
