Date,Open,High,Low,Close,Volume
2016-01-04,36.85,37.11,36.64,37.03,751067
2016-01-05,37.0,37.35,36.72,36.95,861046
2016-01-06,36.64,36.91,36.56,36.63,721471
2016-01-07,36.12,36.61,36.02,36.19,629821
2016-01-08,36.17,36.35,35.63,35.65,701084
2016-01-11,35.7,36.03,35.5,35.9,660579
2016-01-12,36.11,36.17,35.77,36.11,728554
2016-01-13,36.13,36.24,35.68,35.83,765680
2016-01-14,35.87,36.19,35.45,35.98,840917
2016-01-15,35.13,35.45,34.73,35.12,674965
2016-01-19,35.21,35.32,34.64,34.78,844703
2016-01-20,34.41,34.62,33.72,34.39,824640
2016-01-21,34.46,34.85,34.32,34.56,727910
2016-01-22,34.86,35.39,34.86,35.38,564277
2016-01-25,35.23,35.76,35.12,35.36,724260
2016-01-26,35.43,35.84,35.32,35.79,537106
2016-01-27,35.66,35.93,35.36,35.54,618153
2016-01-28,35.76,35.99,35.64,35.82,354093
2016-01-29,35.94,36.59,35.83,36.59,732688
2016-02-01,36.31,36.99,36.11,36.73,623488
2016-02-02,36.43,36.72,36.32,36.54,520818
2016-02-03,36.69,36.99,36.26,36.51,1319136
2016-02-04,35.51,35.65,30.75,31.65,3507971
2016-02-05,31.1,31.57,30.48,31.13,2008547
2016-02-08,30.91,31.92,30.29,31.8,1640681
2016-02-09,31.68,32.32,30.84,31.42,1346136
2016-02-10,31.45,31.7,31.06,31.06,991977
2016-02-11,30.7,31.01,30.53,30.75,807437
2016-02-12,30.92,31.72,30.75,30.83,1436047
2016-02-16,30.96,31.16,30.72,31.01,850287
2016-02-17,31.12,31.26,30.78,31.04,869243
2016-02-18,31.06,31.87,30.96,31.82,778220
2016-02-19,31.52,32.23,31.5,32.17,657923
2016-02-22,32.42,32.56,31.82,31.95,794079
2016-02-23,31.94,32.04,31.47,31.72,694116
2016-02-24,31.63,32.17,31.39,32.08,579536
2016-02-25,32.2,32.55,32.15,32.52,424048
2016-02-26,32.61,33.1,32.61,32.86,719049
2016-02-29,32.81,32.81,32.37,32.39,640701
2016-03-01,32.65,32.91,32.4,32.91,797039
2016-03-02,32.88,33.26,32.75,33.11,410029
2016-03-03,33.01,34.18,32.96,33.99,1068497
2016-03-04,33.89,34.62,33.73,34.46,785348
2016-03-07,34.39,34.87,34.38,34.63,553549
2016-03-08,34.39,34.54,33.97,34.02,494366
2016-03-09,34.11,34.19,33.82,34.04,630358
2016-03-10,34.13,34.18,33.78,34.1,341025
