Date,Open,High,Low,Close,Volume
2016-01-04,59.58,59.73,57.82,59.61,169192
2016-01-05,59.76,60.1,57.79,58.06,110032
2016-01-06,57.29,57.29,55.86,56.06,107430
2016-01-07,54.94,55.41,52.51,53.65,235030
2016-01-08,54.03,54.21,51.92,52.04,195469
2016-01-11,52.4,52.7,51.29,52.11,189043
2016-01-12,52.69,53.68,51.55,53.64,344763
2016-01-13,53.7,54.11,51.0,51.96,334199
2016-01-14,51.8,51.88,49.32,50.6,369605
2016-01-15,49.37,49.72,47.46,49.13,339605
2016-01-19,49.66,49.66,47.92,48.72,208181
2016-01-20,47.91,48.1,45.89,47.95,314484
2016-01-21,48.16,48.49,47.24,47.49,244868
2016-01-22,48.43,49.12,47.73,48.67,238755
2016-01-25,48.42,48.85,46.59,46.7,152606
2016-01-26,47.21,47.99,46.49,47.71,292562
2016-01-27,47.43,48.6,47.03,47.09,165411
2016-01-28,47.64,48.01,46.78,46.98,267993
2016-01-29,47.4,49.47,47.4,49.44,336061
2016-02-01,48.75,48.99,47.5,48.78,272203
2016-02-02,45.0,45.0,40.15,41.15,1056506
2016-02-03,40.76,41.35,38.76,40.63,723494
2016-02-04,40.57,43.03,40.37,42.01,371488
2016-02-05,41.8,42.12,40.58,40.64,335601
2016-02-08,39.99,40.19,38.18,39.38,386986
2016-02-09,38.83,40.02,38.29,38.77,224232
2016-02-10,39.1,40.18,38.94,39.38,190863
2016-02-11,38.34,38.92,37.6,38.29,252574
2016-02-12,38.64,39.77,38.38,39.59,220016
2016-02-16,40.45,41.77,40.29,41.7,370300
2016-02-17,42.18,42.73,41.81,42.5,294732
2016-02-18,42.7,43.08,42.26,42.68,140051
2016-02-19,42.37,42.8,41.72,42.79,165638
2016-02-22,43.54,43.85,42.95,43.07,260850
2016-02-23,43.0,43.41,42.37,42.38,159323
2016-02-24,41.81,43.13,41.02,43.1,154728
2016-02-25,43.07,43.07,41.74,42.21,167047
2016-02-26,42.65,43.79,42.41,43.22,140732
2016-02-29,43.4,43.49,42.78,42.83,162549
2016-03-01,43.32,43.61,42.81,43.54,133239
2016-03-02,43.43,44.06,43.27,44.0,166697
2016-03-03,44.06,45.05,44.06,44.97,205572
2016-03-04,45.25,46.02,44.69,45.91,218985
2016-03-07,45.74,47.33,45.5,47.33,325246
2016-03-08,46.94,47.56,45.87,46.64,284675
2016-03-09,47.07,47.95,46.19,46.47,230463
2016-03-10,46.77,46.96,45.67,46.79,199582
2016-03-11,47.3,47.9,46.94,47.37,130404
2016-03-14,47.16,47.43,46.7,47.11,162838
2016-03-15,46.8,47.1,46.1,47.0,205555
2016-03-16,46.72,48.54,46.72,48.38,341492
2016-03-17,48.21,50.25,47.72,49.93,339139
2016-03-18,50.2,50.79,49.43,50.63,438507
