Date,Open,High,Low,Close,Volume
2016-01-04,18.74,18.8,18.2,18.52,1552969
2016-01-05,18.6,18.61,17.51,17.61,2245522
2016-01-06,17.33,17.36,16.76,16.86,1974041
2016-01-07,16.57,16.58,15.88,16.03,1989496
2016-01-08,16.4,16.45,15.82,15.86,2770847
2016-01-11,15.98,16.35,15.91,16.25,1908972
2016-01-12,16.48,16.6,16.1,16.35,1752901
2016-01-13,16.27,16.32,13.32,13.58,7481347
2016-01-14,13.6,13.88,12.77,13.48,5081630
2016-01-15,12.93,13.54,12.81,13.43,3246190
2016-01-19,13.62,13.67,12.96,13.18,2519796
2016-01-20,13.0,13.08,12.57,12.95,2696882
2016-01-21,13.02,13.27,12.88,13.1,2120710
2016-01-22,13.37,13.71,13.14,13.21,2737782
2016-01-25,13.08,13.14,12.42,12.44,1612496
2016-01-26,12.69,13.47,12.69,13.39,2103980
2016-01-27,13.38,13.48,12.72,12.87,1390922
2016-01-28,13.04,13.08,12.38,12.6,1745864
2016-01-29,12.85,12.85,12.22,12.82,1581996
2016-02-01,12.65,13.11,12.37,13.04,1974322
2016-02-02,12.66,12.84,12.06,12.2,2356704
2016-02-03,12.38,12.43,11.49,12.16,1782134
2016-02-04,12.32,12.6,11.91,12.29,2171214
2016-02-05,12.19,12.85,12.12,12.36,2091810
2016-02-08,12.15,12.23,11.57,12.08,1865367
2016-02-09,11.86,12.26,11.66,11.95,2158688
2016-02-10,12.11,12.54,11.85,11.9,2441554
2016-02-11,11.71,12.21,11.44,11.75,3062483
2016-02-12,13.57,14.55,12.31,14.39,4743782
2016-02-16,14.12,14.82,13.91,14.68,2782167
2016-02-17,14.88,15.4,14.78,15.12,2092139
2016-02-18,15.11,15.11,14.5,14.73,1716028
2016-02-19,14.58,14.65,14.14,14.43,1112544
2016-02-22,14.62,14.85,14.51,14.81,1048689
2016-02-23,14.76,14.95,14.46,14.46,1106285
2016-02-24,14.23,14.44,13.95,14.41,1339365
2016-02-25,14.41,14.64,14.23,14.62,1170534
2016-02-26,14.8,14.92,14.59,14.83,1109484
2016-02-29,14.95,15.07,14.58,14.62,1258856
2016-03-01,14.87,15.41,14.55,15.4,2034752
2016-03-02,15.35,15.66,15.26,15.5,1280937
2016-03-03,15.55,15.94,15.53,15.78,837112
2016-03-04,15.77,15.91,15.26,15.43,1516730
2016-03-07,15.3,15.61,15.21,15.59,1592831
2016-03-08,15.41,15.51,14.64,14.77,1899673
2016-03-09,14.81,15.17,14.8,15.0,1162266
2016-03-10,15.06,15.16,14.14,14.48,1130540
2016-03-11,14.66,15.07,14.57,15.03,1217833
2016-03-14,14.98,14.98,14.58,14.94,1041470
2016-03-15,14.85,14.99,14.56,14.98,943312
2016-03-16,14.92,15.43,14.83,15.34,1097090
2016-03-17,15.34,15.74,15.22,15.67,1568921
