Date,Open,High,Low,Close,Volume
2016-01-04,33.5,33.51,33.05,33.4,3416472
2016-01-05,33.36,33.94,33.34,33.9,2927595
2016-01-06,33.16,33.5,33.12,33.34,3316108
2016-01-07,32.41,32.68,32.05,32.14,7041283
2016-01-08,32.54,32.57,31.7,31.77,3081104
2016-01-11,31.81,31.83,31.17,31.54,4113948
2016-01-12,31.57,31.8,31.33,31.7,2956057
2016-01-13,32.18,32.21,31.33,31.45,3526215
2016-01-14,31.35,31.89,31.09,31.81,4194886
2016-01-15,30.38,30.77,30.25,30.59,5119203
2016-01-19,31.06,31.07,30.56,30.82,4357880
2016-01-20,30.47,31.05,29.96,30.77,5081209
2016-01-21,30.69,30.88,30.2,30.69,5120760
2016-01-22,31.61,31.69,31.31,31.48,6369670
2016-01-25,31.87,31.97,31.53,31.55,3364662
2016-01-26,31.72,31.99,31.32,31.82,4076525
2016-01-27,32.07,32.2,31.42,31.57,4807476
2016-01-28,32.04,32.05,30.97,31.23,5088051
2016-01-29,31.65,32.24,31.55,32.22,5120578
2016-02-01,32.02,32.76,31.94,32.53,5089996
2016-02-02,32.53,32.53,32.15,32.3,5603057
2016-02-03,32.77,32.82,31.98,32.39,7690921
2016-02-04,30.14,30.53,29.92,30.47,12593921
2016-02-05,30.17,30.22,29.81,30.03,11222074
2016-02-08,29.07,29.09,28.29,28.69,11646035
2016-02-09,28.32,28.8,28.3,28.59,6106750
2016-02-10,28.98,29.38,28.94,29.04,4790053
2016-02-11,29.5,29.5,28.88,29.15,4846045
2016-02-12,29.18,29.68,29.14,29.66,2995676
2016-02-16,29.76,30.46,29.66,30.31,5604418
2016-02-17,29.76,30.16,29.58,30.06,4602030
2016-02-18,29.72,29.87,29.62,29.7,4789078
2016-02-19,29.17,29.6,29.17,29.56,4258551
2016-02-22,29.35,29.62,29.35,29.59,3111308
2016-02-23,29.35,29.57,29.27,29.31,4979374
2016-02-24,28.85,29.16,28.66,29.15,3819235
2016-02-25,29.35,29.65,29.2,29.64,2846148
2016-02-26,29.58,29.64,29.34,29.37,3645468
2016-02-29,28.74,28.9,28.57,28.67,4849915
2016-03-01,28.58,29.09,28.47,29.02,5312826
2016-03-02,28.74,29.04,28.64,29.01,5850285
2016-03-03,28.48,28.76,28.36,28.74,4247917
2016-03-04,28.64,29.09,28.6,28.87,4312136
2016-03-07,28.52,28.99,28.44,28.87,3872306
2016-03-08,28.83,29.15,28.81,28.96,3617759
2016-03-09,29.13,29.28,29.07,29.28,3827406
2016-03-10,29.25,29.4,28.91,29.0,5378193
2016-03-11,29.17,29.63,29.12,29.57,7359398
2016-03-14,29.33,29.45,29.2,29.35,8733122
2016-03-15,28.74,28.81,28.42,28.46,7214853
2016-03-16,28.25,28.73,28.18,28.64,4746547
2016-03-17,28.75,28.92,28.64,28.82,6485443
2016-03-18,28.53,28.64,28.33,28.48,4814377
2016-03-21,28.28,28.47,28.28,28.4,3712716
2016-03-22,27.7,28.25,27.68,28.17,8216300
2016-03-23,28.16,28.28,27.96,28.01,3934864
2016-03-24,27.82,28.02,27.78,28.0,3155837
2016-03-28,28.13,28.22,27.93,27.95,2975726
2016-03-29,28.0,28.61,27.91,28.53,2935078
2016-03-30,28.42,28.6,28.32,28.32,2518868
2016-03-31,28.29,28.45,28.16,28.16,2181748
2016-04-01,27.75,28.28,27.7,28.22,3135423
2016-04-04,28.79,28.79,28.53,28.56,3821852
2016-04-05,28.32,28.47,28.17,28.29,5073626
2016-04-06,28.91,29.87,28.9,29.79,5189749
2016-04-07,29.59,29.8,29.52,29.63,4481769
2016-04-08,29.6,29.63,29.38,29.45,2949013
2016-04-11,29.52,29.54,29.04,29.09,3079667
2016-04-12,28.99,29.22,28.77,29.17,3234007
2016-04-13,29.39,29.61,29.27,29.54,2761360
2016-04-14,29.59,29.72,29.47,29.64,1987889
2016-04-15,29.74,29.8,29.59,29.71,2264452
2016-04-18,29.66,30.27,29.66,30.2,7260127
2016-04-19,30.27,30.41,30.13,30.25,4316391
2016-04-20,30.0,30.28,29.97,30.17,3514209
2016-04-21,29.95,30.17,29.93,30.13,4085530
2016-04-22,30.09,30.18,29.86,30.1,2274639
2016-04-25,29.97,30.06,29.86,30.01,2693350
2016-04-26,29.69,29.79,29.49,29.6,3805550
2016-04-27,29.37,29.58,29.31,29.42,4799418
2016-04-28,29.22,29.51,29.09,29.27,3697015
2016-04-29,29.73,29.76,28.88,28.96,4750611
2016-05-02,29.11,29.29,28.91,29.28,2607929
2016-05-03,28.81,29.17,28.75,28.92,5231551
2016-05-04,28.2,28.35,28.08,28.26,4891973
2016-05-05,28.09,28.21,27.94,28.1,3872560
2016-05-06,27.9,28.05,27.74,27.96,2878030
2016-05-09,28.63,28.93,28.56,28.78,3355664
2016-05-10,28.81,29.0,28.73,28.94,3312037
2016-05-11,28.78,28.92,28.6,28.61,2256284
2016-05-12,28.98,28.98,28.37,28.39,3612969
2016-05-13,28.39,28.7,28.39,28.5,4734052
2016-05-16,28.42,28.84,28.41,28.79,3673471
2016-05-17,28.9,28.94,28.67,28.79,2373839
2016-05-18,28.8,28.91,28.61,28.85,3789954
2016-05-19,28.49,28.5,28.11,28.38,2986880
2016-05-20,28.49,28.83,28.48,28.69,3640641
2016-05-23,28.69,28.82,28.54,28.65,3350074
2016-05-24,29.04,29.53,29.03,29.48,3529022
2016-05-25,29.92,30.09,29.76,29.98,4720358
2016-05-26,29.68,30.08,29.67,29.95,5469941
2016-05-27,29.58,29.9,29.58,29.88,4883428
2016-05-31,30.09,30.2,29.56,29.7,4573150
2016-06-01,29.36,29.56,29.34,29.45,4156038
2016-06-02,29.4,29.74,29.34,29.67,3038510
2016-06-03,29.84,29.9,29.55,29.73,2759836
2016-06-06,29.77,30.03,29.77,29.87,2787714
2016-06-07,29.88,30.0,29.82,29.85,4011037
2016-06-08,29.91,29.91,29.6,29.64,3686836
2016-06-09,29.2,29.37,28.92,28.96,3629323
2016-06-10,28.17,28.22,27.75,27.97,5556510
2016-06-13,27.69,27.91,27.56,27.6,3772564
2016-06-14,27.16,27.32,26.99,27.26,6096243
2016-06-15,27.57,27.76,27.3,27.37,4787591
2016-06-16,27.16,27.68,26.97,27.63,6182574
2016-06-17,27.75,27.75,27.44,27.58,8598610
2016-06-20,28.89,28.9,28.4,28.42,5178014
2016-06-21,28.75,28.9,28.57,28.64,4146878
2016-06-22,28.98,29.19,28.64,28.7,6579673
2016-06-23,29.12,29.31,28.8,29.29,4196994
2016-06-24,27.65,28.76,27.61,27.86,10567309
2016-06-27,27.91,28.05,27.57,27.95,8211286
2016-06-28,28.46,29.17,28.39,29.09,5927770
2016-06-29,29.68,30.12,29.41,29.85,6757438
2016-06-30,29.63,30.24,29.59,30.19,5627490
2016-07-01,30.19,30.46,30.12,30.42,4066705
2016-07-05,29.98,30.28,29.98,30.15,4031833
2016-07-06,29.77,30.11,29.68,30.09,4352131
2016-07-07,30.3,30.41,29.98,30.11,3846428
2016-07-08,29.93,30.29,29.9,30.11,3788289
2016-07-11,29.93,30.2,29.85,29.97,3773742
2016-07-12,29.87,30.31,29.83,30.2,11359333
2016-07-13,30.31,30.48,30.15,30.16,9620713
2016-07-14,30.48,30.5,30.16,30.34,9503186
2016-07-15,30.42,30.46,30.12,30.24,7349686
2016-07-18,30.48,30.63,30.44,30.55,5850035
2016-07-19,30.31,30.44,30.17,30.3,7143592
2016-07-20,30.49,30.73,30.47,30.57,5953045
2016-07-21,30.37,30.62,30.37,30.53,9729698
2016-07-22,30.44,31.23,30.4,31.13,12323120
2016-07-25,31.07,31.28,30.89,31.15,8189835
2016-07-26,31.12,31.2,30.75,30.91,8335475
2016-07-27,31.05,31.57,31.04,31.54,9422909
2016-07-28,32.54,34.35,32.51,34.29,20001285
2016-07-29,34.01,34.34,33.47,34.14,11506526
2016-08-01,33.66,34.07,33.66,33.84,6605200
2016-08-02,34.0,34.34,33.83,34.21,7691553
2016-08-03,33.76,34.26,33.76,34.09,9400315
2016-08-04,34.07,34.46,34.03,34.3,6766477
2016-08-05,34.98,35.04,34.18,34.28,11262579
2016-08-08,34.18,34.62,34.15,34.5,6084947
2016-08-09,34.08,34.28,34.05,34.14,4840057
2016-08-10,33.76,33.76,33.5,33.55,3310140
2016-08-11,33.69,33.97,33.61,33.81,3568075
2016-08-12,33.57,33.75,33.38,33.54,5102921
2016-08-15,33.65,33.72,33.42,33.44,3672948
2016-08-16,33.5,33.72,33.44,33.55,3945206
2016-08-17,33.56,33.7,33.33,33.62,3680334
2016-08-18,33.41,33.69,33.38,33.57,3092237
2016-08-19,33.53,33.57,33.31,33.56,3266344
2016-08-22,33.56,33.98,33.56,33.85,6350125
2016-08-23,33.98,34.07,33.72,33.83,4632250
2016-08-24,34.15,34.51,33.42,33.5,5432011
2016-08-25,33.3,33.56,33.12,33.23,3894928
2016-08-26,33.15,33.44,32.78,33.05,4839141
2016-08-29,33.11,33.42,33.05,33.3,2478380
2016-08-30,33.15,33.31,33.07,33.21,4694221
2016-08-31,32.72,32.86,32.61,32.81,4773605
2016-09-01,32.37,32.69,32.36,32.6,6530974
2016-09-02,33.08,33.48,32.96,33.31,3625027
2016-09-06,33.18,33.28,33.04,33.09,3789101
2016-09-07,33.07,33.21,32.96,33.18,4487444
2016-09-08,32.83,33.08,32.82,33.04,6069396
2016-09-09,32.85,32.85,32.18,32.2,4467135
2016-09-12,32.53,33.34,32.47,33.24,3603504
2016-09-13,32.86,32.98,32.48,32.74,5833713
2016-09-14,32.91,33.27,32.83,33.1,6971713
2016-09-15,33.19,33.82,33.0,33.66,6023890
2016-09-16,34.12,34.15,33.68,33.82,5154736
2016-09-19,33.61,33.74,33.46,33.52,3330061
2016-09-20,33.98,34.06,33.59,33.65,3429700
2016-09-21,33.48,33.78,33.18,33.75,3941453
2016-09-22,34.23,34.34,34.11,34.28,4547893
2016-09-23,33.95,34.15,33.89,33.97,3795020
2016-09-26,33.67,33.7,33.43,33.55,4243288
2016-09-27,33.05,33.63,32.98,33.61,3677853
2016-09-28,33.99,34.09,33.73,33.82,8517959
2016-09-29,33.44,33.47,32.77,33.05,6969862
2016-09-30,32.91,33.17,32.86,32.86,4557364
2016-10-03,32.86,33.05,32.72,33.0,3088843
2016-10-04,32.97,33.27,32.34,32.57,5415371
2016-10-05,32.57,32.76,32.51,32.6,4325343
2016-10-06,32.3,32.44,32.17,32.26,3514564
2016-10-07,32.08,32.36,32.0,32.29,4009040
2016-10-10,32.02,32.2,32.02,32.06,3693999
2016-10-11,31.56,31.69,31.04,31.12,5619033
2016-10-12,30.98,31.08,30.68,30.8,3401032
2016-10-13,30.42,30.96,30.4,30.84,3447799
2016-10-14,30.72,30.84,30.57,30.59,4253067
2016-10-17,30.32,31.1,30.27,30.73,8283519
2016-10-18,31.39,31.41,31.16,31.27,3923081
2016-10-19,30.9,31.02,30.77,30.78,3033167
2016-10-20,30.78,31.14,30.76,31.0,3004649
2016-10-21,30.68,30.86,30.6,30.72,2681479
2016-10-24,30.24,30.27,30.02,30.08,4133652
2016-10-25,29.9,30.04,29.4,29.79,8936796
2016-10-26,29.45,29.72,29.39,29.59,3803069
2016-10-27,30.0,30.03,28.0,28.54,20211174
2016-10-28,28.44,28.76,28.08,28.6,13840721
2016-10-31,28.5,28.59,28.3,28.32,4552864
2016-11-01,28.25,28.27,27.82,27.99,5870574
2016-11-02,28.45,28.48,28.12,28.21,6065937
2016-11-03,28.3,28.34,27.66,27.74,4477310
2016-11-04,27.72,27.87,27.63,27.66,5700438
2016-11-07,27.74,27.96,27.74,27.89,3647217
2016-11-08,28.0,28.1,27.92,27.99,4206935
2016-11-09,28.7,29.16,28.37,28.95,9201347
2016-11-10,27.4,28.2,27.4,27.68,17307728
2016-11-11,27.61,28.37,27.52,27.98,12122733
2016-11-14,27.57,27.85,27.53,27.65,5438943
2016-11-15,27.43,27.74,27.36,27.63,3514700
2016-11-16,27.44,27.68,27.37,27.4,6476627
2016-11-17,27.4,27.51,27.33,27.35,7908333
2016-11-18,27.05,27.27,27.0,27.12,6994277
2016-11-21,27.24,27.41,27.22,27.34,4236116
2016-11-22,27.13,27.16,26.38,26.43,13821429
2016-11-23,26.01,26.4,25.88,26.37,13544061
2016-11-25,27.23,27.23,26.94,27.1,9569300
2016-11-28,26.75,26.98,26.63,26.73,6368407
2016-11-29,26.84,26.98,26.7,26.71,6372927
2016-11-30,26.64,26.7,26.1,26.14,10600987
2016-12-01,26.21,26.26,25.76,25.81,9000072
2016-12-02,25.94,26.11,25.86,25.89,8836805
2016-12-05,26.03,26.04,25.68,25.82,7953440
2016-12-06,26.02,26.06,25.86,26.01,5151716
2016-12-07,26.06,26.06,25.55,25.85,11604698
2016-12-08,26.13,26.32,26.02,26.27,7212763
2016-12-09,26.71,27.42,26.7,27.16,8677307
2016-12-12,26.83,27.09,26.79,26.94,7254388
2016-12-13,27.29,27.74,27.23,27.7,10627144
2016-12-14,27.75,27.78,27.26,27.29,10803387
2016-12-15,27.43,27.79,27.4,27.7,12047962
2016-12-16,27.99,28.01,27.67,27.86,8478993
2016-12-19,27.28,27.43,26.92,26.95,15964794
2016-12-20,27.08,27.19,26.92,27.02,12312712
2016-12-21,27.15,27.18,26.92,27.06,12246099
2016-12-22,27.17,27.26,27.06,27.18,12610583
2016-12-23,27.27,27.41,27.17,27.31,2983680
2016-12-27,27.38,27.5,27.23,27.26,2983438
2016-12-28,27.52,27.54,27.19,27.21,4793849
2016-12-29,27.37,27.57,27.27,27.36,4589895
2016-12-30,27.54,27.56,27.25,27.32,3724861
2017-01-03,27.53,27.74,27.44,27.71,5130750
2017-01-04,27.88,28.0,27.78,27.93,4562521
2017-01-05,28.32,28.76,28.24,28.69,5583039
2017-01-06,28.41,28.55,28.33,28.43,6055478
2017-01-09,28.33,28.58,28.27,28.53,4158639
2017-01-10,28.72,28.81,28.61,28.75,5332242
2017-01-11,28.47,28.62,27.97,28.18,7149662
2017-01-12,28.12,28.32,28.02,28.24,8549073
2017-01-13,28.36,28.59,28.2,28.58,5159759
2017-01-17,28.69,28.69,28.38,28.47,7320845
