Date,Open,High,Low,Close,Volume
2016-10-12,16.12,16.39,14.5,14.6,3218415
2016-10-13,14.72,14.72,12.73,13.65,568683
2016-10-14,14.16,14.5,13.4,13.75,401512
2016-10-17,13.62,14.5,13.62,14.31,221665
2016-10-18,14.99,14.99,14.5,14.9,123599
2016-10-19,14.81,15.61,14.78,15.6,78568
2016-10-20,15.49,15.8,15.4,15.8,72934
2016-10-21,15.55,15.79,15.5,15.56,147462
2016-10-24,15.61,15.8,15.59,15.72,12381
2016-10-25,15.54,15.96,15.52,15.96,13384
2016-10-26,15.98,15.98,15.8,15.82,29908
2016-10-27,15.69,15.85,15.5,15.72,12223
2016-10-28,15.95,15.95,15.5,15.89,18624
2016-10-31,15.76,15.95,15.5,15.95,40187
2016-11-01,15.95,16.0,15.87,16.0,204335
2016-11-02,15.8,16.28,15.44,16.18,50639
2016-11-03,16.4,17.04,16.1,16.92,15083
2016-11-04,16.81,16.95,16.46,16.95,158691
2016-11-07,16.71,16.75,16.55,16.55,32257
2016-11-08,16.74,16.84,16.53,16.7,22741
2016-11-09,16.75,16.95,16.61,16.95,7128
2016-11-10,16.88,17.07,16.51,16.7,81425
2016-11-11,16.75,17.15,16.7,17.15,13129
2016-11-14,17.06,17.23,16.75,17.06,4780
2016-11-15,17.24,17.24,16.72,17.05,26343
2016-11-16,17.03,18.55,16.99,18.55,13688
2016-11-17,18.41,18.5,17.0,17.4,16793
2016-11-18,16.9,18.03,16.9,18.03,11201
2016-11-21,17.6,18.0,17.6,17.97,2073
2016-11-22,17.81,17.95,17.67,17.95,7200
2016-11-23,17.82,18.01,17.51,17.51,11967
2016-11-25,17.55,17.98,17.31,17.98,67343
2016-11-28,17.71,17.97,17.57,17.9,19749
2016-11-29,17.95,18.05,17.66,17.82,23124
2016-11-30,17.83,17.98,17.05,17.5,24242
2016-12-01,17.4,18.05,17.38,17.85,12705
2016-12-02,17.86,18.68,17.6,18.35,15331
2016-12-05,18.57,18.68,17.74,18.0,8696
2016-12-06,17.91,18.0,17.85,17.85,2413
2016-12-07,17.7,18.72,17.67,17.77,29768
2016-12-08,17.72,18.32,17.72,18.01,7184
2016-12-09,18.16,18.34,17.9,18.0,10903
2016-12-12,17.0,18.69,16.73,17.9,63300
2016-12-13,18.04,18.06,17.0,17.0,146235
2016-12-14,17.0,17.15,16.29,16.74,17355
2016-12-15,16.5,16.5,15.5,15.95,14196
2016-12-16,15.82,17.18,15.82,16.25,98509
2016-12-19,16.3,16.87,16.15,16.52,4384
2016-12-20,16.7,17.25,16.7,17.1,13748
2016-12-21,16.96,17.55,16.96,17.25,23485
2016-12-22,,,,17.25,0
2016-12-23,,,,17.25,0
2016-12-27,17.25,17.25,17.17,17.17,849
2016-12-28,17.5,17.5,16.54,16.8,27034
2016-12-29,16.65,17.0,16.65,17.0,5075
2016-12-30,16.94,17.0,16.92,17.0,1160
2017-01-03,17.0,17.35,16.52,17.15,23052
2017-01-04,17.13,17.7,16.56,16.85,32155
2017-01-05,16.9,17.71,16.7,17.02,48147
2017-01-06,17.13,17.15,16.25,16.55,32346
2017-01-09,16.71,17.45,16.25,16.75,16291
2017-01-10,16.69,17.26,16.5,16.77,34039
2017-01-11,16.65,17.22,16.2,16.47,26556
2017-01-12,16.59,16.86,16.1,16.1,42664
2017-01-13,16.51,16.88,16.1,16.88,17189
2017-01-17,,,,16.88,0
2017-01-18,16.61,16.69,16.5,16.57,3214
2017-01-19,16.5,16.57,16.4,16.4,1896
2017-01-20,16.45,16.92,16.4,16.45,15658
2017-01-23,16.4,16.56,16.2,16.38,10278
2017-01-24,16.3,16.55,16.3,16.4,7683
2017-01-25,16.35,16.44,16.3,16.41,10574
2017-01-26,16.4,16.95,16.3,16.89,14438
2017-01-27,16.8,17.4,16.42,16.65,14789
2017-01-30,16.9,17.0,16.5,16.85,23096
2017-01-31,16.7,17.6,16.5,16.64,19490
2017-02-01,16.6,17.66,16.6,17.5,19025
2017-02-02,17.72,18.3,16.76,17.96,20706
2017-02-03,17.85,18.75,17.27,18.25,26294
2017-02-06,18.4,18.4,17.26,17.55,9412
2017-02-07,17.52,19.98,17.51,17.9,50896
2017-02-08,17.85,17.85,17.14,17.47,8553
2017-02-09,17.47,18.26,16.9,17.8,15180
2017-02-10,17.65,18.08,17.3,17.7,28908
2017-02-13,18.08,18.08,17.26,17.87,12149
2017-02-14,18.15,18.16,17.28,17.5,16517
2017-02-15,17.52,18.08,17.25,17.63,27110
2017-02-16,17.65,17.65,16.7,17.14,13418
2017-02-17,16.91,16.95,16.77,16.82,3934
2017-02-21,17.02,17.49,17.02,17.2,5975
2017-02-22,17.02,17.13,16.95,16.95,3868
2017-02-23,16.81,17.13,16.8,16.8,3931
2017-02-24,16.68,17.16,14.29,14.33,14673
2017-02-27,15.21,17.48,15.21,16.89,31612
2017-02-28,17.05,17.19,16.63,17.03,6653
2017-03-01,17.5,17.5,16.74,17.05,10689
2017-03-02,17.4,17.4,17.0,17.0,4166
2017-03-03,17.43,17.43,16.95,16.95,476
2017-03-06,17.22,17.22,16.65,17.1,7629
2017-03-07,17.25,18.0,16.68,17.01,42722
2017-03-08,17.27,17.45,16.39,16.5,21890
2017-03-09,16.99,16.99,16.26,16.5,18289
2017-03-10,16.6,16.74,16.54,16.7,17263
2017-03-13,16.84,17.05,16.53,16.91,6443
2017-03-14,17.04,17.75,16.5,17.24,32518
2017-03-15,17.36,17.36,16.8,17.0,1882
2017-03-16,16.82,16.97,16.2,16.45,13302
2017-03-17,16.45,17.46,16.45,17.25,138139
2017-03-20,17.25,17.5,17.06,17.34,3287
2017-03-21,17.48,17.99,16.91,17.2,33238
2017-03-22,17.2,17.32,17.06,17.06,2700
2017-03-23,17.2,17.32,17.15,17.15,2822
2017-03-24,17.29,17.63,17.1,17.46,2522
2017-03-27,17.05,17.55,17.05,17.42,11154
2017-03-28,17.56,17.95,17.56,17.94,4106
2017-03-29,17.99,18.09,17.82,18.09,7825
2017-03-30,18.5,18.65,18.22,18.31,32217
2017-03-31,18.5,18.69,18.32,18.66,11377
2017-04-03,18.59,21.75,18.59,21.75,10058
2017-04-04,21.75,22.0,21.0,21.07,31979
2017-04-05,21.4,21.53,19.87,19.98,15316
2017-04-06,20.15,20.2,19.89,19.98,18179
2017-04-07,19.96,20.0,19.25,19.25,11502
2017-04-10,19.35,19.54,19.2,19.2,11928
2017-04-11,19.95,19.95,19.2,19.2,23623
2017-04-12,19.08,19.11,18.32,18.32,6424
2017-04-13,18.47,18.75,18.32,18.45,4660
2017-04-17,18.33,18.37,18.1,18.1,3413
2017-04-18,18.0,18.3,18.0,18.3,2006
2017-04-19,18.35,18.5,18.25,18.25,1874
2017-04-20,18.01,18.17,16.67,16.84,6457
