Date,Open,High,Low,Close,Volume
2016-01-04,14.85,14.85,14.68,14.74,17155
2016-01-05,14.8,14.83,14.72,14.83,13307
2016-01-06,14.94,14.95,14.89,14.92,38740
2016-01-07,15.0,15.1,14.93,15.03,25341
2016-01-08,15.05,15.05,14.99,15.02,15915
2016-01-11,15.02,15.05,14.95,14.96,11928
2016-01-12,15.04,15.06,14.98,15.01,45112
2016-01-13,14.95,14.95,14.88,14.89,12700
2016-01-14,14.96,14.96,14.85,14.88,21649
2016-01-15,14.95,14.96,14.88,14.9,18578
2016-01-19,14.88,15.02,14.75,14.75,24224
2016-01-20,14.75,14.82,14.48,14.48,40707
2016-01-21,14.57,14.69,14.57,14.69,17020
2016-01-22,14.73,14.86,14.7,14.81,14019
2016-01-25,14.86,14.93,14.86,14.88,13837
2016-01-26,14.81,14.94,14.81,14.91,12297
2016-01-27,14.83,14.92,14.83,14.86,12887
2016-01-28,14.87,14.95,14.87,14.91,20763
2016-01-29,14.95,15.0,14.94,15.0,16510
2016-02-01,15.04,15.06,14.96,14.98,6780
2016-02-02,15.0,15.04,14.95,14.98,24225
2016-02-03,15.0,15.03,14.96,14.97,14134
2016-02-04,15.05,15.06,14.95,15.04,25515
2016-02-05,15.04,15.23,14.99,15.22,28480
2016-02-08,15.23,15.23,15.12,15.12,12386
2016-02-09,15.16,15.16,15.05,15.05,14114
2016-02-10,15.1,15.11,14.99,15.02,33974
2016-02-11,15.04,15.1,14.82,15.01,22476
2016-02-12,14.96,15.02,14.94,14.94,6535
2016-02-16,14.92,14.96,14.84,14.86,21199
2016-02-17,14.83,14.91,14.8,14.8,18750
2016-02-18,14.82,14.89,14.82,14.89,10178
2016-02-19,14.8,14.92,14.8,14.9,13243
2016-02-22,14.86,14.9,14.85,14.87,8143
2016-02-23,14.88,14.93,14.82,14.93,17347
2016-02-24,14.96,15.0,14.96,15.0,21996
2016-02-25,15.01,15.17,14.98,15.16,27695
2016-02-26,15.11,15.14,15.09,15.1,24401
2016-02-29,15.13,15.22,15.13,15.21,33622
2016-03-01,15.23,15.23,15.18,15.22,14798
2016-03-02,15.19,15.23,15.09,15.09,26875
2016-03-03,15.1,15.19,15.1,15.19,8250
2016-03-04,15.12,15.19,15.08,15.16,15386
2016-03-07,15.17,15.19,15.09,15.12,25374
2016-03-08,15.2,15.21,15.09,15.11,19007
2016-03-09,15.14,15.25,15.12,15.18,29851
2016-03-10,15.22,15.22,15.12,15.14,9821
2016-03-11,15.16,15.16,15.04,15.04,9236
2016-03-14,15.07,15.15,15.06,15.07,9166
2016-03-15,15.09,15.12,15.06,15.06,10891
2016-03-16,15.09,15.11,15.04,15.11,6094
2016-03-17,15.08,15.18,14.94,15.13,10755
2016-03-18,15.11,15.12,15.09,15.09,5996
