Date,Open,High,Low,Close,Volume
2016-12-27,39.0,44.75,29.36,36.0,1997374
2016-12-28,35.5,36.0,33.5,33.97,734389
2016-12-29,35.32,37.9,34.65,35.39,956724
2016-12-30,36.5,36.5,34.44,35.35,560858
2017-01-03,36.45,36.71,34.3,35.65,1097106
2017-01-04,35.59,37.22,35.57,36.61,1312655
2017-01-05,37.0,37.15,36.18,36.32,984642
2017-01-06,36.06,37.13,35.58,35.99,379014
2017-01-09,35.66,36.99,35.21,36.51,985998
2017-01-10,36.68,36.7,35.91,36.33,665488
2017-01-11,36.37,36.9,35.74,35.96,509933
2017-01-12,36.64,36.64,35.04,35.7,197921
2017-01-13,35.31,36.14,35.2,35.35,400984
2017-01-17,35.92,38.2,35.47,38.09,1148948
2017-01-18,37.63,39.72,37.51,38.89,1126481
2017-01-19,40.11,40.18,39.25,40.07,1403823
2017-01-20,40.91,42.95,40.66,42.06,1959943
2017-01-23,42.3,42.3,40.27,40.33,641591
2017-01-24,40.86,41.34,39.2,40.61,536548
2017-01-25,40.6,42.13,40.6,40.77,607811
2017-01-26,40.97,42.38,40.94,41.83,2169583
2017-01-27,41.83,42.3,41.59,41.87,831751
2017-01-30,41.13,41.22,39.81,41.12,532005
2017-01-31,41.5,41.91,40.09,40.87,198200
2017-02-01,40.93,41.91,40.84,41.65,658685
2017-02-02,41.33,41.95,40.13,40.34,178771
2017-02-03,40.56,41.28,39.91,41.12,147904
2017-02-06,40.61,42.36,40.61,42.06,586059
2017-02-07,42.01,42.08,41.39,42.04,416395
2017-02-08,41.66,41.95,40.91,41.75,408750
2017-02-09,42.19,42.27,41.72,42.0,559961
2017-02-10,42.34,43.32,42.34,43.3,583193
2017-02-13,43.46,44.81,43.01,44.5,924192
2017-02-14,44.41,44.5,43.31,43.58,278945
2017-02-15,43.34,43.99,41.81,42.02,298874
2017-02-16,41.51,42.4,41.51,41.81,297494
2017-02-17,41.32,41.6,40.05,40.77,732533
2017-02-21,41.59,42.79,41.56,42.0,499535
2017-02-22,41.84,42.09,41.56,41.9,366275
2017-02-23,41.75,41.75,39.79,39.96,617077
2017-02-24,39.16,39.66,37.56,38.02,392483
2017-02-27,38.11,40.86,38.11,40.45,925736
2017-02-28,39.88,40.24,39.25,39.38,361650
2017-03-01,39.88,40.31,38.83,38.93,317284
2017-03-02,38.81,39.62,38.28,38.33,234993
2017-03-03,38.48,38.52,36.74,37.4,515913
2017-03-06,37.31,37.8,36.63,37.29,552874
2017-03-07,37.3,38.11,35.71,35.91,625044
2017-03-08,35.92,35.96,32.56,32.66,1234388
2017-03-09,31.84,32.5,30.65,30.95,846648
2017-03-10,31.19,32.61,31.19,31.91,924879
2017-03-13,31.76,32.04,31.34,31.52,418683
2017-03-14,30.95,30.98,29.69,30.31,860182
2017-03-15,30.94,33.16,30.4,33.1,647717
2017-03-16,33.3,34.58,33.02,34.43,424823
2017-03-17,34.46,36.58,34.42,36.16,1624083
2017-03-20,35.97,35.97,34.18,34.56,381846
2017-03-21,34.56,34.58,32.7,33.19,447695
2017-03-22,33.17,33.44,32.08,32.57,305418
2017-03-23,32.37,33.92,32.13,33.23,460921
2017-03-24,32.12,35.44,31.35,31.7,456476
2017-03-27,30.47,30.9,29.06,30.56,804316
2017-03-28,30.56,32.29,30.49,31.56,386598
2017-03-29,31.35,31.91,30.85,31.02,667927
2017-03-30,31.98,33.2,30.89,31.12,439597
2017-03-31,31.15,33.5,30.98,33.36,673470
2017-04-03,33.44,33.87,32.6,32.81,549278
2017-04-04,32.7,33.2,32.48,32.81,150416
2017-04-05,33.35,33.98,32.68,32.71,272962
2017-04-06,32.94,33.64,32.5,32.92,485461
2017-04-07,32.8,32.95,31.8,32.29,419481
2017-04-10,32.51,34.83,32.34,33.84,720177
2017-04-11,33.66,34.43,33.55,34.25,462759
2017-04-12,34.02,35.84,33.69,34.93,818136
2017-04-13,34.84,34.84,33.15,33.88,1348997
2017-04-17,34.07,34.31,31.88,32.7,596066
2017-04-18,32.18,33.8,31.79,33.06,739450
2017-04-19,33.87,34.24,30.38,30.87,1641548
2017-04-20,31.35,32.13,30.43,30.68,1057578
2017-04-21,30.63,32.78,29.7,30.66,1117954
2017-04-24,30.86,31.15,29.18,29.5,804359
2017-04-25,29.71,29.92,29.26,29.6,491284
2017-04-26,29.18,30.31,29.18,29.45,421653
2017-04-27,29.18,29.36,26.82,27.62,985375
2017-04-28,27.93,28.82,26.98,27.17,614906
2017-05-01,27.15,27.39,26.3,26.5,544928
2017-05-02,26.54,27.9,26.13,26.46,705831
2017-05-03,26.42,26.89,25.86,26.42,543079
2017-05-04,26.11,26.28,24.79,25.52,749402
2017-05-05,25.62,27.96,25.62,26.87,1035642
2017-05-08,27.06,27.6,26.32,27.29,441434
2017-05-09,27.37,27.74,26.5,27.24,238808
2017-05-10,27.46,30.0,27.46,29.08,560915
2017-05-11,29.2,29.76,28.5,28.58,431607
2017-05-12,28.58,28.98,27.72,27.99,194586
2017-05-15,28.93,29.41,27.67,27.89,396765
2017-05-16,28.12,28.38,27.26,27.74,360916
2017-05-17,27.49,27.74,26.77,26.96,402081
2017-05-18,26.69,27.85,26.15,27.2,346656
2017-05-19,27.43,29.16,27.14,29.0,359934
2017-05-22,29.28,29.78,28.81,28.98,329428
2017-05-23,28.96,29.27,28.44,28.89,243101
2017-05-24,28.76,29.47,28.6,29.21,324020
2017-05-25,29.12,29.72,28.14,28.18,284254
2017-05-26,28.38,29.39,28.28,29.09,247825
