Date,Open,High,Low,Close,Volume
2016-01-04,12.11,12.96,11.81,12.89,345289
2016-01-05,11.76,12.09,11.57,11.91,718637
2016-01-06,11.77,11.92,11.44,11.67,350315
2016-01-07,11.52,11.7,11.27,11.3,211355
2016-01-08,11.29,11.45,10.75,10.86,349953
2016-01-11,10.86,11.08,10.74,10.87,306353
2016-01-12,11.06,11.77,11.05,11.47,620237
2016-01-13,11.49,12.57,11.41,12.29,451918
2016-01-14,12.26,12.88,12.0,12.7,380963
2016-01-15,12.3,12.67,12.0,12.49,500297
2016-01-19,12.66,12.99,12.08,12.43,446425
2016-01-20,12.22,12.55,11.78,12.46,293023
2016-01-21,12.57,13.01,12.43,12.65,180341
2016-01-22,12.8,13.29,12.71,12.88,151822
2016-01-25,12.77,13.12,12.75,12.87,172093
2016-01-26,12.89,13.27,12.84,13.07,163696
2016-01-27,12.92,12.96,12.33,12.41,213480
2016-01-28,12.52,12.64,12.23,12.45,118921
2016-01-29,12.52,13.14,12.52,13.08,233608
2016-02-01,13.0,13.0,12.65,12.67,113878
2016-02-02,12.65,12.7,12.2,12.37,148388
2016-02-03,12.42,12.55,11.94,12.29,162535
2016-02-04,12.17,12.4,12.17,12.31,156476
2016-02-05,12.28,12.36,11.99,12.07,157161
2016-02-08,11.97,12.18,11.89,12.03,203835
2016-02-09,11.94,12.14,11.65,11.69,169567
2016-02-10,11.8,12.05,11.63,11.72,173347
2016-02-11,11.56,12.1,11.48,11.97,217086
2016-02-12,11.98,12.24,11.72,12.13,151228
2016-02-16,13.05,14.23,12.77,13.74,643683
2016-02-17,13.8,14.1,13.43,13.7,354270
2016-02-18,13.81,14.07,13.45,13.94,240403
2016-02-19,13.9,13.96,13.5,13.61,212326
2016-02-22,13.72,13.92,13.54,13.9,194841
2016-02-23,13.92,14.15,13.7,13.78,202565
2016-02-24,13.61,14.04,13.46,13.95,178512
2016-02-25,13.94,14.1,13.7,13.98,188693
2016-02-26,14.03,14.13,13.7,14.09,144298
2016-02-29,14.11,14.74,14.11,14.28,168585
2016-03-01,14.32,14.32,13.56,13.84,134769
2016-03-02,13.75,13.91,13.4,13.83,209716
2016-03-03,13.72,13.96,13.6,13.77,175949
2016-03-04,13.73,13.82,13.54,13.64,210675
2016-03-07,13.64,13.9,13.51,13.69,274941
2016-03-08,13.66,13.95,13.57,13.79,200572
2016-03-09,13.85,14.03,13.63,13.77,192873
2016-03-10,13.78,13.87,13.64,13.71,120857
2016-03-11,13.78,13.94,13.68,13.81,102320
2016-03-14,13.76,13.76,13.1,13.13,145975
2016-03-15,13.1,13.1,12.71,12.78,225515
2016-03-16,12.76,12.8,12.49,12.49,116808
2016-03-17,12.49,12.56,12.2,12.47,266677
2016-03-18,12.57,13.11,12.49,12.99,285650
2016-03-21,13.07,13.19,12.81,12.97,151483
2016-03-22,12.86,12.86,12.56,12.58,94501
2016-03-23,12.58,12.76,12.48,12.67,137581
2016-03-24,12.52,12.76,12.48,12.51,177213
2016-03-28,12.52,12.7,12.41,12.66,101743
2016-03-29,12.67,12.92,12.49,12.8,175881
2016-03-30,12.91,13.27,12.91,13.21,104907
2016-03-31,13.19,13.19,12.8,12.99,183310
2016-04-01,12.87,12.93,12.62,12.84,124074
2016-04-04,12.8,12.99,12.72,12.75,126602
2016-04-05,12.66,12.73,12.48,12.53,162377
2016-04-06,12.57,12.82,12.55,12.59,77036
2016-04-07,12.56,12.7,12.29,12.31,124331
2016-04-08,12.36,12.42,12.23,12.35,128716
2016-04-11,12.59,12.84,12.28,12.41,195794
2016-04-12,12.38,12.69,12.36,12.52,70097
2016-04-13,12.6,12.84,12.5,12.82,84874
2016-04-14,12.81,12.81,12.5,12.52,72036
2016-04-15,12.45,12.84,12.45,12.67,57436
2016-04-18,12.67,12.8,12.54,12.68,67976
2016-04-19,12.71,12.85,12.4,12.47,80460
2016-04-20,12.48,12.64,12.4,12.55,63262
2016-04-21,12.56,12.65,12.41,12.54,52763
2016-04-22,12.58,12.77,12.52,12.72,52545
2016-04-25,12.75,12.75,12.55,12.57,66751
2016-04-26,12.62,12.8,12.56,12.75,50478
2016-04-27,12.67,12.92,12.63,12.91,93849
2016-04-28,12.77,13.08,12.77,13.03,158182
2016-04-29,13.07,13.18,12.91,13.17,189330
2016-05-02,13.18,13.33,12.45,12.66,345186
2016-05-03,12.7,14.09,12.7,13.94,482004
2016-05-04,13.84,13.88,13.42,13.86,378229
2016-05-05,13.79,13.79,13.13,13.57,445749
2016-05-06,13.6,13.65,13.44,13.62,179000
2016-05-09,13.6,14.0,13.6,13.86,91880
2016-05-10,13.87,14.09,13.68,13.79,126883
2016-05-11,13.71,13.71,13.45,13.62,306735
2016-05-12,13.7,13.7,13.17,13.27,290971
2016-05-13,13.35,13.66,13.12,13.36,173307
2016-05-16,13.36,13.7,13.35,13.41,162039
2016-05-17,13.41,13.46,13.19,13.26,242623
2016-05-18,13.33,13.39,13.23,13.29,141382
2016-05-19,13.32,13.42,13.04,13.36,155234
2016-05-20,13.36,14.25,13.34,14.2,313033
2016-05-23,14.25,14.25,13.74,13.77,193652
2016-05-24,13.82,14.33,13.76,14.06,145479
2016-05-25,14.05,14.19,13.77,13.78,156764
2016-05-26,13.7,14.0,13.7,13.94,154945
2016-05-27,13.86,14.48,13.86,14.23,113156
2016-05-31,14.28,14.36,13.77,13.84,150206
2016-06-01,13.71,13.9,13.71,13.75,129366
2016-06-02,13.77,13.95,13.67,13.89,92624
2016-06-03,13.83,14.24,13.72,14.06,105392
2016-06-06,14.03,14.27,13.95,14.15,60201
2016-06-07,14.1,14.42,13.98,14.23,68883
2016-06-08,14.23,14.52,14.03,14.42,87868
2016-06-09,14.3,14.35,14.06,14.1,61919
2016-06-10,13.96,14.14,13.86,14.01,52372
2016-06-13,13.95,14.11,13.83,13.88,106903
2016-06-14,13.91,14.03,13.81,13.84,164402
