Date,Open,High,Low,Close,Volume
2016-01-04,49.65,50.09,48.87,49.92,1107588
2016-01-05,50.29,50.31,49.05,49.31,1011060
2016-01-06,48.57,49.13,47.94,48.13,1127987
2016-01-07,47.29,47.59,46.45,46.46,1166374
2016-01-08,46.72,46.74,45.43,45.5,1345772
2016-01-11,45.08,45.35,43.43,44.52,2111574
2016-01-12,44.84,45.72,44.48,45.46,1733949
2016-01-13,45.55,45.65,42.87,42.93,1658000
2016-01-14,42.93,43.02,40.72,40.99,3732686
2016-01-15,39.87,39.87,36.89,37.98,4409869
2016-01-19,38.42,39.37,37.86,38.06,1774612
2016-01-20,37.42,38.9,36.05,38.49,2347457
2016-01-21,41.78,42.61,40.65,41.46,3753830
2016-01-22,42.5,43.46,41.4,42.23,1533284
2016-01-25,42.23,42.9,41.84,42.19,1364413
2016-01-26,43.08,43.14,41.92,42.26,1827417
2016-01-27,42.68,43.26,41.91,42.16,1399243
2016-01-28,43.28,44.8,38.47,39.95,3790111
2016-01-29,39.95,40.32,38.55,39.85,4185920
2016-02-01,39.37,39.57,38.64,39.3,1979596
2016-02-02,39.09,39.19,38.0,38.34,1872580
2016-02-03,38.84,39.0,37.31,38.47,2399064
2016-02-04,38.5,40.55,38.5,40.41,3414437
2016-02-05,40.08,40.99,39.48,39.92,2433313
2016-02-08,38.9,39.19,37.85,38.72,1714500
2016-02-09,38.34,39.2,38.12,38.66,1282337
2016-02-10,38.87,40.35,38.71,39.54,1796454
2016-02-11,38.56,38.98,38.08,38.5,1618323
2016-02-12,39.3,39.96,38.93,39.58,1359039
2016-02-16,40.14,40.33,39.54,39.96,2025903
2016-02-17,40.41,42.96,40.08,42.78,2174362
2016-02-18,43.01,43.11,41.87,42.29,1547939
2016-02-19,41.98,42.32,41.44,42.22,927998
2016-02-22,42.78,44.13,42.74,44.04,1566698
2016-02-23,43.82,44.38,42.71,42.86,1100375
2016-02-24,41.99,42.01,40.76,41.73,2035952
2016-02-25,41.94,42.48,41.68,42.48,1104763
2016-02-26,42.92,43.27,42.22,42.54,1402856
2016-02-29,42.61,43.17,42.52,42.54,829568
2016-03-01,43.01,44.19,42.6,44.18,1130266
2016-03-02,43.89,44.62,43.31,44.49,1292598
2016-03-03,44.36,44.57,43.73,44.54,818341
2016-03-04,44.51,45.07,44.0,44.91,1120064
2016-03-07,44.59,45.36,44.48,45.01,994443
2016-03-08,45.01,45.01,42.63,42.72,1200049
2016-03-09,42.98,43.54,42.48,43.46,1048804
2016-03-10,43.62,44.02,43.0,43.62,945713
2016-03-11,44.41,45.46,44.23,45.04,1311725
2016-03-14,44.79,45.68,44.69,44.94,894692
2016-03-15,44.61,44.63,43.82,44.03,523810
2016-03-16,43.99,45.59,43.85,45.28,781849
2016-03-17,45.23,46.87,44.97,46.58,1397185
2016-03-18,46.8,48.22,46.72,47.15,1489091
2016-03-21,47.14,47.48,46.79,47.22,962678
2016-03-22,46.87,47.96,46.85,47.73,1380525
