Date,Open,High,Low,Close,Volume
2016-01-04,38.09,38.46,37.65,38.45,951432
2016-01-05,38.41,38.81,38.31,38.73,704785
2016-01-06,38.12,38.9,37.95,38.86,872825
2016-01-07,38.38,38.81,38.11,38.2,711394
2016-01-08,38.31,38.69,38.17,38.33,759431
2016-01-11,38.56,38.7,37.98,38.37,1445403
2016-01-12,38.65,39.13,38.54,39.04,1248385
2016-01-13,39.26,39.29,38.22,38.25,1180680
2016-01-14,38.28,38.43,37.94,38.34,779635
2016-01-15,37.36,37.81,37.22,37.72,1043541
2016-01-19,37.64,38.11,37.08,37.42,1283089
2016-01-20,36.85,37.23,35.96,36.95,1744694
2016-01-21,37.08,37.88,36.83,37.8,849686
2016-01-22,38.69,39.15,38.31,39.13,876441
2016-01-25,38.85,39.04,38.6,38.64,747696
2016-01-26,38.87,39.7,38.84,39.46,873902
2016-01-27,39.12,39.7,38.85,39.0,848982
2016-01-28,39.78,39.81,39.12,39.67,718022
2016-01-29,39.86,40.46,39.8,40.3,995592
2016-02-01,40.2,40.89,39.78,40.76,892994
2016-02-02,40.08,40.25,39.77,40.2,746467
2016-02-03,40.65,41.28,40.57,41.19,1591038
2016-02-04,41.62,42.22,41.58,41.89,983334
2016-02-05,41.78,41.89,41.38,41.85,971861
2016-02-08,41.55,42.02,41.39,41.85,1338183
2016-02-09,41.61,42.07,41.35,41.88,1174004
2016-02-10,41.77,41.94,41.27,41.36,1071530
2016-02-11,40.83,41.29,40.68,41.14,935238
2016-02-12,41.16,41.85,41.06,41.64,1004009
2016-02-16,41.92,42.11,41.55,41.89,759772
2016-02-17,42.2,42.54,41.89,42.37,833331
2016-02-18,42.38,42.71,42.27,42.68,650943
2016-02-19,42.14,42.94,42.14,42.88,738190
2016-02-22,42.97,43.25,42.51,42.58,860721
2016-02-23,42.43,42.75,42.34,42.64,615336
2016-02-24,42.18,42.74,41.91,42.68,748568
2016-02-25,42.95,43.22,42.72,43.04,511138
2016-02-26,43.16,43.25,42.69,42.91,869579
2016-02-29,42.92,43.43,42.87,43.12,935823
2016-03-01,43.52,43.89,43.43,43.65,829128
2016-03-02,43.38,43.41,42.78,43.04,660973
2016-03-03,43.09,43.19,42.38,42.56,1208696
2016-03-04,42.57,43.27,42.28,43.18,1030641
2016-03-07,42.96,43.7,42.79,43.39,942389
2016-03-08,43.21,43.88,43.11,43.56,942808
2016-03-09,43.77,44.87,43.64,44.83,1331040
2016-03-10,44.71,44.95,43.67,44.04,1141585
2016-03-11,44.13,44.22,43.47,43.54,1035343
2016-03-14,43.49,43.74,43.21,43.68,866540
2016-03-15,43.38,43.81,43.35,43.8,566410
2016-03-16,43.77,44.67,43.67,44.51,792789
2016-03-17,44.95,45.42,44.81,45.18,1217821
2016-03-18,45.14,45.14,44.38,44.38,997117
2016-03-21,44.31,44.75,44.31,44.61,673176
2016-03-22,44.52,44.85,44.42,44.61,557576
2016-03-23,44.09,44.76,43.99,44.66,760972
2016-03-24,44.35,44.9,44.34,44.82,801965
2016-03-28,44.92,45.02,44.68,44.95,537831
2016-03-29,44.97,45.56,44.8,45.43,626765
2016-03-30,45.73,46.22,45.57,45.86,580047
2016-03-31,45.99,46.13,45.49,45.54,640932
2016-04-01,45.1,45.68,44.94,45.68,582964
2016-04-04,45.59,45.99,45.47,45.85,618959
2016-04-05,45.34,45.52,44.94,45.3,649469
2016-04-06,45.27,45.46,44.94,45.36,641070
2016-04-07,45.11,45.49,45.0,45.38,524482
2016-04-08,45.85,46.19,45.84,46.01,712890
2016-04-11,46.23,46.31,45.89,45.95,718357
2016-04-12,46.15,46.79,46.08,46.64,849278
2016-04-13,46.77,46.81,46.38,46.57,780134
2016-04-14,46.62,46.72,46.36,46.62,473928
2016-04-15,46.62,46.86,46.4,46.53,681648
2016-04-18,46.18,46.66,46.18,46.64,555274
2016-04-19,46.97,47.18,46.74,47.18,687898
2016-04-20,47.02,47.45,46.91,47.1,650367
2016-04-21,46.94,47.1,46.01,46.16,667159
2016-04-22,46.35,46.62,45.72,46.13,785860
2016-04-25,45.98,46.15,45.8,46.02,564792
2016-04-26,46.17,46.24,45.85,45.88,626786
2016-04-27,46.03,46.23,45.73,46.13,767540
2016-04-28,46.11,47.02,46.08,46.87,664834
2016-04-29,46.84,47.23,46.54,46.91,683154
2016-05-02,47.24,47.55,46.63,46.78,964689
2016-05-03,46.35,46.67,45.81,45.99,899462
2016-05-04,45.65,46.14,45.53,45.93,746989
2016-05-05,46.2,46.21,45.7,45.89,711269
2016-05-06,45.65,46.05,45.48,45.92,602854
2016-05-09,45.73,45.98,45.42,45.62,701605
2016-05-10,45.84,46.26,45.77,46.19,655411
2016-05-11,46.08,46.42,46.05,46.35,647603
2016-05-12,46.67,46.8,46.21,46.55,628609
2016-05-13,46.26,46.49,46.1,46.17,541557
2016-05-16,46.35,46.71,46.26,46.54,651526
2016-05-17,46.34,46.78,46.2,46.68,2049833
2016-05-18,46.33,46.78,46.05,46.17,2192514
2016-05-19,45.93,45.93,45.5,45.78,857063
2016-05-20,45.94,46.2,45.78,46.01,783695
2016-05-23,46.11,46.35,45.93,46.21,566684
2016-05-24,46.39,46.56,46.09,46.29,900506
2016-05-25,46.55,46.6,46.23,46.51,950574
2016-05-26,46.82,46.98,46.59,46.84,781730
2016-05-27,46.61,46.66,46.33,46.4,768349
2016-05-31,46.51,46.55,45.92,46.04,1058144
2016-06-01,46.0,46.3,45.87,46.27,827329
2016-06-02,46.0,46.3,45.98,46.18,645391
2016-06-03,46.85,47.04,46.68,46.95,644762
2016-06-06,47.09,47.4,46.93,47.27,921993
2016-06-07,47.38,47.46,47.11,47.31,830872
2016-06-08,47.8,47.85,47.26,47.46,796734
2016-06-09,47.31,47.5,47.07,47.37,624785
2016-06-10,47.3,47.56,46.58,46.92,979673
2016-06-13,46.04,46.37,45.63,45.69,814592
2016-06-14,45.53,46.14,45.44,46.01,839659
2016-06-15,45.94,46.23,45.67,45.69,810599
2016-06-16,45.11,45.73,44.78,45.69,1075539
2016-06-17,45.87,46.07,45.69,45.92,924149
2016-06-20,46.47,46.56,46.05,46.28,873855
2016-06-21,46.45,46.81,46.15,46.65,693207
2016-06-22,46.77,46.85,46.47,46.51,750793
2016-06-23,46.98,47.22,46.88,47.17,829431
