Date,Open,High,Low,Close,Volume
2016-01-04,12.63,12.86,12.58,12.85,4127686
2016-01-05,12.79,12.84,12.64,12.77,2040111
2016-01-06,12.39,12.5,12.36,12.42,3033447
2016-01-07,12.05,12.18,11.92,11.93,4050059
2016-01-08,12.02,12.05,11.66,11.68,3254660
2016-01-11,11.87,11.89,11.67,11.81,3215766
2016-01-12,11.85,11.88,11.67,11.84,2423917
2016-01-13,11.82,11.85,11.43,11.45,3198378
2016-01-14,11.35,11.64,11.2,11.57,4597816
2016-01-15,11.03,11.15,10.82,10.96,5883320
2016-01-19,11.0,11.0,10.68,10.75,4476824
2016-01-20,10.44,10.58,10.21,10.48,7146461
2016-01-21,10.47,10.73,10.33,10.62,4082790
2016-01-22,11.0,11.13,10.92,10.99,3267862
2016-01-25,10.56,10.57,10.38,10.39,3438731
2016-01-26,10.42,10.68,10.41,10.67,2634912
2016-01-27,10.37,10.66,10.31,10.37,4744302
2016-01-28,10.42,10.44,10.24,10.37,3319609
2016-01-29,10.53,10.81,10.46,10.78,3585640
2016-02-01,10.52,10.71,10.44,10.66,2112517
2016-02-02,10.18,10.19,9.93,9.97,5018927
2016-02-03,9.95,9.95,9.57,9.81,7167240
2016-02-04,10.04,10.28,10.01,10.24,6100698
2016-02-05,10.09,10.21,10.0,10.06,3986659
2016-02-08,9.72,9.72,9.42,9.52,5785132
2016-02-09,9.0,9.24,8.98,9.14,6803895
2016-02-10,9.22,9.36,9.16,9.2,7697882
2016-02-11,8.68,8.82,8.52,8.63,6379675
2016-02-12,8.97,9.21,8.84,9.2,4217187
2016-02-16,9.3,9.35,9.17,9.27,5498047
2016-02-17,9.57,9.66,9.52,9.54,10520383
2016-02-18,9.47,9.47,9.19,9.2,11091413
2016-02-19,9.23,9.25,9.1,9.22,5932189
2016-02-22,9.2,9.33,9.19,9.31,3795744
2016-02-23,9.27,9.28,8.98,9.0,4130024
2016-02-24,8.76,8.96,8.64,8.93,3681186
2016-02-25,9.11,9.26,9.01,9.24,2999794
2016-02-26,9.23,9.42,9.23,9.31,3330722
2016-02-29,9.49,9.63,9.41,9.44,4085701
2016-03-01,8.68,8.92,8.67,8.89,11972753
2016-03-02,8.87,9.23,8.86,9.22,6319672
2016-03-03,9.38,9.52,9.34,9.52,5199690
2016-03-04,9.78,9.92,9.7,9.81,6157255
2016-03-07,9.73,9.92,9.7,9.88,3237840
2016-03-08,9.88,9.88,9.64,9.64,5487940
2016-03-09,9.5,9.52,9.29,9.35,3145155
2016-03-10,9.4,9.49,9.1,9.25,4707895
2016-03-11,9.45,9.67,9.42,9.66,4163593
2016-03-14,9.46,9.49,9.36,9.42,4047143
2016-03-15,9.33,9.38,9.28,9.31,2919948
2016-03-16,9.25,9.4,9.23,9.37,3129435
2016-03-17,9.33,9.37,9.28,9.34,3826648
2016-03-18,9.49,9.53,9.37,9.46,4603919
2016-03-21,9.37,9.44,9.26,9.33,3962298
2016-03-22,8.91,9.02,8.86,8.97,4803925
2016-03-23,9.03,9.03,8.8,8.84,5150205
2016-03-24,8.76,8.77,8.65,8.75,9239048
2016-03-28,8.77,8.86,8.68,8.8,2318354
2016-03-29,8.67,8.82,8.58,8.8,3250350
2016-03-30,8.78,8.84,8.7,8.71,3574161
2016-03-31,8.66,8.72,8.62,8.62,3016983
2016-04-01,8.52,8.65,8.48,8.63,3506898
2016-04-04,8.6,8.69,8.54,8.56,3881541
2016-04-05,8.35,8.38,8.22,8.26,6438098
2016-04-06,8.39,8.52,8.31,8.5,3972129
2016-04-07,8.36,8.41,8.2,8.24,3269880
2016-04-08,8.53,8.56,8.44,8.47,5718444
2016-04-11,8.8,8.86,8.74,8.75,4182396
2016-04-12,8.8,8.97,8.68,8.95,3685734
2016-04-13,9.39,9.5,9.34,9.49,4316315
2016-04-14,9.5,9.58,9.41,9.51,3734768
2016-04-15,9.55,9.56,9.42,9.46,2781371
2016-04-18,9.49,9.6,9.47,9.56,3463264
2016-04-19,9.66,9.74,9.58,9.68,3453597
2016-04-20,9.85,9.9,9.79,9.88,2996612
2016-04-21,9.88,9.89,9.77,9.81,3053159
2016-04-22,9.82,9.95,9.82,9.91,2944594
2016-04-25,10.0,10.0,9.83,9.91,3798425
2016-04-26,10.03,10.17,9.94,10.14,3895033
2016-04-27,10.13,10.28,10.07,10.2,3757852
2016-04-28,10.06,10.22,10.03,10.09,3632670
2016-04-29,10.18,10.2,9.98,10.05,4555405
2016-05-02,10.09,10.12,9.95,10.08,2153627
2016-05-03,9.75,9.76,9.59,9.65,4470006
2016-05-04,9.47,9.56,9.41,9.45,4450425
2016-05-05,9.38,9.5,9.28,9.32,3451683
2016-05-06,9.27,9.47,9.25,9.41,2344107
2016-05-09,9.3,9.34,9.15,9.19,3433529
2016-05-10,9.39,9.52,9.36,9.47,2352193
2016-05-11,9.44,9.54,9.35,9.4,2481948
2016-05-12,9.55,9.6,9.38,9.45,4580459
2016-05-13,9.42,9.54,9.35,9.39,4481646
2016-05-16,9.4,9.48,9.39,9.44,2833751
2016-05-17,9.47,9.55,9.36,9.44,3463068
2016-05-18,9.73,10.01,9.69,9.96,5154859
2016-05-19,10.1,10.17,9.93,10.03,4844158
2016-05-20,10.1,10.23,10.1,10.16,3743104
2016-05-23,10.2,10.27,10.14,10.17,3192273
2016-05-24,10.5,10.66,10.47,10.66,5032552
2016-05-25,10.82,11.01,10.82,10.92,4174670
2016-05-26,10.92,10.94,10.75,10.83,2917201
2016-05-27,10.89,10.98,10.86,10.91,1903745
2016-05-31,10.83,10.9,10.53,10.58,5079178
2016-06-01,10.31,10.5,10.24,10.48,3517241
2016-06-02,10.46,10.58,10.44,10.55,3056092
2016-06-03,10.54,10.56,10.34,10.51,3104839
2016-06-06,10.41,10.49,10.37,10.45,5320643
2016-06-07,10.54,10.66,10.48,10.48,2624453
2016-06-08,10.45,10.48,10.32,10.37,4270131
2016-06-09,10.26,10.26,10.16,10.2,3598825
2016-06-10,9.81,9.84,9.55,9.56,6652929
2016-06-13,9.35,9.5,9.31,9.33,5713526
2016-06-14,9.14,9.24,8.98,9.05,7740086
2016-06-15,9.21,9.29,9.11,9.11,5207381
2016-06-16,8.91,9.14,8.78,9.12,5271707
2016-06-17,9.47,9.64,9.41,9.62,8188768
2016-06-20,10.39,10.43,10.26,10.27,8468354
2016-06-21,10.53,10.71,10.43,10.62,7481549
2016-06-22,10.68,10.89,10.67,10.71,7129476
2016-06-23,11.06,11.19,10.92,11.18,7244861
2016-06-24,8.13,9.19,8.13,8.89,74888099
2016-06-27,7.05,7.19,6.76,7.03,150110121
2016-06-28,7.27,7.39,7.13,7.3,63298410
2016-06-29,7.41,7.67,7.34,7.6,32266088
2016-06-30,7.48,7.67,7.4,7.6,22363311
2016-07-01,7.61,7.64,7.53,7.59,12826665
2016-07-05,7.34,7.37,7.15,7.21,16942249
2016-07-06,7.03,7.08,6.85,7.08,24404446
2016-07-07,7.2,7.26,7.0,7.06,12858888
2016-07-08,7.42,7.42,7.3,7.32,11681822
2016-07-11,7.63,7.7,7.55,7.67,13748631
2016-07-12,8.07,8.09,7.91,7.95,30938527
2016-07-13,7.87,7.92,7.71,7.78,18721288
2016-07-14,8.03,8.08,7.91,8.02,20654386
2016-07-15,8.06,8.06,7.93,8.0,6508035
2016-07-18,8.01,8.15,7.98,8.1,7880310
2016-07-19,7.93,8.01,7.9,7.93,8069597
2016-07-20,8.02,8.06,7.98,8.04,5662969
2016-07-21,8.09,8.19,8.05,8.06,6864934
2016-07-22,8.09,8.09,8.0,8.02,4195836
2016-07-25,7.99,8.03,7.94,7.98,4556830
2016-07-26,7.92,7.97,7.87,7.92,8532781
2016-07-27,7.97,8.04,7.9,7.96,8044070
2016-07-28,7.87,7.89,7.79,7.84,6110688
2016-07-29,8.43,8.45,8.21,8.24,15153930
2016-08-01,8.06,8.16,7.97,7.99,8756191
2016-08-02,7.93,7.96,7.8,7.84,8981443
2016-08-03,7.96,8.06,7.94,8.05,6270535
2016-08-04,7.97,8.04,7.92,7.96,5623285
2016-08-05,8.0,8.1,7.99,8.09,4912566
2016-08-08,8.29,8.38,8.25,8.35,8363727
2016-08-09,8.43,8.57,8.43,8.48,5815046
2016-08-10,8.58,8.59,8.44,8.47,5887159
2016-08-11,8.49,8.54,8.46,8.51,3638663
2016-08-12,8.58,8.58,8.43,8.47,4036319
2016-08-15,8.5,8.54,8.44,8.48,4063354
2016-08-16,8.5,8.53,8.46,8.48,3971897
2016-08-17,8.37,8.47,8.34,8.44,4026108
2016-08-18,8.47,8.53,8.43,8.51,2659312
2016-08-19,8.4,8.48,8.36,8.44,2762616
2016-08-22,8.42,8.5,8.39,8.48,3543049
2016-08-23,8.7,8.77,8.66,8.68,5221405
2016-08-24,8.87,8.9,8.74,8.77,6687013
2016-08-25,8.7,8.74,8.61,8.67,4083382
2016-08-26,8.75,8.83,8.6,8.66,6794894
2016-08-29,8.63,8.74,8.58,8.7,4080331
2016-08-30,8.88,8.93,8.84,8.92,5628362
2016-08-31,9.09,9.13,9.0,9.11,7056922
2016-09-01,9.25,9.3,9.03,9.13,7049439
2016-09-02,9.23,9.33,9.17,9.31,6801782
2016-09-06,9.23,9.25,9.07,9.13,5201852
2016-09-07,9.07,9.12,9.02,9.07,3763025
2016-09-08,9.06,9.27,9.05,9.23,4890416
2016-09-09,9.31,9.34,9.15,9.15,6315952
2016-09-12,8.94,9.22,8.91,9.18,6597476
2016-09-13,9.02,9.08,8.96,9.01,11050502
2016-09-14,8.94,9.05,8.89,8.95,5797778
2016-09-15,8.9,9.01,8.87,8.99,4575048
2016-09-16,8.7,8.73,8.55,8.58,7203115
2016-09-19,8.75,8.76,8.53,8.58,5952903
2016-09-20,8.65,8.68,8.59,8.62,4216774
2016-09-21,8.91,8.96,8.81,8.92,6236105
2016-09-22,9.08,9.11,8.98,9.03,4634457
2016-09-23,8.85,8.9,8.76,8.83,4993335
2016-09-26,8.68,8.74,8.66,8.68,5615295
2016-09-27,8.56,8.7,8.53,8.66,4686802
2016-09-28,8.73,8.75,8.61,8.72,4129419
2016-09-29,8.74,8.76,8.34,8.39,9428653
2016-09-30,8.52,8.74,8.49,8.69,7598981
2016-10-03,8.55,8.63,8.5,8.61,4932269
2016-10-04,8.71,8.74,8.59,8.63,7353646
2016-10-05,8.71,8.84,8.66,8.8,3652345
2016-10-06,8.84,8.88,8.8,8.8,10185274
2016-10-07,8.53,8.65,8.47,8.58,9858875
2016-10-10,8.49,8.58,8.48,8.53,7029764
2016-10-11,8.51,8.53,8.37,8.41,6328082
2016-10-12,8.31,8.38,8.2,8.22,6045306
2016-10-13,8.13,8.2,8.02,8.16,6721869
2016-10-14,8.4,8.45,8.23,8.28,5182051
2016-10-17,8.28,8.3,8.18,8.23,3398074
2016-10-18,8.51,8.58,8.46,8.56,5153306
2016-10-19,8.71,8.78,8.68,8.71,4828457
2016-10-20,8.87,8.98,8.84,8.91,8578186
2016-10-21,8.87,8.95,8.86,8.92,4366701
2016-10-24,8.99,9.0,8.88,8.92,3050359
2016-10-25,8.91,8.96,8.86,8.9,3490977
2016-10-26,8.78,8.89,8.77,8.85,5505362
2016-10-27,9.25,9.35,9.2,9.27,12032452
2016-10-28,9.27,9.34,9.17,9.25,4986705
2016-10-31,9.23,9.28,9.16,9.22,3785361
2016-11-01,9.24,9.25,9.0,9.1,4426723
2016-11-02,9.04,9.06,8.87,8.91,3991899
2016-11-03,9.27,9.3,9.1,9.15,5028635
2016-11-04,9.02,9.11,8.94,8.96,6057072
2016-11-07,9.11,9.19,9.1,9.18,3200951
2016-11-08,9.09,9.25,9.03,9.2,4204506
2016-11-09,9.33,9.65,9.32,9.6,10603559
2016-11-10,10.11,10.2,9.95,10.11,12032132
2016-11-11,10.13,10.17,10.02,10.16,9479004
2016-11-14,10.38,10.57,10.38,10.55,7879378
2016-11-15,10.45,10.6,10.38,10.6,5662652
2016-11-16,10.41,10.45,10.34,10.38,4124671
2016-11-17,10.45,10.59,10.43,10.55,3639271
2016-11-18,10.39,10.47,10.36,10.42,3718173
2016-11-21,10.47,10.53,10.46,10.52,3271552
2016-11-22,10.53,10.56,10.48,10.53,2123502
2016-11-23,10.39,10.63,10.39,10.58,3900872
2016-11-25,10.65,10.68,10.62,10.66,1683849
2016-11-28,10.55,10.58,10.36,10.38,4133076
2016-11-29,10.65,10.7,10.59,10.61,4035420
2016-11-30,10.67,10.79,10.67,10.75,3285138
2016-12-01,10.89,11.0,10.84,10.91,6606363
2016-12-02,10.7,10.79,10.64,10.7,4624332
2016-12-05,10.85,11.02,10.85,10.97,5792421
2016-12-06,11.42,11.6,11.3,11.59,9948339
2016-12-07,11.68,11.91,11.67,11.9,8967798
2016-12-08,11.95,12.05,11.88,11.99,7398594
2016-12-09,11.63,11.76,11.56,11.74,4751300
2016-12-12,11.6,11.63,11.42,11.47,4214893
2016-12-13,11.58,11.66,11.53,11.62,6803292
2016-12-14,11.35,11.37,11.12,11.15,7584322
2016-12-15,11.35,11.42,11.31,11.36,4274532
