Date,Open,High,Low,Close,Volume
2016-01-04,14.79,14.85,14.73,14.85,52275
2016-01-05,14.85,14.89,14.78,14.84,99559
2016-01-06,14.9,15.03,14.81,14.81,150119
2016-01-07,14.87,14.98,14.85,14.88,93961
2016-01-08,14.91,14.94,14.87,14.93,79473
2016-01-11,14.94,14.99,14.92,14.93,116909
2016-01-12,14.95,15.04,14.93,14.97,92295
2016-01-13,14.94,14.96,14.9,14.96,58837
2016-01-14,14.94,14.94,14.87,14.89,83342
2016-01-15,14.9,14.96,14.69,14.69,195211
2016-01-19,14.7,14.81,14.7,14.72,79342
2016-01-20,14.77,14.77,14.51,14.54,106292
2016-01-21,14.59,14.62,14.55,14.57,216321
2016-01-22,14.64,14.76,14.6,14.72,64982
2016-01-25,14.68,14.77,14.64,14.64,308103
2016-01-26,14.61,14.76,14.59,14.75,166313
2016-01-27,14.75,14.8,14.72,14.72,86133
2016-01-28,14.74,14.8,14.71,14.8,59984
2016-01-29,14.82,14.98,14.82,14.9,76689
2016-02-01,14.96,15.09,14.94,15.01,125809
2016-02-02,14.98,15.17,14.98,15.05,152659
2016-02-03,15.05,15.17,15.05,15.06,92295
2016-02-04,15.05,15.1,15.02,15.1,111375
2016-02-05,15.13,15.23,15.13,15.2,78557
2016-02-08,15.22,15.22,15.12,15.22,73730
2016-02-09,15.18,15.23,15.16,15.23,77870
2016-02-10,15.23,15.23,15.15,15.16,65775
2016-02-11,15.13,15.17,15.03,15.12,64375
2016-02-12,15.12,15.13,14.95,14.95,72227
2016-02-16,14.94,14.95,14.75,14.82,131958
2016-02-17,14.88,14.91,14.82,14.87,68597
2016-02-18,14.93,15.03,14.92,15.02,60481
2016-02-19,15.07,15.12,15.04,15.09,59167
2016-02-22,15.09,15.12,15.04,15.06,102954
2016-02-23,15.05,15.12,15.0,15.12,57587
2016-02-24,15.12,15.18,15.09,15.18,86903
2016-02-25,15.19,15.23,15.14,15.23,49018
2016-02-26,15.15,15.18,15.06,15.12,77956
2016-02-29,15.17,15.17,15.02,15.1,72945
2016-03-01,15.15,15.15,15.01,15.02,116052
2016-03-02,14.96,15.08,14.95,14.99,82212
2016-03-03,15.04,15.12,14.99,15.1,72278
2016-03-04,15.07,15.13,15.07,15.11,74853
2016-03-07,15.16,15.25,15.11,15.21,79121
