Date,Open,High,Low,Close,Volume
2017-02-24,10.0,10.03,10.0,10.0,2121704
2017-02-27,10.01,10.07,10.0,10.03,215625
2017-02-28,10.07,10.08,10.02,10.02,32786
2017-03-01,10.04,10.07,10.04,10.04,18312
2017-03-02,10.04,10.05,10.01,10.02,37137
2017-03-03,10.03,10.12,10.03,10.05,55650
2017-03-06,10.04,10.08,10.04,10.07,6492
2017-03-07,10.03,10.1,10.03,10.08,35751
2017-03-08,10.09,10.09,10.07,10.07,18340
2017-03-09,10.03,10.05,10.0,10.0,50505
2017-03-10,10.02,10.03,10.0,10.01,38888
2017-03-13,10.02,10.06,10.02,10.03,14065
2017-03-14,10.07,10.07,10.02,10.04,4580
2017-03-15,10.03,10.05,10.0,10.02,51390
2017-03-16,10.04,10.04,10.02,10.03,11875
2017-03-17,10.03,10.04,10.02,10.02,4749
2017-03-20,10.04,10.04,10.01,10.02,19700
2017-03-21,10.03,10.03,10.0,10.03,48500
2017-03-22,10.04,10.06,10.0,10.0,50942
2017-03-23,10.0,10.02,10.0,10.01,88119
2017-03-24,10.01,10.01,10.0,10.0,23879
2017-03-27,10.01,10.03,10.0,10.0,28612
2017-03-28,10.0,10.01,10.0,10.0,172406
2017-03-29,10.0,10.01,10.0,10.0,27640
2017-03-30,10.0,10.05,10.0,10.05,26537
2017-03-31,10.04,10.04,10.01,10.01,17306
2017-04-03,10.02,10.02,10.0,10.01,3006
2017-04-04,10.01,10.03,10.0,10.01,53780
2017-04-05,10.02,10.02,10.01,10.01,4776
2017-04-06,10.03,10.03,10.02,10.02,11675
2017-04-07,10.03,10.05,10.01,10.05,25968
2017-04-10,10.03,10.06,10.03,10.06,48008
2017-04-11,10.06,10.06,10.02,10.03,88169
2017-04-12,10.03,10.04,10.01,10.01,32738
2017-04-13,10.01,10.01,9.98,9.98,14644
2017-04-17,10.0,10.01,9.99,10.01,49201
2017-04-18,10.02,10.03,9.99,10.03,46689
2017-04-19,10.03,10.04,9.99,9.99,55970
2017-04-20,9.99,10.04,9.99,10.0,48750
2017-04-21,10.0,10.01,9.99,10.01,12700
2017-04-24,10.01,10.07,9.98,10.06,29258
2017-04-25,10.04,10.05,10.02,10.04,89158
2017-04-26,10.03,10.04,10.01,10.03,76665
2017-04-27,10.03,10.08,10.02,10.05,46396
2017-04-28,10.04,10.06,10.02,10.04,67820
2017-05-01,10.03,10.07,10.03,10.05,36916
2017-05-02,10.06,10.06,10.01,10.02,36399
2017-05-03,10.02,10.03,10.01,10.02,17740
2017-05-04,10.05,10.06,10.01,10.03,27918
2017-05-05,10.04,10.06,10.02,10.04,15322
2017-05-08,10.06,10.07,10.03,10.04,24496
2017-05-09,10.07,10.07,10.01,10.01,58530
2017-05-10,10.03,10.06,10.03,10.04,23404
2017-05-11,10.06,10.06,10.02,10.04,30570
2017-05-12,10.05,10.09,10.03,10.08,55715
2017-05-15,10.05,10.07,10.05,10.05,41312
2017-05-16,10.03,10.1,10.03,10.08,46343
2017-05-17,10.07,10.1,10.06,10.06,20817
2017-05-18,10.09,10.1,10.07,10.09,9480
2017-05-19,10.06,10.11,10.06,10.06,43196
2017-05-22,10.09,10.09,9.99,9.99,71507
2017-05-23,10.0,10.03,9.98,9.98,133342
2017-05-24,10.01,10.02,9.98,10.0,92727
2017-05-25,10.0,10.01,9.97,10.01,69286
2017-05-26,10.0,10.04,9.95,10.01,157518
