Date,Open,High,Low,Close,Volume
2016-01-04,34.59,34.61,33.62,33.91,529266
2016-01-05,34.08,35.04,33.78,34.77,385703
2016-01-06,34.32,34.73,34.13,34.55,237203
2016-01-07,34.05,34.55,33.86,34.4,384726
2016-01-08,34.52,34.95,34.32,34.73,438619
2016-01-11,34.85,35.91,34.82,35.78,451568
2016-01-12,36.0,36.41,35.39,35.72,457019
2016-01-13,35.8,35.96,34.58,34.78,380115
2016-01-14,34.81,35.22,34.34,34.86,363492
2016-01-15,34.07,34.48,33.26,34.4,468199
2016-01-19,34.58,34.62,33.69,34.05,378414
2016-01-20,33.63,34.29,33.26,34.04,331599
2016-01-21,34.17,34.4,33.4,34.0,335079
2016-01-22,34.22,35.14,34.2,34.94,565861
2016-01-25,34.75,34.85,33.81,34.08,602094
2016-01-26,34.02,35.58,33.99,35.04,644821
2016-01-27,35.08,35.28,34.73,35.02,352090
2016-01-28,35.28,35.76,34.9,35.03,310865
2016-01-29,35.12,36.47,35.06,36.42,692774
2016-02-01,36.27,36.67,36.06,36.22,459337
2016-02-02,35.94,36.15,35.46,35.85,364809
2016-02-03,36.02,36.32,35.75,36.05,306717
2016-02-04,36.0,36.37,34.92,35.05,339770
2016-02-05,35.2,35.58,34.65,35.18,322204
2016-02-08,34.84,35.04,34.22,34.74,366764
2016-02-09,34.53,35.66,34.53,35.44,431417
2016-02-10,35.63,37.39,35.46,37.03,744688
2016-02-11,36.5,37.48,36.12,37.32,410576
2016-02-12,37.5,37.76,36.56,36.85,334526
2016-02-16,37.28,37.43,36.09,36.77,388867
2016-02-17,37.07,37.33,36.36,36.65,306440
2016-02-18,36.67,37.25,36.12,36.82,311206
2016-02-19,36.75,38.04,36.45,37.41,462173
2016-02-22,37.67,37.89,37.15,37.49,317396
2016-02-23,37.67,38.93,37.61,38.79,639675
2016-02-24,38.56,39.47,38.44,39.2,789825
2016-02-25,39.44,40.5,39.07,40.38,801064
2016-02-26,36.43,37.5,35.13,36.23,2924710
2016-02-29,36.5,36.67,34.41,34.59,1904134
2016-03-01,34.79,34.98,33.98,34.61,1120889
2016-03-02,34.61,35.2,33.79,34.96,1044037
2016-03-03,34.92,35.23,34.18,35.2,572080
2016-03-04,35.09,35.6,34.73,34.87,533620
2016-03-07,34.75,35.01,34.53,35.0,827194
2016-03-08,34.8,35.42,34.48,34.89,361065
2016-03-09,34.99,35.2,34.38,34.7,412560
2016-03-10,34.14,34.55,33.79,34.18,4202346
2016-03-11,34.44,35.15,34.17,34.56,1018385
2016-03-14,34.43,34.84,34.22,34.3,654643
2016-03-15,34.15,34.29,33.87,34.0,615929
2016-03-16,33.85,34.25,33.5,34.25,988675
2016-03-17,34.24,34.89,34.13,34.45,739407
2016-03-18,34.65,34.78,34.4,34.46,685548
2016-03-21,34.4,34.49,33.95,34.42,618006
2016-03-22,34.38,34.4,33.7,33.78,577258
