Date,Open,High,Low,Close,Volume
2016-01-04,12.4,12.5,12.34,12.48,86214
2016-01-05,12.51,12.61,12.45,12.45,52870
2016-01-06,12.41,12.59,12.39,12.55,44721
2016-01-07,12.49,12.49,12.31,12.31,148423
2016-01-08,12.33,12.38,12.28,12.29,99258
2016-01-11,12.31,12.32,12.22,12.28,84260
2016-01-12,12.28,12.32,12.16,12.22,82784
2016-01-13,12.25,12.25,12.08,12.08,95473
2016-01-14,12.05,12.09,11.99,11.99,99661
2016-01-15,11.93,11.93,11.76,11.87,75257
2016-01-19,11.87,11.9,11.78,11.82,98633
2016-01-20,11.74,11.74,11.52,11.71,176437
2016-01-21,11.8,11.86,11.72,11.84,178678
2016-01-22,11.85,11.96,11.83,11.92,65186
2016-01-25,11.89,11.92,11.81,11.84,88298
2016-01-26,11.89,12.03,11.87,12.03,64990
2016-01-27,12.03,12.06,11.97,12.03,56438
2016-01-28,12.09,12.18,11.99,12.15,53977
2016-01-29,12.19,12.21,12.07,12.15,119329
2016-02-01,12.15,12.16,12.05,12.09,71414
2016-02-02,12.07,12.17,12.02,12.17,73486
2016-02-03,12.17,12.23,12.12,12.22,128727
2016-02-04,12.16,12.17,12.03,12.09,76911
2016-02-05,12.09,12.14,12.03,12.08,78243
2016-02-08,12.02,12.02,11.85,11.88,57221
2016-02-09,11.82,11.95,11.82,11.88,35480
2016-02-10,11.97,12.01,11.89,11.94,71279
2016-02-11,11.84,11.89,11.77,11.8,89409
2016-02-12,11.82,11.85,11.67,11.72,48634
2016-02-16,11.74,11.75,11.65,11.69,87324
2016-02-17,11.72,11.85,11.72,11.85,56757
2016-02-18,11.83,11.83,11.75,11.79,44405
2016-02-19,11.72,11.88,11.72,11.85,39076
2016-02-22,11.88,11.99,11.87,11.96,88407
2016-02-23,11.97,11.97,11.85,11.85,48009
2016-02-24,11.84,11.95,11.8,11.91,65378
2016-02-25,11.9,12.02,11.89,11.94,41089
2016-02-26,11.99,12.06,11.95,12.06,60805
2016-02-29,12.08,12.12,12.02,12.05,53438
2016-03-01,12.09,12.25,12.07,12.25,76570
2016-03-02,12.25,12.31,12.16,12.28,77380
2016-03-03,12.24,12.34,12.24,12.34,30877
2016-03-04,12.34,12.4,12.32,12.4,73535
2016-03-07,12.28,12.5,12.28,12.48,62760
2016-03-08,12.44,12.55,12.42,12.45,69787
2016-03-09,12.52,12.54,12.45,12.47,61917
2016-03-10,12.54,12.54,12.47,12.48,53255
2016-03-11,12.44,12.59,12.44,12.58,56088
2016-03-14,12.55,12.61,12.53,12.58,64294
2016-03-15,12.58,12.74,12.56,12.73,57294
2016-03-16,12.78,12.83,12.75,12.78,46951
2016-03-17,12.83,12.94,12.79,12.93,67378
2016-03-18,12.96,12.99,12.85,12.93,72296
2016-03-21,12.88,12.93,12.85,12.9,54262
2016-03-22,12.91,12.98,12.87,12.87,82467
2016-03-23,12.83,12.97,12.75,12.75,70083
2016-03-24,12.78,12.88,12.6,12.6,41348
2016-03-28,12.67,12.73,12.6,12.62,81641
2016-03-29,12.69,12.75,12.65,12.74,71657
2016-03-30,12.82,12.82,12.68,12.69,45490
2016-03-31,12.74,12.84,12.7,12.83,82413
2016-04-01,12.84,12.84,12.67,12.68,91586
2016-04-04,12.71,12.74,12.56,12.56,54500
2016-04-05,12.54,12.64,12.51,12.62,60325
2016-04-06,12.62,12.71,12.61,12.66,68123
2016-04-07,12.67,12.71,12.6,12.6,56464
2016-04-08,12.68,12.68,12.55,12.55,49869
2016-04-11,12.57,12.64,12.57,12.58,52782
2016-04-12,12.57,12.66,12.57,12.6,56969
2016-04-13,12.57,12.65,12.53,12.63,70262
2016-04-14,12.67,12.67,12.55,12.57,54031
2016-04-15,12.6,12.61,12.55,12.56,30609
2016-04-18,12.58,12.7,12.58,12.7,71253
2016-04-19,12.73,12.73,12.67,12.73,37649
2016-04-20,12.75,12.75,12.66,12.67,56903
2016-04-21,12.73,12.75,12.71,12.71,27998
2016-04-22,12.71,12.75,12.7,12.71,23019
2016-04-25,12.68,12.74,12.68,12.74,32922
2016-04-26,12.74,12.8,12.73,12.8,60542
2016-04-27,12.77,12.82,12.75,12.75,31900
2016-04-28,12.75,12.87,12.74,12.83,139910
2016-04-29,12.84,12.97,12.82,12.88,147702
2016-05-02,12.89,12.9,12.78,12.79,60634
2016-05-03,12.79,12.87,12.73,12.87,72450
2016-05-04,12.85,12.93,12.83,12.92,65109
2016-05-05,12.94,12.94,12.8,12.93,55815
2016-05-06,12.9,12.95,12.82,12.91,71281
2016-05-09,12.91,12.91,12.8,12.88,41647
2016-05-10,12.88,12.95,12.8,12.95,55760
2016-05-11,12.88,12.96,12.85,12.96,63699
2016-05-12,12.94,12.98,12.88,12.95,45879
2016-05-13,12.96,13.12,12.95,13.08,80701
2016-05-16,13.11,13.15,13.07,13.07,43984
2016-05-17,13.05,13.09,13.02,13.06,37762
2016-05-18,13.07,13.14,12.99,13.02,46987
2016-05-19,13.02,13.09,12.99,13.02,27411
2016-05-20,13.02,13.16,13.02,13.1,40024
2016-05-23,13.14,13.24,13.11,13.19,48845
