Date,Open,High,Low,Close,Volume
2016-01-04,13.44,13.49,13.28,13.49,46626
2016-01-05,13.53,13.53,13.36,13.41,46132
2016-01-06,13.38,13.51,13.33,13.49,58886
2016-01-07,13.42,13.49,13.35,13.45,92015
2016-01-08,13.42,13.55,13.36,13.55,17700
2016-01-11,13.51,13.51,13.4,13.4,68322
2016-01-12,13.38,13.43,13.21,13.28,55071
2016-01-13,13.28,13.28,13.05,13.22,96750
2016-01-14,13.13,13.13,12.93,13.02,91903
2016-01-15,12.95,12.95,12.62,12.73,67627
2016-01-19,12.78,12.78,12.64,12.68,154355
2016-01-20,12.63,12.63,12.25,12.5,191104
2016-01-21,12.64,12.81,12.38,12.59,237322
2016-01-22,12.63,12.73,12.49,12.69,68579
2016-01-25,12.7,12.71,12.5,12.53,36583
2016-01-26,12.59,12.62,12.51,12.61,55224
2016-01-27,12.61,12.66,12.5,12.65,30220
2016-01-28,12.67,12.82,12.57,12.81,132397
2016-01-29,12.87,12.87,12.7,12.82,53225
2016-02-01,12.83,12.83,12.74,12.8,40633
2016-02-02,12.76,12.78,12.66,12.78,37493
2016-02-03,12.78,12.83,12.67,12.74,37916
2016-02-04,12.74,12.76,12.65,12.73,30434
2016-02-05,12.73,12.73,12.54,12.65,51780
2016-02-08,12.65,12.66,12.5,12.52,35220
2016-02-09,12.4,12.44,12.32,12.41,31710
2016-02-10,12.4,12.44,12.24,12.3,80115
2016-02-11,12.24,12.38,12.16,12.3,50382
2016-02-12,12.44,12.44,12.18,12.27,64552
2016-02-16,12.28,12.31,12.15,12.31,91565
2016-02-17,12.39,12.41,12.34,12.39,81682
2016-02-18,12.37,12.39,12.33,12.36,95033
2016-02-19,12.31,12.38,12.29,12.36,107420
2016-02-22,12.47,12.47,12.33,12.42,62626
2016-02-23,12.46,12.48,12.4,12.43,33685
2016-02-24,12.49,12.49,12.31,12.47,167740
2016-02-25,12.47,12.47,12.43,12.45,29985
2016-02-26,12.48,12.54,12.44,12.46,31208
2016-02-29,12.45,12.51,12.39,12.44,40339
2016-03-01,12.57,12.57,12.45,12.46,93802
2016-03-02,12.5,12.5,12.41,12.49,61849
2016-03-03,12.5,12.75,12.45,12.71,160044
2016-03-04,12.76,13.04,12.73,13.01,175009
2016-03-07,13.0,13.0,12.9,12.95,60175
2016-03-08,12.95,13.0,12.9,12.94,75661
2016-03-09,12.94,13.02,12.9,12.95,49744
2016-03-10,12.94,13.02,12.94,12.98,21185
2016-03-11,13.07,13.18,13.07,13.18,29375
2016-03-14,13.18,13.27,13.14,13.24,28247
2016-03-15,13.2,13.38,13.2,13.37,55706
2016-03-16,13.39,13.64,13.39,13.57,58484
2016-03-17,13.6,13.65,13.51,13.51,40110
2016-03-18,13.57,13.62,13.51,13.54,29255
2016-03-21,13.46,13.51,13.39,13.42,50530
2016-03-22,13.45,13.5,13.42,13.43,48463
2016-03-23,13.36,13.55,13.36,13.49,108910
2016-03-24,13.44,13.47,13.36,13.45,45555
2016-03-28,13.45,13.45,13.38,13.42,34627
2016-03-29,13.43,13.48,13.39,13.45,24637
2016-03-30,13.51,13.52,13.46,13.5,61713
2016-03-31,13.55,13.64,13.55,13.6,43097
2016-04-01,13.62,13.62,13.55,13.55,28832
2016-04-04,13.58,13.58,13.44,13.49,23402
2016-04-05,13.44,13.53,13.43,13.49,49134
2016-04-06,13.55,13.63,13.55,13.62,21204
2016-04-07,13.63,13.64,13.59,13.61,56833
2016-04-08,13.62,13.63,13.56,13.63,48939
2016-04-11,13.65,13.65,13.51,13.62,61898
2016-04-12,13.61,13.66,13.52,13.62,65700
2016-04-13,13.59,13.69,13.59,13.69,59409
2016-04-14,13.64,13.67,13.59,13.63,68321
2016-04-15,13.58,13.6,13.54,13.57,48255
2016-04-18,13.57,13.75,13.51,13.75,58742
2016-04-19,13.82,13.95,13.77,13.8,18031
2016-04-20,13.7,13.75,13.69,13.74,37490
2016-04-21,13.69,13.81,13.68,13.76,75465
2016-04-22,13.79,13.79,13.71,13.74,29631
2016-04-25,13.75,13.76,13.69,13.76,36845
2016-04-26,13.74,13.86,13.74,13.85,40675
2016-04-27,13.85,13.95,13.85,13.94,46718
2016-04-28,13.94,14.19,13.91,14.02,82492
2016-04-29,14.03,14.03,13.95,14.01,31766
2016-05-02,14.08,14.09,14.0,14.05,33552
2016-05-03,14.07,14.07,13.89,13.92,25485
2016-05-04,13.91,14.07,13.91,14.07,18856
2016-05-05,14.04,14.17,14.03,14.12,104020
2016-05-06,14.13,14.13,13.94,14.05,58266
2016-05-09,14.01,14.1,13.95,13.99,42007
2016-05-10,13.99,14.05,13.96,14.04,104028
2016-05-11,14.06,14.1,14.02,14.02,52728
2016-05-12,14.11,14.2,14.07,14.2,89722
2016-05-13,14.16,14.31,14.14,14.28,17235
2016-05-16,14.25,14.39,14.19,14.3,64698
2016-05-17,14.33,14.54,14.24,14.32,78473
2016-05-18,14.32,14.35,14.25,14.29,36852
2016-05-19,14.21,14.32,14.16,14.26,89395
2016-05-20,14.34,14.46,14.25,14.41,31848
2016-05-23,14.33,14.45,14.33,14.42,112427
2016-05-24,14.39,14.42,14.23,14.3,82581
2016-05-25,14.29,14.47,14.29,14.42,72729
2016-05-26,14.47,14.56,14.4,14.47,91016
2016-05-27,14.54,14.54,14.41,14.42,34235
2016-05-31,14.54,14.55,14.45,14.47,43148
2016-06-01,14.53,14.69,14.46,14.58,50161
2016-06-02,14.51,14.67,14.43,14.47,92303
2016-06-03,14.53,14.56,14.49,14.55,22739
2016-06-06,14.56,14.82,14.56,14.73,94884
2016-06-07,14.75,14.92,14.75,14.88,48148
2016-06-08,14.82,14.94,14.82,14.93,70611
2016-06-09,14.87,14.9,14.71,14.78,38454
2016-06-10,14.72,14.9,14.66,14.76,56808
2016-06-13,14.79,14.84,14.68,14.7,32053
2016-06-14,14.74,14.74,14.51,14.56,103394
2016-06-15,14.66,14.72,14.56,14.65,33941
2016-06-16,14.65,14.66,14.54,14.58,86566
2016-06-17,14.65,14.83,14.53,14.55,34386
2016-06-20,14.69,14.69,14.5,14.5,58672
2016-06-21,14.49,14.54,14.39,14.49,69914
2016-06-22,14.5,14.68,14.44,14.5,70057
2016-06-23,14.62,14.68,14.43,14.5,139207
2016-06-24,14.27,14.48,14.25,14.34,77506
2016-06-27,14.4,14.4,14.04,14.12,55775
2016-06-28,14.19,14.31,14.14,14.24,70502
2016-06-29,14.27,14.37,14.27,14.36,83526
2016-06-30,14.35,14.45,14.33,14.45,41087
2016-07-01,14.54,14.54,14.45,14.45,73643
2016-07-05,14.45,14.51,14.34,14.44,108529
2016-07-06,14.44,14.6,14.36,14.56,101802
2016-07-07,14.68,14.77,14.63,14.76,153565
2016-07-08,14.89,14.89,14.67,14.82,104789
2016-07-11,14.81,14.89,14.78,14.78,52844
2016-07-12,14.94,14.97,14.87,14.93,44836
2016-07-13,14.86,14.94,14.8,14.83,68447
2016-07-14,14.98,14.98,14.7,14.79,65761
2016-07-15,14.82,14.82,14.7,14.8,49027
2016-07-18,14.76,14.98,14.76,14.84,64446
2016-07-19,14.88,14.89,14.78,14.8,53435
2016-07-20,14.7,14.85,14.6,14.85,24132
2016-07-21,14.9,15.0,14.9,14.97,56291
2016-07-22,14.97,14.97,14.83,14.91,29214
2016-07-25,14.89,14.95,14.78,14.84,43644
2016-07-26,14.82,14.95,14.8,14.87,55146
2016-07-27,14.94,15.0,14.85,14.88,50260
2016-07-28,14.95,15.04,14.85,14.92,96695
2016-07-29,14.93,15.05,14.93,14.99,34633
2016-08-01,15.04,15.04,14.92,14.95,55065
2016-08-02,14.93,14.95,14.78,14.82,43322
2016-08-03,14.84,14.95,14.84,14.95,25790
2016-08-04,15.05,15.05,14.98,14.98,49093
2016-08-05,14.98,15.04,14.98,15.01,28472
2016-08-08,15.01,15.07,15.0,15.01,38112
2016-08-09,15.0,15.1,15.0,15.0,35361
2016-08-10,15.04,15.04,14.94,14.94,29647
2016-08-11,14.98,15.03,14.97,14.99,44820
2016-08-12,15.03,15.1,15.0,15.04,26587
2016-08-15,15.09,15.13,15.04,15.11,39175
2016-08-16,15.11,15.14,15.02,15.12,41376
2016-08-17,15.15,15.17,15.0,15.17,33093
2016-08-18,15.17,15.2,15.14,15.19,28849
2016-08-19,15.19,15.19,15.11,15.13,48012
2016-08-22,15.05,15.07,15.01,15.01,29345
2016-08-23,15.12,15.15,15.07,15.12,31378
2016-08-24,15.1,15.23,15.04,15.2,72280
2016-08-25,15.21,15.25,15.16,15.24,44636
2016-08-26,15.27,15.28,15.14,15.14,30925
2016-08-29,15.22,15.31,15.12,15.18,59067
2016-08-30,15.18,15.22,15.02,15.12,68741
2016-08-31,15.12,15.12,15.02,15.08,47368
2016-09-01,15.16,15.19,15.05,15.16,51995
2016-09-02,15.23,15.23,15.14,15.17,40620
2016-09-06,15.24,15.26,15.12,15.12,31458
2016-09-07,15.17,15.26,15.12,15.25,34249
2016-09-08,15.26,15.42,15.2,15.34,90888
2016-09-09,15.26,15.36,15.04,15.09,65468
2016-09-12,15.11,15.12,15.03,15.07,31662
2016-09-13,15.05,15.05,14.89,14.94,34353
2016-09-14,15.03,15.08,14.94,15.08,27114
2016-09-15,15.15,15.21,15.11,15.18,60582
2016-09-16,15.22,15.27,15.11,15.22,43545
2016-09-19,15.34,15.34,15.08,15.17,52476
2016-09-20,15.18,15.25,15.14,15.15,50373
2016-09-21,15.1,15.18,15.1,15.18,15220
2016-09-22,15.22,15.23,15.12,15.23,63667
2016-09-23,15.23,15.36,15.17,15.31,40939
2016-09-26,15.26,15.34,15.26,15.32,39411
2016-09-27,15.33,15.41,15.32,15.41,27650
2016-09-28,15.46,15.47,15.39,15.44,56952
2016-09-29,15.42,15.48,15.37,15.39,45626
2016-09-30,15.46,15.55,15.39,15.54,48611
2016-10-03,15.58,15.58,15.37,15.5,68489
2016-10-04,15.52,15.52,15.36,15.39,63622
2016-10-05,15.46,15.49,15.39,15.47,63368
2016-10-06,15.44,15.48,15.33,15.38,62347
2016-10-07,15.34,15.4,15.34,15.37,43694
2016-10-10,15.4,15.42,15.37,15.39,60414
2016-10-11,15.39,15.4,15.35,15.37,44381
2016-10-12,15.43,15.43,15.32,15.34,31356
2016-10-13,15.33,15.33,15.25,15.3,61045
2016-10-14,15.36,15.37,15.24,15.29,66727
2016-10-17,15.27,15.34,15.11,15.25,73968
2016-10-18,15.3,15.38,15.25,15.32,34764
2016-10-19,15.36,15.4,15.34,15.38,45893
2016-10-20,15.21,15.32,15.1,15.21,38186
2016-10-21,15.2,15.32,15.15,15.26,40282
2016-10-24,15.34,15.4,15.34,15.37,37036
2016-10-25,15.39,15.69,15.32,15.5,152165
2016-10-26,15.57,15.57,15.5,15.53,72885
2016-10-27,15.66,15.66,15.37,15.37,54363
2016-10-28,15.49,15.49,15.36,15.47,61302
2016-10-31,15.53,15.53,15.36,15.4,48771
2016-11-01,15.5,15.51,15.26,15.28,67767
2016-11-02,15.33,15.33,15.01,15.06,42071
2016-11-03,15.12,15.16,15.01,15.02,31406
2016-11-04,15.12,15.12,15.01,15.06,26828
2016-11-07,15.18,15.19,15.09,15.09,19409
2016-11-08,15.14,15.18,15.07,15.18,57102
2016-11-09,15.12,15.13,14.86,15.07,20127
2016-11-10,15.08,15.1,14.85,14.89,57553
2016-11-11,14.66,15.13,14.66,15.09,61765
2016-11-14,15.15,15.19,14.96,14.97,120102
2016-11-15,15.0,15.19,15.0,15.14,90488
2016-11-16,15.18,15.21,15.06,15.12,127047
2016-11-17,15.19,15.19,15.12,15.12,48308
2016-11-18,15.14,15.22,15.08,15.1,63787
2016-11-21,15.22,15.24,15.15,15.16,47552
2016-11-22,15.27,15.27,15.19,15.24,93059
2016-11-23,15.29,15.4,15.22,15.31,59986
2016-11-25,15.4,15.56,15.4,15.53,45099
2016-11-28,15.65,15.68,15.48,15.5,95674
2016-11-29,15.55,15.57,15.31,15.32,136521
2016-11-30,15.44,15.44,15.22,15.3,132749
2016-12-01,15.35,15.38,15.31,15.32,106520
2016-12-02,15.4,15.43,15.3,15.36,67947
2016-12-05,15.48,15.48,15.36,15.37,66916
2016-12-06,15.48,15.48,15.37,15.41,85137
2016-12-07,15.44,15.53,15.44,15.52,85743
2016-12-08,15.55,15.6,15.5,15.54,106268
2016-12-09,15.57,15.65,15.55,15.6,91117
2016-12-12,15.67,15.77,15.65,15.7,85949
2016-12-13,15.67,15.77,15.61,15.62,90267
2016-12-14,15.58,15.75,15.55,15.55,97187
2016-12-15,15.59,15.64,15.55,15.62,203382
2016-12-16,15.76,15.79,15.65,15.77,112028
2016-12-19,15.8,15.84,15.74,15.75,113955
2016-12-20,15.74,15.86,15.73,15.78,61452
2016-12-21,15.86,15.86,15.7,15.79,108845
2016-12-22,15.86,15.95,15.83,15.95,116538
2016-12-23,15.99,15.99,15.93,15.94,56057
2016-12-27,16.0,16.14,16.0,16.08,116421
2016-12-28,15.85,15.95,15.7,15.81,92534
2016-12-29,15.96,16.13,15.79,16.02,213329
2016-12-30,16.13,16.13,15.89,15.92,296289
2017-01-03,15.94,16.02,15.86,15.86,124411
2017-01-04,16.01,16.01,15.76,15.79,134346
2017-01-05,15.79,15.81,15.66,15.69,110110
2017-01-06,15.78,15.83,15.71,15.73,118282
2017-01-09,15.85,15.85,15.73,15.74,70586
2017-01-10,15.83,15.87,15.78,15.85,58978
2017-01-11,15.98,15.99,15.88,15.88,92966
2017-01-12,15.93,16.07,15.84,15.87,77186
2017-01-13,15.85,15.97,15.84,15.97,109770
2017-01-17,16.0,16.07,15.92,16.0,110588
2017-01-18,16.05,16.1,15.99,16.04,116219
2017-01-19,16.08,16.12,15.97,16.03,79218
2017-01-20,16.11,16.11,15.91,15.96,53433
2017-01-23,16.07,16.08,15.95,16.0,85199
2017-01-24,16.08,16.08,15.96,16.03,87549
2017-01-25,16.07,16.14,15.97,15.99,144642
2017-01-26,16.04,16.07,16.0,16.03,146380
2017-01-27,16.11,16.11,16.01,16.02,68987
2017-01-30,16.04,16.09,16.0,16.05,94312
2017-01-31,16.09,16.12,16.04,16.1,138999
2017-02-01,16.14,16.15,16.12,16.13,156600
2017-02-02,16.18,16.18,16.11,16.14,53877
2017-02-03,16.2,16.21,16.1,16.12,110803
2017-02-06,16.17,16.17,16.04,16.09,54427
2017-02-07,16.11,16.16,16.06,16.14,65921
2017-02-08,16.13,16.19,16.09,16.19,74698
2017-02-09,16.21,16.3,16.18,16.26,61900
2017-02-10,16.38,16.45,16.34,16.41,134258
2017-02-13,16.52,16.52,16.31,16.42,74877
2017-02-14,16.45,16.45,16.33,16.4,92481
2017-02-15,16.4,16.42,16.33,16.39,76493
2017-02-16,16.38,16.38,16.17,16.22,90948
2017-02-17,16.25,16.25,16.11,16.17,67670
2017-02-21,16.23,16.28,16.15,16.24,71842
2017-02-22,16.26,16.3,16.22,16.28,38523
2017-02-23,16.37,16.41,16.3,16.41,97288
2017-02-24,16.4,16.45,16.34,16.37,42661
2017-02-27,16.42,16.42,16.36,16.37,41491
2017-02-28,16.37,16.42,16.35,16.42,28180
2017-03-01,16.48,16.48,16.35,16.36,106706
2017-03-02,16.38,16.44,16.36,16.37,44030
2017-03-03,16.45,16.46,16.38,16.44,29976
2017-03-06,16.45,16.46,16.37,16.37,72906
2017-03-07,16.37,16.42,16.29,16.36,33017
2017-03-08,16.42,16.44,16.24,16.28,74781
2017-03-09,16.3,16.3,16.01,16.05,156583
2017-03-10,16.13,16.15,15.94,16.08,137796
2017-03-13,16.2,16.29,16.16,16.23,81911
2017-03-14,16.21,16.29,16.1,16.21,73583
2017-03-15,16.26,16.39,16.17,16.36,53881
2017-03-16,16.42,16.42,16.31,16.37,46754
2017-03-17,16.43,16.43,16.33,16.43,62837
2017-03-20,16.5,16.5,16.4,16.42,59891
2017-03-21,16.5,16.5,16.21,16.24,60665
2017-03-22,16.06,16.3,16.06,16.25,47273
2017-03-23,16.32,16.5,16.21,16.22,60066
2017-03-24,16.36,16.39,16.24,16.31,42492
2017-03-27,16.27,16.3,16.16,16.16,40049
2017-03-28,16.25,16.33,16.2,16.24,42715
2017-03-29,16.38,16.38,16.3,16.32,59091
2017-03-30,16.34,16.34,16.06,16.12,150007
2017-03-31,16.16,16.2,16.07,16.08,104527
2017-04-03,16.19,16.19,16.03,16.06,68727
2017-04-04,16.11,16.11,16.0,16.06,48281
2017-04-05,16.14,16.15,16.02,16.03,49644
2017-04-06,16.11,16.14,16.02,16.09,76302
2017-04-07,16.1,16.17,16.01,16.17,84945
2017-04-10,16.2,16.25,16.18,16.24,47208
2017-04-11,16.24,16.4,16.23,16.34,50186
2017-04-12,16.41,16.41,16.16,16.25,106713
2017-04-13,16.18,16.29,16.18,16.2,41436
2017-04-17,16.27,16.28,16.2,16.28,50263
2017-04-18,16.33,16.36,16.24,16.33,36747
2017-04-19,16.3,16.38,16.25,16.31,63433
2017-04-20,16.33,16.34,16.18,16.28,40242
2017-04-21,16.33,16.33,16.26,16.3,42954
2017-04-24,16.48,16.48,16.3,16.35,57180
2017-04-25,16.41,16.43,16.32,16.35,49349
2017-04-26,16.42,16.49,16.37,16.39,69160
2017-04-27,16.43,16.46,16.37,16.4,33592
2017-04-28,16.47,16.51,16.4,16.49,96249
