Date,Open,High,Low,Close,Volume
2016-01-04,326.0,335.78,323.0,335.53,5437
2016-01-05,334.84,336.5,326.49,331.35,4356
2016-01-06,327.22,340.04,326.77,326.92,3316
2016-01-07,326.57,332.0,325.02,325.27,4688
2016-01-08,326.64,329.99,321.0,323.7,6971
2016-01-11,324.92,335.6,321.0,333.66,6792
2016-01-12,337.23,341.36,327.62,334.12,7217
2016-01-13,339.01,349.95,326.61,332.83,6116
2016-01-14,335.98,346.98,335.98,340.96,5673
2016-01-15,334.57,344.5,325.01,336.06,5901
2016-01-19,338.0,343.6,338.0,342.32,4191
2016-01-20,342.0,354.4,336.0,349.5,8405
2016-01-21,348.25,348.25,342.34,347.12,4391
2016-01-22,347.97,352.65,342.2,352.65,5809
2016-01-25,349.93,356.04,343.5,352.04,3821
2016-01-26,348.19,365.4,348.19,364.81,5781
2016-01-27,364.8,374.92,361.06,368.35,4732
2016-01-28,370.42,377.99,367.52,374.34,8462
2016-01-29,375.0,378.18,371.5,378.18,19242
2016-02-01,373.96,394.11,365.0,385.64,8544
2016-02-02,385.48,395.0,378.2,383.51,3920
2016-02-03,384.83,393.95,375.16,377.38,3754
2016-02-04,379.56,380.38,369.67,372.01,3240
2016-02-05,372.72,372.72,351.15,351.76,5697
2016-02-08,352.33,363.0,344.15,361.02,4990
2016-02-09,356.27,369.28,349.01,356.38,3828
2016-02-10,358.24,367.06,351.03,357.93,1875
2016-02-11,353.0,363.58,351.0,361.43,2147
2016-02-12,360.9,367.7,345.01,357.54,4410
2016-02-16,357.2,362.58,349.98,358.67,4086
2016-02-17,358.6,379.98,358.6,366.25,3341
2016-02-18,366.36,368.0,355.36,365.0,2962
2016-02-19,361.93,368.0,353.3,364.27,2749
2016-02-22,365.08,373.67,354.25,364.93,6043
2016-02-23,360.64,377.98,355.45,368.65,8824
2016-02-24,364.0,372.56,353.33,370.32,2364
2016-02-25,360.92,373.0,360.92,371.31,2863
2016-02-26,370.04,372.0,361.0,367.43,4664
2016-02-29,364.95,373.0,361.28,368.72,5545
2016-03-01,367.58,375.0,361.05,374.77,3532
2016-03-02,374.0,385.22,369.95,381.85,4147
2016-03-03,382.0,390.0,370.57,384.49,2928
2016-03-04,382.91,399.95,381.3,389.2,5754
2016-03-07,387.98,397.17,376.84,389.3,4145
2016-03-08,385.3,399.37,383.05,385.83,2885
2016-03-09,386.52,394.98,378.35,381.08,1538
2016-03-10,382.7,382.7,368.99,370.63,2741
2016-03-11,374.68,385.41,370.16,371.58,4308
2016-03-14,373.81,386.09,373.81,374.2,3378
2016-03-15,379.2,379.2,354.42,358.63,2866
2016-03-16,357.81,366.44,347.12,365.01,2612
