Date,Open,High,Low,Close,Volume
2016-01-04,45.85,47.43,45.56,47.25,2982325
2016-01-05,47.19,47.88,45.56,45.92,2560493
2016-01-06,44.48,45.5,43.55,43.65,4854872
2016-01-07,42.57,43.83,42.32,42.52,3202190
2016-01-08,42.89,43.01,41.38,41.58,1905001
2016-01-11,41.64,42.27,40.77,41.51,4344316
2016-01-12,42.2,42.25,40.13,41.04,2517803
2016-01-13,41.8,42.19,38.65,39.25,4090789
2016-01-14,39.45,41.55,38.62,41.17,2356746
2016-01-15,39.48,40.22,38.99,39.89,2444859
2016-01-19,40.11,40.87,39.26,39.79,2953985
2016-01-20,39.0,39.34,37.58,38.88,3123771
2016-01-21,38.77,41.33,38.5,40.73,3398148
2016-01-22,42.52,42.95,40.66,42.04,2047808
2016-01-25,41.26,41.77,39.12,39.18,2701809
2016-01-26,40.3,40.59,39.39,39.97,2590614
2016-01-27,39.85,41.88,39.74,40.83,2708763
2016-01-28,42.0,43.29,41.56,43.12,2858167
2016-01-29,43.3,44.16,42.55,43.51,4135173
2016-02-01,42.56,43.65,42.06,43.29,2744476
2016-02-02,42.2,42.5,41.78,42.0,1686915
2016-02-03,42.72,44.46,41.96,44.41,2772035
2016-02-04,44.98,45.85,43.91,44.24,2284471
2016-02-05,43.75,45.09,42.64,44.85,4147460
2016-02-08,43.13,43.6,42.22,42.82,5877648
2016-02-09,42.23,42.9,41.59,41.75,5518199
2016-02-10,41.75,42.32,41.22,41.51,3280657
2016-02-11,40.4,40.99,39.11,39.78,3377007
2016-02-12,40.4,40.79,39.4,39.9,4234927
2016-02-16,40.69,41.47,40.26,41.2,4082921
2016-02-17,41.82,42.93,41.47,42.49,2367533
2016-02-18,43.06,43.33,41.83,41.99,1830273
2016-02-19,42.13,42.24,41.3,42.14,2585898
2016-02-22,43.12,43.72,42.77,43.49,2625681
2016-02-23,43.49,43.71,42.36,42.49,3520069
2016-02-24,41.64,42.28,41.2,41.91,1873253
2016-02-25,41.83,43.78,41.5,43.25,3071746
2016-02-26,44.1,45.19,43.76,44.25,2425347
2016-02-29,44.17,44.53,42.23,42.87,3484005
2016-03-01,43.29,44.47,43.16,44.26,3002522
2016-03-02,44.23,45.51,43.09,45.41,3298602
2016-03-03,45.14,46.99,45.14,46.55,3166096
2016-03-04,46.67,47.45,45.53,46.2,3415466
2016-03-07,45.78,47.52,45.66,46.58,4998273
2016-03-08,46.25,46.46,43.87,44.05,3887113
2016-03-09,44.76,45.3,43.67,44.31,3295047
2016-03-10,44.2,44.61,42.6,43.53,2273645
2016-03-11,44.25,46.0,43.88,45.79,3679810
