Date,Open,High,Low,Close,Volume
2016-01-04,12.69,12.71,12.62,12.63,64354
2016-01-05,12.62,12.72,12.62,12.72,68720
2016-01-06,12.72,12.76,12.69,12.71,88560
2016-01-07,12.66,12.69,12.65,12.69,102250
2016-01-08,12.75,12.75,12.67,12.72,110890
2016-01-11,12.7,12.72,12.64,12.7,84831
2016-01-12,12.7,12.71,12.65,12.66,70294
2016-01-13,12.7,12.7,12.54,12.57,94595
2016-01-14,12.59,12.71,12.55,12.67,129263
2016-01-15,12.63,12.81,12.61,12.65,169752
2016-01-19,12.57,12.64,12.54,12.55,159439
2016-01-20,12.6,12.6,12.33,12.44,216617
2016-01-21,12.42,12.63,12.42,12.58,143133
2016-01-22,12.55,12.7,12.55,12.68,121928
2016-01-25,12.68,12.75,12.55,12.59,132128
2016-01-26,12.56,12.68,12.56,12.65,87715
2016-01-27,12.63,12.78,12.62,12.75,143995
2016-01-28,12.75,12.81,12.7,12.79,95581
2016-01-29,12.82,12.89,12.7,12.77,302689
2016-02-01,12.67,12.86,12.67,12.86,85959
2016-02-02,12.82,12.91,12.81,12.9,187610
2016-02-03,12.92,12.99,12.89,12.99,114998
2016-02-04,12.91,13.01,12.91,12.95,401790
2016-02-05,12.96,13.0,12.94,12.99,93770
2016-02-08,12.96,13.0,12.88,12.9,128767
2016-02-09,12.82,13.07,12.76,13.03,185345
2016-02-10,13.0,13.01,12.92,12.99,145390
2016-02-11,12.91,13.02,12.91,13.02,133180
2016-02-12,12.94,12.99,12.91,12.97,117006
2016-02-16,12.88,12.97,12.81,12.93,140679
2016-02-17,12.88,12.99,12.86,12.94,121947
2016-02-18,12.89,13.0,12.88,13.0,49882
2016-02-19,13.01,13.07,12.96,12.99,325545
2016-02-22,12.99,13.06,12.99,13.03,96112
2016-02-23,12.97,13.06,12.97,13.03,97016
2016-02-24,13.05,13.07,13.03,13.07,98052
2016-02-25,12.99,13.08,12.98,13.0,128591
2016-02-26,12.96,13.04,12.96,13.01,205575
2016-02-29,13.05,13.05,12.96,12.96,105128
2016-03-01,13.0,13.09,12.97,13.05,134260
2016-03-02,13.01,13.02,12.95,12.98,95894
2016-03-03,12.94,13.06,12.94,12.98,108235
2016-03-04,12.93,13.14,12.93,13.09,113781
2016-03-07,13.05,13.15,13.05,13.07,236246
2016-03-08,13.12,13.13,13.07,13.12,106507
2016-03-09,13.12,13.19,13.11,13.16,119612
2016-03-10,13.17,13.17,13.08,13.1,154342
2016-03-11,13.06,13.1,13.05,13.09,157184
2016-03-14,13.1,13.13,13.05,13.09,348544
2016-03-15,13.02,13.16,13.02,13.14,178674
2016-03-16,13.14,13.19,13.11,13.16,192169
2016-03-17,13.14,13.21,13.14,13.19,160949
2016-03-18,13.16,13.27,13.01,13.03,638841
2016-03-21,13.12,13.15,13.08,13.15,206186
2016-03-22,13.12,13.2,13.09,13.16,83441
