Date,Open,High,Low,Close,Volume
2016-01-04,28.83,29.27,28.27,28.42,163056
2016-01-05,28.54,28.78,28.21,28.42,134070
2016-01-06,28.11,28.36,27.8,28.08,209784
2016-01-07,27.72,28.04,27.5,27.83,349814
2016-01-08,27.91,28.23,27.46,27.5,421014
2016-01-11,27.6,28.2,27.5,28.05,392106
2016-01-12,28.27,28.27,27.55,27.84,144766
2016-01-13,27.99,28.09,26.96,27.2,421620
2016-01-14,27.27,28.14,26.95,27.96,214168
2016-01-15,27.24,27.48,26.88,27.38,179788
2016-01-19,27.62,27.76,27.0,27.17,186518
2016-01-20,26.93,27.18,26.4,26.88,232476
2016-01-21,26.91,27.51,26.41,27.22,266672
2016-01-22,27.43,27.77,26.91,27.16,218826
2016-01-25,27.12,27.12,26.67,26.71,100256
2016-01-26,26.72,27.22,26.72,27.1,262024
2016-01-27,26.92,27.18,26.62,26.73,257962
2016-01-28,26.96,27.08,26.51,26.6,244812
2016-01-29,26.65,27.92,26.65,27.92,265858
2016-02-01,27.73,27.98,27.54,27.71,155580
2016-02-02,27.44,27.76,27.21,27.72,137600
2016-02-03,29.2,29.9,28.54,29.89,357548
2016-02-04,29.84,30.49,29.81,30.06,209936
2016-02-05,29.54,30.46,28.98,30.06,201614
2016-02-08,29.92,31.47,29.76,31.4,183010
2016-02-09,31.1,31.5,30.86,30.95,127948
2016-02-10,31.13,31.34,30.47,30.49,272542
2016-02-11,30.0,31.26,30.0,31.2,137854
2016-02-12,31.5,31.62,31.02,31.42,184320
2016-02-16,31.75,32.55,31.63,32.46,156348
2016-02-17,32.7,33.22,32.61,32.66,234496
2016-02-18,32.7,33.14,32.26,32.48,233408
2016-02-19,32.47,32.7,32.06,32.68,252182
2016-02-22,32.96,33.2,32.44,32.5,162946
2016-02-23,32.46,32.86,32.34,32.47,224838
2016-02-24,32.25,32.97,31.83,32.92,143174
2016-02-25,33.0,33.06,32.52,33.02,110212
2016-02-26,33.1,33.13,32.65,32.98,99014
2016-02-29,33.04,33.22,32.76,32.84,178924
2016-03-01,33.12,33.48,32.8,33.36,205630
2016-03-02,33.24,33.28,32.8,33.16,125200
2016-03-03,33.48,33.6,33.03,33.46,171126
2016-03-04,33.45,34.04,32.92,33.98,162912
2016-03-07,33.97,34.47,33.88,34.1,201666
2016-03-08,33.92,34.08,33.62,33.72,157344
2016-03-09,33.78,34.12,33.73,33.88,79178
2016-03-10,34.0,34.1,33.12,33.4,211420
2016-03-11,33.65,33.98,33.44,33.67,182740
2016-03-14,33.54,33.98,33.2,33.3,94806
2016-03-15,33.08,33.72,32.97,33.48,129414
2016-03-16,33.48,33.95,33.23,33.78,125674
2016-03-17,33.86,34.74,33.8,34.6,219122
2016-03-18,34.42,34.42,32.82,32.96,455962
2016-03-21,32.86,33.22,32.65,32.7,123306
2016-03-22,32.5,33.14,32.5,32.74,152584
2016-03-23,32.57,32.86,32.14,32.21,158950
2016-03-24,32.09,32.71,32.02,32.62,130438
2016-03-28,32.62,32.92,32.14,32.49,151270
2016-03-29,32.48,33.5,32.48,33.48,138908
2016-03-30,33.54,33.54,33.0,33.16,77976
2016-03-31,33.26,33.38,32.98,33.26,76378
2016-04-01,33.0,33.43,32.82,33.36,104620
2016-04-04,33.68,33.68,33.08,33.28,183988
2016-04-05,32.96,33.26,32.78,32.82,105392
2016-04-06,32.72,32.81,32.28,32.58,100230
2016-04-07,32.43,32.61,32.22,32.5,129346
2016-04-08,32.68,33.26,32.34,32.53,83236
2016-04-11,32.62,32.93,32.21,32.24,115898
2016-04-12,32.14,32.4,31.72,32.3,183876
2016-04-13,32.5,33.64,32.31,33.33,263990
2016-04-14,33.48,33.48,32.68,33.05,143306
2016-04-15,33.0,33.3,32.38,32.92,112378
2016-04-18,32.9,33.12,32.45,33.06,154050
2016-04-19,35.2,38.3,35.2,36.52,827142
2016-04-20,35.82,36.02,34.14,35.64,428112
2016-04-21,35.8,36.34,35.21,35.54,256274
2016-04-22,35.67,35.84,35.18,35.39,177392
2016-04-25,35.05,35.68,35.02,35.24,172234
2016-04-26,35.22,36.14,35.22,36.04,204252
2016-04-27,36.12,36.35,35.66,36.22,270788
2016-04-28,35.84,36.44,35.75,35.85,148704
2016-04-29,35.85,36.48,35.43,35.66,179308
2016-05-02,35.88,36.11,35.5,35.96,144208
2016-05-03,35.78,36.07,35.65,35.75,79864
2016-05-04,35.68,39.36,35.68,37.14,598892
2016-05-05,39.13,39.13,37.04,37.09,221492
2016-05-06,37.0,37.44,36.65,37.42,156798
2016-05-09,37.26,37.42,36.82,37.06,196788
2016-05-10,37.22,37.66,37.08,37.4,101208
2016-05-11,37.47,37.48,36.87,37.06,125904
2016-05-12,37.24,37.56,36.93,37.18,135268
2016-05-13,37.04,37.25,36.62,36.77,95780
2016-05-16,36.9,37.55,36.8,37.24,150630
2016-05-17,37.26,37.26,35.65,36.04,276778
2016-05-18,36.04,36.42,35.52,35.94,107972
2016-05-19,36.02,36.26,35.22,35.71,120008
2016-05-20,36.0,36.31,35.8,36.07,244466
2016-05-23,36.12,36.55,35.8,36.27,173600
2016-05-24,36.6,37.21,36.36,36.98,120068
2016-05-25,37.18,37.19,36.6,36.91,88004
2016-05-26,36.9,37.08,36.78,36.92,83106
2016-05-27,37.06,37.22,36.92,37.18,69888
2016-05-31,37.2,37.88,37.02,37.5,233144
2016-06-01,37.38,37.86,37.17,37.77,173756
2016-06-02,37.79,37.79,37.08,37.4,92322
2016-06-03,37.41,37.64,37.04,37.3,96526
2016-06-06,37.42,38.02,37.16,37.76,133216
2016-06-07,37.88,38.14,37.46,37.86,96134
2016-06-08,37.95,38.28,37.5,38.24,76090
2016-06-09,38.16,38.34,37.73,38.28,97338
2016-06-10,38.01,38.18,37.14,37.38,141220
2016-06-13,37.38,37.38,35.9,36.02,161476
2016-06-14,35.88,35.92,34.95,35.82,262968
2016-06-15,35.85,36.07,35.55,35.59,111534
2016-06-16,35.44,35.74,34.94,35.66,175168
2016-06-17,35.74,35.74,35.12,35.44,433594
2016-06-20,35.9,36.57,35.9,36.25,110396
2016-06-21,36.33,36.33,35.77,36.1,64360
2016-06-22,36.22,36.3,35.71,35.8,57474
