Date,Open,High,Low,Close,Volume
2016-01-04,55.27,55.38,54.51,55.04,867681
2016-01-05,55.15,55.32,54.36,54.77,698907
2016-01-06,53.95,54.15,53.0,53.19,1543838
2016-01-07,52.31,52.73,51.88,52.15,914708
2016-01-08,52.61,52.84,51.88,51.94,837963
2016-01-11,52.35,52.45,51.37,51.69,707839
2016-01-12,52.16,52.56,51.23,52.01,536437
2016-01-13,52.25,52.46,50.18,50.19,1073513
2016-01-14,50.29,51.05,49.77,50.82,877665
2016-01-15,49.19,49.6,48.49,48.79,861404
2016-01-19,49.43,49.65,48.69,48.94,915555
2016-01-20,48.03,48.83,47.54,48.4,1213504
2016-01-21,48.82,50.03,48.45,49.69,1002853
2016-01-22,51.02,52.1,50.85,52.08,1113562
2016-01-25,51.74,51.83,50.16,50.25,713731
2016-01-26,50.91,51.83,50.72,51.67,706200
2016-01-27,51.55,53.04,51.55,52.51,1191358
2016-01-28,52.84,53.19,51.97,53.04,1097574
2016-01-29,53.5,53.63,52.45,53.52,1052973
2016-02-01,53.28,53.49,52.46,53.3,616944
2016-02-02,52.0,52.49,51.56,52.42,848671
2016-02-03,53.27,53.89,52.3,53.73,1117944
2016-02-04,53.78,54.89,53.78,54.21,875451
2016-02-05,54.0,54.07,53.23,53.43,546236
2016-02-08,52.65,53.11,52.2,52.81,882233
2016-02-09,52.14,52.7,50.9,51.51,1156806
2016-02-10,51.57,52.39,50.41,50.49,1010350
2016-02-11,49.51,50.18,49.17,49.98,891469
2016-02-12,50.51,51.88,50.39,51.84,711754
2016-02-16,52.73,53.06,51.8,52.68,616155
2016-02-17,53.33,54.53,53.33,54.47,778430
2016-02-18,54.51,54.75,53.54,54.29,809062
2016-02-19,53.42,54.06,53.15,54.01,787941
2016-02-22,54.68,55.05,53.77,53.97,768839
2016-02-23,54.1,54.87,53.26,53.47,1217370
2016-02-24,52.63,53.74,50.97,53.47,1163156
2016-02-25,53.9,54.5,53.46,54.2,687309
2016-02-26,54.69,55.08,54.32,54.82,591826
2016-02-29,54.88,55.44,54.61,55.02,729410
2016-03-01,55.47,56.74,55.39,56.59,881578
2016-03-02,56.35,56.74,55.52,56.38,750734
2016-03-03,56.37,57.05,56.33,56.97,545562
2016-03-04,57.02,57.27,56.73,57.22,730645
2016-03-07,56.91,58.1,56.72,57.53,695737
2016-03-08,56.93,57.9,56.76,57.5,828542
2016-03-09,57.71,58.84,57.62,58.54,916165
2016-03-10,58.62,58.99,57.55,58.13,699091
2016-03-11,58.89,59.41,58.68,59.15,658748
2016-03-14,58.81,59.12,58.6,58.88,505545
2016-03-15,58.34,58.84,58.15,58.75,601994
2016-03-16,58.74,60.02,58.69,59.79,509424
2016-03-17,60.3,61.27,59.98,61.05,1018238
2016-03-18,61.22,61.44,60.28,60.35,678829
2016-03-21,60.26,60.74,59.92,60.37,394721
2016-03-22,60.07,60.73,60.0,60.39,560216
2016-03-23,60.16,60.24,59.32,59.52,553326
2016-03-24,58.94,58.98,58.24,58.8,641076
2016-03-28,59.06,59.68,58.79,59.5,404692
2016-03-29,59.37,60.11,58.82,60.04,418609
2016-03-30,60.5,61.39,60.5,60.95,475654
2016-03-31,60.95,61.72,60.62,60.69,463828
2016-04-01,60.01,60.79,59.36,60.63,746994
2016-04-04,60.57,60.61,60.04,60.19,314911
2016-04-05,59.23,59.77,58.98,59.66,581789
2016-04-06,59.74,59.84,59.07,59.78,470063
2016-04-07,59.33,59.4,58.61,58.91,527285
2016-04-08,59.81,60.68,59.77,60.28,566484
2016-04-11,60.66,61.18,60.48,61.0,599037
2016-04-12,61.02,62.42,61.02,62.18,692713
2016-04-13,62.39,62.77,62.22,62.53,551859
2016-04-14,62.55,63.0,62.37,62.67,534583
2016-04-15,62.65,63.4,62.44,63.28,695029
2016-04-18,62.38,63.57,62.38,63.5,483878
2016-04-19,64.07,64.6,64.0,64.6,823629
2016-04-20,64.31,65.06,64.31,64.83,722905
2016-04-21,64.64,64.74,63.93,64.18,553174
2016-04-22,64.63,64.96,64.29,64.83,430409
2016-04-25,64.46,64.77,64.32,64.63,369857
2016-04-26,65.01,65.35,64.88,65.16,477392
2016-04-27,65.24,65.5,64.95,65.38,516159
2016-04-28,64.4,65.03,64.04,64.87,746993
2016-04-29,64.93,65.39,64.7,65.16,545645
2016-05-02,65.3,65.35,64.86,65.14,472556
2016-05-03,64.33,64.37,63.54,63.83,715355
2016-05-04,62.99,63.29,62.52,62.94,542513
2016-05-05,63.44,63.44,62.47,62.66,457355
2016-05-06,62.15,62.7,61.95,62.38,702188
2016-05-09,62.21,62.31,61.85,62.13,451208
2016-05-10,62.4,63.33,62.38,63.16,472193
2016-05-11,63.01,63.85,62.97,63.42,417717
2016-05-12,63.97,64.03,63.25,63.84,422221
2016-05-13,63.31,63.81,63.04,63.41,473917
2016-05-16,63.59,64.21,63.59,63.9,553622
2016-05-17,63.6,63.93,63.28,63.59,399501
2016-05-18,62.98,63.88,62.97,63.38,582689
2016-05-19,62.79,62.91,62.17,62.75,498452
2016-05-20,62.86,63.14,62.68,63.02,455728
2016-05-23,62.98,63.53,62.54,63.14,323685
2016-05-24,63.09,63.77,62.98,63.21,832369
2016-05-25,63.68,64.82,63.2,64.79,916054
2016-05-26,65.18,65.41,64.22,64.55,1043518
2016-05-27,64.29,64.53,63.63,63.99,678621
2016-05-31,63.75,63.92,62.65,62.91,887805
2016-06-01,62.56,63.02,62.2,63.0,587368
2016-06-02,62.71,63.25,62.56,63.1,528487
2016-06-03,63.73,64.2,63.26,64.04,692126
2016-06-06,64.2,65.2,64.2,65.12,708975
2016-06-07,65.31,65.78,65.17,65.59,594974
2016-06-08,65.95,66.29,65.6,65.9,642296
2016-06-09,65.47,65.87,65.22,65.72,464205
2016-06-10,65.14,65.42,64.82,65.12,505640
2016-06-13,64.06,64.9,63.98,64.44,539192
2016-06-14,64.07,64.37,63.25,63.37,572918
2016-06-15,63.56,63.7,63.16,63.25,738239
2016-06-16,62.23,63.19,61.68,62.91,587579
2016-06-17,63.33,63.87,63.22,63.28,874748
2016-06-20,64.43,64.71,63.95,63.99,632505
2016-06-21,64.17,64.97,63.88,64.54,402178
2016-06-22,64.72,65.06,64.33,64.51,543426
2016-06-23,65.19,65.64,65.07,65.33,469956
2016-06-24,62.07,63.47,61.85,62.65,751628
2016-06-27,61.95,62.12,60.93,61.35,672231
2016-06-28,62.05,62.92,61.86,62.88,529408
2016-06-29,63.23,63.55,63.0,63.41,628282
2016-06-30,63.69,63.69,63.07,63.39,985692
2016-07-01,63.17,63.81,63.1,63.73,768359
2016-07-05,63.25,64.05,63.08,63.16,696136
2016-07-06,62.97,63.85,62.53,63.73,743608
2016-07-07,63.83,64.22,63.08,63.26,461219
2016-07-08,63.52,64.05,63.47,63.7,737994
2016-07-11,64.0,64.1,63.49,63.5,465597
2016-07-12,64.18,64.44,63.99,64.33,605717
2016-07-13,64.23,64.95,64.14,64.82,642265
2016-07-14,65.37,65.77,65.22,65.48,704337
2016-07-15,65.6,65.71,65.38,65.52,828298
2016-07-18,65.53,65.69,65.27,65.6,415467
2016-07-19,65.23,65.23,64.84,65.08,521144
2016-07-20,65.06,65.38,64.92,65.15,433859
2016-07-21,65.04,65.32,64.69,64.83,397755
2016-07-22,64.84,64.97,64.11,64.46,561745
2016-07-25,64.19,64.32,64.05,64.26,402287
2016-07-26,64.28,64.81,64.25,64.72,564412
2016-07-27,64.52,64.77,63.71,64.3,1037790
2016-07-28,63.74,64.15,63.22,63.77,509254
2016-07-29,63.89,64.47,63.6,64.12,527761
2016-08-01,64.05,64.09,63.31,63.38,300585
2016-08-02,63.62,64.02,62.9,63.11,798369
2016-08-03,63.17,63.48,62.83,63.07,482929
2016-08-04,63.07,63.38,62.57,63.06,571754
2016-08-05,62.65,63.06,62.55,62.95,616332
2016-08-08,62.97,63.56,62.96,63.49,460153
2016-08-09,63.55,64.2,63.53,63.87,410402
2016-08-10,64.24,64.48,63.89,64.05,524964
2016-08-11,64.39,64.9,64.39,64.7,443753
2016-08-12,64.76,64.76,64.37,64.63,394256
2016-08-15,64.75,65.08,64.7,65.01,472241
2016-08-16,65.04,65.16,64.72,65.11,378477
2016-08-17,64.9,65.42,64.74,65.37,579125
2016-08-18,65.45,65.62,65.35,65.57,363565
2016-08-19,65.05,65.42,64.59,65.33,374620
2016-08-22,65.02,65.12,64.6,65.06,605440
2016-08-23,65.97,67.25,65.97,66.94,1285099
2016-08-24,66.72,67.08,66.59,66.76,622252
2016-08-25,66.72,67.18,66.71,67.1,570758
2016-08-26,67.25,67.67,66.54,66.78,550628
2016-08-29,66.8,67.02,66.61,66.81,538079
2016-08-30,66.8,67.01,66.52,66.62,574879
2016-08-31,66.62,66.73,65.96,66.3,578253
2016-09-01,66.38,66.67,66.16,66.52,582839
2016-09-02,66.85,67.6,66.79,67.06,675459
2016-09-06,67.33,67.45,66.98,67.45,662607
2016-09-07,67.47,67.69,66.78,67.07,516669
2016-09-08,67.0,67.05,66.52,66.64,394237
2016-09-09,66.05,66.07,65.3,65.61,692406
2016-09-12,65.11,65.9,64.82,65.63,867869
2016-09-13,64.83,64.83,64.15,64.42,927565
2016-09-14,64.28,64.91,64.12,64.36,525241
2016-09-15,64.42,65.36,64.42,65.09,672240
2016-09-16,64.58,64.66,64.06,64.5,569932
2016-09-19,64.94,65.35,64.51,64.61,402236
2016-09-20,64.69,64.97,64.32,64.64,535690
2016-09-21,65.03,65.7,64.72,65.59,613277
2016-09-22,66.24,66.5,66.06,66.15,513083
2016-09-23,65.66,65.66,64.94,65.1,391516
2016-09-26,64.94,65.03,64.46,64.61,434850
2016-09-27,64.32,65.02,64.16,64.93,409159
2016-09-28,65.13,66.0,64.85,65.81,573966
2016-09-29,66.24,66.25,65.09,65.35,400027
2016-09-30,65.54,65.97,65.45,65.57,407043
2016-10-03,65.38,65.55,65.1,65.45,293422
2016-10-04,64.34,64.7,63.43,63.9,2111320
2016-10-05,64.12,64.14,63.68,63.85,700355
2016-10-06,63.8,63.81,63.26,63.63,454681
2016-10-07,63.65,63.75,62.7,63.15,491763
2016-10-10,63.35,63.66,63.35,63.65,271319
2016-10-11,63.5,63.67,63.06,63.41,473415
2016-10-12,63.44,63.82,63.06,63.57,429652
2016-10-13,63.36,64.12,63.05,64.01,466458
2016-10-14,64.48,64.72,64.09,64.29,396507
2016-10-17,64.35,64.65,64.33,64.47,405628
2016-10-18,64.92,65.04,64.68,64.95,448713
2016-10-19,65.08,65.69,64.86,64.94,536028
2016-10-20,64.74,64.98,64.53,64.65,501074
2016-10-21,64.23,64.36,64.0,64.17,880625
2016-10-24,64.22,64.55,64.1,64.43,785774
2016-10-25,64.64,64.81,64.44,64.51,438460
2016-10-26,64.41,65.09,64.4,64.79,1223461
2016-10-27,65.0,65.23,64.66,64.96,592102
2016-10-28,64.18,64.25,63.54,63.77,529201
2016-10-31,63.69,63.94,63.55,63.6,530287
2016-11-01,63.84,63.92,63.12,63.39,678269
2016-11-02,63.19,63.29,62.86,63.0,536177
2016-11-03,63.22,63.7,62.86,63.08,488487
2016-11-04,62.86,62.91,62.32,62.52,563784
2016-11-07,63.18,63.71,63.18,63.52,501606
2016-11-08,63.39,64.02,63.29,63.88,354802
