Date,Open,High,Low,Close,Volume
2016-01-04,15.09,15.15,15.04,15.1,8962
2016-01-05,15.09,15.3,15.09,15.27,19873
2016-01-06,15.24,15.3,15.2,15.21,12467
2016-01-07,15.24,15.28,15.08,15.14,35309
2016-01-08,15.14,15.17,15.04,15.16,23359
2016-01-11,15.12,15.14,15.09,15.1,13193
2016-01-12,15.12,15.12,15.02,15.11,19251
2016-01-13,15.01,15.04,14.96,14.96,22408
2016-01-14,14.95,15.01,14.87,14.96,12943
2016-01-15,14.88,15.32,14.88,15.14,24512
2016-01-19,15.18,15.18,15.05,15.07,15843
2016-01-20,15.1,15.1,14.97,14.99,13812
2016-01-21,15.06,15.08,14.96,14.99,12641
2016-01-22,15.13,15.18,14.99,15.05,15322
2016-01-25,15.11,15.22,15.02,15.06,30428
2016-01-26,15.03,15.04,14.99,15.01,14050
2016-01-27,15.05,15.09,15.0,15.05,19012
2016-01-28,15.05,15.11,15.02,15.1,10473
2016-01-29,15.17,15.2,15.11,15.13,17736
2016-02-01,15.15,15.23,15.13,15.18,13043
2016-02-02,15.18,15.26,15.17,15.26,11686
2016-02-03,15.22,15.31,15.22,15.3,16053
2016-02-04,15.33,15.36,15.31,15.34,13228
2016-02-05,15.31,15.72,15.31,15.54,22128
2016-02-08,15.47,15.67,15.34,15.67,53968
2016-02-09,15.57,15.76,15.57,15.71,34724
2016-02-10,15.7,15.77,15.68,15.77,7257
2016-02-11,15.75,15.81,15.72,15.73,21137
2016-02-12,15.78,15.78,15.61,15.61,4041
2016-02-16,15.59,15.63,15.47,15.53,17143
2016-02-17,15.45,15.55,15.45,15.54,10989
2016-02-18,15.5,15.6,15.5,15.56,9298
2016-02-19,15.53,15.64,15.53,15.64,9542
2016-02-22,15.65,15.65,15.61,15.62,5665
2016-02-23,15.64,15.71,15.6,15.7,9277
2016-02-24,15.73,15.78,15.7,15.72,13130
2016-02-25,15.77,15.78,15.72,15.77,13636
2016-02-26,15.74,15.75,15.65,15.66,14313
2016-02-29,15.69,15.75,15.61,15.63,12664
2016-03-01,15.66,15.67,15.61,15.63,13069
2016-03-02,15.59,15.64,15.57,15.6,13848
2016-03-03,15.58,15.6,15.5,15.5,13685
2016-03-04,15.52,15.54,15.42,15.43,11954
2016-03-07,15.42,15.44,15.4,15.44,12610
2016-03-08,15.56,15.56,15.44,15.47,13158
2016-03-09,15.53,15.87,15.45,15.87,32316
2016-03-10,15.89,15.97,15.83,15.97,17421
2016-03-11,15.9,15.97,15.84,15.97,13498
2016-03-14,15.99,16.02,15.93,16.02,7830
2016-03-15,16.04,16.04,15.96,16.0,6605
2016-03-16,16.02,16.08,15.99,16.08,6924
2016-03-17,16.12,16.19,15.99,16.19,7321
2016-03-18,16.29,16.31,16.24,16.3,7831
2016-03-21,16.31,16.33,16.23,16.29,12213
2016-03-22,16.32,16.32,16.25,16.32,9722
2016-03-23,16.27,16.35,16.25,16.29,9849
2016-03-24,16.25,16.29,16.21,16.23,10100
2016-03-28,16.32,16.32,16.18,16.23,10976
2016-03-29,16.18,16.25,16.16,16.24,9441
2016-03-30,16.19,16.25,16.15,16.18,5809
2016-03-31,16.19,16.31,16.19,16.29,13313
2016-04-01,16.27,16.36,16.16,16.2,28040
2016-04-04,16.23,16.24,16.21,16.24,10002
2016-04-05,16.19,16.25,15.75,16.25,9485
2016-04-06,16.21,16.25,16.2,16.24,6173
2016-04-07,16.2,16.35,16.2,16.3,17765
2016-04-08,16.24,16.32,16.24,16.32,7723
2016-04-11,16.31,16.33,16.23,16.33,13386
2016-04-12,16.27,16.33,16.23,16.28,15588
2016-04-13,16.14,16.2,16.09,16.09,16420
2016-04-14,16.07,16.13,16.07,16.13,5239
2016-04-15,16.05,16.25,15.93,15.93,32742
2016-04-18,15.94,16.03,15.94,15.98,7733
2016-04-19,15.95,16.16,15.95,16.1,22631
2016-04-20,16.09,16.11,16.06,16.06,3511
2016-04-21,16.04,16.12,16.04,16.06,8129
2016-04-22,16.08,16.11,16.01,16.02,12469
2016-04-25,16.05,16.12,16.01,16.11,15395
2016-04-26,16.13,16.13,16.09,16.13,6846
2016-04-27,16.07,16.16,16.07,16.13,11940
2016-04-28,16.1,16.25,16.1,16.23,35650
2016-04-29,16.18,16.29,16.18,16.29,5973
2016-05-02,16.3,16.3,16.24,16.28,14512
2016-05-03,16.24,16.34,16.24,16.3,8143
2016-05-04,16.26,16.39,16.26,16.39,13364
2016-05-05,16.4,16.45,16.39,16.43,12707
2016-05-06,16.45,16.48,16.36,16.43,15199
2016-05-09,16.45,16.45,16.31,16.37,24371
2016-05-10,16.32,16.58,16.31,16.58,7815
2016-05-11,16.56,16.61,16.54,16.61,3814
2016-05-12,16.53,16.61,16.45,16.45,6981
2016-05-13,16.45,16.47,16.31,16.47,17069
2016-05-16,16.47,16.47,16.3,16.36,8100
2016-05-17,16.39,16.4,16.3,16.31,4005
2016-05-18,16.31,16.8,16.1,16.11,28620
2016-05-19,16.15,16.15,15.69,15.75,58051
2016-05-20,15.73,15.8,15.69,15.69,7500
2016-05-23,15.73,15.86,15.72,15.81,15203
2016-05-24,15.85,15.96,15.85,15.9,20361
2016-05-25,15.93,16.03,15.88,15.94,12677
2016-05-26,15.91,16.02,15.91,15.98,14860
2016-05-27,16.01,16.01,15.88,15.88,11399
2016-05-31,15.85,15.9,15.79,15.81,8917
2016-06-01,15.81,15.92,15.8,15.86,9108
2016-06-02,15.9,16.02,15.89,15.96,9672
2016-06-03,16.04,16.09,15.98,16.04,12807
2016-06-06,16.08,16.1,16.03,16.1,13243
2016-06-07,16.1,16.11,16.05,16.05,18127
2016-06-08,16.1,16.15,16.07,16.12,8347
2016-06-09,16.15,16.22,16.12,16.13,10743
2016-06-10,16.31,16.35,16.18,16.22,14948
2016-06-13,16.27,16.27,16.17,16.17,3900
2016-06-14,16.16,16.2,16.16,16.17,6459
2016-06-15,16.17,16.21,16.16,16.16,17204
2016-06-16,16.26,16.35,16.23,16.34,17896
2016-06-17,16.37,16.38,16.31,16.34,16414
2016-06-20,16.28,16.35,16.28,16.32,8191
2016-06-21,16.29,16.35,16.25,16.25,12120
2016-06-22,16.24,16.34,16.24,16.24,21764
2016-06-23,16.24,16.34,16.21,16.29,3162
2016-06-24,16.37,16.37,16.24,16.3,9248
2016-06-27,16.35,16.37,16.33,16.35,9246
2016-06-28,16.37,16.44,16.37,16.44,5885
2016-06-29,16.36,16.5,16.36,16.46,9190
2016-06-30,16.5,16.56,16.44,16.5,13226
2016-07-01,16.49,16.63,16.39,16.62,18180
2016-07-05,16.57,16.63,16.42,16.48,14853
2016-07-06,16.46,16.54,16.42,16.48,21213
2016-07-07,16.52,16.55,16.42,16.55,10976
2016-07-08,16.48,16.52,16.42,16.45,19444
2016-07-11,16.43,16.51,16.39,16.47,22489
2016-07-12,16.42,16.48,16.4,16.43,19320
2016-07-13,16.35,16.39,16.24,16.33,20013
2016-07-14,16.29,16.35,16.2,16.23,26420
2016-07-15,16.17,16.55,16.17,16.49,50142
2016-07-18,16.55,16.7,16.55,16.6,19668
2016-07-19,16.64,16.7,16.58,16.66,11107
2016-07-20,16.67,16.68,16.61,16.68,9576
2016-07-21,16.68,16.75,16.68,16.73,8376
2016-07-22,16.7,16.77,16.69,16.75,8003
2016-07-25,16.69,16.74,16.69,16.74,8750
2016-07-26,16.75,16.77,16.73,16.74,7617
2016-07-27,16.75,16.85,16.75,16.83,18183
2016-07-28,16.92,16.98,16.89,16.9,5484
2016-07-29,16.95,16.95,16.78,16.79,12641
2016-08-01,16.82,16.83,16.76,16.76,13531
2016-08-02,16.78,16.83,16.7,16.75,8569
2016-08-03,16.73,16.84,16.73,16.81,11973
2016-08-04,16.8,16.9,16.8,16.8,5883
2016-08-05,16.94,16.94,16.88,16.89,14428
2016-08-08,16.94,16.94,16.92,16.93,9915
2016-08-09,16.94,16.94,16.76,16.76,12683
2016-08-10,16.79,16.79,16.69,16.69,13839
2016-08-11,16.65,16.67,16.55,16.56,20164
2016-08-12,16.6,16.6,16.42,16.42,20371
2016-08-15,16.42,16.45,16.4,16.4,38206
2016-08-16,16.46,16.46,16.26,16.3,42396
2016-08-17,16.25,16.31,16.23,16.24,18979
2016-08-18,16.26,16.35,16.26,16.34,13983
2016-08-19,16.36,16.37,16.29,16.32,7710
2016-08-22,16.36,16.37,16.32,16.34,10198
2016-08-23,16.32,16.36,16.32,16.34,6973
2016-08-24,16.39,16.41,16.36,16.41,11560
2016-08-25,16.45,16.45,16.38,16.43,10972
2016-08-26,16.45,16.45,16.38,16.39,8449
2016-08-29,16.44,16.49,16.41,16.48,7245
2016-08-30,16.48,16.52,16.43,16.52,22845
2016-08-31,16.52,16.56,16.48,16.54,11998
2016-09-01,16.57,16.61,16.55,16.61,9537
2016-09-02,16.61,16.61,16.55,16.6,6947
2016-09-06,16.63,16.79,16.57,16.79,9996
2016-09-07,16.69,16.76,16.68,16.73,8929
2016-09-08,16.67,16.76,16.57,16.57,9440
2016-09-09,16.46,16.48,16.38,16.38,8555
2016-09-12,16.28,16.42,16.17,16.24,15533
2016-09-13,16.1,16.21,16.06,16.14,9430
2016-09-14,16.11,16.18,16.1,16.15,10574
2016-09-15,16.1,16.15,16.04,16.07,4841
2016-09-16,16.0,16.02,15.84,15.85,16898
2016-09-19,15.84,15.92,15.79,15.84,13985
2016-09-20,15.79,15.92,15.76,15.84,23477
2016-09-21,15.89,15.92,15.83,15.9,47029
2016-09-22,15.92,16.02,15.91,15.97,74725
2016-09-23,16.01,16.01,15.93,15.97,13540
2016-09-26,16.02,16.05,15.97,16.04,20170
2016-09-27,16.05,16.09,16.0,16.09,11234
2016-09-28,16.11,16.18,16.09,16.11,16419
2016-09-29,16.15,16.15,16.04,16.04,8676
2016-09-30,16.06,16.13,16.04,16.12,13978
2016-10-03,16.11,16.2,16.03,16.12,21694
2016-10-04,16.16,16.16,15.99,16.1,17929
2016-10-05,16.09,16.09,15.99,15.99,13582
2016-10-06,15.94,16.05,15.92,16.05,11771
2016-10-07,15.97,16.08,15.97,16.0,25566
2016-10-10,16.07,16.17,16.0,16.13,11738
2016-10-11,16.11,16.11,16.06,16.06,5301
2016-10-12,16.0,16.0,15.85,15.9,13097
2016-10-13,15.88,15.89,15.69,15.74,27816
2016-10-14,15.69,15.72,15.51,15.53,10412
2016-10-17,15.54,15.58,15.43,15.51,24855
2016-10-18,15.49,15.51,15.26,15.47,16142
2016-10-19,15.49,15.83,15.49,15.63,6512
2016-10-20,15.7,15.71,15.5,15.53,16510
2016-10-21,15.6,15.69,15.6,15.66,12130
2016-10-24,15.62,15.71,15.62,15.7,7631
2016-10-25,15.65,15.79,15.65,15.77,4102
2016-10-26,15.83,15.83,15.72,15.72,16248
2016-10-27,15.6,15.76,15.58,15.58,26424
2016-10-28,15.67,15.67,15.48,15.49,7883
2016-10-31,15.62,15.63,15.49,15.49,5741
2016-11-01,15.57,15.57,15.32,15.34,36157
2016-11-02,15.39,15.42,15.33,15.38,12649
2016-11-03,15.45,15.53,15.43,15.53,8901
2016-11-04,15.53,15.53,15.49,15.49,3915
2016-11-07,15.58,15.59,15.37,15.49,11107
2016-11-08,15.47,15.53,15.45,15.53,14150
2016-11-09,15.48,15.56,15.29,15.56,16148
2016-11-10,15.4,15.4,15.0,15.01,25162
2016-11-11,14.9,15.13,14.83,15.03,8934
2016-11-14,15.0,15.0,14.46,14.52,51732
2016-11-15,14.53,14.73,14.44,14.64,28000
2016-11-16,14.46,14.73,14.42,14.43,39074
2016-11-17,14.52,14.52,14.42,14.44,22274
2016-11-18,14.5,14.53,14.38,14.38,33406
2016-11-21,14.44,14.51,14.39,14.45,11304
2016-11-22,14.57,14.8,14.48,14.7,24518
2016-11-23,14.67,14.74,14.51,14.65,18832
2016-11-25,14.65,14.65,14.55,14.62,4063
2016-11-28,14.63,14.79,14.63,14.75,23860
2016-11-29,14.83,14.83,14.69,14.75,13628
2016-11-30,14.72,14.72,14.59,14.66,16154
2016-12-01,14.66,14.66,14.42,14.59,21331
2016-12-02,14.62,14.62,14.39,14.49,15390
2016-12-05,14.51,14.62,14.38,14.39,16889
2016-12-06,14.5,14.52,14.44,14.52,14394
2016-12-07,14.58,14.75,14.58,14.72,19912
2016-12-08,14.69,14.69,14.42,14.5,21492
2016-12-09,14.6,14.6,14.39,14.42,11150
2016-12-12,14.53,14.53,14.34,14.39,19023
2016-12-13,14.41,14.46,14.36,14.45,7694
2016-12-14,14.55,14.56,14.43,14.49,25151
2016-12-15,14.42,14.44,14.32,14.39,16898
2016-12-16,14.36,14.37,14.29,14.29,23891
2016-12-19,14.27,14.35,14.27,14.29,34554
2016-12-20,14.27,14.33,14.27,14.29,24837
2016-12-21,14.33,14.33,14.2,14.3,29786
2016-12-22,14.33,14.33,14.29,14.31,29820
2016-12-23,14.35,14.35,14.25,14.28,32032
2016-12-27,14.21,14.86,14.19,14.23,32710
2016-12-28,14.26,14.26,14.12,14.14,31580
2016-12-29,14.14,14.2,14.13,14.14,35627
2016-12-30,14.24,14.26,14.18,14.24,36794
2017-01-03,14.26,14.35,14.18,14.35,17973
2017-01-04,14.41,14.7,14.38,14.57,44916
2017-01-05,14.63,14.7,14.5,14.7,31120
2017-01-06,14.83,14.89,14.6,14.65,25010
2017-01-09,14.65,14.92,14.65,14.72,10151
2017-01-10,14.84,14.84,14.65,14.68,42449
2017-01-11,14.62,14.66,14.4,14.43,36677
2017-01-12,14.56,14.66,14.52,14.53,25782
2017-01-13,14.61,14.61,14.46,14.46,13037
2017-01-17,14.56,14.72,14.51,14.57,11446
2017-01-18,14.6,14.6,14.52,14.6,4727
2017-01-19,14.57,14.57,14.43,14.5,17076
2017-01-20,14.56,14.56,14.41,14.46,17901
2017-01-23,14.51,14.55,14.45,14.51,10769
2017-01-24,14.5,14.51,14.45,14.5,12651
2017-01-25,14.55,14.56,14.53,14.53,14252
2017-01-26,14.56,14.79,14.52,14.76,15186
2017-01-27,14.77,14.93,14.67,14.87,17514
2017-01-30,14.9,14.9,14.78,14.81,2717
2017-01-31,14.82,14.82,14.77,14.77,8943
2017-02-01,14.87,14.87,14.72,14.73,11695
2017-02-02,14.78,14.78,14.7,14.74,7273
2017-02-03,14.72,14.82,14.66,14.67,13937
2017-02-06,14.76,14.79,14.6,14.63,15252
2017-02-07,14.71,14.75,14.7,14.71,11353
2017-02-08,14.75,14.78,14.7,14.7,14513
2017-02-09,14.74,14.74,14.5,14.53,29288
2017-02-10,14.61,14.61,14.52,14.52,13863
2017-02-13,14.51,14.58,14.51,14.54,18443
2017-02-14,14.55,14.55,14.43,14.46,8534
2017-02-15,14.47,14.47,14.43,14.44,7084
