Date,Open,High,Low,Close,Volume
2016-01-04,12.49,12.64,12.33,12.64,291372
2016-01-05,12.64,12.72,12.5,12.64,324982
2016-01-06,12.51,12.59,12.44,12.52,342549
2016-01-07,12.33,12.36,12.2,12.22,219277
2016-01-08,12.24,12.24,12.06,12.09,178833
2016-01-11,12.12,12.16,11.88,11.96,182399
2016-01-12,12.01,12.05,11.77,11.81,295646
2016-01-13,11.81,11.84,11.51,11.54,214183
2016-01-14,11.52,11.61,11.31,11.46,587136
2016-01-15,11.3,11.3,11.16,11.22,311009
2016-01-19,11.26,11.38,11.09,11.11,325436
2016-01-20,10.94,10.98,10.62,10.75,509543
2016-01-21,10.73,10.98,10.73,10.85,194674
2016-01-22,11.04,11.25,11.0,11.24,245362
2016-01-25,11.24,11.24,11.06,11.08,210718
2016-01-26,11.09,11.26,11.09,11.24,282974
2016-01-27,11.18,11.23,11.05,11.09,390425
2016-01-28,11.14,11.26,11.05,11.24,295772
2016-01-29,11.32,11.44,11.26,11.43,219409
2016-02-01,11.38,11.48,11.32,11.48,183990
2016-02-02,11.41,11.41,11.27,11.33,171918
2016-02-03,11.42,11.43,11.22,11.42,180827
2016-02-04,11.42,11.47,11.36,11.45,163709
2016-02-05,11.44,11.44,11.13,11.2,192784
2016-02-08,11.12,11.12,10.79,10.9,211363
2016-02-09,10.71,10.77,10.58,10.62,428996
2016-02-10,10.66,10.8,10.65,10.65,266494
2016-02-11,10.41,10.55,10.36,10.53,293759
2016-02-12,10.53,10.65,10.51,10.65,205533
2016-02-16,10.72,10.86,10.68,10.83,237194
2016-02-17,10.97,11.08,10.94,11.08,200272
2016-02-18,11.13,11.13,11.03,11.07,204899
2016-02-19,11.04,11.12,10.94,11.06,185235
2016-02-22,11.21,11.21,11.06,11.07,207374
2016-02-23,11.03,11.1,10.95,11.0,156119
2016-02-24,10.94,11.04,10.82,11.0,165631
2016-02-25,11.06,11.2,11.01,11.16,194732
2016-02-26,11.19,11.22,11.16,11.22,133858
2016-02-29,11.25,11.3,11.08,11.08,194490
2016-03-01,11.15,11.37,11.15,11.37,212246
2016-03-02,11.36,11.47,11.33,11.44,159676
2016-03-03,11.42,11.53,11.39,11.49,137365
2016-03-04,11.53,11.59,11.5,11.54,186556
2016-03-07,11.53,11.62,11.5,11.59,101059
2016-03-08,11.55,11.57,11.47,11.52,129062
2016-03-09,11.52,11.58,11.48,11.55,145442
2016-03-10,11.61,11.66,11.44,11.57,200950
2016-03-11,11.56,11.63,11.5,11.6,161061
2016-03-14,11.59,11.66,11.59,11.66,146161
2016-03-15,11.55,11.61,11.52,11.55,160813
2016-03-16,11.51,11.67,11.47,11.66,184309
2016-03-17,11.64,11.72,11.62,11.69,178843
2016-03-18,11.69,11.88,11.68,11.78,162437
2016-03-21,11.77,11.78,11.7,11.74,133883
2016-03-22,11.7,11.74,11.67,11.68,153799
2016-03-23,11.68,11.69,11.59,11.63,102799
2016-03-24,11.58,11.58,11.4,11.43,402760
2016-03-28,11.45,11.53,11.41,11.47,200928
2016-03-29,11.48,11.76,11.4,11.74,280076
2016-03-30,11.77,11.91,11.75,11.88,248315
2016-03-31,11.91,11.94,11.8,11.88,327052
2016-04-01,11.8,11.87,11.7,11.87,206319
2016-04-04,11.8,11.8,11.65,11.76,275370
2016-04-05,11.71,11.71,11.55,11.58,163464
2016-04-06,11.6,11.71,11.55,11.71,160720
2016-04-07,11.65,11.67,11.58,11.63,170684
2016-04-08,11.72,11.76,11.64,11.71,145726
2016-04-11,11.76,11.79,11.7,11.72,87369
2016-04-12,11.73,11.86,11.73,11.86,156027
2016-04-13,11.83,11.85,11.8,11.82,193190
2016-04-14,11.8,11.83,11.71,11.74,317162
2016-04-15,11.72,11.81,11.72,11.81,100723
2016-04-18,11.72,11.88,11.7,11.88,187740
2016-04-19,11.88,11.99,11.87,11.99,247322
2016-04-20,11.99,12.06,11.96,12.04,211609
2016-04-21,12.06,12.06,11.94,11.98,125887
2016-04-22,11.98,11.98,11.89,11.93,128474
2016-04-25,11.88,11.95,11.85,11.92,134427
2016-04-26,11.95,12.01,11.91,12.01,174669
2016-04-27,11.98,12.02,11.95,12.0,138112
2016-04-28,11.93,12.0,11.87,11.91,134973
2016-04-29,11.94,11.95,11.83,11.9,209965
2016-05-02,11.89,11.92,11.82,11.89,193012
2016-05-03,11.81,11.84,11.73,11.82,200298
2016-05-04,11.72,11.76,11.7,11.75,216373
2016-05-05,11.76,11.78,11.69,11.74,248465
2016-05-06,11.72,11.76,11.62,11.72,196797
2016-05-09,11.69,11.75,11.66,11.71,206217
2016-05-10,11.77,11.87,11.74,11.87,169560
2016-05-11,11.83,11.86,11.78,11.84,163095
2016-05-12,11.76,11.77,11.66,11.7,149144
2016-05-13,11.66,11.68,11.58,11.62,87978
2016-05-16,11.6,11.73,11.58,11.72,148891
2016-05-17,11.69,11.71,11.63,11.69,169829
2016-05-18,11.67,11.75,11.63,11.69,152968
2016-05-19,11.7,11.73,11.6,11.67,155074
2016-05-20,11.74,11.75,11.7,11.74,127075
2016-05-23,11.74,11.75,11.66,11.75,122227
2016-05-24,11.76,11.86,11.76,11.86,113652
2016-05-25,11.89,11.95,11.86,11.95,159461
2016-05-26,11.95,11.96,11.9,11.93,101673
2016-05-27,11.97,12.0,11.95,12.0,121956
2016-05-31,12.01,12.07,11.95,12.0,158417
