Date,Open,High,Low,Close,Volume
2016-01-04,11.99,12.9,11.9,12.5,399781
2016-01-05,12.6,13.09,11.68,12.3,603056
2016-01-06,12.09,12.26,10.79,11.46,560663
2016-01-07,11.19,12.3,10.97,11.52,563496
2016-01-08,11.46,11.5,10.18,10.39,500753
2016-01-11,10.46,10.58,10.26,10.48,257655
2016-01-12,10.02,10.5,7.55,8.07,2612065
2016-01-13,8.06,8.31,7.28,7.84,1367799
2016-01-14,7.84,7.96,7.36,7.64,738457
2016-01-15,7.46,7.49,6.91,7.23,616103
2016-01-19,7.24,7.31,6.6,6.66,626186
2016-01-20,6.5,6.51,5.8,6.03,1387148
2016-01-21,6.03,6.94,5.86,6.6,1136369
2016-01-22,6.72,7.04,6.41,6.8,579700
2016-01-25,6.74,6.87,6.39,6.4,480175
2016-01-26,6.48,6.7,6.41,6.54,463892
2016-01-27,6.46,6.76,6.19,6.23,490970
2016-01-28,6.41,6.45,6.05,6.06,542904
2016-01-29,6.08,6.34,5.88,6.08,732301
2016-02-01,6.06,6.63,5.87,6.41,935390
2016-02-02,6.27,6.39,5.2,5.53,2128870
2016-02-03,6.83,7.75,6.5,7.53,5445585
2016-02-04,7.43,8.57,7.08,7.92,2035541
2016-02-05,8.0,8.5,7.92,8.33,1267382
2016-02-08,8.14,8.63,7.75,8.52,1176664
2016-02-09,8.59,8.59,7.63,8.3,799484
2016-02-10,8.35,8.78,7.86,7.87,726089
2016-02-11,7.87,8.48,7.75,8.35,743717
2016-02-12,8.35,8.49,7.92,8.21,478149
2016-02-16,8.32,8.51,7.82,8.48,441763
2016-02-17,8.54,9.13,8.42,9.07,954527
2016-02-18,9.09,9.47,8.78,9.34,701221
2016-02-19,9.26,9.53,8.6,8.78,622723
2016-02-22,8.87,9.52,8.87,9.26,568093
2016-02-23,9.38,10.29,9.13,9.61,1790934
2016-02-24,9.42,9.62,9.04,9.48,265785
2016-02-25,9.52,9.73,9.14,9.61,242910
2016-02-26,9.67,9.71,9.31,9.47,236299
2016-02-29,9.46,10.2,9.32,10.16,374701
2016-03-01,10.12,10.24,9.79,9.93,310096
2016-03-02,10.03,10.19,9.75,10.11,190120
2016-03-03,10.12,10.25,9.62,9.7,368003
2016-03-04,9.64,10.84,9.64,10.49,548966
2016-03-07,10.48,11.59,10.4,11.4,631074
2016-03-08,11.45,11.87,10.75,10.77,489827
2016-03-09,10.82,11.44,10.23,10.34,321360
2016-03-10,10.37,10.74,10.05,10.42,213525
2016-03-11,10.54,10.65,10.24,10.51,236173
2016-03-14,10.56,10.57,9.69,9.7,264494
2016-03-15,9.7,9.85,8.85,9.01,670310
2016-03-16,8.98,9.46,8.95,9.4,325171
2016-03-17,9.45,10.07,9.36,10.02,239624
2016-03-18,10.09,10.32,9.79,10.13,319098
2016-03-21,10.08,10.49,9.96,10.27,313452
2016-03-22,10.16,10.16,9.55,9.61,310036
2016-03-23,9.55,9.55,8.73,9.05,335751
2016-03-24,9.06,9.41,9.0,9.34,246834
2016-03-28,9.41,9.53,9.2,9.23,197428
2016-03-29,9.24,9.48,9.06,9.31,265614
2016-03-30,9.38,9.59,9.23,9.27,278639
2016-03-31,9.31,9.82,9.21,9.4,405368
2016-04-01,9.27,9.87,9.23,9.65,276735
2016-04-04,9.69,10.1,9.46,9.7,466173
2016-04-05,9.62,9.62,8.99,9.0,586799
2016-04-06,9.03,9.19,8.6,8.67,865489
2016-04-07,8.7,8.7,7.93,7.95,789852
2016-04-08,7.44,7.45,6.49,6.75,1763345
2016-04-11,6.79,7.72,6.76,7.37,1020295
2016-04-12,7.39,7.78,7.0,7.77,486058
2016-04-13,7.75,8.05,7.71,7.9,592253
2016-04-14,7.93,7.96,7.74,7.87,345016
2016-04-15,7.84,8.1,7.84,8.09,185431
2016-04-18,8.07,8.21,7.98,8.15,303495
2016-04-19,8.25,8.49,8.1,8.32,385177
2016-04-20,8.29,8.52,8.23,8.26,165153
2016-04-21,8.36,8.65,8.25,8.41,397641
2016-04-22,8.39,8.64,8.35,8.59,268437
2016-04-25,8.58,8.65,7.97,7.99,296901
2016-04-26,8.05,8.62,8.02,8.58,209625
2016-04-27,8.53,8.65,8.36,8.57,108187
2016-04-28,8.47,8.73,8.39,8.43,175346
2016-04-29,8.49,8.6,8.01,8.2,145176
2016-05-02,8.28,8.54,8.06,8.38,173081
2016-05-03,8.31,8.31,7.85,8.08,194059
2016-05-04,8.01,8.19,7.9,8.0,177626
2016-05-05,8.02,8.04,7.63,7.72,213107
2016-05-06,7.74,7.81,7.39,7.65,210610
2016-05-09,7.52,8.05,7.52,7.93,163764
2016-05-10,7.9,7.99,7.5,7.81,208711
2016-05-11,7.69,7.69,7.21,7.25,228878
2016-05-12,7.26,7.45,6.94,7.16,173099
2016-05-13,7.0,7.01,6.16,6.45,791518
2016-05-16,6.5,6.68,6.42,6.54,263322
2016-05-17,6.55,6.68,6.14,6.15,322988
2016-05-18,6.1,6.22,5.59,5.7,868794
2016-05-19,5.75,6.65,5.75,6.45,1745635
2016-05-20,6.36,7.35,6.03,7.11,1251109
2016-05-23,7.02,7.59,6.96,7.37,863081
2016-05-24,7.44,7.54,7.14,7.28,336623
2016-05-25,7.49,8.36,7.48,7.93,919190
2016-05-26,7.89,8.31,7.56,7.6,377671
2016-05-27,7.62,7.88,7.6,7.74,203585
2016-05-31,7.77,7.83,7.54,7.61,463064
2016-06-01,7.61,7.89,7.58,7.81,221260
2016-06-02,7.75,8.19,7.72,8.09,317488
2016-06-03,8.2,8.25,7.89,8.03,169491
2016-06-06,8.0,8.41,7.88,8.39,269888
2016-06-07,8.29,8.58,8.27,8.43,301700
2016-06-08,8.53,8.63,8.42,8.49,218296
2016-06-09,8.37,8.74,8.2,8.68,450736
2016-06-10,8.62,8.72,7.79,8.01,580280
2016-06-13,7.98,8.04,7.72,7.75,236202
2016-06-14,7.72,7.89,7.52,7.67,170645
2016-06-15,7.83,8.27,7.8,7.87,273241
