Date,Open,High,Low,Close,Volume
2016-01-04,13.46,14.36,13.4,14.36,935499
2016-01-05,14.25,14.29,13.27,13.32,1173269
2016-01-06,13.18,13.26,12.51,12.69,1143255
2016-01-07,12.41,12.51,12.0,12.17,993066
2016-01-08,12.31,12.47,11.56,11.61,831063
2016-01-11,11.75,12.0,11.08,11.5,784965
2016-01-12,11.63,11.68,10.88,11.2,958751
2016-01-13,11.31,11.46,10.5,10.62,761565
2016-01-14,10.76,10.79,10.0,10.71,1225377
2016-01-15,10.23,10.39,9.91,10.18,921595
2016-01-19,10.3,10.55,9.13,9.4,1554255
2016-01-20,9.21,9.86,8.82,9.75,2149281
2016-01-21,9.83,10.63,9.43,10.37,1299238
2016-01-22,10.6,11.04,10.4,10.59,1354180
2016-01-25,10.56,10.92,9.7,9.73,1154070
2016-01-26,9.74,9.84,9.29,9.63,880832
2016-01-27,9.6,10.1,9.48,9.52,760558
2016-01-28,9.65,10.28,9.52,10.16,1092337
2016-01-29,10.27,10.83,10.21,10.76,1217557
2016-02-01,10.73,11.12,10.55,11.05,1143407
2016-02-02,10.95,10.95,10.13,10.23,927582
2016-02-03,10.3,11.03,10.01,11.0,728269
2016-02-04,10.84,11.59,10.84,11.29,1054046
2016-02-05,11.08,11.1,10.15,10.45,1011909
2016-02-08,10.2,10.2,9.01,9.22,1255653
2016-02-09,9.01,9.58,8.96,9.21,968152
2016-02-10,9.26,9.75,8.98,9.5,832518
2016-02-11,9.3,9.68,9.06,9.12,1025879
2016-02-12,9.28,10.0,9.23,9.9,727564
2016-02-16,10.33,10.33,9.82,10.14,468578
2016-02-17,10.28,10.82,10.23,10.63,1124314
2016-02-18,10.61,10.7,10.18,10.46,865159
2016-02-19,10.45,10.85,10.31,10.71,452693
2016-02-22,10.8,11.35,10.75,11.21,557765
2016-02-23,11.19,11.28,10.91,11.14,420435
2016-02-24,10.85,11.89,10.68,11.85,734582
2016-02-25,11.7,12.2,11.66,11.96,680979
2016-02-26,12.06,12.3,11.88,11.89,577249
2016-02-29,11.88,12.03,11.45,11.51,534011
2016-03-01,11.63,11.68,11.37,11.55,482136
2016-03-02,11.56,12.48,11.56,12.29,1590856
2016-03-03,12.38,12.65,12.35,12.46,582527
2016-03-04,12.6,12.79,12.2,12.39,552566
2016-03-07,12.39,12.62,12.24,12.55,530748
2016-03-08,12.34,12.86,11.95,12.07,681138
2016-03-09,12.2,13.21,11.66,12.52,2619573
2016-03-10,14.16,14.4,11.92,12.73,9643968
2016-03-11,12.94,12.98,12.05,12.16,2610510
2016-03-14,12.24,12.3,11.75,12.17,1561554
2016-03-15,12.01,12.27,11.77,12.27,1061029
2016-03-16,12.15,12.35,11.93,12.27,1186942
2016-03-17,12.3,12.4,12.16,12.24,663636
2016-03-18,12.12,12.9,12.12,12.73,1881844
2016-03-21,12.46,12.79,12.44,12.65,655011
2016-03-22,12.48,12.72,12.44,12.54,352714
2016-03-23,12.55,12.71,12.03,12.04,537900
2016-03-24,11.96,12.22,11.87,12.18,457119
2016-03-28,12.2,12.38,12.0,12.33,686855
2016-03-29,12.33,12.64,12.04,12.5,1211174
2016-03-30,12.6,12.8,12.44,12.52,969822
2016-03-31,12.52,12.59,12.2,12.26,601697
2016-04-01,12.31,12.6,12.07,12.35,833834
2016-04-04,12.4,12.78,12.4,12.51,665211
2016-04-05,12.39,12.5,12.14,12.22,681271
2016-04-06,12.25,12.7,12.22,12.48,853385
2016-04-07,12.37,12.46,11.92,12.15,1909113
2016-04-08,12.2,12.34,11.97,12.04,848171
2016-04-11,12.11,12.27,12.0,12.02,600701
2016-04-12,12.21,12.23,11.82,12.06,1203463
2016-04-13,12.13,12.35,12.06,12.31,848415
2016-04-14,12.32,12.68,12.26,12.53,762906
2016-04-15,12.28,12.66,12.27,12.52,837467
2016-04-18,12.4,13.0,12.39,12.72,893917
2016-04-19,12.72,13.0,12.61,12.92,912567
2016-04-20,12.96,12.98,12.72,12.79,464578
2016-04-21,12.87,13.04,12.83,13.0,1020442
2016-04-22,13.0,13.45,12.82,13.37,969461
2016-04-25,13.2,13.48,13.19,13.19,605458
2016-04-26,13.22,13.41,13.03,13.06,659009
2016-04-27,13.03,13.1,12.9,13.05,756704
2016-04-28,13.02,13.34,13.0,13.04,645232
2016-04-29,13.04,13.22,12.87,12.93,836306
2016-05-02,13.1,13.16,12.67,12.91,877618
2016-05-03,12.69,12.94,12.39,12.5,469483
2016-05-04,12.48,12.7,12.28,12.31,545958
2016-05-05,12.34,12.51,11.96,12.07,518828
2016-05-06,11.88,11.99,11.57,11.76,656497
2016-05-09,11.77,11.77,11.5,11.58,528020
2016-05-10,11.6,11.99,11.41,11.9,440115
2016-05-11,11.87,12.05,11.85,11.85,361158
2016-05-12,11.99,12.0,11.5,11.67,270537
2016-05-13,11.69,11.89,11.53,11.55,376807
2016-05-16,11.59,11.83,11.51,11.68,437975
2016-05-17,11.65,11.82,11.55,11.6,428651
2016-05-18,11.59,11.9,11.55,11.64,569072
