Date,Open,High,Low,Close,Volume
2016-01-04,18.61,18.74,18.61,18.74,204
2016-01-05,,,,18.74,0
2016-01-06,18.5,18.66,18.45,18.66,519
2016-01-07,18.4,18.4,18.34,18.35,800
2016-01-08,18.54,18.54,18.46,18.46,585
2016-01-11,18.1,18.34,18.07,18.09,1320
2016-01-12,17.92,17.92,17.92,17.92,508
2016-01-13,17.93,18.03,17.54,17.54,3587
2016-01-14,17.47,17.47,17.04,17.05,4375
2016-01-15,16.82,16.93,16.22,16.44,4116
2016-01-19,16.78,17.36,16.78,17.31,1064
2016-01-20,17.09,17.2,16.65,17.2,2621
2016-01-21,17.42,17.87,17.42,17.85,3880
2016-01-22,18.15,18.3,17.81,18.3,1463
2016-01-25,18.28,18.31,17.63,17.63,1260
2016-01-26,,,,17.63,0
2016-01-27,18.25,18.58,18.25,18.58,901
2016-01-28,18.68,18.7,18.68,18.7,1154
2016-01-29,,,,18.7,0
2016-02-01,18.65,18.79,18.64,18.79,808
2016-02-02,,,,18.79,0
2016-02-03,19.27,19.27,19.17,19.26,1935
2016-02-04,19.49,19.49,19.49,19.49,128
2016-02-05,19.36,19.36,19.04,19.04,435
2016-02-08,19.17,19.33,19.07,19.27,721
2016-02-09,,,,19.27,0
2016-02-10,19.0,19.0,19.0,19.0,101
2016-02-11,18.49,18.79,18.49,18.72,409
2016-02-12,19.24,19.24,19.24,19.24,110
2016-02-16,18.96,18.96,18.96,18.96,160
2016-02-17,19.16,19.16,19.16,19.16,260
2016-02-18,19.4,19.4,19.4,19.4,123
2016-02-19,19.56,19.56,19.4,19.56,1400
2016-02-22,19.56,19.56,19.56,19.56,413
2016-02-23,19.48,19.48,19.48,19.48,333
2016-02-24,19.15,19.44,19.15,19.44,820
2016-02-25,19.51,19.77,19.51,19.77,605
2016-02-26,,,,19.77,0
2016-02-29,20.11,20.28,20.11,20.28,653
2016-03-01,,,,20.28,0
2016-03-02,20.17,20.22,20.17,20.22,653
2016-03-03,20.52,20.52,20.34,20.34,405
2016-03-04,,,,20.34,0
2016-03-07,20.66,20.66,20.52,20.61,509
2016-03-08,20.61,20.61,20.12,20.12,522
2016-03-09,20.66,20.68,20.66,20.68,1136
2016-03-10,,,,20.68,0
2016-03-11,,,,20.68,0
2016-03-14,20.8,20.92,20.8,20.82,2500
2016-03-15,,,,20.82,0
2016-03-16,21.0,21.0,21.0,21.0,263
2016-03-17,21.59,21.9,21.59,21.9,310
2016-03-18,21.93,21.95,21.46,21.46,712
2016-03-21,21.45,21.6,21.3,21.6,554
2016-03-22,21.88,21.88,21.76,21.76,673
2016-03-23,21.63,21.63,21.63,21.63,201
2016-03-24,21.91,22.03,21.75,21.91,1503
2016-03-28,22.36,22.48,22.25,22.35,5345
2016-03-29,22.22,22.93,22.1,22.4,5156
2016-03-30,22.75,22.77,22.5,22.5,5007
2016-03-31,22.7,22.74,22.51,22.53,6648
2016-04-01,21.25,22.0,21.25,21.72,4527
2016-04-04,21.72,21.77,21.27,21.76,7167
2016-04-05,21.63,21.64,21.22,21.5,3572
2016-04-06,21.55,21.55,21.55,21.55,229
2016-04-07,21.31,21.31,21.31,21.31,193
2016-04-08,21.54,21.61,21.54,21.61,298
2016-04-11,21.95,21.95,21.77,21.77,1006
2016-04-12,21.64,21.82,21.36,21.63,4248
2016-04-13,21.74,21.74,21.55,21.55,637
2016-04-14,21.78,22.03,21.78,21.85,1310
2016-04-15,21.76,21.93,21.75,21.9,635
2016-04-18,22.09,22.1,21.82,22.1,2839
2016-04-19,22.44,22.45,22.18,22.18,2167
2016-04-20,22.22,22.6,22.21,22.21,6555
2016-04-21,22.21,22.28,22.08,22.08,1605
2016-04-22,22.39,22.54,22.2,22.34,1196
2016-04-25,22.22,22.56,22.22,22.22,1698
2016-04-26,22.5,22.6,22.36,22.45,4678
2016-04-27,22.45,22.5,22.15,22.5,4057
2016-04-28,22.33,22.57,22.3,22.3,4238
2016-04-29,22.19,22.29,22.1,22.29,720
2016-05-02,21.99,22.29,21.99,22.27,501
2016-05-03,22.05,22.05,21.62,21.62,630
2016-05-04,21.08,21.61,21.08,21.2,5459
2016-05-05,21.46,21.66,21.46,21.49,782
2016-05-06,21.24,21.48,21.24,21.48,3290
2016-05-09,21.61,21.65,21.3,21.65,923
2016-05-10,21.7,21.97,21.35,21.35,2803
2016-05-11,21.78,22.12,21.47,22.08,2895
2016-05-12,22.59,22.59,21.91,22.06,736
2016-05-13,22.0,22.1,22.0,22.1,262
2016-05-16,22.14,22.39,21.76,22.39,2274
2016-05-17,21.94,22.36,21.94,21.99,2072
2016-05-18,22.27,22.55,22.19,22.19,1660
2016-05-20,22.52,22.52,22.52,22.52,1303
2016-05-23,,,,22.52,0
2016-05-24,21.99,22.37,21.99,22.28,651
2016-05-25,21.49,22.31,21.46,22.28,1376
2016-05-26,22.61,22.61,22.0,22.0,1445
2016-05-27,22.47,22.47,22.4,22.42,704
2016-05-31,22.25,22.25,21.95,21.95,4269
2016-06-01,21.91,22.31,21.91,22.31,1902
2016-06-02,22.44,22.44,22.23,22.36,1553
2016-06-03,22.56,22.56,22.2,22.2,3136
2016-06-06,22.5,24.35,22.5,22.65,1548
2016-06-07,23.0,23.1,22.72,23.08,6930
2016-06-08,23.01,23.21,22.79,23.07,1309
2016-06-09,22.8,23.01,22.74,22.77,6101
2016-06-10,22.77,23.0,22.67,23.0,1618
2016-06-13,23.0,23.0,22.52,22.53,1010
2016-06-14,22.58,22.87,22.44,22.44,3748
2016-06-15,22.45,22.89,22.43,22.43,1467
2016-06-16,22.45,22.45,22.0,22.24,639
2016-06-17,22.8,23.67,22.17,22.29,9283
2016-06-20,22.31,22.76,22.31,22.39,2520
2016-06-21,22.5,22.66,22.46,22.47,602
2016-06-22,22.17,22.17,22.17,22.17,403
2016-06-23,23.24,23.24,22.53,22.53,1672
2016-06-24,23.72,23.72,21.86,22.0,9265
2016-06-27,21.82,22.07,21.82,21.98,684
2016-06-28,19.88,22.03,19.83,21.77,4895
2016-06-29,21.95,22.52,21.93,22.0,1240
2016-06-30,22.91,22.91,21.68,22.3,3276
2016-07-01,21.72,22.7,21.6,22.65,7078
2016-07-05,22.26,22.67,22.17,22.17,2902
2016-07-06,22.09,22.63,21.87,21.87,1095
2016-07-07,22.06,22.18,22.05,22.18,788
2016-07-08,23.39,23.39,21.87,22.32,3855
2016-07-11,22.37,22.37,21.27,21.27,602
2016-07-12,21.27,22.79,21.27,22.62,940
2016-07-13,22.45,22.45,22.4,22.4,1274
2016-07-14,22.41,22.41,22.32,22.41,923
2016-07-15,22.41,22.41,22.21,22.32,1379
2016-07-18,22.53,22.53,22.53,22.53,349
2016-07-19,22.53,22.54,22.15,22.15,1581
2016-07-20,22.13,22.76,22.0,22.18,21105
2016-07-21,22.19,22.2,21.88,22.04,8873
2016-07-22,21.99,22.08,21.88,21.88,3702
2016-07-25,21.9,21.9,21.8,21.9,1360
2016-07-26,21.92,22.27,21.78,22.27,5648
2016-07-27,21.79,22.04,21.63,22.0,5105
2016-07-28,21.83,22.21,21.62,22.2,1102
2016-07-29,22.09,22.09,22.09,22.09,309
2016-08-01,,,,22.09,0
2016-08-02,22.2,22.2,21.83,21.83,1034
2016-08-03,22.19,22.19,22.07,22.17,525
2016-08-04,22.15,22.15,22.1,22.14,2023
2016-08-05,22.15,22.16,21.86,22.03,2743
2016-08-08,,,,22.03,0
2016-08-09,21.9,21.9,21.58,21.82,4174
2016-08-10,21.98,22.19,21.76,22.0,2241
2016-08-11,22.18,22.19,21.87,22.18,1409
2016-08-12,21.91,21.91,21.9,21.9,1003
2016-08-15,22.19,22.3,22.03,22.03,3793
2016-08-16,22.25,22.3,22.2,22.25,4310
2016-08-17,22.23,22.23,22.08,22.08,694
2016-08-18,22.28,22.41,22.28,22.41,407
2016-08-19,,,,22.41,0
2016-08-22,22.45,22.93,22.05,22.27,2326
2016-08-23,22.32,22.71,22.24,22.71,3168
2016-08-24,22.1,22.1,22.1,22.1,249
2016-08-25,22.16,22.16,21.87,21.9,728
2016-08-26,22.02,22.02,21.94,21.94,606
2016-08-29,21.99,21.99,21.99,21.99,201
2016-08-30,21.8,21.8,21.45,21.61,1936
2016-08-31,21.63,21.94,21.63,21.63,1303
2016-09-01,,,,21.63,0
2016-09-02,21.8,21.8,21.8,21.8,162
2016-09-06,21.71,22.04,21.71,21.94,1536
2016-09-07,21.91,22.25,21.63,21.89,876
2016-09-08,22.04,22.04,22.04,22.04,235
2016-09-09,21.9,21.9,21.43,21.66,1056
2016-09-12,21.5,21.83,21.5,21.72,2578
2016-09-13,21.51,21.71,21.51,21.63,5349
2016-09-14,21.59,21.59,21.33,21.38,3822
2016-09-15,21.28,21.56,21.21,21.45,1714
2016-09-16,21.38,21.52,21.28,21.28,1151
2016-09-19,21.26,21.26,21.09,21.09,666
2016-09-20,21.43,21.46,21.43,21.46,710
2016-09-21,21.33,21.57,21.33,21.57,423
2016-09-22,21.69,21.69,21.34,21.47,961
2016-09-23,21.61,21.61,21.39,21.43,2184
2016-09-26,21.41,21.41,21.19,21.19,619
2016-09-27,21.19,21.19,21.15,21.15,452
2016-09-28,20.84,21.16,20.63,21.06,2635
2016-09-29,21.08,21.19,20.75,20.93,1708
2016-09-30,20.74,21.12,20.74,21.0,5242
2016-10-03,20.87,21.13,20.78,21.12,2774
2016-10-04,21.02,21.02,20.69,20.69,379
2016-10-05,20.93,20.94,20.78,20.78,433
2016-10-06,20.78,20.78,20.78,20.78,215
2016-10-07,20.55,20.58,20.32,20.32,543
2016-10-10,20.57,20.57,20.02,20.22,506
2016-10-11,20.22,20.83,20.22,20.64,1909
2016-10-12,20.61,20.62,20.61,20.61,555
2016-10-13,20.48,20.48,20.26,20.4,1426
2016-10-14,20.54,20.54,20.54,20.54,132
2016-10-17,20.66,20.66,20.66,20.66,388
2016-10-18,20.83,20.85,20.81,20.85,691
2016-10-19,20.94,21.04,20.88,21.04,431
2016-10-20,20.87,20.87,20.57,20.57,1873
2016-10-21,20.54,20.55,20.35,20.51,1610
2016-10-24,20.35,20.35,20.3,20.3,1609
2016-10-25,,,,20.3,0
2016-10-26,,,,20.3,0
2016-10-27,20.12,20.12,19.57,19.57,5128
2016-10-28,19.67,19.88,19.67,19.87,3960
2016-10-31,19.78,19.84,19.66,19.84,883
2016-11-01,19.66,19.67,19.66,19.67,236
2016-11-02,19.55,19.6,19.54,19.54,525
2016-11-03,19.41,19.41,19.13,19.15,778
2016-11-04,19.12,19.43,19.12,19.35,3896
2016-11-07,19.28,19.45,19.15,19.15,681
2016-11-08,19.15,19.5,19.15,19.5,1777
2016-11-09,19.16,19.47,19.05,19.47,2694
2016-11-10,19.07,19.15,19.07,19.15,1308
2016-11-11,18.96,19.19,18.68,18.87,1684
2016-11-14,18.7,19.02,18.7,19.02,1094
2016-11-15,18.97,18.97,18.75,18.75,2000
2016-11-16,18.8,19.2,18.8,19.0,3008
2016-11-17,19.0,19.0,18.69,18.7,675
2016-11-18,,,,18.7,0
2016-11-21,18.75,18.93,18.73,18.73,3157
2016-11-22,18.87,19.16,18.84,19.16,438
2016-11-23,,,,19.16,0
2016-11-25,19.16,19.16,19.08,19.08,312
2016-11-28,19.11,19.53,19.11,19.53,2691
2016-11-29,19.85,19.85,19.1,19.43,1638
2016-11-30,19.24,19.58,19.24,19.58,3778
2016-12-01,19.94,19.94,19.63,19.69,1333
2016-12-02,19.71,19.71,19.58,19.63,1631
2016-12-05,,,,19.63,0
2016-12-06,19.77,19.91,19.76,19.91,2462
2016-12-07,19.86,20.36,19.86,20.32,1493
