Date,Open,High,Low,Close,Volume
2016-01-04,15.4,15.53,15.4,15.49,14028
2016-01-05,15.51,15.58,15.51,15.53,21262
2016-01-06,15.54,15.64,15.48,15.6,33088
2016-01-07,15.48,15.59,15.43,15.52,33035
2016-01-08,15.57,15.6,15.49,15.56,9905
2016-01-11,15.52,15.59,15.39,15.39,64059
2016-01-12,15.37,15.51,15.37,15.49,38598
2016-01-13,15.39,15.61,15.39,15.54,20852
2016-01-14,15.53,15.53,15.5,15.51,13300
2016-01-15,15.53,15.59,15.35,15.38,40126
2016-01-19,15.43,15.46,15.32,15.34,53564
2016-01-20,15.39,15.48,15.31,15.43,54605
2016-01-21,15.48,15.53,15.45,15.47,23085
2016-01-22,15.51,15.8,15.46,15.46,75114
2016-01-25,15.45,15.58,15.44,15.46,24712
2016-01-26,15.46,15.53,15.43,15.53,19845
2016-01-27,15.49,15.57,15.43,15.46,29164
2016-01-28,15.47,15.54,15.45,15.52,32863
2016-01-29,15.53,15.74,15.53,15.66,32404
2016-02-01,15.7,15.7,15.48,15.53,43087
2016-02-02,15.53,15.6,15.53,15.58,22468
2016-02-03,15.6,15.69,15.58,15.59,22062
2016-02-04,15.56,15.64,15.55,15.59,17180
2016-02-05,15.56,15.58,15.43,15.47,50542
2016-02-08,15.47,15.5,15.35,15.37,51087
2016-02-09,15.39,15.43,15.34,15.38,50648
2016-02-10,15.39,15.51,15.39,15.46,36894
2016-02-11,15.44,15.47,15.44,15.45,8467
2016-02-12,15.49,15.49,15.36,15.36,25212
2016-02-16,15.38,15.39,15.32,15.35,28361
2016-02-17,15.37,15.43,15.37,15.42,30297
2016-02-18,15.4,15.49,15.4,15.49,21869
2016-02-19,15.54,15.55,15.42,15.44,26807
2016-02-22,15.46,15.51,15.45,15.46,6510
2016-02-23,15.48,15.6,15.48,15.57,18059
2016-02-24,15.58,15.62,15.55,15.59,22480
2016-02-25,15.62,15.67,15.61,15.67,28560
2016-02-26,15.62,15.63,15.58,15.58,23773
2016-02-29,15.65,15.65,15.59,15.62,4413
2016-03-01,15.65,15.69,15.62,15.68,30467
2016-03-02,15.57,15.63,15.51,15.55,63158
2016-03-03,15.51,15.55,15.5,15.55,23209
2016-03-04,15.54,15.54,15.4,15.4,32226
2016-03-07,15.4,15.5,15.38,15.5,48913
2016-03-08,15.49,15.49,15.4,15.41,20768
2016-03-09,15.41,15.47,15.38,15.41,59268
2016-03-10,15.44,15.44,15.42,15.43,10079
2016-03-11,15.4,15.42,15.38,15.38,14771
2016-03-14,15.4,15.4,15.39,15.39,8699
2016-03-15,15.39,15.4,15.35,15.35,40702
2016-03-16,15.36,15.43,15.33,15.36,31731
2016-03-17,15.34,15.36,15.31,15.32,26850
2016-03-18,15.33,15.37,15.31,15.31,15621
2016-03-21,15.3,15.34,15.29,15.31,35108
2016-03-22,15.32,15.36,15.25,15.31,28618
2016-03-23,15.28,15.35,15.28,15.31,35304
2016-03-24,15.35,15.35,15.32,15.34,13367
2016-03-28,15.32,15.32,15.29,15.3,27977
2016-03-29,15.31,15.45,15.31,15.36,55809
2016-03-30,15.35,15.36,15.32,15.33,19040
2016-03-31,15.35,15.45,15.32,15.36,37577
2016-04-01,15.38,15.43,15.37,15.41,15244
2016-04-04,15.36,15.45,15.32,15.39,33898
2016-04-05,15.39,15.43,15.37,15.42,26833
2016-04-06,15.42,15.45,15.39,15.4,21616
2016-04-07,15.38,15.4,15.36,15.37,16541
2016-04-08,15.37,15.43,15.35,15.39,40846
2016-04-11,15.38,15.42,15.35,15.38,16770
2016-04-12,15.38,15.4,15.36,15.36,19030
2016-04-13,15.36,15.36,15.26,15.3,15462
2016-04-14,15.3,15.3,15.25,15.26,22221
2016-04-15,15.28,15.33,15.26,15.31,46200
2016-04-18,15.3,15.3,15.26,15.28,25005
2016-04-19,15.29,15.29,15.25,15.27,36350
2016-04-20,15.28,15.3,15.26,15.3,28099
2016-04-21,15.28,15.3,15.25,15.27,70464
2016-04-22,15.25,15.26,15.18,15.24,42570
2016-04-25,15.18,15.25,15.18,15.21,38956
2016-04-26,15.19,15.24,15.19,15.24,32150
2016-04-27,15.18,15.25,15.18,15.25,47453
2016-04-28,15.23,15.24,15.19,15.19,49616
2016-04-29,15.21,15.25,15.2,15.21,28838
2016-05-02,15.3,15.3,15.17,15.2,65333
2016-05-03,15.2,15.24,15.19,15.23,84241
2016-05-04,15.33,15.33,15.2,15.24,9651
2016-05-05,15.4,15.44,15.22,15.25,45711
2016-05-06,15.27,15.32,15.26,15.29,57745
2016-05-09,15.3,15.3,15.25,15.27,42802
2016-05-10,15.28,15.32,15.26,15.29,33835
2016-05-11,15.28,15.28,15.22,15.25,73225
2016-05-12,15.22,15.25,15.2,15.2,51203
2016-05-13,15.21,15.26,15.18,15.21,114497
2016-05-16,15.2,15.23,15.18,15.2,35003
2016-05-17,15.2,15.29,15.2,15.24,57839
2016-05-18,15.23,15.26,15.2,15.21,40730
2016-05-19,15.2,15.22,15.18,15.2,23495
2016-05-20,15.15,15.28,15.15,15.28,47907
2016-05-23,15.24,15.32,15.24,15.25,22424
2016-05-24,15.25,15.27,15.2,15.26,37962
2016-05-25,15.26,15.31,15.23,15.26,27650
2016-05-26,15.28,15.32,15.22,15.23,32160
2016-05-27,15.28,15.3,15.15,15.2,52830
2016-05-31,15.21,15.21,15.14,15.16,78999
2016-06-01,15.17,15.27,15.17,15.27,36934
2016-06-02,15.25,15.31,15.21,15.25,57271
2016-06-03,15.28,15.32,15.26,15.26,26007
2016-06-06,15.26,15.3,15.24,15.24,26993
2016-06-07,15.27,15.27,15.2,15.23,21080
2016-06-08,15.24,15.29,15.22,15.25,29261
2016-06-09,15.24,15.3,15.24,15.26,28602
2016-06-10,15.27,15.28,15.26,15.28,4595
2016-06-13,15.27,15.27,15.18,15.19,100899
