Date,Open,High,Low,Close,Volume
2016-01-04,11.45,11.54,11.43,11.54,36267
2016-01-05,11.56,11.62,11.55,11.6,26596
2016-01-06,11.68,11.7,11.65,11.7,109748
2016-01-07,11.74,11.79,11.66,11.79,89548
2016-01-08,11.79,11.79,11.69,11.76,76608
2016-01-11,11.75,11.76,11.68,11.75,28689
2016-01-12,11.75,11.75,11.69,11.72,45342
2016-01-13,11.66,11.66,11.51,11.52,46286
2016-01-14,11.57,11.57,11.48,11.55,27376
2016-01-15,11.58,11.64,11.54,11.57,35531
2016-01-19,11.59,11.63,11.47,11.47,42865
2016-01-20,11.53,11.53,11.29,11.39,84884
2016-01-21,11.42,11.53,11.39,11.45,44027
2016-01-22,11.56,11.56,11.48,11.48,28940
2016-01-25,11.51,11.55,11.42,11.43,29425
2016-01-26,11.39,11.49,11.38,11.49,22195
2016-01-27,11.5,11.55,11.46,11.47,24560
2016-01-28,11.5,11.56,11.5,11.56,34634
2016-01-29,11.67,11.69,11.58,11.63,77906
2016-02-01,11.63,11.69,11.58,11.63,37531
2016-02-02,11.64,11.69,11.64,11.66,42981
2016-02-03,11.69,11.74,11.65,11.72,58984
2016-02-04,11.74,11.76,11.71,11.76,49901
2016-02-05,11.78,11.79,11.74,11.78,50503
2016-02-08,11.79,11.79,11.73,11.74,31903
2016-02-09,11.78,11.79,11.75,11.79,28168
2016-02-10,11.78,11.81,11.77,11.8,37463
2016-02-11,11.75,11.77,11.74,11.74,31581
2016-02-12,11.75,11.8,11.63,11.63,44648
2016-02-16,11.6,11.61,11.52,11.58,52193
2016-02-17,11.52,11.58,11.52,11.54,57620
2016-02-18,11.6,11.64,11.57,11.63,50323
2016-02-19,11.61,11.68,11.61,11.67,37271
2016-02-22,11.64,11.66,11.61,11.63,28377
2016-02-23,11.65,11.69,11.62,11.69,41445
2016-02-24,11.64,11.73,11.64,11.67,49463
2016-02-25,11.67,11.71,11.66,11.67,47283
2016-02-26,11.65,11.65,11.6,11.6,23060
2016-02-29,11.64,11.64,11.6,11.6,34367
2016-03-01,11.6,11.69,11.6,11.69,29352
2016-03-02,11.67,11.68,11.63,11.66,31951
