Date,Open,High,Low,Close,Volume
2016-01-04,3.27,3.42,3.1,3.27,2176392
2016-01-05,3.26,3.28,3.09,3.13,1392525
2016-01-06,2.98,3.06,2.91,2.94,1512061
2016-01-07,2.8,2.93,2.66,2.67,2033720
2016-01-08,2.8,2.8,2.54,2.58,2995324
2016-01-11,2.55,2.57,2.21,2.23,2522813
2016-01-12,2.31,2.33,1.77,1.96,3361567
2016-01-13,2.1,2.12,1.8,1.83,1845427
2016-01-14,1.86,1.95,1.75,1.88,2150914
2016-01-15,1.72,1.75,1.54,1.63,2622205
2016-01-19,1.68,1.7,1.3,1.32,2458150
2016-01-20,1.27,1.42,1.08,1.34,3684308
2016-01-21,1.36,1.72,1.32,1.68,3456973
2016-01-22,2.01,2.08,1.87,1.97,3527610
2016-01-25,1.91,1.94,1.68,1.7,2053179
2016-01-26,1.76,1.95,1.67,1.91,1925686
2016-01-27,1.85,2.17,1.82,1.96,3292718
2016-01-28,2.24,2.29,2.04,2.15,3180356
2016-01-29,2.2,2.27,2.01,2.12,4241770
2016-02-01,2.04,2.04,1.9,1.95,2058345
2016-02-02,1.83,1.86,1.74,1.78,1700762
2016-02-03,1.9,2.07,1.8,2.06,2507666
2016-02-04,2.09,2.22,2.0,2.06,2198939
2016-02-05,1.98,2.09,1.93,2.02,1811921
2016-02-08,1.92,1.99,1.86,1.94,1613825
2016-02-09,1.88,1.94,1.73,1.77,1670382
2016-02-10,1.77,1.87,1.66,1.71,1452166
2016-02-11,1.62,1.82,1.59,1.8,1888569
2016-02-12,1.91,1.93,1.76,1.81,2046756
2016-02-16,1.85,1.87,1.76,1.82,1600415
2016-02-17,1.86,2.01,1.85,1.99,2695507
2016-02-18,2.1,2.13,1.93,1.94,1971090
2016-02-19,1.88,1.95,1.8,1.93,1334796
2016-02-22,2.07,2.11,2.02,2.05,1389390
2016-02-23,1.99,2.02,1.88,1.92,1347927
2016-02-24,1.86,2.07,1.8,2.05,1560712
2016-02-25,2.01,2.16,1.97,2.12,1634011
2016-02-26,2.27,2.35,2.17,2.22,2475549
2016-02-29,2.26,2.33,2.24,2.28,1878419
2016-03-01,2.32,2.58,2.24,2.56,2753753
2016-03-02,2.53,2.94,2.47,2.93,3616398
2016-03-03,3.07,3.49,2.78,3.3,5398402
2016-03-04,3.55,3.79,3.45,3.63,5905738
2016-03-07,3.74,4.06,3.73,4.0,4435888
2016-03-08,4.02,4.02,3.25,3.34,5294837
2016-03-09,3.66,3.75,3.43,3.65,3046007
2016-03-10,3.56,3.63,3.37,3.58,2874180
2016-03-11,3.78,3.91,3.71,3.79,2495851
2016-03-14,3.55,3.62,3.39,3.59,1920359
2016-03-15,3.4,3.5,3.33,3.5,1505196
2016-03-16,3.68,3.84,3.63,3.82,2699585
2016-03-17,3.98,4.09,3.91,3.99,2848157
2016-03-18,4.06,4.15,3.76,3.89,3361406
2016-03-21,3.91,4.0,3.77,3.85,2064124
2016-03-22,3.79,3.99,3.76,3.99,1966902
2016-03-23,3.82,3.91,3.68,3.72,2518528
2016-03-24,3.52,3.87,3.42,3.8,3227259
2016-03-28,3.81,3.85,3.65,3.77,2069594
2016-03-29,3.61,3.8,3.53,3.73,2066892
2016-03-30,3.86,4.01,3.82,3.89,2955474
2016-03-31,3.87,4.01,3.87,3.97,1701375
2016-04-01,3.76,3.96,3.74,3.85,1651951
2016-04-04,3.84,3.94,3.72,3.77,2120249
2016-04-05,3.71,3.79,3.66,3.7,1329519
2016-04-06,3.8,3.93,3.75,3.89,1928760
2016-04-07,3.84,3.89,3.74,3.82,1511336
2016-04-08,3.98,4.1,3.96,4.03,2571182
2016-04-11,4.12,4.32,4.12,4.3,2143713
2016-04-12,4.45,4.89,4.4,4.58,3999637
2016-04-13,4.6,4.78,4.47,4.52,3202513
2016-04-14,4.56,4.62,4.3,4.35,2787243
2016-04-15,4.22,4.35,4.09,4.35,1840054
2016-04-18,3.99,4.59,3.97,4.41,3633074
