Date,Open,High,Low,Close,Volume
2016-01-04,122.58,122.72,120.85,122.47,1335282
2016-01-05,122.59,122.81,121.8,122.55,1059274
2016-01-06,120.31,121.24,119.84,120.23,1625575
2016-01-07,120.01,121.08,118.45,119.47,2045597
2016-01-08,119.76,119.77,116.94,117.13,2265072
2016-01-11,119.91,120.19,118.47,119.17,1762338
2016-01-12,119.19,119.33,117.82,119.0,1239550
2016-01-13,118.86,119.24,115.7,116.14,3319744
2016-01-14,116.26,117.58,114.77,117.13,1654770
2016-01-15,116.19,116.85,115.57,116.41,3842915
2016-01-19,119.6,120.1,118.4,118.84,3228788
2016-01-20,116.95,117.29,113.36,115.94,3522655
2016-01-21,116.02,117.46,115.1,116.74,1675009
2016-01-22,119.47,121.22,119.17,120.99,1340048
2016-01-25,121.41,122.55,120.97,121.29,1127512
2016-01-26,121.39,122.75,121.33,122.62,1192614
2016-01-27,122.74,124.2,121.37,121.9,1847134
2016-01-28,122.4,122.89,121.2,122.3,2102224
2016-01-29,123.33,126.22,123.06,125.84,2252420
2016-02-01,125.47,127.1,125.25,126.71,1432721
2016-02-02,126.92,127.1,124.8,124.99,1029676
2016-02-03,125.25,125.34,122.77,124.96,3277405
2016-02-04,124.12,124.5,122.0,122.37,2060155
2016-02-05,121.57,121.73,118.07,118.3,2059918
2016-02-08,117.38,117.64,114.06,115.19,3000807
2016-02-09,114.04,116.81,113.9,116.11,2834200
2016-02-10,118.34,118.46,116.27,116.29,1182166
2016-02-11,115.68,115.75,113.92,114.62,1596602
2016-02-12,114.8,115.6,114.2,115.42,1126089
2016-02-16,116.5,117.1,115.33,116.68,1372297
2016-02-17,117.9,118.42,117.13,117.45,2432561
2016-02-18,117.6,117.65,116.04,116.35,1467606
2016-02-19,115.95,116.47,115.64,116.4,1359023
2016-02-22,116.64,117.7,116.64,117.13,850441
2016-02-23,117.4,117.9,116.1,116.26,1065586
2016-02-24,114.29,115.97,113.55,115.67,1664005
2016-02-25,112.43,113.5,111.92,113.43,2041441
2016-02-26,112.53,112.83,111.41,112.27,2466776
2016-02-29,110.59,113.0,110.59,111.5,1250739
2016-03-01,112.11,114.54,111.97,114.09,1462620
2016-03-02,111.73,113.82,111.58,113.61,2656990
2016-03-03,113.21,114.52,112.91,114.46,1517147
