Date,Open,High,Low,Close,Volume
2016-01-04,19.45,19.6,18.85,19.01,3445298
2016-01-05,19.07,19.29,18.99,19.07,1411483
2016-01-06,18.79,19.32,18.61,19.11,1444364
2016-01-07,18.54,18.82,17.73,17.78,1797719
2016-01-08,18.69,19.66,18.5,18.58,3044934
2016-01-11,18.69,19.09,18.13,18.55,1026356
2016-01-12,19.13,19.13,17.87,18.14,1433047
2016-01-13,18.28,18.35,16.85,17.38,2033938
2016-01-14,17.41,17.98,17.0,17.84,1750117
2016-01-15,17.33,17.98,17.15,17.89,1487196
2016-01-19,18.1,18.25,17.08,17.27,2011835
2016-01-20,16.94,17.06,15.2,16.52,3306855
2016-01-21,16.46,16.6,15.95,16.46,2749151
2016-01-22,16.79,17.24,16.54,16.87,1730476
2016-01-25,16.79,17.1,16.38,16.4,1103776
2016-01-26,16.38,16.72,16.06,16.69,689093
2016-01-27,17.29,17.4,16.8,16.96,1830993
2016-01-28,17.21,17.43,17.02,17.24,1402691
2016-01-29,17.27,17.83,17.07,17.81,1856402
2016-02-01,17.69,18.07,17.22,17.85,1403671
2016-02-02,17.6,17.66,16.84,17.03,1152435
2016-02-03,17.19,17.19,16.02,16.64,1583749
2016-02-04,16.73,17.11,16.33,16.83,1246515
2016-02-05,16.75,16.75,15.56,15.86,2596673
2016-02-08,15.58,15.65,14.22,15.04,1979544
2016-02-09,14.83,15.55,14.62,15.04,1331895
2016-02-10,15.19,15.74,14.97,15.36,1786622
2016-02-11,15.0,15.25,14.59,14.96,1547569
2016-02-12,15.35,16.07,15.28,15.98,2002548
2016-02-16,16.28,16.92,16.02,16.81,2353726
2016-02-17,17.06,17.39,16.44,17.25,3655419
2016-02-18,17.3,17.42,16.87,17.07,1301570
2016-02-19,17.04,17.12,16.25,16.3,5659407
2016-02-22,16.66,16.91,16.49,16.68,2790332
2016-02-23,16.7,16.7,16.21,16.22,2104624
2016-02-24,16.02,16.36,15.54,16.27,1966835
2016-02-25,16.34,16.6,16.09,16.36,1271581
2016-02-26,16.54,17.72,16.51,17.64,3089704
2016-02-29,17.64,17.79,17.31,17.32,1394447
2016-03-01,17.53,18.05,17.36,17.99,1415607
2016-03-02,18.01,18.17,17.79,18.05,1113790
2016-03-03,18.0,18.08,17.79,18.06,1048254
2016-03-04,18.04,18.1,17.71,17.88,970075
2016-03-07,17.76,17.95,17.18,17.45,1555996
2016-03-08,17.36,17.47,16.97,17.27,1875129
2016-03-09,17.33,17.85,17.22,17.84,1110127
2016-03-10,17.91,18.33,17.6,17.79,1252042
2016-03-11,17.98,18.74,17.98,18.68,1725300
2016-03-14,18.66,19.02,18.55,18.81,1526513
2016-03-15,18.68,18.7,18.16,18.34,1280397
2016-03-16,18.2,19.15,18.14,19.07,1361649
2016-03-17,19.04,19.15,18.76,19.03,1091952
2016-03-18,19.2,19.47,18.92,18.99,1264590
2016-03-21,18.99,19.0,18.6,18.77,949652
2016-03-22,19.22,19.95,19.19,19.85,1927285
2016-03-23,19.71,19.78,19.38,19.47,961799
2016-03-24,19.37,19.86,19.13,19.79,881845
2016-03-28,19.8,19.92,19.5,19.74,809168
2016-03-29,19.75,20.75,19.72,20.7,1053729
2016-03-30,20.91,21.25,20.58,20.74,1433938
2016-03-31,20.69,20.97,20.59,20.66,903932
2016-04-01,20.46,21.0,20.37,20.87,1347167
2016-04-04,20.85,21.0,20.62,20.84,737253
2016-04-05,20.66,20.94,20.6,20.74,706275
2016-04-06,20.7,20.88,20.42,20.87,800541
2016-04-07,20.76,21.14,20.76,20.91,1170012
2016-04-08,21.14,21.31,20.94,21.2,910158
2016-04-11,21.31,21.38,20.74,20.74,764879
2016-04-12,20.8,21.24,20.66,21.22,713854
2016-04-13,21.36,21.42,21.17,21.35,1124733
2016-04-14,21.39,21.39,20.77,21.05,1011555
2016-04-15,21.03,21.18,20.92,21.1,686221
