Date,Open,High,Low,Close,Volume
2016-01-04,1.65,1.74,1.63,1.72,706975
2016-01-05,1.74,1.74,1.67,1.73,282143
2016-01-06,1.75,1.75,1.61,1.66,400626
2016-01-07,1.56,1.63,1.54,1.54,365548
2016-01-08,1.55,1.62,1.47,1.49,518390
2016-01-11,1.49,1.49,1.36,1.39,455973
2016-01-12,1.37,1.61,1.37,1.5,644853
2016-01-13,1.5,1.6,1.42,1.48,430482
2016-01-14,1.46,1.52,1.41,1.43,285805
2016-01-15,1.4,1.4,1.32,1.37,332716
2016-01-19,1.37,1.58,1.37,1.42,403898
2016-01-20,1.39,1.51,1.35,1.48,366525
2016-01-21,1.47,1.64,1.46,1.55,277669
2016-01-22,1.63,1.81,1.55,1.8,1095912
2016-01-25,1.8,1.97,1.66,1.68,619631
2016-01-26,1.68,1.8,1.68,1.78,281808
2016-01-27,1.79,1.8,1.7,1.75,227740
2016-01-28,1.79,1.79,1.55,1.69,356395
2016-01-29,1.65,1.78,1.65,1.73,242770
2016-02-01,1.71,1.73,1.66,1.71,173258
2016-02-02,1.7,1.75,1.63,1.7,300534
2016-02-03,1.7,1.76,1.62,1.74,220657
2016-02-04,1.73,1.82,1.73,1.8,441744
2016-02-05,1.8,1.8,1.67,1.67,320606
2016-02-08,1.64,1.67,1.48,1.54,431585
2016-02-09,1.48,1.64,1.46,1.62,320789
2016-02-10,1.65,1.66,1.41,1.46,232575
2016-02-11,1.39,1.45,1.36,1.37,220724
2016-02-12,1.33,1.49,1.29,1.47,381699
2016-02-16,1.52,1.57,1.46,1.54,188260
2016-02-17,1.56,1.62,1.52,1.55,310723
2016-02-18,1.54,1.56,1.48,1.54,375843
2016-02-19,1.53,1.53,1.4,1.43,272137
2016-02-22,1.48,1.5,1.46,1.47,134698
2016-02-23,1.48,1.5,1.45,1.46,103547
2016-02-24,1.45,1.54,1.43,1.46,581194
2016-02-25,1.48,1.5,1.38,1.44,379540
2016-02-26,1.46,1.5,1.4,1.49,316860
2016-02-29,1.48,1.53,1.4,1.41,324861
2016-03-01,1.43,1.45,1.38,1.4,204708
2016-03-02,1.4,1.42,1.36,1.37,247569
2016-03-03,1.36,1.53,1.36,1.48,471433
2016-03-04,1.5,1.63,1.49,1.6,460764
2016-03-07,1.63,1.81,1.63,1.72,903717
2016-03-08,1.73,1.81,1.7,1.77,622802
2016-03-09,1.84,1.95,1.82,1.89,508314
2016-03-10,1.99,2.94,1.99,2.67,4145905
2016-03-11,2.67,2.88,2.45,2.67,1640159
2016-03-14,2.78,2.78,2.53,2.63,626740
2016-03-15,2.54,2.63,2.43,2.47,393109
2016-03-16,2.45,2.48,2.2,2.38,504801
2016-03-17,2.35,2.35,2.2,2.29,850952
2016-03-18,2.38,2.69,2.32,2.5,1030059
2016-03-21,2.48,2.49,2.32,2.46,625361
2016-03-22,2.42,2.45,2.34,2.41,479754
2016-03-23,2.41,2.41,2.22,2.23,411254
2016-03-24,2.22,2.41,2.19,2.32,523201
2016-03-28,2.32,2.49,2.3,2.37,460716
2016-03-29,2.38,2.65,2.29,2.59,572145
2016-03-30,2.63,2.74,2.5,2.51,626647
2016-03-31,2.53,2.62,2.32,2.39,934186
2016-04-01,2.37,2.39,2.28,2.3,276345
2016-04-04,2.38,2.41,2.21,2.24,492770
2016-04-05,2.23,2.25,2.15,2.17,535716
2016-04-06,2.17,2.34,2.1,2.29,594727
2016-04-07,2.41,2.5,2.2,2.26,1075093
2016-04-08,2.3,2.36,2.18,2.24,406211
2016-04-11,2.27,2.3,2.21,2.22,244687
2016-04-12,2.21,2.28,2.18,2.23,291569
2016-04-13,2.25,2.35,2.23,2.3,415900
2016-04-14,2.31,2.38,2.23,2.35,309921
2016-04-15,2.33,2.37,2.31,2.32,95756
2016-04-18,2.34,2.73,2.31,2.69,1205104
2016-04-19,2.71,2.92,2.64,2.85,1282967
2016-04-20,2.84,3.02,2.82,2.91,761835
2016-04-21,2.91,2.96,2.64,2.67,443766
2016-04-22,2.66,2.83,2.66,2.73,188668
2016-04-25,2.74,2.78,2.59,2.63,281838
2016-04-26,2.68,2.79,2.58,2.74,292131
2016-04-27,2.76,2.83,2.7,2.77,178212
2016-04-28,2.75,2.83,2.7,2.7,160566
2016-04-29,2.75,2.78,2.57,2.6,286178
2016-05-02,2.6,2.68,2.55,2.63,424816
2016-05-03,2.61,2.61,2.51,2.56,207578
2016-05-04,2.55,2.69,2.51,2.54,260082
2016-05-05,2.59,2.59,2.47,2.51,375838
2016-05-06,2.56,2.64,2.48,2.5,183117
2016-05-09,2.49,2.58,2.46,2.53,229910
2016-05-10,2.56,2.61,2.5,2.56,149417
2016-05-11,2.54,2.54,2.41,2.43,388698
2016-05-12,2.45,2.5,2.36,2.38,314353
2016-05-13,2.37,2.45,2.31,2.32,185523
2016-05-16,2.29,2.36,2.24,2.27,246984
2016-05-17,2.27,2.31,2.18,2.19,364058
2016-05-18,2.19,2.27,2.14,2.17,250807
2016-05-19,2.14,2.14,2.01,2.1,283891
2016-05-20,2.09,2.21,2.08,2.12,498130
2016-05-23,2.12,2.12,2.05,2.05,226991
2016-05-24,2.03,2.14,2.03,2.09,334466
2016-05-25,2.08,2.13,2.06,2.06,408995
2016-05-26,2.04,2.06,1.8,1.87,395732
2016-05-27,1.82,1.91,1.82,1.9,153792
2016-05-31,1.92,1.97,1.92,1.95,106810
2016-06-01,1.9,1.95,1.89,1.94,101601
2016-06-02,1.94,2.0,1.91,2.0,74887
2016-06-03,1.96,2.01,1.85,1.89,167730
2016-06-06,1.89,1.99,1.88,1.96,90018
2016-06-07,1.96,2.12,1.95,2.09,223097
2016-06-08,2.03,2.13,2.02,2.02,448940
2016-06-09,2.41,2.52,2.04,2.36,3151497
2016-06-10,2.36,2.43,2.22,2.25,439441
2016-06-13,2.23,2.35,2.2,2.3,345187
2016-06-14,2.31,2.4,2.28,2.36,284802
2016-06-15,2.39,2.5,2.33,2.35,311913
2016-06-16,2.31,2.32,2.23,2.31,174207
2016-06-17,2.33,2.5,2.29,2.48,400975
2016-06-20,2.52,2.55,2.32,2.36,269756
2016-06-21,2.34,2.39,2.26,2.32,300404
2016-06-22,2.34,2.34,2.21,2.22,354306
2016-06-23,2.28,2.32,2.07,2.3,900916
2016-06-24,2.15,2.27,2.13,2.24,3211082
2016-06-27,2.21,2.22,2.04,2.06,420502
2016-06-28,2.12,2.25,2.11,2.22,152470
2016-06-29,2.27,2.29,2.2,2.22,205378
2016-06-30,2.21,2.26,2.18,2.19,134024
2016-07-01,2.17,2.32,2.17,2.31,119268
2016-07-05,2.31,2.31,2.19,2.23,130650
2016-07-06,2.21,2.28,2.18,2.22,146738
2016-07-07,2.23,2.27,2.15,2.19,182760
2016-07-08,2.24,2.36,2.22,2.36,237603
2016-07-11,2.35,2.45,2.29,2.29,142967
2016-07-12,2.31,2.34,2.18,2.19,418915
2016-07-13,2.19,2.23,2.15,2.16,274414
2016-07-14,2.17,2.21,2.12,2.12,90367
2016-07-15,2.11,2.14,2.07,2.08,99937
2016-07-18,2.09,2.11,2.05,2.07,142095
2016-07-19,2.03,2.09,2.02,2.02,257385
2016-07-20,2.03,2.06,1.91,1.94,233048
2016-07-21,1.92,2.02,1.9,1.9,145213
2016-07-22,1.93,1.95,1.86,1.88,217285
2016-07-25,1.9,1.93,1.89,1.91,133644
2016-07-26,1.92,1.94,1.9,1.91,95851
2016-07-27,1.92,1.96,1.85,1.88,145238
2016-07-28,1.89,1.91,1.86,1.88,56250
2016-07-29,1.9,2.06,1.87,2.03,317963
2016-08-01,1.99,2.03,1.95,1.96,204813
2016-08-02,1.96,2.05,1.88,1.93,218199
2016-08-03,1.92,2.0,1.87,1.94,225323
2016-08-04,1.95,1.98,1.91,1.94,73954
2016-08-05,1.94,2.0,1.93,1.98,50251
2016-08-08,2.0,2.04,1.95,1.96,86752
2016-08-09,1.95,1.97,1.9,1.91,86977
2016-08-10,1.92,1.93,1.88,1.88,73137
2016-08-11,1.93,1.94,1.89,1.9,61562
2016-08-12,1.91,1.93,1.85,1.88,157495
2016-08-15,1.9,1.91,1.87,1.88,83052
2016-08-16,1.87,1.93,1.86,1.9,52205
2016-08-17,1.89,2.03,1.87,1.99,144221
2016-08-18,1.98,2.03,1.91,1.91,239649
2016-08-19,1.91,2.18,1.91,2.12,269170
2016-08-22,2.08,2.11,2.02,2.06,141551
2016-08-23,2.08,2.09,2.06,2.08,71458
2016-08-24,2.07,2.07,1.97,2.02,110965
2016-08-25,2.01,2.07,1.97,1.99,125485
2016-08-26,1.96,2.05,1.96,2.05,119944
2016-08-29,2.05,2.1,2.02,2.06,389998
2016-08-30,1.77,1.81,1.62,1.62,1051209
2016-08-31,1.66,1.66,1.47,1.48,633482
2016-09-01,1.5,1.52,1.43,1.43,387180
2016-09-02,1.43,1.47,1.42,1.45,184496
2016-09-06,1.46,1.48,1.39,1.39,377594
2016-09-07,1.43,1.49,1.41,1.46,188448
2016-09-08,1.46,1.48,1.45,1.46,109801
2016-09-09,1.46,1.48,1.43,1.44,99328
2016-09-12,1.4,1.41,1.37,1.38,187703
2016-09-13,1.39,1.4,1.34,1.37,174662
2016-09-14,1.4,1.4,1.35,1.36,79368
2016-09-15,1.37,1.37,1.33,1.35,191925
2016-09-16,1.34,1.37,1.32,1.32,261768
2016-09-19,1.32,1.33,1.31,1.33,195722
2016-09-20,1.37,1.37,1.34,1.34,127473
2016-09-21,1.35,1.37,1.34,1.35,72775
2016-09-22,1.38,1.39,1.37,1.37,60595
2016-09-23,1.4,1.58,1.36,1.52,685360
2016-09-26,1.52,1.57,1.42,1.47,227929
2016-09-27,1.45,1.56,1.45,1.52,195572
2016-09-28,1.51,1.55,1.45,1.45,152668
2016-09-29,1.45,1.49,1.41,1.42,97124
2016-09-30,1.39,1.46,1.39,1.45,99033
2016-10-03,1.44,1.56,1.39,1.43,285963
2016-10-04,1.43,1.44,1.41,1.42,38248
2016-10-05,1.46,1.46,1.42,1.43,102157
2016-10-06,1.42,1.48,1.42,1.43,35694
2016-10-07,1.46,1.46,1.42,1.43,41131
2016-10-10,1.43,1.48,1.4,1.4,197665
2016-10-11,1.4,1.45,1.4,1.41,72315
2016-10-12,1.4,1.4,1.35,1.39,120077
2016-10-13,1.39,1.43,1.36,1.4,97582
2016-10-14,1.34,1.43,1.34,1.41,93109
2016-10-17,1.41,1.42,1.38,1.4,64036
2016-10-18,1.4,1.44,1.37,1.4,13705
2016-10-19,1.43,1.44,1.42,1.42,14619
2016-10-20,1.44,1.44,1.37,1.41,55465
2016-10-21,1.4,1.42,1.38,1.4,93241
2016-10-24,1.42,1.42,1.4,1.41,78859
2016-10-25,1.4,1.44,1.37,1.38,42925
2016-10-26,1.35,1.39,1.33,1.35,147216
2016-10-27,1.35,1.39,1.35,1.37,103911
2016-10-28,1.37,1.39,1.31,1.32,230043
2016-10-31,1.34,1.34,1.25,1.28,99495
2016-11-01,1.29,1.3,1.2,1.23,281257
2016-11-02,1.25,1.27,1.22,1.25,36188
2016-11-03,1.24,1.3,1.21,1.21,40221
2016-11-04,1.51,1.69,1.46,1.47,2377201
2016-11-07,1.47,1.58,1.47,1.51,209111
2016-11-08,1.53,1.54,1.45,1.47,163812
2016-11-09,1.45,1.49,1.42,1.48,183219
2016-11-10,1.48,1.58,1.4,1.57,286942
2016-11-11,1.55,1.6,1.53,1.58,176036
2016-11-14,1.58,1.7,1.58,1.59,284888
2016-11-15,1.59,1.7,1.57,1.68,371038
2016-11-16,1.68,1.76,1.67,1.75,187360
2016-11-17,1.76,1.79,1.75,1.79,188712
2016-11-18,1.79,1.79,1.69,1.75,168541
2016-11-21,1.75,1.77,1.72,1.76,61320
2016-11-22,1.77,1.82,1.67,1.7,267894
2016-11-23,1.69,1.76,1.69,1.75,98857
2016-11-25,1.72,1.77,1.72,1.75,67581
2016-11-28,1.76,1.84,1.7,1.74,126358
2016-11-29,1.76,1.76,1.68,1.74,130171
2016-11-30,1.76,1.77,1.71,1.72,107723
2016-12-01,2.14,2.19,1.96,2.1,2195087
2016-12-02,2.15,2.28,2.15,2.24,996322
2016-12-05,2.29,2.35,2.14,2.18,408964
2016-12-06,2.18,2.22,2.14,2.22,258251
2016-12-07,2.22,2.24,2.17,2.21,175960
2016-12-08,2.22,2.26,2.21,2.24,191706
2016-12-09,2.25,2.27,2.13,2.18,170876
2016-12-12,2.14,2.23,2.13,2.17,183452
2016-12-13,2.16,2.22,2.15,2.17,150404
2016-12-14,2.16,2.21,2.1,2.15,109145
2016-12-15,2.17,2.19,2.11,2.12,122880
2016-12-16,2.13,2.15,2.08,2.1,167361
2016-12-19,2.1,2.11,2.06,2.08,83684
2016-12-20,2.1,2.13,2.03,2.1,138456
2016-12-21,2.08,2.1,2.01,2.03,185265
2016-12-22,2.05,2.05,1.94,1.94,135794
2016-12-23,1.93,2.0,1.92,2.0,87632
2016-12-27,2.02,2.09,2.02,2.09,194229
2016-12-28,2.12,2.18,2.11,2.16,250320
2016-12-29,2.17,2.31,2.16,2.26,616455
2016-12-30,2.31,2.34,2.22,2.34,523661
2017-01-03,2.34,2.39,2.33,2.35,372734
2017-01-04,2.36,2.42,2.31,2.41,418475
2017-01-05,2.35,2.4,2.35,2.38,332133
2017-01-06,2.36,2.4,2.33,2.36,166734
2017-01-09,2.37,2.38,2.33,2.37,142086
2017-01-10,2.35,2.39,2.1,2.1,931684
2017-01-11,2.13,2.15,2.03,2.11,402588
2017-01-12,2.09,2.13,2.05,2.11,221765
2017-01-13,2.12,2.16,2.09,2.1,216227
2017-01-17,1.61,1.61,1.35,1.42,3348209
2017-01-18,1.43,1.52,1.39,1.49,2376664
2017-01-19,1.5,1.5,1.36,1.36,859235
2017-01-20,1.39,1.42,1.36,1.38,420405
2017-01-23,1.36,1.36,1.27,1.31,760144
2017-01-24,1.31,1.42,1.31,1.37,512677
2017-01-25,1.37,1.44,1.37,1.42,283440
2017-01-26,1.43,1.43,1.31,1.32,301056
2017-01-27,1.32,1.36,1.31,1.32,221267
2017-01-30,1.3,1.36,1.3,1.31,236374
2017-01-31,1.31,1.34,1.3,1.34,162387
2017-02-01,1.33,1.38,1.32,1.35,182508
2017-02-02,1.35,1.38,1.32,1.37,134293
2017-02-03,1.4,1.4,1.32,1.36,145783
2017-02-06,1.35,1.42,1.31,1.32,474930
2017-02-07,1.32,1.34,1.3,1.3,221780
2017-02-08,1.29,1.31,1.26,1.26,301502
2017-02-09,1.28,1.34,1.26,1.28,230794
2017-02-10,1.29,1.31,1.26,1.26,233283
2017-02-13,1.26,1.29,1.2,1.22,599991
2017-02-14,1.23,1.25,1.12,1.18,1474363
2017-02-15,1.18,1.3,1.17,1.27,461027
2017-02-16,1.27,1.32,1.24,1.27,480052
2017-02-17,1.3,1.31,1.27,1.3,114323
2017-02-21,1.33,1.36,1.32,1.35,250048
2017-02-22,1.36,1.36,1.28,1.35,226578
2017-02-23,1.34,1.35,1.28,1.32,212777
2017-02-24,1.35,1.35,1.29,1.35,123503
2017-02-27,1.33,1.36,1.33,1.34,69266
2017-02-28,1.34,1.35,1.28,1.3,104864
2017-03-01,1.33,1.34,1.29,1.3,119584
2017-03-02,1.29,1.34,1.28,1.28,114538
2017-03-03,1.28,1.33,1.28,1.32,219103
2017-03-06,1.32,1.35,1.32,1.34,193647
2017-03-07,1.34,1.37,1.32,1.37,133078
2017-03-08,1.39,1.4,1.36,1.36,110821
2017-03-09,1.36,1.39,1.3,1.31,301707
2017-03-10,1.31,1.34,1.3,1.32,95602
2017-03-13,1.32,1.34,1.21,1.23,521741
2017-03-14,1.24,1.3,1.18,1.2,500223
2017-03-15,1.16,1.24,1.15,1.18,1222017
2017-03-16,1.19,1.3,1.18,1.28,392458
2017-03-17,1.26,1.3,1.22,1.28,558146
2017-03-20,1.28,1.29,1.26,1.28,213971
2017-03-21,1.33,1.37,1.29,1.32,386377
2017-03-22,1.34,1.34,1.28,1.3,191877
2017-03-23,1.3,1.35,1.29,1.33,283760
2017-03-24,1.34,1.41,1.33,1.37,300170
2017-03-27,1.38,1.4,1.33,1.36,113542
2017-03-28,1.37,1.51,1.36,1.45,611191
2017-03-29,1.46,1.51,1.43,1.48,342261
2017-03-30,1.51,1.62,1.45,1.48,1228340
2017-03-31,1.48,1.51,1.47,1.48,258978
2017-04-03,1.49,1.49,1.42,1.42,269216
