Date,Open,High,Low,Close,Volume
2016-01-04,51.24,51.25,51.07,51.16,1195
2016-01-05,51.03,51.05,50.82,50.82,838
2016-01-06,51.14,51.14,50.62,50.74,679
2016-01-07,50.1,50.67,49.66,50.34,7189
2016-01-08,50.5,51.37,50.5,50.91,3039
2016-01-11,51.06,52.01,50.72,51.75,1624
2016-01-12,52.0,52.0,51.0,51.36,3466
2016-01-13,51.0,51.0,49.04,49.5,3897
2016-01-14,49.35,51.26,49.35,50.8,32003
2016-01-15,50.21,50.24,49.93,50.0,8499
2016-01-19,50.3,50.7,49.09,49.9,1304
2016-01-20,49.58,49.58,47.25,49.14,6111
2016-01-21,49.15,50.5,49.15,49.9,7937
2016-01-22,51.34,51.34,50.5,51.06,976
2016-01-25,51.0,51.03,51.0,51.03,492
2016-01-26,51.8,52.07,51.5,51.88,2897
2016-01-27,52.0,52.59,52.0,52.25,821
2016-01-28,51.88,51.88,50.44,50.44,4089
2016-01-29,51.0,52.25,50.45,52.25,7113
2016-02-01,51.3,52.73,51.3,52.36,2043
2016-02-02,51.0,51.66,51.0,51.36,2734
2016-02-03,51.99,52.37,51.99,52.37,722
2016-02-04,53.79,54.59,52.93,53.03,5698
2016-02-05,51.89,51.89,51.0,51.0,984
2016-02-08,50.04,50.04,47.84,48.25,3796
2016-02-09,47.59,47.63,47.48,47.63,810
2016-02-10,47.48,48.02,46.86,47.56,1834
2016-02-11,47.24,48.0,47.0,48.0,1111
2016-02-12,,,,48.0,0
2016-02-16,48.93,50.0,48.93,49.5,498
2016-02-17,50.99,51.57,50.98,51.05,1092
2016-02-18,50.67,50.67,50.35,50.5,309
2016-02-19,50.45,50.45,50.11,50.11,361
2016-02-22,51.29,51.43,51.29,51.43,1178
2016-02-23,51.53,51.53,51.53,51.53,383
2016-02-24,50.83,52.45,50.71,52.37,1621
2016-02-25,51.29,51.97,51.29,51.97,340
2016-02-26,52.35,53.07,52.35,52.82,1023
2016-02-29,53.39,53.39,53.17,53.17,691
2016-03-01,53.95,55.0,53.62,55.0,1444
2016-03-02,55.1,55.16,54.86,55.16,2003
2016-03-03,55.15,56.2,55.15,56.2,1441
2016-03-04,56.51,56.66,55.82,56.41,1903
2016-03-07,56.21,56.36,55.8,56.34,5395
2016-03-08,56.4,56.45,55.64,55.74,1769
2016-03-09,56.88,56.9,56.75,56.75,1431
2016-03-10,56.5,56.53,56.07,56.07,2250
2016-03-11,57.65,58.7,57.38,58.0,2074
2016-03-14,58.0,58.75,58.0,58.6,1899
2016-03-15,58.22,58.22,57.38,57.38,1471
2016-03-16,58.65,58.81,58.65,58.81,458
2016-03-17,,,,58.81,0
2016-03-18,59.13,59.8,59.13,59.8,1587
2016-03-21,59.09,59.3,59.0,59.14,1445
2016-03-22,58.62,59.0,58.62,59.0,676
2016-03-23,58.84,58.84,58.01,58.64,2876
2016-03-24,58.0,59.29,58.0,59.18,4037
2016-03-28,58.84,59.6,58.75,58.92,7253
2016-03-29,59.0,59.99,58.72,59.99,1358
2016-03-30,,,,59.99,0
2016-03-31,59.45,59.45,59.0,59.0,923
2016-04-01,59.0,59.01,58.5,58.5,1307
2016-04-04,60.07,60.07,58.68,60.0,1197
2016-04-05,58.94,59.21,58.94,58.97,1013
2016-04-06,59.07,59.22,58.92,59.22,1699
2016-04-07,58.18,58.18,57.75,57.75,867
2016-04-08,58.14,58.38,58.14,58.38,376
2016-04-11,,,,58.38,0
2016-04-12,,,,58.38,0
2016-04-13,58.0,58.41,58.0,58.31,1482
2016-04-14,57.99,58.15,57.68,57.68,1098
2016-04-15,57.96,58.79,57.95,58.75,1492
2016-04-18,58.2,58.45,58.13,58.45,4076
2016-04-19,59.14,59.14,59.11,59.11,817
2016-04-20,59.22,59.22,59.02,59.02,426
2016-04-21,59.29,59.96,59.25,59.25,2316
2016-04-22,60.0,61.0,59.97,60.57,1582
2016-04-25,60.42,60.42,60.27,60.27,393
2016-04-26,60.32,60.32,60.32,60.32,333
2016-04-27,60.21,60.21,59.91,60.01,1696
2016-04-28,59.99,60.59,59.98,60.07,1070
2016-04-29,60.7,60.82,59.99,60.33,1291
2016-05-02,,,,60.33,0
2016-05-03,59.43,59.9,58.12,58.79,1324
2016-05-04,59.45,61.77,59.09,60.08,5888
2016-05-05,60.84,61.23,60.48,60.86,3342
2016-05-06,61.36,61.58,61.34,61.58,583
2016-05-09,60.69,60.69,59.5,59.61,961
2016-05-10,60.52,60.52,60.52,60.52,191
2016-05-11,,,,60.52,0
2016-05-12,58.36,58.36,58.35,58.35,419
2016-05-13,57.53,57.53,57.0,57.12,1518
2016-05-16,57.38,57.38,57.38,57.38,235
2016-05-17,57.24,57.64,57.24,57.64,309
2016-05-18,56.44,56.44,55.73,55.81,841
2016-05-19,55.6,55.69,55.37,55.69,1343
2016-05-20,56.25,56.48,56.1,56.24,1347
2016-05-23,56.4,56.71,56.39,56.46,3230
2016-05-24,56.75,56.9,56.75,56.9,505
2016-05-25,57.34,57.7,57.09,57.64,1066
2016-05-26,57.7,57.7,57.7,57.7,402
2016-05-27,58.08,58.55,58.08,58.25,1326
2016-05-31,58.41,58.75,58.3,58.75,5432
2016-06-01,58.49,58.49,58.29,58.29,3158
2016-06-02,58.86,59.16,58.84,58.84,2774
2016-06-03,58.3,58.3,58.3,58.3,3297
2016-06-06,57.74,57.74,57.21,57.58,3532
2016-06-07,57.76,57.76,57.76,57.76,260
2016-06-08,57.06,57.64,57.06,57.41,1935
2016-06-09,57.06,57.06,56.51,56.51,213
2016-06-10,56.09,56.58,55.77,56.42,1329
2016-06-13,56.25,57.02,55.72,55.72,2982
2016-06-14,55.89,56.35,55.89,56.35,2942
2016-06-15,56.8,57.12,56.8,57.12,747
2016-06-16,56.6,58.06,56.41,58.06,3508
2016-06-17,57.72,57.91,57.41,57.61,13066
2016-06-20,58.0,58.34,57.5,57.52,4139
2016-06-21,56.96,57.02,56.96,57.0,1616
2016-06-22,57.62,57.62,57.0,57.14,6125
2016-06-23,56.78,57.0,56.58,57.0,4768
2016-06-24,55.25,56.0,55.0,55.0,2098
2016-06-27,54.05,54.55,54.05,54.25,4182
2016-06-28,54.8,55.64,54.77,55.35,6535
2016-06-29,55.79,56.53,55.79,56.42,6072
2016-06-30,57.0,58.18,57.0,58.18,2890
2016-07-01,58.77,59.09,58.27,58.58,2828
2016-07-05,57.9,58.28,57.76,58.03,2086
2016-07-06,58.33,58.6,58.2,58.6,1636
2016-07-07,58.98,59.08,58.8,58.8,1506
2016-07-08,59.94,60.39,59.81,60.39,1556
2016-07-11,61.08,61.08,61.08,61.08,560
2016-07-12,61.25,61.44,61.25,61.26,916
2016-07-13,60.75,61.12,60.47,61.12,1251
2016-07-14,61.3,61.51,61.3,61.45,7794
2016-07-15,60.0,60.0,59.27,59.37,1608
2016-07-18,58.89,58.89,58.6,58.6,439
2016-07-19,58.51,58.51,58.51,58.51,301
2016-07-20,57.99,58.0,57.99,58.0,986
2016-07-21,58.25,58.25,58.25,58.25,344
2016-07-22,58.0,58.71,57.99,58.71,2733
2016-07-25,58.41,58.5,57.92,57.92,1864
2016-07-26,,,,57.92,0
2016-07-27,57.75,57.75,57.75,57.75,164
2016-07-28,57.55,58.12,57.55,58.12,2233
2016-07-29,56.38,56.38,55.0,55.0,2330
2016-08-01,55.68,55.68,55.51,55.51,615
2016-08-02,55.0,55.0,54.52,54.52,2340
2016-08-03,54.79,55.61,54.41,54.48,4938
2016-08-04,54.49,54.75,54.49,54.75,583
2016-08-05,54.4,54.55,54.24,54.55,3671
2016-08-08,53.75,54.2,53.75,54.04,1602
2016-08-09,54.05,54.72,53.8,53.81,2267
2016-08-10,53.7,54.48,53.7,54.01,2895
2016-08-11,54.75,54.84,54.75,54.81,4933
2016-08-12,54.56,54.56,54.17,54.17,1062
2016-08-15,,,,54.17,0
2016-08-16,54.17,54.17,54.0,54.0,2379
2016-08-17,54.0,54.02,53.76,53.77,1192
2016-08-18,53.95,53.95,53.45,53.45,1925
2016-08-19,53.39,53.5,53.37,53.41,4763
2016-08-22,54.96,54.96,54.37,54.37,407
2016-08-23,,,,54.37,0
2016-08-24,54.35,54.4,53.82,53.82,1362
2016-08-25,,,,53.82,0
2016-08-26,53.3,53.36,53.28,53.3,1887
2016-08-29,53.3,53.3,52.55,52.55,3855
2016-08-30,52.2,52.4,52.2,52.33,5586
2016-08-31,51.83,51.85,51.66,51.66,1887
2016-09-01,52.1,52.36,51.81,52.31,26407
2016-09-02,52.78,52.9,52.5,52.56,2140
2016-09-06,52.37,52.37,51.61,52.05,6784
2016-09-07,52.02,52.99,52.02,52.88,1734
2016-09-08,52.88,53.7,52.87,53.69,21749
2016-09-09,53.18,53.18,52.39,52.39,7106
