Date,Open,High,Low,Close,Volume
2016-01-04,4.79,4.83,4.74,4.77,32061
2016-01-05,4.8,5.13,4.76,5.06,75738
2016-01-06,4.97,5.01,4.96,4.99,23268
2016-01-07,4.9,4.91,4.66,4.7,89927
2016-01-08,4.72,4.82,4.62,4.67,37179
2016-01-11,4.67,4.73,4.66,4.66,34533
2016-01-12,4.67,4.72,4.6,4.6,30906
2016-01-13,4.6,4.69,4.31,4.32,109146
2016-01-14,4.22,4.55,4.22,4.39,33278
2016-01-15,4.38,4.47,4.26,4.38,38952
2016-01-19,4.3,4.51,4.3,4.38,45808
2016-01-20,4.3,4.33,4.07,4.19,63871
2016-01-21,4.12,4.61,4.11,4.4,39529
2016-01-22,4.4,4.58,4.4,4.52,23702
2016-01-25,4.49,4.7,4.49,4.62,23280
2016-01-26,4.57,4.59,4.47,4.47,28682
2016-01-27,4.5,4.82,4.5,4.62,32875
2016-01-28,4.48,4.76,4.48,4.64,17378
2016-01-29,4.64,4.81,4.56,4.72,10810
2016-02-01,4.7,5.05,4.7,5.0,63179
2016-02-02,4.95,4.95,4.81,4.82,16684
2016-02-03,4.82,4.94,4.82,4.9,15971
2016-02-04,4.86,4.95,4.86,4.9,5166
2016-02-05,4.82,4.95,4.82,4.87,16676
2016-02-08,4.81,4.84,4.61,4.61,21804
2016-02-09,4.55,4.85,4.52,4.6,90788
2016-02-10,4.73,4.73,4.56,4.66,4813
2016-02-11,4.46,4.63,4.46,4.52,17276
2016-02-12,4.61,4.83,4.61,4.71,25590
2016-02-16,4.69,4.88,4.69,4.76,12268
2016-02-17,4.86,4.88,4.8,4.84,25034
2016-02-18,4.86,4.88,4.75,4.82,9917
2016-02-19,4.76,4.88,4.76,4.82,6310
2016-02-22,4.85,4.85,4.78,4.78,11123
2016-02-23,4.78,4.79,4.7,4.73,7162
2016-02-24,4.79,4.82,4.76,4.81,4588
2016-02-25,4.84,4.88,4.75,4.83,15042
2016-02-26,4.79,4.88,4.74,4.82,12736
2016-02-29,4.74,4.78,4.57,4.58,35895
2016-03-01,4.6,4.63,4.54,4.61,16439
2016-03-02,4.63,4.64,4.55,4.55,12177
2016-03-03,4.61,4.65,4.58,4.6,7669
2016-03-04,4.65,4.88,4.51,4.6,191506
2016-03-07,4.7,4.8,4.67,4.8,36382
2016-03-08,4.83,4.83,4.68,4.75,32102
2016-03-09,4.75,4.75,4.63,4.75,35443
2016-03-10,4.75,4.75,4.68,4.69,20622
2016-03-11,4.71,4.93,4.7,4.93,24732
2016-03-14,4.96,4.96,4.84,4.84,14932
2016-03-15,4.8,5.0,4.7,4.77,27718
2016-03-16,4.82,4.99,4.82,4.99,87470
2016-03-17,5.0,5.0,4.86,4.9,70158
2016-03-18,4.92,4.92,4.82,4.84,20136
2016-03-21,4.9,5.02,4.89,5.02,132724
2016-03-22,4.99,4.99,4.87,4.95,97584
2016-03-23,4.98,4.98,4.8,4.85,33807
2016-03-24,4.89,4.9,4.81,4.85,35357
2016-03-28,4.9,4.9,4.77,4.84,48687
2016-03-29,4.7,4.87,4.7,4.84,47168
2016-03-30,4.85,5.0,4.85,4.97,27878
2016-03-31,4.97,5.0,4.9,4.92,32712
2016-04-01,4.9,5.0,4.81,4.99,51879
2016-04-04,4.95,5.0,4.92,4.92,22357
2016-04-05,4.95,4.99,4.89,4.9,42477
2016-04-06,4.9,4.9,4.8,4.9,38743
2016-04-07,4.88,4.9,4.88,4.88,23841
2016-04-08,4.9,4.98,4.89,4.96,15013
2016-04-11,4.93,4.93,4.78,4.81,25725
2016-04-12,4.78,4.94,4.78,4.87,13125
2016-04-13,4.84,5.0,4.82,4.95,210969
2016-04-14,4.89,4.95,4.88,4.92,23847
2016-04-15,4.81,4.91,4.81,4.85,15383
2016-04-18,4.81,5.0,4.81,4.95,40913
2016-04-19,4.9,4.97,4.81,4.83,126057
2016-04-20,4.87,4.97,4.82,4.95,18600
2016-04-21,4.84,4.92,4.83,4.83,19505
2016-04-22,4.86,4.89,4.84,4.88,4913
2016-04-25,4.84,4.89,4.82,4.82,13488
2016-04-26,4.87,4.91,4.83,4.88,11006
2016-04-27,4.88,4.9,4.87,4.87,9255
2016-04-28,4.81,4.87,4.8,4.8,15858
2016-04-29,4.82,4.93,4.81,4.89,10780
2016-05-02,4.9,4.9,4.83,4.85,13166
2016-05-03,4.81,4.89,4.8,4.81,13721
2016-05-04,4.83,5.0,4.81,4.82,25987
2016-05-05,4.82,4.89,4.82,4.83,10674
2016-05-06,4.82,4.89,4.81,4.82,18847
