Date,Open,High,Low,Close,Volume
2016-01-04,21.44,21.57,21.23,21.46,117739
2016-01-05,21.55,21.61,21.33,21.53,77290
2016-01-06,21.29,21.52,21.09,21.28,467890
2016-01-07,21.0,21.1,20.66,20.71,123477
2016-01-08,20.75,20.78,20.16,20.3,121749
2016-01-11,20.12,20.31,19.54,19.59,357329
2016-01-12,19.7,19.7,19.26,19.43,167394
2016-01-13,19.45,19.62,19.17,19.19,93688
2016-01-14,19.2,19.2,18.94,19.1,352089
2016-01-15,18.98,19.47,18.89,19.44,277182
2016-01-19,18.87,19.41,18.83,19.32,285356
2016-01-20,19.02,19.31,18.82,19.22,190885
2016-01-21,19.29,19.29,18.99,19.07,121079
2016-01-22,19.44,20.06,19.31,20.0,161399
2016-01-25,20.0,20.12,19.54,19.56,110430
2016-01-26,19.65,20.14,19.59,20.1,132114
2016-01-27,20.09,20.5,20.0,20.36,106901
2016-01-28,20.47,21.05,20.47,20.88,96864
2016-01-29,20.93,21.76,20.35,21.59,206781
2016-02-01,21.45,22.07,21.28,21.87,252507
2016-02-02,21.75,21.83,20.68,20.75,233525
2016-02-03,20.9,21.0,20.05,20.35,155643
2016-02-04,20.43,20.61,20.21,20.4,171168
2016-02-05,20.37,20.41,19.68,19.71,147127
2016-02-08,19.56,19.61,19.04,19.18,125374
2016-02-09,18.96,19.19,18.81,18.81,70829
2016-02-10,18.89,19.49,18.89,19.23,63182
2016-02-11,19.0,19.32,18.78,19.15,91895
2016-02-12,19.25,19.65,19.11,19.53,109903
2016-02-16,19.7,19.8,19.13,19.13,305494
2016-02-17,19.36,19.78,19.36,19.57,178286
2016-02-18,19.65,19.85,19.07,19.71,162107
2016-02-19,19.74,20.02,19.52,19.83,161124
2016-02-22,19.95,20.25,19.92,19.99,85165
2016-02-23,19.98,20.04,19.3,19.36,209611
2016-02-24,19.22,19.4,18.92,19.37,144580
2016-02-25,19.4,19.4,19.06,19.38,99285
2016-02-26,19.46,19.56,19.4,19.53,163213
2016-02-29,19.44,19.98,19.11,19.51,194096
2016-03-01,19.61,20.24,19.49,20.08,151278
2016-03-02,20.43,21.25,20.43,20.69,375868
2016-03-03,20.7,20.82,20.47,20.74,106738
2016-03-04,20.88,21.29,20.71,20.87,165064
2016-03-07,20.8,21.48,20.8,21.07,190838
2016-03-08,21.0,21.02,20.45,20.85,138218
2016-03-09,20.92,21.23,20.85,21.14,81882
2016-03-10,21.28,21.6,20.98,21.41,350603
2016-03-11,21.6,21.68,21.26,21.33,89796
2016-03-14,21.86,22.0,21.16,21.39,155647
2016-03-15,21.35,21.48,20.66,20.96,122441
2016-03-16,20.9,21.31,20.77,21.26,109654
2016-03-17,21.31,22.15,21.31,21.76,283706
2016-03-18,21.6,22.0,21.27,21.91,380760
2016-03-21,21.89,22.25,21.81,21.96,193420
2016-03-22,21.95,22.0,21.64,21.84,100710
2016-03-23,21.7,21.78,21.46,21.72,100799
2016-03-24,21.57,21.76,21.53,21.71,72143
2016-03-28,21.8,22.1,21.75,21.93,66588
2016-03-29,21.85,22.33,21.85,22.14,194754
2016-03-30,22.27,22.83,22.27,22.59,228399
2016-03-31,22.67,22.87,22.26,22.45,304065
2016-04-01,22.28,22.62,22.14,22.55,89869
2016-04-04,22.6,22.7,22.44,22.61,146263
2016-04-05,22.4,22.62,22.39,22.49,108509
2016-04-06,22.49,22.8,21.91,22.17,146852
2016-04-07,22.07,22.07,21.66,21.83,230266
2016-04-08,21.99,22.21,21.54,21.54,363282
2016-04-11,21.68,21.85,21.42,21.42,122169
2016-04-12,21.54,22.25,21.54,22.11,103329
2016-04-13,22.2,22.2,21.7,21.84,111341
2016-04-14,21.88,22.36,21.81,21.96,200237
2016-04-15,21.38,22.15,21.38,22.04,107680
2016-04-18,21.88,22.49,21.84,22.29,128491
2016-04-19,22.44,22.94,22.44,22.93,206651
2016-04-20,22.36,23.02,22.23,22.65,230075
2016-04-21,22.61,22.72,22.12,22.18,161458
2016-04-22,22.12,22.36,22.06,22.34,102148
2016-04-25,22.32,22.32,21.95,22.1,64772
2016-04-26,22.12,22.25,21.97,22.1,93381
2016-04-27,22.12,22.19,21.82,22.0,74689
2016-04-28,22.03,22.36,21.61,22.35,149743
2016-04-29,22.35,22.45,22.15,22.42,78468
2016-05-02,22.38,22.38,22.05,22.34,70687
2016-05-03,21.51,22.32,21.51,22.25,293259
2016-05-04,22.23,22.23,21.86,21.92,105310
2016-05-05,22.04,22.16,21.9,22.03,54306
2016-05-06,22.08,22.16,21.93,22.11,42786
2016-05-09,22.0,22.04,21.59,21.75,80843
2016-05-10,21.8,21.94,21.63,21.84,216891
2016-05-11,21.84,21.84,21.55,21.7,119365
2016-05-12,21.79,21.8,21.4,21.41,214430
