Date,Open,High,Low,Close,Volume
2016-01-04,26.32,26.61,26.03,26.28,55049
2016-01-05,26.13,26.16,25.99,26.13,22677
2016-01-06,25.39,25.54,25.27,25.54,42344
2016-01-07,24.6,25.07,24.44,24.51,69261
2016-01-08,24.43,24.72,24.0,24.64,43600
2016-01-11,23.66,24.05,23.45,23.87,105590
2016-01-12,24.79,24.87,24.52,24.8,68932
2016-01-13,25.88,26.07,25.35,25.42,41799
2016-01-14,24.83,25.21,24.6,25.21,45435
2016-01-15,23.77,24.0,23.57,23.91,52418
2016-01-19,24.92,25.0,24.51,24.77,49062
2016-01-20,24.08,24.32,23.65,24.31,52936
2016-01-21,23.91,24.07,23.59,23.77,41268
2016-01-22,24.32,24.47,24.25,24.39,38797
2016-01-25,25.0,25.51,25.0,25.33,54415
2016-01-26,25.31,25.59,25.2,25.55,29758
2016-01-27,25.08,25.14,24.51,24.52,28528
2016-01-28,24.45,24.45,24.03,24.16,36268
2016-01-29,23.85,24.17,23.78,24.15,39720
2016-02-01,23.27,23.52,23.19,23.4,49629
2016-02-02,22.86,22.86,22.41,22.52,39609
2016-02-03,22.36,22.56,22.07,22.47,44590
2016-02-04,22.09,22.16,21.81,21.87,35509
2016-02-05,22.11,22.16,21.71,21.74,23877
2016-02-08,21.52,21.64,21.13,21.3,25108
2016-02-09,21.19,22.03,21.17,21.48,27353
2016-02-10,21.66,21.94,21.57,21.66,19686
2016-02-11,21.08,21.23,20.93,21.2,39088
2016-02-12,21.26,21.65,21.2,21.65,26997
2016-02-16,23.58,24.04,23.58,24.04,45360
2016-02-17,23.78,24.08,23.78,24.04,28225
2016-02-18,24.1,24.1,23.78,23.89,16997
2016-02-19,24.2,24.44,24.17,24.44,19465
2016-02-22,24.53,24.69,24.45,24.61,32245
2016-02-23,24.03,24.03,23.72,23.76,20368
2016-02-24,23.81,24.13,23.7,24.09,10524
2016-02-25,23.69,23.78,23.42,23.67,24088
2016-02-26,23.98,24.07,23.8,23.9,13796
2016-02-29,23.7,23.72,23.5,23.58,18847
2016-03-01,23.5,23.83,23.41,23.79,30284
2016-03-02,24.83,25.51,24.83,25.51,259433
2016-03-03,24.74,25.15,24.57,24.97,52230
2016-03-04,25.37,25.92,25.33,25.8,41595
