Date,Open,High,Low,Close,Volume
2016-01-04,103.06,103.68,101.59,103.18,222122
2016-01-05,103.5,103.5,102.13,102.91,130484
2016-01-06,101.25,101.67,100.0,100.31,170692
2016-01-07,97.79,100.69,97.22,97.49,242465
2016-01-08,97.22,97.63,95.06,95.38,267804
2016-01-11,95.5,95.78,92.79,93.68,323154
2016-01-12,94.4,94.43,90.91,92.0,275449
2016-01-13,94.57,95.74,91.01,91.7,330813
2016-01-14,92.78,94.95,91.37,94.78,324403
2016-01-15,88.41,89.66,87.72,89.17,478846
2016-01-19,90.32,90.8,87.6,88.52,512794
2016-01-20,84.37,86.22,82.28,85.34,511280
2016-01-21,84.22,88.5,83.9,87.7,408119
2016-01-22,91.78,93.08,90.88,92.78,461500
2016-01-25,92.2,93.13,90.46,90.66,428258
2016-01-26,90.08,92.25,88.69,91.83,285476
2016-01-27,91.12,94.98,90.71,92.86,411580
2016-01-28,95.33,97.37,94.44,95.16,434891
2016-01-29,99.46,101.82,98.58,101.57,341472
2016-02-01,96.72,97.4,95.59,96.71,176374
2016-02-02,94.73,95.22,93.54,94.0,218718
2016-02-03,94.57,98.23,92.09,98.0,267254
2016-02-04,99.08,100.58,96.82,97.59,306993
2016-02-05,100.12,100.48,97.87,98.61,134651
2016-02-08,96.53,97.12,94.54,96.3,171487
2016-02-09,94.22,95.79,93.56,94.65,235793
2016-02-10,94.48,97.69,94.1,95.26,158822
2016-02-11,92.88,95.71,92.3,95.09,203295
2016-02-12,97.19,100.6,97.04,100.41,190213
2016-02-16,101.98,102.74,100.7,101.6,257186
2016-02-17,102.48,106.58,102.34,105.66,308381
2016-02-18,106.46,106.5,104.13,104.4,185038
2016-02-19,103.14,103.87,101.9,103.67,111663
2016-02-22,106.01,108.22,105.73,108.08,202514
2016-02-23,106.73,106.73,103.51,103.85,151526
2016-02-24,101.37,104.92,100.38,104.27,201953
2016-02-25,101.56,103.88,100.8,103.78,153572
2016-02-26,106.77,107.69,105.32,105.98,147074
2016-02-29,104.9,105.92,104.14,105.1,119679
2016-03-01,106.78,109.84,106.17,109.58,161301
2016-03-02,109.26,113.31,109.2,113.25,221147
2016-03-03,112.59,114.66,112.06,113.94,229188
2016-03-04,117.19,120.93,116.62,120.17,301059
2016-03-07,118.67,122.21,118.61,121.86,243563
2016-03-08,119.41,119.99,116.14,116.37,218088
2016-03-09,117.0,118.66,116.47,117.73,159755
2016-03-10,117.98,118.36,114.26,116.39,164766
2016-03-11,119.11,121.1,119.11,120.95,225405
2016-03-14,116.46,117.46,115.41,116.78,205680
2016-03-15,114.04,115.11,113.1,115.01,173646
2016-03-16,113.03,117.02,112.57,116.95,231844
2016-03-17,117.57,119.84,116.67,119.32,220614
2016-03-18,118.91,119.34,117.51,117.7,189016
2016-03-21,117.42,117.98,115.9,116.58,128118
2016-03-22,115.54,116.78,115.45,116.06,135694
2016-03-23,117.05,117.35,114.0,114.16,175668
2016-03-24,114.48,115.9,113.14,115.79,310656
2016-03-28,116.19,116.95,114.66,116.8,151870
2016-03-29,115.02,117.5,113.96,117.3,205304
2016-03-30,118.31,119.84,117.25,117.49,169509
2016-03-31,118.04,119.46,116.95,117.06,235097
2016-04-01,112.6,114.13,111.92,113.67,187437
2016-04-04,113.68,114.58,111.07,111.41,108118
2016-04-05,110.25,111.65,110.09,110.58,167976
2016-04-06,110.87,114.17,109.3,113.97,287318
2016-04-07,112.41,112.98,110.9,111.56,124705
2016-04-08,116.03,116.74,115.32,115.65,191843
2016-04-11,118.15,119.03,117.71,117.92,157243
2016-04-12,118.51,122.76,117.83,121.61,270889
2016-04-13,125.82,126.12,124.29,125.27,277186
2016-04-14,125.06,125.09,124.04,124.9,104951
2016-04-15,123.41,123.84,122.18,122.49,118216
2016-04-18,122.99,125.68,122.55,125.24,254303
2016-04-19,125.5,127.81,125.43,127.75,167500
2016-04-20,125.31,128.43,124.7,127.16,129475
2016-04-21,130.11,130.36,128.06,128.65,171415
2016-04-22,128.73,130.75,128.25,129.12,110123
2016-04-25,129.19,129.56,126.93,127.43,201744
2016-04-26,128.0,129.33,127.54,129.24,114481
2016-04-27,129.0,130.24,127.76,129.94,181197
2016-04-28,122.88,128.35,122.39,125.7,234464
2016-04-29,124.94,125.13,122.01,123.43,194317
2016-05-02,123.41,124.05,121.88,123.02,157908
2016-05-03,120.87,120.87,118.94,118.99,161593
2016-05-04,117.48,118.03,115.17,116.1,349885
2016-05-05,117.97,118.78,116.47,117.38,180359
2016-05-06,114.89,117.3,114.54,116.41,198839
2016-05-09,114.34,114.78,112.49,113.16,258896
2016-05-10,114.42,117.59,114.42,117.24,212315
2016-05-11,116.42,118.5,115.15,117.21,139576
2016-05-12,117.95,118.27,115.62,116.53,113427
2016-05-13,114.85,115.42,113.02,113.61,119467
2016-05-16,115.84,117.98,115.58,117.62,151159
2016-05-17,117.92,120.24,117.24,119.17,253431
2016-05-18,118.44,119.75,116.82,117.28,144411
2016-05-19,116.27,116.38,114.82,115.82,220704
2016-05-20,116.71,117.8,116.54,116.7,71826
2016-05-23,116.43,116.93,115.52,115.8,164207
2016-05-24,115.88,116.32,115.3,116.28,269318
2016-05-25,118.35,119.65,118.18,119.53,174463
2016-05-26,120.6,121.41,119.84,120.1,137863
2016-05-27,120.88,121.26,119.86,120.96,156545
2016-05-31,119.63,120.84,118.88,119.44,230615
2016-06-01,119.57,121.91,118.73,121.64,180705
2016-06-02,120.89,123.01,120.65,122.9,106507
2016-06-03,123.48,123.48,121.5,122.33,203306
2016-06-06,120.37,122.06,120.35,121.71,136921
2016-06-07,123.0,125.3,122.86,125.11,177847
2016-06-08,126.09,126.94,125.47,125.75,102498
2016-06-09,124.52,125.12,123.95,124.24,78540
2016-06-10,122.52,122.64,120.5,120.53,109013
