Date,Open,High,Low,Close,Volume
2016-01-04,9.72,9.79,9.45,9.67,278583
2016-01-05,9.66,9.73,9.24,9.57,408832
2016-01-06,9.39,9.58,8.96,8.99,308931
2016-01-07,8.82,8.82,7.94,8.1,701713
2016-01-08,8.16,8.3,7.82,7.88,433433
2016-01-11,7.88,7.98,7.58,7.62,372996
2016-01-12,7.65,7.74,7.16,7.36,454652
2016-01-13,7.42,7.47,6.8,6.88,326331
2016-01-14,6.94,8.1,6.76,7.85,767115
2016-01-15,7.39,7.61,7.04,7.48,342110
2016-01-19,7.62,7.64,6.85,6.98,299763
2016-01-20,6.83,6.96,6.19,6.84,414570
2016-01-21,6.82,7.46,6.77,7.12,366784
2016-01-22,7.26,7.84,7.25,7.51,347645
2016-01-25,7.47,7.56,7.04,7.09,258117
2016-01-26,7.18,8.29,7.05,8.11,630982
2016-01-27,8.15,8.23,7.78,7.88,462043
2016-01-28,7.69,8.28,7.52,7.82,1107163
2016-01-29,7.8,8.17,7.73,7.94,449547
2016-02-01,7.83,8.38,7.72,8.23,593020
2016-02-02,8.2,8.2,7.71,7.72,475078
2016-02-03,7.89,8.21,7.53,8.2,365570
2016-02-04,8.25,9.25,8.19,9.15,483287
2016-02-05,9.0,9.26,8.83,9.06,350507
2016-02-08,8.89,9.07,8.76,9.02,446555
2016-02-09,8.71,9.31,8.71,9.17,423446
2016-02-10,9.23,9.44,9.07,9.07,458524
2016-02-11,8.87,9.05,8.54,8.91,445480
2016-02-12,9.0,9.47,8.93,9.44,315201
2016-02-16,9.61,9.71,9.1,9.52,239090
2016-02-17,9.55,9.93,9.31,9.4,229292
2016-02-18,9.44,9.44,9.03,9.23,216624
2016-02-19,9.17,9.17,8.66,9.01,228752
2016-02-22,9.1,9.34,9.03,9.25,215490
2016-02-23,9.13,9.37,8.9,9.14,204451
2016-02-24,8.93,9.13,8.68,9.12,211647
2016-02-25,9.12,9.12,8.7,8.99,285354
2016-02-26,9.02,9.31,9.0,9.05,213664
2016-02-29,9.1,9.21,8.85,8.97,228582
2016-03-01,9.13,9.39,8.96,9.35,336185
2016-03-02,9.35,9.4,8.95,9.11,337092
2016-03-03,9.15,9.66,9.14,9.27,320904
2016-03-04,9.31,9.83,9.21,9.59,346089
2016-03-07,9.59,10.36,9.5,10.31,384835
2016-03-08,10.3,10.31,9.26,9.32,530567
2016-03-09,9.43,9.7,9.3,9.64,180274
2016-03-10,9.74,9.76,9.32,9.51,146245
2016-03-11,9.67,9.88,9.6,9.87,256162
2016-03-14,9.75,9.75,9.18,9.35,306111
2016-03-15,9.24,9.41,9.02,9.21,297023
2016-03-16,9.15,9.51,9.1,9.44,281259
2016-03-17,9.48,10.01,9.3,9.71,465136
2016-03-18,9.8,10.81,9.8,10.75,835158
2016-03-21,10.81,11.42,10.72,11.33,445114
2016-03-22,11.2,11.55,10.83,11.52,457937
2016-03-23,11.43,11.45,10.63,10.75,382869
2016-03-24,10.63,10.98,10.42,10.94,258116
2016-03-28,11.01,11.01,10.42,10.6,247904
2016-03-29,10.51,10.94,10.35,10.9,309943
2016-03-30,10.95,11.02,10.64,10.98,303030
2016-03-31,10.93,10.95,10.44,10.48,576525
2016-04-01,10.37,10.63,10.22,10.55,361368
2016-04-04,10.52,10.83,10.22,10.22,261454
2016-04-05,10.09,10.2,9.67,9.69,397766
2016-04-06,9.68,9.86,9.14,9.85,396802
2016-04-07,9.75,9.77,9.48,9.64,493193
2016-04-08,9.79,10.09,9.58,9.66,213803
2016-04-11,9.64,9.88,9.21,9.27,301518
2016-04-12,9.28,9.5,9.19,9.25,217503
2016-04-13,9.38,10.0,9.29,9.82,334147
2016-04-14,9.87,9.87,9.58,9.77,286026
2016-04-15,9.75,9.84,9.6,9.63,197961
2016-04-18,9.58,9.74,9.45,9.7,166678
2016-04-19,9.82,10.07,9.78,9.87,170487
2016-04-20,9.87,10.14,9.8,9.95,240364
2016-04-21,9.87,9.94,9.55,9.62,223186
2016-04-22,9.64,9.9,9.6,9.82,186781
2016-04-25,9.82,9.97,9.28,9.48,349915
2016-04-26,9.55,10.1,9.48,9.95,260301
2016-04-27,10.01,10.28,9.99,10.25,262798
2016-04-28,9.55,10.36,9.42,10.36,600545
2016-04-29,10.4,10.59,9.93,10.07,512578
2016-05-02,10.26,10.28,9.76,9.85,330107
2016-05-03,9.75,10.38,9.33,10.26,384867
2016-05-04,10.15,10.57,9.77,9.85,475984
2016-05-05,9.93,9.93,9.62,9.75,242301
2016-05-06,9.68,10.02,9.55,10.0,189444
2016-05-09,9.9,10.22,9.68,10.03,193757
2016-05-10,10.09,10.58,10.01,10.31,233799
2016-05-11,10.36,10.36,9.89,9.94,160251
2016-05-12,10.0,10.09,9.26,9.52,386443
2016-05-13,9.52,9.52,8.93,9.02,275048
2016-05-16,9.02,9.19,8.92,8.93,232594
2016-05-17,8.95,9.44,8.87,9.19,319795
2016-05-18,9.1,9.16,8.96,8.98,239180
2016-05-19,8.91,9.18,8.89,8.96,201555
2016-05-20,9.01,9.4,9.01,9.29,210249
2016-05-23,9.28,9.37,9.13,9.17,146003
2016-05-24,9.23,9.55,9.08,9.53,297949
2016-05-25,9.57,9.99,9.53,9.86,193493
2016-05-26,9.9,9.91,9.56,9.66,119599
2016-05-27,9.65,9.84,9.63,9.76,168441
2016-05-31,9.75,10.02,9.75,9.88,190829
2016-06-01,9.75,9.96,9.52,9.94,212267
2016-06-02,9.82,9.84,9.49,9.7,360434
2016-06-03,9.8,9.8,9.41,9.73,254924
2016-06-06,9.74,10.33,9.74,10.29,316513
2016-06-07,10.27,10.37,10.09,10.27,171590
2016-06-08,10.36,10.46,10.25,10.32,161841
2016-06-09,10.15,10.38,9.89,10.37,766520
2016-06-10,10.11,10.35,9.86,10.0,273668
2016-06-13,9.9,10.15,9.76,10.01,564519
2016-06-14,10.01,10.14,9.96,10.0,443889
2016-06-15,10.05,10.37,9.87,10.0,543384
2016-06-16,9.94,10.05,9.72,9.95,316914
2016-06-17,9.98,10.68,9.98,10.39,361562
2016-06-20,10.59,12.03,10.47,11.01,666592
2016-06-21,10.68,10.7,9.72,10.02,501786
2016-06-22,9.91,10.04,9.72,9.88,313133
2016-06-23,9.93,10.16,9.89,9.98,268799
2016-06-24,9.22,9.22,8.7,8.78,1431198
2016-06-27,8.64,8.66,8.22,8.27,540011
2016-06-28,8.39,8.45,7.77,7.97,549663
2016-06-29,8.23,8.4,8.08,8.26,361120
2016-06-30,8.29,8.36,7.93,8.17,321728
2016-07-01,8.17,8.45,8.17,8.25,376781
2016-07-05,8.1,8.1,7.69,7.8,742073
2016-07-06,7.68,8.01,7.64,7.99,706106
2016-07-07,7.92,8.18,7.55,7.67,471807
2016-07-08,7.78,8.25,7.75,8.14,409268
2016-07-11,8.24,8.41,8.15,8.37,366591
2016-07-12,8.47,8.68,8.38,8.61,335088
2016-07-13,8.67,8.81,8.47,8.78,361326
2016-07-14,8.81,9.01,8.63,8.65,319980
2016-07-15,8.72,8.83,8.38,8.77,311438
2016-07-18,8.69,8.86,8.57,8.79,249510
2016-07-19,8.74,8.86,8.49,8.5,398592
2016-07-20,8.5,8.79,8.41,8.47,257471
2016-07-21,8.55,8.55,8.34,8.39,202491
2016-07-22,8.41,8.83,8.36,8.74,473135
2016-07-25,8.69,8.76,8.22,8.24,220705
2016-07-26,8.29,8.36,8.16,8.22,256487
2016-07-27,8.37,8.37,8.0,8.15,538236
2016-07-28,8.2,8.2,7.79,8.04,524342
2016-07-29,7.96,8.36,7.96,8.26,411806
2016-08-01,8.25,8.35,8.02,8.05,344691
2016-08-02,8.02,8.04,7.57,7.63,463851
2016-08-03,7.57,7.83,7.55,7.67,379622
2016-08-04,7.63,7.74,7.43,7.53,233657
2016-08-05,7.58,8.16,7.53,8.01,410676
2016-08-08,8.08,8.19,7.86,7.93,245654
2016-08-09,7.94,8.01,7.6,7.64,239812
2016-08-10,7.7,7.72,7.25,7.43,394422
2016-08-11,7.46,7.52,7.28,7.29,168659
2016-08-12,7.28,7.28,6.96,7.04,307103
2016-08-15,7.1,7.28,7.0,7.02,217427
2016-08-16,6.97,6.98,6.64,6.84,541151
2016-08-17,6.83,7.01,6.7,6.85,245956
2016-08-18,6.87,7.17,6.86,7.15,441066
2016-08-19,7.12,7.63,7.07,7.6,453654
2016-08-22,7.64,7.66,7.26,7.33,512970
2016-08-23,7.25,7.46,7.13,7.15,457603
2016-08-24,7.14,7.39,7.14,7.37,306834
2016-08-25,7.36,7.41,7.2,7.26,346070
2016-08-26,7.32,7.43,7.18,7.18,392324
2016-08-29,7.21,7.31,7.17,7.19,374517
2016-08-30,7.27,7.42,7.25,7.38,291368
2016-08-31,7.75,8.32,7.5,7.81,861064
2016-09-01,7.84,7.93,7.63,7.86,527839
2016-09-02,7.45,8.28,7.39,7.75,1043280
2016-09-06,7.75,8.34,7.75,8.32,551923
2016-09-07,8.4,8.8,8.38,8.75,505502
2016-09-08,8.66,8.98,8.66,8.77,414421
2016-09-09,8.63,8.79,8.42,8.49,522796
2016-09-12,8.25,8.63,8.14,8.62,320348
2016-09-13,8.49,8.54,8.25,8.26,360586
2016-09-14,8.35,8.53,8.25,8.4,287635
2016-09-15,8.43,8.63,8.29,8.62,250890
2016-09-16,8.57,8.87,8.48,8.49,456823
2016-09-19,8.58,8.77,8.39,8.52,216586
2016-09-20,8.61,8.61,8.25,8.25,166986
2016-09-21,8.31,8.54,8.24,8.36,208476
2016-09-22,8.5,8.82,8.41,8.79,436654
2016-09-23,8.73,8.9,8.56,8.81,366625
2016-09-26,8.74,8.74,8.26,8.41,370913
2016-09-27,8.43,8.53,8.31,8.44,627575
2016-09-28,8.4,8.64,8.27,8.52,189607
2016-09-29,8.56,8.83,8.43,8.56,314735
2016-09-30,8.7,8.84,8.61,8.74,239832
2016-10-03,8.71,8.74,8.53,8.59,187782
2016-10-04,8.67,8.92,8.59,8.61,181353
2016-10-05,8.66,8.93,8.62,8.72,308458
2016-10-06,8.74,8.77,8.56,8.59,190605
2016-10-07,8.53,8.72,8.5,8.66,259325
2016-10-10,8.77,8.94,8.54,8.66,158510
2016-10-11,8.65,8.7,8.53,8.64,266044
2016-10-12,8.64,8.64,7.15,7.8,1859413
2016-10-13,7.66,7.67,7.28,7.3,759953
2016-10-14,7.31,7.44,6.84,7.06,608558
2016-10-17,6.95,7.1,6.8,6.99,398229
2016-10-18,7.16,7.43,7.03,7.21,381657
2016-10-19,7.28,7.28,6.81,6.86,441425
2016-10-20,6.85,7.04,6.79,6.94,278382
2016-10-21,6.89,7.02,6.83,6.87,206774
2016-10-24,6.97,7.02,6.82,6.92,168644
2016-10-25,6.97,7.01,6.81,6.91,170016
2016-10-26,6.83,7.13,6.8,6.95,190869
2016-10-27,7.0,7.14,6.88,6.92,262103
2016-10-28,6.87,6.93,6.55,6.61,333967
2016-10-31,6.65,6.65,6.45,6.5,349513
2016-11-01,6.6,6.65,6.1,6.25,311393
2016-11-02,6.25,6.45,6.05,6.15,291183
2016-11-03,5.8,5.9,5.3,5.45,980489
2016-11-04,5.3,5.55,5.3,5.4,656409
2016-11-07,5.35,5.45,5.0,5.1,538664
2016-11-08,5.25,5.5,4.85,5.4,1082040
2016-11-09,5.25,5.6,5.0,5.55,640828
2016-11-10,5.65,6.25,5.6,6.15,1193022
2016-11-11,6.35,6.97,6.25,6.8,844432
2016-11-14,6.9,7.55,6.8,7.35,700149
2016-11-15,7.4,7.45,7.08,7.3,516150
2016-11-16,7.3,7.65,7.3,7.4,425355
2016-11-17,7.55,8.1,7.45,8.05,590653
2016-11-18,8.05,8.1,7.7,7.9,463730
2016-11-21,7.95,8.2,7.65,7.85,441741
2016-11-22,7.95,8.15,7.75,8.15,319426
2016-11-23,8.15,8.4,8.0,8.25,388635
2016-11-25,8.1,8.35,7.92,8.3,136972
2016-11-28,8.3,8.55,8.0,8.05,408117
2016-11-29,8.05,8.35,7.85,8.05,242488
2016-11-30,8.3,8.55,7.95,8.05,509808
2016-12-01,8.1,8.12,7.75,8.0,438789
2016-12-02,8.0,8.15,7.75,7.75,172848
2016-12-05,7.85,8.25,7.75,8.05,257080
2016-12-06,8.2,8.45,7.85,8.4,381549
2016-12-07,8.55,9.3,8.2,9.25,527232
2016-12-08,8.75,9.05,7.6,9.0,1134873
2016-12-09,8.95,9.75,8.7,9.15,852681
2016-12-12,9.0,9.2,8.85,9.15,397193
2016-12-13,9.1,9.1,8.15,8.4,580426
2016-12-14,8.25,8.5,8.25,8.3,177573
2016-12-15,8.4,8.55,8.22,8.55,421294
2016-12-16,8.25,8.3,7.62,8.05,923834
2016-12-19,8.2,8.25,7.55,7.6,366549
2016-12-20,7.65,7.95,7.5,7.55,350827
2016-12-21,7.6,7.85,7.46,7.8,269820
2016-12-22,7.85,7.85,7.35,7.7,294391
2016-12-23,7.65,7.78,7.5,7.6,139140
2016-12-27,7.5,7.85,7.45,7.6,161843
2016-12-28,7.65,7.72,7.15,7.35,351509
2016-12-29,7.3,7.5,7.0,7.1,247964
2016-12-30,7.1,7.4,7.0,7.15,538703
2017-01-03,7.5,8.9,7.45,8.75,861728
2017-01-04,8.7,8.9,8.5,8.85,586681
2017-01-05,8.75,8.8,8.25,8.3,380293
2017-01-06,8.45,8.85,8.3,8.65,280431
2017-01-09,8.6,8.7,8.12,8.25,240111
2017-01-10,8.25,8.4,8.1,8.15,261323
2017-01-11,8.2,8.7,8.1,8.7,288629
2017-01-12,9.0,9.25,8.75,9.15,425903
2017-01-13,9.15,9.61,8.91,9.45,459853
2017-01-17,9.3,9.45,8.65,8.65,349943
2017-01-18,8.55,8.8,8.55,8.7,313552
2017-01-19,8.75,9.05,8.3,8.45,257478
2017-01-20,8.5,8.71,8.35,8.65,288815
2017-01-23,8.65,8.7,8.2,8.35,340039
2017-01-24,8.5,8.55,8.15,8.2,641590
2017-01-25,8.35,8.7,8.25,8.6,354054
2017-01-26,8.55,8.7,8.05,8.1,293351
2017-01-27,8.1,8.2,8.0,8.05,265630
2017-01-30,7.95,8.1,7.4,7.85,396462
2017-01-31,7.85,7.85,7.3,7.6,357958
2017-02-01,7.65,7.75,7.4,7.4,333636
2017-02-02,8.15,9.15,8.15,8.45,1117340
2017-02-03,8.4,9.1,8.35,8.95,716407
2017-02-06,8.9,9.04,8.5,8.8,529150
2017-02-07,8.75,8.8,8.19,8.2,418302
2017-02-08,8.15,8.15,7.79,7.95,386301
2017-02-09,8.0,8.15,7.45,7.5,364627
2017-02-10,7.9,8.3,7.9,8.3,612845
2017-02-13,8.35,8.85,8.35,8.75,742001
2017-02-14,8.65,9.5,8.6,9.0,1044605
2017-02-15,8.95,9.25,8.8,9.0,510682
2017-02-16,8.95,9.1,8.6,8.95,365907
2017-02-17,8.9,9.0,8.6,9.0,459049
2017-02-21,9.0,9.15,8.95,9.0,347357
2017-02-22,8.8,8.9,8.5,8.65,416829
2017-02-23,8.7,8.75,8.12,8.35,413261
2017-02-24,8.1,8.3,7.9,8.1,358860
2017-02-27,8.1,8.62,8.1,8.55,390033
2017-02-28,8.45,8.65,8.0,8.05,477701
2017-03-01,8.35,8.65,8.3,8.5,298013
2017-03-02,8.8,9.2,8.8,9.0,743580
2017-03-03,9.05,9.2,8.75,9.15,343217
2017-03-06,9.1,9.1,8.55,8.65,238540
2017-03-07,8.7,8.7,8.45,8.45,364181
2017-03-08,8.6,8.7,8.5,8.6,210557
2017-03-09,8.6,8.65,8.1,8.4,369922
2017-03-10,8.45,8.45,8.1,8.15,349986
2017-03-13,8.2,8.35,8.1,8.1,231772
2017-03-14,8.05,8.1,7.75,7.85,355973
2017-03-15,7.85,8.35,7.8,8.25,281887
2017-03-16,8.35,8.35,7.75,7.85,339117
2017-03-17,7.9,7.9,7.55,7.55,843942
2017-03-20,7.55,7.6,7.15,7.15,624686
2017-03-21,7.2,7.23,6.8,7.0,560365
2017-03-22,6.95,6.95,6.5,6.75,554297
2017-03-23,6.7,6.85,6.65,6.85,553298
2017-03-24,6.8,7.0,6.62,6.8,446122
2017-03-27,6.7,6.8,6.52,6.65,420814
2017-03-28,6.6,6.9,6.45,6.75,513118
2017-03-29,6.75,6.75,6.45,6.65,345950
2017-03-30,6.65,6.8,6.5,6.5,248553
2017-03-31,6.5,6.8,6.45,6.55,557713
2017-04-03,6.65,6.95,6.6,6.65,526004
2017-04-04,6.64,6.65,6.15,6.25,587923
2017-04-05,6.35,6.48,4.85,5.4,3436087
2017-04-06,5.5,5.8,5.22,5.6,854005
2017-04-07,5.45,5.55,5.1,5.1,840990
2017-04-10,5.3,5.75,5.3,5.45,662122
2017-04-11,5.45,5.45,5.05,5.05,575428
2017-04-12,5.1,5.1,4.75,4.9,537783
2017-04-13,4.8,4.9,4.4,4.65,452494
2017-04-17,4.95,4.95,4.5,4.5,536344
2017-04-18,4.4,4.5,4.2,4.4,663542
2017-04-19,4.4,4.4,3.85,4.2,1665967
2017-04-20,4.2,4.4,4.05,4.3,574063
2017-04-21,4.25,4.75,4.25,4.7,999312
2017-04-24,4.9,4.94,4.45,4.7,1483501
2017-04-25,4.7,4.8,4.16,4.3,777932
2017-04-26,4.25,4.5,3.92,4.25,905117
2017-04-27,4.35,4.35,3.95,4.05,1034198
2017-04-28,4.1,4.31,3.8,3.95,1097799
2017-05-01,4.05,4.2,3.8,4.0,609145
2017-05-02,2.15,2.2,1.3,1.8,19202406
2017-05-03,1.8,1.8,1.45,1.55,3974070
2017-05-04,1.6,1.75,1.45,1.65,3309506
2017-05-05,1.65,1.9,1.56,1.85,2244284
2017-05-08,1.85,2.55,1.8,2.25,3086422
2017-05-09,2.2,2.3,2.0,2.2,1988438
2017-05-10,2.2,2.25,2.15,2.25,805088
2017-05-11,2.2,2.24,2.0,2.0,1320742
2017-05-12,2.15,2.3,2.1,2.25,2271973
2017-05-15,2.3,2.3,2.0,2.05,5587196
2017-05-16,2.1,2.15,2.0,2.05,1914879
2017-05-17,2.05,2.1,2.0,2.0,1141581
2017-05-18,2.0,2.05,1.9,1.95,1583120
2017-05-19,1.95,2.3,1.95,2.3,1339843
2017-05-22,2.35,2.52,2.15,2.2,1150549
2017-05-23,2.25,2.35,2.18,2.2,876073
2017-05-24,2.2,2.25,2.15,2.15,433341
2017-05-25,2.15,2.25,2.05,2.05,494449
2017-05-26,2.05,2.1,2.05,2.05,310023
