Date,Open,High,Low,Close,Volume
2016-01-04,44.84,45.15,44.55,44.93,56072
2016-01-05,45.2,45.32,44.97,45.21,17300
2016-01-06,44.43,44.74,44.26,44.41,36385
2016-01-07,43.26,44.14,43.0,43.0,47703
2016-01-08,43.94,44.04,43.24,43.32,44505
2016-01-11,43.65,43.74,43.04,43.45,26299
2016-01-12,43.5,43.61,43.01,43.28,23620
2016-01-13,44.95,45.04,43.81,43.89,30774
2016-01-14,44.11,44.69,43.62,44.66,38522
2016-01-15,43.74,43.99,43.1,43.83,87097
2016-01-19,45.33,45.47,44.5,45.01,56988
2016-01-20,43.13,43.7,42.23,43.4,45103
2016-01-21,42.8,43.63,42.61,43.15,38941
2016-01-22,43.81,43.92,43.38,43.88,68484
2016-01-25,43.43,43.76,43.02,43.2,36035
2016-01-26,43.23,43.9,43.23,43.75,66024
2016-01-27,44.21,44.96,43.88,44.14,57693
2016-01-28,46.12,46.31,45.6,45.81,39667
2016-01-29,46.19,47.1,46.05,46.84,68127
2016-02-01,46.64,47.07,46.38,47.03,53049
2016-02-02,46.37,46.37,45.54,45.62,24680
2016-02-03,46.46,47.24,45.85,47.18,43211
2016-02-04,47.25,47.6,46.81,47.18,64635
2016-02-05,46.99,46.99,46.15,46.21,37402
2016-02-08,45.63,45.64,44.68,45.24,44296
2016-02-09,44.29,45.34,44.29,45.01,44347
2016-02-10,45.47,46.41,45.47,45.68,31042
2016-02-11,44.45,45.24,44.45,45.13,69519
2016-02-12,46.42,47.25,46.29,47.24,32866
2016-02-16,48.4,48.46,47.97,48.42,34950
2016-02-17,48.26,48.79,48.18,48.57,55386
2016-02-18,48.86,49.09,48.17,48.45,23505
2016-02-19,48.59,48.86,48.33,48.82,27513
2016-02-22,48.41,49.0,48.37,48.97,32482
2016-02-23,48.55,48.56,47.99,48.11,25778
2016-02-24,48.34,49.06,47.97,48.85,41100
2016-02-25,48.96,49.58,48.82,49.58,31273
2016-02-26,49.23,49.23,48.5,48.6,32638
2016-02-29,48.64,49.14,48.52,48.72,43848
2016-03-01,49.24,50.0,49.15,49.92,31092
2016-03-02,49.43,49.92,49.09,49.75,48422
2016-03-03,49.49,49.96,49.34,49.87,19572
